section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Why is it important to maintain a space cushion between your vehicle and others?,"a:It keeps traffic flowing at a faster pace.,b:It prevents distractions from other vehicles.,c:It allows you time to react to unexpected situations.",c,"Maintaining a space cushion gives you extra time and room to react if another driver brakes suddenly, swerves, or makes a mistake. This buffer helps you avoid rear‑end collisions and sudden, unsafe maneuvers.",
8,Special Situations & Road Users,What is the 'No zone' around large trucks or buses?,"a:A speed limit zone for trucks.,b:A restricted audio zone for loud stereos.,c:The vehicle’s blind spots where smaller vehicles may not be seen.",c,"The “No zone” is the large blind spot area around trucks and buses where the driver cannot see you in their mirrors. Staying out of these areas—especially directly behind, directly in front, and along the sides near the cab—reduces the risk of being hit if the truck changes lanes or stops suddenly.",
5,Driving in Special Conditions,Why must you use extra caution when driving at night?,"a:Because there is more traffic at night.,b:Because traffic moves faster at night.,c:Because drivers cannot see as well at night as during the day.",c,"At night, your ability to see hazards, road signs, and pedestrians is reduced, and it is harder to judge distance and speed. Because visibility is limited, you must use extra caution, reduce speed as needed, and use your headlights from about half an hour after sunset to half an hour before sunrise or whenever you cannot see clearly ahead.",
8,Special Situations & Road Users,Is it ever acceptable to drive around or under a lowering or raising railroad crossing gate?,"a:Only if your vehicle can do so without damaging the gate.,b:Only when there are no visible trains.,c:No — you must not drive around or under a gate that is moving.",c,"Railroad gates, flashing lights, and bells mean a train is approaching or nearby, and you must stop. It is never safe or legal to drive around or under a lowering, lowered, or raising gate, even if you do not see a train, because trains can approach quickly and cannot stop in time.",difficult
2,Traffic Laws & Rules of the Road,"If another driver is passing you, what should you do?","a:Pull off the road.,b:Signal to tell them when to pass.,c:Maintain a steady speed or slightly adjust it so the passing vehicle can safely return to your lane.",c,"When another driver is passing you, stay in your lane and do not speed up. If needed, slightly adjust your speed so the passing driver can safely move back into your lane with plenty of space. This reduces the time both vehicles are side‑by‑side and lowers the risk of a collision with oncoming traffic.",
2,Traffic Laws & Rules of the Road,When should you use your turn signal?,"a:Changing lanes.,b:Pulling into traffic from a parking area or alley.,c:Pulling into or out of a parking space.,d:All of the above.",d,"Use your turn signal any time you intend to move left or right: when changing lanes, pulling into traffic from a curb, alley, or parking area, and when entering or leaving a parking space. Signaling lets other road users anticipate your movement and helps prevent collisions.",
2,Traffic Laws & Rules of the Road,Two solid white lines across a lane mark what area?,"a:An area with no right-of-way rules.,b:A place where vehicles have right-of-way over pedestrians.,c:A crosswalk where pedestrians have the right-of-way.",c,"Two solid white lines across the road mark a crosswalk. Drivers must yield to pedestrians who are in or entering the crosswalk, slowing or stopping as needed so they can cross safely.",
7,Vehicle Ownership & Responsibilities,Why must your vehicle be inspected at least once a year?,"a:Only if it is older than five years old.,b:Unless it is a new vehicle.,c:To ensure it is safe to operate.",c,"Annual safety inspections are required to make sure your vehicle is mechanically safe and in proper operating condition. Regular inspections help find problems like worn brakes, bad tires, or faulty lights before they cause a crash.",
5,Driving in Special Conditions,"When roads are slippery, what driving adjustment should you make?","a:Reduce use of turn signals.,b:Drive as you would on dry roads.,c:Increase your following distance.",c,"On slippery roads your tires have less traction, so it takes longer to stop. Increase your following distance so you have more space and time to brake gently and avoid skids or rear-end collisions.",
5,Driving in Special Conditions,"If you must slow down on a slippery road, what is the first action you should take?","a:Take your foot off the gas pedal to reduce speed.,b:Firmly apply your brakes immediately.,c:Apply your parking brake.",a,"On a slippery surface, the safest first step to slow down is to ease your foot off the accelerator and let the vehicle slow gradually. If you need to slow more, apply the brakes gently and steadily to avoid locking the wheels and losing control.",
