id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9293,"When driving with passengers, a bus driver should:",,Engage in conversation with the passengers.,Not engage in conversation with the passengers.,Engage in conversations with the passengers if they feel comfortable doing so.,,B,"A driver is responsible for the safety of the passengers aboard their vehicle. To avoid becoming distracted and increasing the dangers of driving, a bus driver should avoid engaging in conversation with passengers while they are driving."
8543,Black ice is:,,Usually thick.,Usually thin.,Not a hazard when driving.,,B,Black ice is a layer of ice that is thin and clear enough for the road to be visible through it. The surface will look like a wet road. Always be alert to black ice if the road looks wet when the temperature is below freezing.
11338,"During the driving test, the examiner will be scoring you on:",,Attitude.,How quickly you arrive to your destination.,Your general driving behavior.,,C,"During the on-road driving test, the examiner will be scoring you on specific driving maneuvers, as well as your general driving behavior."
8598,Which of the following determines your blood alcohol concentration (BAC)?,,How much you drink,How frequently you drink,The temperature of the drink,,A,"The main factors that determine a person's blood alcohol concentration (BAC) are how much alcohol has been consumed, how quickly it was consumed, and the person's body weight."
9933,Pre-trip inspections are:,,Recommended.,Needed only for trips longer than 100 miles in length.,Required by law.,,C,"Federal and state laws require drivers to inspect their vehicles before every trip, regardless of length."
9593,"When changing lanes, turn signals:",,Should not be used.,Should only be used if a vehicle is close to you.,Should be used each time.,,C,Always signal your intentions before turning or changing lanes. Do not assume that other drivers will move out of your way simply because you are signaling to turn.
8519,"Truck drivers should carry emergency equipment, including:",,One liquid burning flare.,Three red reflective triangles.,Five flashlights.,,B,"Truck drivers should always have emergency equipment on-hand. Required warning equipment consists of three red reflective triangles, six fuses, or three liquid burning flares."
11361,"To ensure that you do not slow down traffic when driving a large truck, you should:",,Switch gears while driving uphill.,Try to pass another vehicle while driving uphill.,Stay in the right lane whenever possible.,,C,"If a heavy load prevents your vehicle from keeping up with the speed of other traffic, you should stay in the right lane."
8530,"When traveling down a hill, you can reduce the amount of required braking by:",,Switching into a higher gear.,Switching into a lower gear.,Switching into neutral.,,B,"Before starting down a hill, decelerate and shift down into a gear that will allow you to control your vehicle without braking too hard. Using too much brake when driving downhill can cause the brakes to overheat, reducing the braking power."
9888,Emergency roof hatches on a bus:,,Must be closed before the bus is driven.,Can be opened to allow for air movement during a drive.,Must be removed before the bus is driven.,,B,"On a bus, it is permissible to lock some emergency roof hatches in an open position to allow in fresh air. However, this should not be a regular practice."
9268,Which of the following is not a warning sign of fatigue?,,Difficulty focusing,Staying within your lane,Rubbing your eyes,,B,"Potential warning signs of fatigue include difficulty focusing, frequent blinking, or heavy eyelids; yawning repeatedly or rubbing your eyes; daydreaming; wandering or disconnected thoughts; trouble remembering the last few miles you've driven; missing exits or traffic signs; having trouble keeping your head up; drifting from your lane; following too closely; hitting a shoulder rumble strip; or feeling restless and irritable."
8552,Talking on a cell phone while driving removes about ____ of a person's focus from the task of driving.,,10 percent,39 percent,82 percent,,B,Distracted driving is always dangerous. Talking on a cell phone takes away about 39 percent of a person's mental energy that would otherwise be devoted to driving.
9238,Wheels with welding repairs are:,,Safe to be used if the repairs were done by a professional.,Safe to be used if the repair seems solid.,Not safe to be used.,,C,Wheels or rims that have had welding repairs are not safe for use. They should be replaced before the vehicle is taken on the road.
11487,An encroachment is when:,,A driver does not appear for their scheduled basic skills test.,A vehicle touches an exercise boundary line during the basic skills test.,A driver fails one section of the basic skills test.,,B,An encroachment during the basic vehicle control skills test is when an exercise boundary line is touched or crossed by any portion of the applicant's vehicle. Every encroachment will be counted as an error.
9419,____ is an example of required emergency equipment.,,A spare electrical fuse,A loud horn,A battery-operated flashlight,,A,"All commercial motor vehicles are required to be equipped with the proper emergency equipment. This may include spare electrical fuses; three red reflective triangles, six fuses, or three liquid burning flares; and at least one properly charged and rated fire extinguisher."
8616,"When re-entering traffic after a bus stop, you should:",,Assume other drivers will allow you to merge back into traffic.,Wait for a gap large enough to allow you to accelerate and merge with traffic.,Allow a passenger to leave the bus and halt traffic to allow you to merge.,,B,"When driving a bus, you should be mindful of the size of the gap that your vehicle will need to merge into traffic after making a stop. Wait for a gap of the necessary size to open in passing traffic before re-entering the main road."
8537,"When it is difficult to see and you are traveling near other drivers, you should:",,Use high beam lights.,Use low beam lights.,Use only the clearance lights.,,B,"Use your low beam headlights when traveling near other drivers at times when it is difficult to see, such as at dawn, at dusk, or in poor weather conditions. Using the high beam setting under certain conditions could make it difficult for other drivers to see."
8567,"When approaching a railroad crossing, you should:",,Rely on warning signals to indicate if a train is approaching.,Rely on the actions of other motorists to indicate if a train is approaching.,Not rely solely on warning signals to indicate if a train is approaching.,,C,"You should not rely solely upon the presence of warning signals, gates, or flaggers to alert you to the approach of a train. Be especially alert to approaching trains at crossings that are not controlled by gates or signals. At any railroad crossing, you should operate under the assumption that a train is coming."
9243,"When turning, when should the turn signal be canceled?",,Before entering the turn,During the turn,After the turn is completed,,C,Always signal continuously through a turn. Do not cancel a signal until the turn is finished.
9582,When leaving your vehicle:,,The air brakes should be applied.,The parking brake should be applied.,Brakes should not be applied if the vehicle is left out of gear.,,B,"Parking brakes should be used whenever you park. If necessary, chock your wheels."
9431,Why are multi-speed axles and auxiliary transmissions used?,,To make a vehicle operate more smoothly,To provide extra gears,To improve a vehicle's gas mileage,,B,"On many vehicles, multi-speed rear axles and auxiliary transmissions are used to provide extra gears."
9810,"On a bus, carry-on baggage should be stored:",,In a manner that allows riders to exit through any window or door in an emergency.,In the aisle near the front of the bus.,On passengers’ laps.,,A,The aisles and stairwells of a bus should always be kept clear. Luggage and freight must be placed in a location that allows passengers to exit through any window or door in the event of an emergency.
9429,"When backing a truck, you should:",,Only use the side mirrors on the driver’s side of the vehicle.,Use both side mirrors.,Not use a helper.,,B,"When backing a truck, always use the mirrors on both sides of the vehicle. Have someone help you whenever possible."
9237,Rust around wheel nuts may mean:,,It rained recently.,The nuts are loose.,The nuts are too tight.,,B,It is important to inspect your tires before every drive. Rust around wheel nuts may indicate that they are loose.
8593,"If you’re not sure what to do to extinguish a fire in your vehicle, you should:",,Use water.,Stay inside the vehicle.,Wait for the firefighters.,,C,"If you are not sure which kind of extinguisher should be used on a fire in your vehicle, particularly a hazardous materials fire, you should wait for the firefighters to arrive and allow them to extinguish it."
8553,Which of the following is not a type of distraction?,,Physical,Mental,Obtuse,,C,"Distractions that can affect safe driving can be classified as physical (such as reaching for an object), mental (such as talking with passenger), or both (such as talking on a hand-held phone)."
8555,Texting while driving is especially dangerous because:,,It is both a mental and physical distraction.,A message may be upsetting to the driver.,People like to read and may become too engaged in their phones.,,A,"Texting while driving is particularly dangerous because it is both a mental and physical distraction to the driver. In addition to diverting a driver's mental attention away from the road, texting requires a person to remove at least one hand from the vehicle's controls."
8560,"When driving in winter, which of the following should receive extra attention in a pre-trip inspection?",,Coolant and antifreeze levels,The air conditioning unit,The oil pressure,,A,"When doing a pre-trip inspection during the winter, you should pay extra attention to the coolant level and amount of antifreeze; the defrosting and heating equipment; the wiper blades and windshield washer; the tires and tire chains; the lights and reflectors; the windows and mirrors; the hand holds, steps, and deck plates; the radiator shuttles and winterfront; and exhaust system."
8536,"To warn drivers behind you that you will be slowing down, you should:",,Turn on the right turn signal followed by the left turn signal.,Tap your brake pedal a few times to illuminate your brake lights.,Swerve from side to side to get their attention.,,B,"To let drivers behind you know that you plan to slow down, lightly tap your brake pedal a few times to flash your brake lights. It is important to communicate your intentions to other drivers."
8588,"If involved in an accident, which of the following is not recommended?",,Trying to move your vehicle to the side of the road,Caring for the injured,Driving away from the scene,,C,"When involved in an accident, you should protect the area, notify authorities, care for the injured, collect required information, and report the accident. You can lose your license for leaving the scene of an accident."
11274,A thin layer of ice that forms on road surfaces is called:,,White ice.,Black ice.,Blue ice.,,B,Black ice is a thin layer of ice that is clear enough for the road surface to be seen through it. A road covered in black ice may look like it is merely wet. You should be very careful when temperatures are below freezing and the road looks wet.
9430,"If you’re unfamiliar with the area in which you must back up, you should:",,Get out of your vehicle and walk around the area to become more familiar with it.,Not use both side mirrors because it can be distracting.,Wait for someone else to back up in the area so you can see how they do it.,,A,"Before backing up, you should get out of your vehicle and look at your line of travel. Check your clearance to the sides and overhead."
9280,If there is a cargo fire in a box trailer:,,The trailer doors should be opened.,The trailer doors should not be opened.,"A large, heavy blanket should be put over the trailer.",,B,"The doors of a trailer should be not be opened in the event of a cargo fire, especially if the cargo includes hazardous materials. Opening trailer doors would increase the fire's oxygen supply, potentially causing the fire to increase in size."
