section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If an emergency vehicle is approaching with flashing lights and/or siren, what should you do?","a:Make every reasonable effort to give the emergency vehicle a clear path, such as pulling to the side and stopping.,b:Speed up to get out of its way without pulling over.,c:Stop in the travel lane and block passage.,d:Continue as normal because they will find another route.",a,Yield to emergency vehicles by pulling to the side and stopping if necessary to provide a clear path for them to pass.,easy
4,Safe & Defensive Driving Practices,Many crashes are caused by which of the following?,"a:Driving too fast for the conditions,b:Drivers consistently checking their mirrors,c:Drivers yielding the right-of-way",a,Traveling at speeds too high for the conditions reduces reaction time and increases crash likelihood; always adjust speed to conditions.,easy
2,Traffic Laws & Rules of the Road,When must you stop your vehicle?,"a:At stop signs, red lights, or when ordered by a traffic officer.,b:Only if another car is waiting at the intersection.,c:Only during rush hour.,d:If a pedestrian is nearby even without a crosswalk.",a,"You are required to stop at intersections with stop signs, at red lights, and whenever a traffic officer directs you to stop.",easy
2,Traffic Laws & Rules of the Road,"When you see a 'Merging traffic' sign on a multilane road, what should you do?","a:Make room for entering vehicles by changing lanes when safe.,b:Always stay at your current speed regardless of traffic.,c:Honk to warn merging drivers.,d:Stop immediately to let them in.",a,"On multilane roads, move over when safe to allow entering traffic to merge smoothly and avoid creating a bottleneck.",easy
6,"Alcohol, Drugs & Impaired Driving",How does alcohol affect driving performance?,"a:It slows reflexes and reaction time.,b:It improves focus and alertness.,c:It wakes you up and sharpens judgment.,d:It has no effect if you feel sober.",a,Alcohol is a depressant that slows brain activity and impairs the skills needed for safe driving.,easy
2,Traffic Laws & Rules of the Road,How should you approach an uncontrolled intersection?,"a:Yield to vehicles approaching from your right, slow down, cover the brake, and look in all directions,b:Maintain speed and proceed,c:Assume you have the right-of-way and go first",a,"At intersections with no signs or signals, yield to the vehicle on your right and be prepared to stop to avoid collisions.",medium
3,"Signs, Signals & Road Markings",What does a flashing yellow traffic light mean?,"a:Proceed with caution.,b:Merging traffic.,c:Pedestrian crossing.",a,A flashing yellow light means you should slow down and proceed with caution.,easy
4,Safe & Defensive Driving Practices,How does increasing your speed affect your field of vision?,"a:It decreases your field of vision making hazards harder to detect.,b:It increases your field of vision.,c:It makes it easier to see cross traffic.,d:It does not affect vision at all.",a,"As speed increases, your usable field of vision narrows, so you must be extra alert to hazards.",medium
5,Driving in Special Conditions,Which steps help you drive more safely at night?,"a:Increase following distance, avoid driving tired, and keep headlights working.,b:Use only your parking lights.,c:Drive faster to reduce exposure time.,d:Use high beams all the time. ",a,"Night driving reduces visibility; increase following distance, avoid driving when tired, and ensure headlights are functional.",medium
2,Traffic Laws & Rules of the Road,Which traffic signal gives you the right-of-way to turn left without yielding to oncoming traffic?,"a:A green arrow pointing left.,b:A solid green light.,c:A flashing yellow light.,d:A steady red light.",a,A steady green arrow indicates you may proceed in the direction of the arrow with oncoming traffic stopped for the turning movement.,easy
8,Special Situations & Road Users,Who must yield when a driver is turning and a pedestrian is crossing where there is no traffic light?,"a:Whoever started moving last.,b:The driver must yield to the pedestrian.,c:The pedestrian must yield to the turning vehicle.,d:The driver only if the pedestrian is in a marked crosswalk.",b,Drivers must yield to pedestrians crossing at intersections without traffic signals; pedestrians have the right-of-way in these situations.,easy
2,Traffic Laws & Rules of the Road,"When passing on a multilane highway, what must you ensure before moving into the passing lane?","a:The passing lane is clear and you have signaled your intention.,b:You can pass only on the right.,c:There is no one in the opposite lane.,d:Your passenger opens the door to signal intent.",a,"Before passing, confirm the lane is clear and signal to notify other drivers of your lane change.",easy
2,Traffic Laws & Rules of the Road,"At an unmarked T intersection, who must yield?","a:Traffic on the road that ends at the T must yield to through traffic.,b:All vehicles must stop and the first to stop has right-of-way.,c:Drivers on the right always have the right-of-way.,d:The larger vehicle always yields.",a,"At an unmarked T, vehicles on the road that ends must yield to traffic on the through road.",medium
2,Traffic Laws & Rules of the Road,A Reduced speed 35 mph sign means:,"a:The new 35 mph speed limit begins at the sign.,b:The reduced speed starts at the next sign only.,c:You have ample time to slow down after the sign.,d:The change is optional until enforced by a cop.",a,A posted reduced speed sign indicates that the new speed limit takes effect at the sign itself.,easy
4,Safe & Defensive Driving Practices,"When turning or changing lanes, what must you always do?","a:Signal your intentions in advance, even if no traffic is visible.,b:Signal only when other vehicles are present.,c:Signal only in daylight.,d:Signal only if traveling at high speed. ",a,Signaling before lane changes or turns is required by law and is a good safety habit.,easy
2,Traffic Laws & Rules of the Road,"If an intersection is blocked by traffic ahead, what should you do?","a:Stay out of the intersection until you can fully clear it.,b:Get as close as possible to the car ahead and wait.,c:Enter slowly and inch through the blockage.,d:Use the shoulder to get around the queued vehicles. ",a,Do not enter an intersection unless you can fully clear it; blocking intersections impedes traffic flow and is unsafe.,easy
6,"Alcohol, Drugs & Impaired Driving",Being awake for 18 hours impairs driving similarly to having what BAC?,"a:About 0.05 percent, similar to moderate intoxication.,b:0.00 percent — no impairment.,c:0.20 percent — extreme impairment.,d:No BAC equivalent exists. ",a,Fatigue impairs driving akin to alcohol; being awake 18 hours roughly equals a BAC of 0.05% impairment.,difficult
5,Driving in Special Conditions,"When you meet a car with high, blinding headlights, what is the best action?","a:Look toward the right edge of the road until the other car passes.,b:Flash your headlights to warn the other driver.,c:Use your high beams until they dim theirs.,d:Speed up to pass quickly.",a,"If an oncoming vehicle has its high beams on, avert your eyes toward the right side of the road so you are not blinded.",easy
4,Safe & Defensive Driving Practices,When should you drive below the posted speed limit?,"a:Whenever conditions such as wet roads, poor visibility, or anything else make driving unsafe.,b:Only when you see a police car.,c:Only when entering a busy highway.",a,"You must reduce speed below the posted limit when conditions (weather, visibility, road surface) make the posted speed unsafe.",easy
2,Traffic Laws & Rules of the Road,"When the center line is a solid yellow next to a broken yellow on your side, when may you pass?","a:Only in emergencies.,b:Only if you are on an expressway.,c:You may pass if the broken line is next to your lane and traffic is clear.",c,"If the broken yellow line is next to your lane, you may cross it to pass when there is no oncoming traffic and it is safe to do so.",easy
3,"Signs, Signals & Road Markings",What does a red-and-white triangular sign at an intersection indicate?,"a:Yield—slow and give the right-of-way to traffic or pedestrians in the intersection,b:Always come to a full stop,c:Slow down only if an emergency vehicle is approaching",a,A triangular red-and-white sign means yield: reduce speed and be prepared to stop to let others proceed first.,easy
4,Safe & Defensive Driving Practices,How can you avoid having to make emergency stops in traffic?,"a:Honk your horn frequently so others notice you.,b:Look ahead and maintain a safe following distance and scan for hazards.,c:Drive in the right lane only.,d:Follow the vehicle ahead very closely to anticipate stops.",b,Maintaining a safe following distance and scanning ahead allows you to react smoothly and avoid abrupt emergency stops.,easy
