section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,"When following a motorcycle, how much following distance should you allow on dry pavement?","a:Allow at least two seconds of following distance.,b:Allow at least two car lengths.,c:Allow at least four seconds of following distance.",c,On dry pavement allow at least four seconds of following distance behind a motorcycle to give ample reaction and braking time.,
8,Special Situations & Road Users,When are you NOT required to stop for a school bus displaying flashing red lights and an extended stop arm?,"a:If you are driving on the opposite side of a divided highway.,b:If you are behind the bus.,c:If you see no children present.",a,You must stop for a stopped school bus with flashing red lights unless you are on the opposite side of a divided highway.,difficult
6,"Alcohol, Drugs & Impaired Driving",Even small amounts of alcohol can do what to a driver?,"a:Improve driving confidence without affecting skill.,b:Have no noticeable effect until exceeding the legal limit.,c:Reduce concentration",c,Even modest alcohol consumption impairs mental and physical skills needed for safe driving.,
3,"Signs, Signals & Road Markings",When is it legal to cross solid yellow centerlines?,"a:To make a turn.,b:At any time.,c:To pass traffic moving in the same direction.",a,Solid yellow lines generally prohibit passing; crossing is permitted for making turns or as directed by signs.,
4,Safe & Defensive Driving Practices,"If another driver cuts you off in traffic, what is the best reaction?","a:Pull alongside and confront the driver.,b:Let it go and continue driving safely rather than reacting aggressively.,c:Flash your high beams repeatedly to scare them.",b,Avoid road rage by not taking it personally; maintain safety and continue driving calmly.,
3,"Signs, Signals & Road Markings",What is the purpose of highway pavement markings?,"a:Are only found in construction zones.,b:Provide information for drivers.,c:Are usually not important.",b,"Pavement markings convey information to drivers about lane positioning, passing zones, and upcoming conditions.",difficult
2,Traffic Laws & Rules of the Road,When should you signal before passing another vehicle?,"a:After you begin the lane change.,b:Only if another driver is following you closely.,c:Signal early enough before changing lanes to warn others.",c,Signal in advance of your lane change so other drivers are aware of your intention to pass.,difficult
8,Special Situations & Road Users,"If a transit vehicle is signaling to re-enter the roadway after a stop, you must:","a:Yield and allow it to reenter.,b:Move to the left lane.,c:Honk to let the driver know you are there.",a,"You must yield—by slowing, stopping, or changing lanes when safe—to allow buses to re-enter traffic after loading or unloading.",
8,Special Situations & Road Users,When are you allowed to go around a lowered or closing railroad crossing gate?,"a:When the train has passed.,b:When the lights have stopped flashing.,c:Under no circumstances.",c,Never attempt to go around a lowered gate or ignored flashing signals; do not cross until it is safe and legal to do so.,difficult
8,Special Situations & Road Users,How should you respond when approaching a stopped emergency vehicle with flashing lights on the roadside?,"a:Maintain your speed and lane as long as you don't cross the shoulder.,b:Drive to the right and stop immediately regardless of traffic.,c:Slow down and, if possible, change lanes away from the stopped vehicle; if a lane change is not safe, slow down and pass with extra space.",c,"When passing a stopped emergency, tow, or roadside assistance vehicle with flashing lights, move over a lane if possible; otherwise slow down and provide extra space.",difficult
