id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9878,Drivers trapped behind a slow-moving vehicle often:,,Follow the vehicle too closely.,Allow the vehicle plenty of space.,Are happy with the speed of travel.,,A,"It is common for drivers to tailgate slow-moving vehicles that cannot keep up with the speed of surrounding traffic. If you are being tailgated, allow the other driver to pass your vehicle."
9237,Rust around wheel nuts may mean:,,It rained recently.,The nuts are loose.,The nuts are too tight.,,B,It is important to inspect your tires before every drive. Rust around wheel nuts may indicate that they are loose.
9591,Mirrors should be checked:,,Before every lane change.,"When changing lanes, but only when other vehicles are nearby.","When changing lanes, but only if it is dark outside.",,A,Always check for traffic in your mirrors before changing lanes. Frequent mirror checks should be a part of your normal scanning routine.
8491,"To apply for a CDL, an applicant must be at least:",,15 years old.,18 years old.,21 years old.,,B,"In New York, you must be at least 18 years old to apply for a commercial driver license."
9430,"If you’re unfamiliar with the area in which you must back up, you should:",,Get out of your vehicle and walk around the area to become more familiar with it.,Not use both side mirrors because it can be distracting.,Wait for someone else to back up in the area so you can see how they do it.,,A,"Before backing up, you should get out of your vehicle and look at your line of travel. Check your clearance to the sides and overhead."
11894,A ____ allows a driver to gradually apply spring brakes.,,Modulating control valve,Trailer air supply control,Relay valve,,A,"A modulating control valve allows a driver to gradually apply spring brakes. In equipped vehicles, the valve is controlled by a lever located on the dashboard."
8609,Cargo should have one tie-down for every ____ of cargo.,,Five feet,10 feet,20 feet,,B,"Cargo should be restrained by at least one tie-down for every 10 feet of cargo. However, all cargo should have at least two tie-downs, no matter the size of the cargo."
8522,"When stopping a manual transmission vehicle, you should:",,Push the clutch in when the engine is close to idle.,Push the clutch out when the engine is close to idle.,Shift into neutral when the engine is close to idle.,,A,"When stopping, apply gradual pressure to the brake pedal and stop smoothly. If stopping a manual transmission vehicle, push the clutch in when the engine is close to idle."
9449,Poor weight balance:,,Improves handling.,Makes handling more difficult.,Increases a driver’s ability to steer.,,B,Poorly balanced loads can lead to unsafe handling. It is important to properly distribute the weight of cargo when loading a vehicle.
9245,One way to prevent hydroplaning on wet road surfaces is to:,,Ensure that your tires have good tread depth.,Under-inflate your tires.,Drive faster than usual.,,A,"When driving on a wet road surface, the risk of hydroplaning is increased if your tire pressure is too low or your tire tread is too worn. If you begin to hydroplane, release the accelerator and push in the clutch to slow down."
11377,Which of the following is the best advice for driving in fog?,,Try not to drive in fog.,Use your high beam headlights.,Turn off your lights.,,A,"Driving in fog is always dangerous and should be avoided entirely if at all possible. If you must drive in fog, be sure to turn on your low beam headlights and fog lights, even during the daytime."
8568,What should you do if your vehicle gets stuck on railroad tracks?,,Stay in the vehicle.,Get out of the vehicle and call for assistance.,Continue trying to get your vehicle off the tracks until you are successful.,,B,"If your CMV gets stuck on railroad tracks, you should immediately leave the vehicle and get away from the tracks. Check the signposts or signal housing at the crossing for emergency contact information and call 911, or another appropriate emergency number."
11707,"If the low pressure warning signal activates while you are driving, you should:",,Continue driving normally.,Exit the road and park as soon as safely possible.,Stop where you are and park.,,B,"If the low pressure warning signal activates while you are driving, it is important that you safely exit the roadway as soon as possible and park your vehicle. If the air pressure gets too low, the brakes will no longer work well enough for you to stop safely."
8523,"If you must drive in reverse, using driver's side backing:",,Is always encouraged.,Is discouraged.,Is only recommended if it is raining.,,A,"If you must back up, it is safest to back toward the driver's side of the vehicle. This way, as the driver, you will have the best possible view of your path of travel."
9573,Regrooved tires are:,,Allowed only on the front of a bus.,Allowed only on the rear of a bus.,Not allowed anywhere on a bus.,,B,"Regrooved, recapped, or retreaded tires are not permitted to be used on the front of a bus."
9890,What do air brakes use to make the brakes work?,,Compressed air,Outside air,Non-compressed air,,A,Many large CMVs are equipped with air brakes. An air braking system uses compressed air to operate.
11356,"As part of the vehicle inspection test, you will be asked to:",,Explain what you would inspect and why.,Replace an electrical fuse.,Unload the trailer.,,A,"During the vehicle inspection test, you will be required to do a complete inspection of your vehicle. During this inspection, you must explain to the examiner what you are inspecting and why you are inspecting those items."
9228,If you are disqualified from driving:,,Your employer will be notified by the state.,You must notify your employer within two business days.,You must notify your employer within a month.,,B,"You must notify your employer within two business days if your license is suspended, revoked, or canceled, or if you are otherwise disqualified from driving."
8590,"If there is a fire in your vehicle, you should not:",,"Park in an area away from buildings, trees, brush, and other vehicles.",Pull into a service station.,Notify emergency services of your problem and your location.,,B,"In the event of a vehicle fire, you should leave the road and stop in an open area. Do not pull into a service station as fuels at the service station could catch fire. Report the fire and your location to emergency services."
9441,Driving at night is:,,Safer than driving during the day.,Just as safe as driving during the day.,More dangerous than driving during the day.,,C,Driving at night is more dangerous than driving during the day because hazards become more difficult to see in the dark.
8572,"To avoid a hazard, you:",,Should always come to a complete stop.,May need to swerve your vehicle out of the way.,Should change lanes without looking.,,B,"Stopping is not always the best way to avoid a hazard. If there is not enough space for you to stop to avoid coming into contact with the hazard, swerving out of the way may be your safest option."
