Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
How close can you legally park to a fire hydrant?,5 feet,10 feet,15 feet,20 feet,C,Most states prohibit parking within 15 feet of a fire hydrant.
A red curb typically means:,Loading zone,Short-term parking,No stopping or parking,Disabled parking,C,Red curbs indicate no stopping, standing, or parking.
When parking uphill with a curb, your wheels should be turned:,Toward the curb,Away from the curb,Straight ahead,Does not matter,B,Wheels should turn away so the car rolls into the curb if it moves.
When parking downhill with a curb, your wheels should be turned:,Away from the curb,Toward the curb,Straight ahead,Does not matter,B,Wheels should turn toward the curb to prevent rolling into traffic.
A blue curb usually indicates:,No parking,Passenger loading,Disabled parking,Commercial parking,C,Blue curbs are reserved for disabled parking with proper placard.
Parking is usually prohibited:,In front of driveways,Next to sidewalks,Near your home,On residential streets,A,Parking in front of driveways blocks access and is illegal.
How far from an intersection can you typically park?,5 feet,10 feet,15 feet,20 feet,C,Most states require parking at least 15 feet from an intersection.
A white curb generally means:,No parking,Passenger loading only,Commercial loading only,Disabled parking,B,White curbs are for temporary passenger loading or unloading.
Parking on a sidewalk is:,Allowed briefly,Allowed with hazard lights,Illegal,Allowed at night,C,Parking on sidewalks is illegal in all states.
Parking in a disabled space without authorization may result in:,Warning only,Small fine,Large fine and penalties,Towing only,C,Unauthorized disabled parking carries significant fines and penalties.
