section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,At what age can a New Mexico teen apply for a learner's permit?,"a:14,b:14 and a half,c:15,d:16",c,"New Mexico allows teens to apply for a learner's permit at age 15. A parent or guardian must sign the application, and the permit allows supervised driving practice under New Mexico's GDL program.",medium
1,Traffic Laws & Rules of the Road,What is the passing score for the New Mexico MVD knowledge test?,"a:70% (18/25 correct),b:72% (18/25 correct),c:80% (20/25 correct),d:85% (21/25 correct)",b,"New Mexico requires a passing score of 72% on the 25-question knowledge test, which means you must answer at least 18 out of 25 questions correctly. This is a lower passing threshold than most states, which typically require 80%.",medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in New Mexico?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,New Mexico sets the per se DWI limit at 0.08% BAC for drivers 21 and older. Commercial drivers face a stricter 0.04% limit. Reaching 0.08% BAC is sufficient for a DWI charge regardless of apparent impairment. Note: New Mexico uses 'DWI' not 'DUI.',medium
1,Traffic Laws & Rules of the Road,New Mexico's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.00% — any detectable amount,b:0.02%,c:0.04%,d:0.08%",b,New Mexico's zero tolerance law sets the underage DWI threshold at 0.02% BAC for drivers under 21. Drivers under 21 found with a BAC of 0.02% or higher face automatic license revocation.,medium
1,Traffic Laws & Rules of the Road,You are driving in New Mexico and encounter a dust storm (haboob) that reduces visibility to near zero. What should you do?,"a:Turn on high beams and slow to 15 mph,b:Pull off the road completely, turn off lights, and wait for the storm to pass,c:Continue at reduced speed — dust storms pass quickly,d:Use your hazard lights and stop on the shoulder",b,"In a severe dust storm, pull completely off the paved road, turn off your headlights (so other drivers do not follow them into a stopped vehicle), set the parking brake, and wait for the storm to pass. This is critical in New Mexico's desert regions where haboobs can reduce visibility to zero.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit on a New Mexico rural highway when no speed limit sign is posted?,"a:55 mph,b:60 mph,c:65 mph,d:70 mph",a,"New Mexico's default speed limit on rural highways is 55 mph when no posted sign indicates otherwise. On divided four-lane highways, the default may be higher. Always check posted signs — New Mexico has some roads with limits up to 75 mph.",medium
1,Traffic Laws & Rules of the Road,"In New Mexico, when must you yield to a pedestrian?","a:Only at marked crosswalks with signals,b:At all crosswalks — marked and unmarked — and anytime a pedestrian is in your path,c:Only when a pedestrian is on the same side of the road as you,d:Only at intersections with traffic signals",b,"New Mexico requires drivers to yield to pedestrians at all crosswalks, both marked and unmarked, and any time a pedestrian is in the roadway. An unmarked crosswalk exists at every intersection — even without painted lines — where two public streets meet.",medium
1,Traffic Laws & Rules of the Road,What does New Mexico's Move Over law require when passing a stopped emergency vehicle on a highway?,"a:Move over only for police vehicles, not for tow trucks,b:Move one lane away from any stopped emergency or highway maintenance vehicle — or slow if lane change is unsafe,c:Stop completely behind the emergency vehicle,d:Maintain your lane — emergency vehicles have protective barriers",b,"New Mexico's Move Over law requires drivers to move one lane away from any stopped emergency, law enforcement, or highway maintenance vehicle with flashing lights. If moving is not safely possible, reduce speed to at least 20 mph below the posted speed limit.",medium
1,Traffic Laws & Rules of the Road,"On a New Mexico two-lane highway, you see a broken yellow center line on your side of the road. This means:","a:Passing is always prohibited,b:Passing is permitted when it is safe and the road ahead is clear,c:You must slow to 45 mph before passing,d:Passing is only permitted by the vehicle ahead, not you",b,"A broken (dashed) yellow line on your side of the center allows passing when you have adequate sight distance, no oncoming traffic, and can complete the pass safely. A solid yellow line on your side prohibits passing — never cross a solid line on your side.",medium
1,Traffic Laws & Rules of the Road,What must all drivers do when approaching a school bus with flashing red lights on an undivided New Mexico road?,"a:Stop only if driving behind the bus,b:All traffic in both directions must stop at least 10 feet from the bus,c:Slow to 15 mph and pass the bus carefully,d:Stop only if children are visible near the bus",b,New Mexico requires all traffic on an undivided road in both directions to stop when a school bus activates its flashing red lights and stop arm. Stop at least 10 feet from the bus and wait until the lights stop flashing and the arm retracts before proceeding.,medium
