chapter,section,sub-section,question,options,correct-answer,note
1,,,What should you do at a railroad crossing with flashing signals?,"a: Stop and look for a train.,b: Slow down and look for a train.,c: Look for a train and speed up.",a,Stop no closer than 15 feet from the nearest rail when signals indicate an approaching train to ensure safety.
1,,,Which commonly causes traffic accidents?,"a: Inattentive driving.,b: Excessive speed for conditions.,c: Following too closely.",c,"Inattentive driving, excessive speed, and tailgating are major causes of accidents, especially rear-end collisions."
1,,,What must you do on a narrow road with an oncoming vehicle?,"a: Pull completely off the road.,b: Allow the oncoming vehicle half the road.,c: Demand the other vehicle pull over.",b,"On narrow roads, provide at least half the main-traveled road to oncoming vehicles to ensure safe passing."
1,,,The most common cause of traffic crashes is:,"a: New drivers, b: Human error, c: Bad weather",b,"Human error, such as inattention or misjudgment, is the primary cause of most traffic crashes."
1,,,Highway markings:,"a: Are usually unimportant, b: Are only in construction zones, c: Provide information for drivers",c,"Highway markings guide drivers by indicating lane positions, safe passing zones, and upcoming road conditions."
1,,,Drivers who eat or drink while driving:,"a: Make no errors, b: Struggle to drive slowly, c: Are better drivers because they’re not hungry",c,"Eating or drinking while driving distracts from the road, leading to difficulty maintaining lane control and vehicle handling."
1,,,A 'No standing' sign at a specific location indicates:,"a: No stopping allowed at any time, b: Parking is permitted if the driver stays in the vehicle, c: Brief stops are allowed to pick up or drop off passengers",c,"A 'No standing' sign permits temporary stops solely for loading or unloading passengers, prohibiting prolonged parking or waiting."
1,,,What should you do if your accelerator sticks open while driving?,"a: Honk your horn.,b: Slam on your brakes.,c: Turn on your four-way flashers.",c,"Turn off the ignition carefully, apply brakes, and move to a safe area if your accelerator sticks to prevent uncontrolled acceleration."
1,,,Your body eliminates approximately:,"a: Three alcoholic drinks per hour, b: One alcoholic drink per hour, c: Two alcoholic drinks per hour",b,"The body typically processes about one alcoholic drink per hour, though this varies by individual factors."
1,,,Drivers should maintain a following distance of at least ____ seconds behind a motorcycle.,"a: Four to six, b: Two, c: Ten",a,"A four-to-six-second following distance behind a motorcycle allows time to react to sudden stops or maneuvers, reducing collision risk."
1,,,"When parking downhill on a two-way street, what should you do?","a: Turn wheels to the right.,b: Turn wheels to the left.,c: Keep wheels straight.",a,Turn wheels toward the curb when parking downhill to direct the vehicle away from traffic if it rolls.
1,,,How can you check your blind spots when changing lanes?,"a: Use the inside rearview mirror.,b: Use the outside rearview mirror.,c: Use both rearview mirrors.",c,"Turn your head to check blind spots directly, as mirrors alone may not reveal vehicles in those areas."
1,,,What should you do if your wheels slip off the road’s edge?,"a: Jerk the wheel back onto the pavement.,b: Speed up and steer back gradually.,c: Slow down and ease back onto the pavement.",c,"Slow down, steer parallel to the road, and gently ease back onto the pavement to avoid losing control."
1,,,"As your speed increases, your field of vision:","a: Expands, b: Narrows, c: Remains unchanged",b,"Higher speeds reduce your field of vision, limiting your ability to detect hazards, requiring greater caution."
1,,,What does a steady yellow X lane control signal above a reversible lane mean?,"a: The signal will soon change to a red X.,b: The signal will soon change to a green arrow.,c: Drivers can continue in this lane.",a,"A steady yellow X signals that drivers should vacate the lane, as it is about to transition to a red X, indicating the lane will close, typically used in reversible lane systems."
1,,,What type of line allows passing another vehicle?,"a: Broken white.,b: Double solid yellow.,c: Solid yellow.",a,Broken white lines separate same-direction traffic and allow passing when the passing lane is clear.
1,,,What should you do at an intersection with a green light and pedestrians crossing against the red?,"a: Honk your horn.,b: Speed up to pass the pedestrians.,c: Stop to let pedestrians cross safely.",c,"Yield to pedestrians caught in the intersection, even if crossing against the light, to ensure their safety."
1,,,Fines for traffic violations in construction and maintenance zones are:,"a: Reduced, b: Doubled, c: Eliminated",b,"Fines are doubled in construction zones when workers and warning signs are present, emphasizing the need for caution."
1,,,When must you stop at a railroad crossing?,"a: If a stop sign is posted.,b: If a gate is lowered.,c: If crossing lights are flashing.",c,"Stop if red lights are flashing, a gate is lowered, a stop sign is posted, a flagger signals, or a train is approaching."
1,,,What is a 'No zone'?,"a: A no-passing zone.,b: A one-way traffic area.,c: The blind spot of a large vehicle.",c,"'No zones' refer to the blind spots around large vehicles like trucks, where smaller vehicles should avoid lingering to prevent collisions."
1,,,"Before entering a roundabout, you must slow down and yield to:","a: Vehicles in the roundabout, b: Bicyclists in the roundabout, c: Pedestrians in the roundabout, d: All of the above",d,"Roundabouts require yielding to all traffic already within, including vehicles, bicyclists, and pedestrians, to avoid collisions."
1,,,"Before entering a roundabout, you must slow down and yield to:","a: Vehicles in the roundabout, b: Bicyclists in the roundabout, c: Pedestrians in the roundabout, d: All of the above",d,"Roundabouts require yielding to all traffic already within, including vehicles, bicyclists, and pedestrians, to avoid collisions."
1,,,Anything that causes you to ____ can lead to a crash.,"a: Take your eyes off the road, b: Remove your hands from the wheel, c: Divert your attention from driving, d: All of the above",d,"Distractions that take your eyes, hands, or focus away from driving significantly increase the likelihood of a crash."
1,,,Defensive drivers should:,"a: Keep their eyes moving, b: Look for potential trouble spots, c: Have action plans, d: All of the above",d,"Defensive driving involves constant awareness, scanning for hazards, and preparing action plans to avoid crashes."
1,,,What is the most common cause of traffic crashes?,"a: New drivers.,b: Human error.,c: Bad weather.",b,"Human error, such as not seeing another vehicle or making unexpected moves, is the leading cause of traffic crashes."
1,,,An End school zone sign indicates:,"a: A 20 mph speed limit, b: The start of a reduced speed zone, c: A higher likelihood of pedestrians",c,"An 'End school zone' sign marks the end of a reduced speed area, but drivers should remain vigilant for pedestrians, especially children."
1,,,Alcohol consumption causes:,"a: Reduced concentration, b: Impaired coordination, c: Slower decision-making, d: All of the above",d,"Even small amounts of alcohol impair concentration, coordination, and judgment, significantly reducing a driver’s ability to operate a vehicle safely."
1,,,Which qualities does alcohol consumption negatively affect?,"a: Judgment.,b: Reasoning ability.,c: Vision.",c,"Alcohol impairs judgment, reasoning, vision, reaction time, and concentration, quickly affecting driving ability after consumption."
1,,,"What should you do if the driver ahead is distracted, driving with one hand, and talking to a passenger?","a: Give them extra space.,b: Recognize their reduced safety margin.,c: Avoid copying their behavior.",c,"Allow extra space for a distracted driver, recognize their increased crash risk, and avoid mimicking their inattentiveness."
1,,,Blood alcohol content (BAC is influenced by all except:,"a: Body weight, b: Amount of alcohol consumed, c: Time between drinks",c,"BAC is determined by alcohol consumed, time between drinks, and body weight, not by beverage type or physical fitness."
2,,,"If another driver cuts you off in traffic, you should:","a: Pull beside them and yell, b: Let it go, c: Flash your high beams",b,"Ignoring a driver who cuts you off avoids road rage and maintains safety, preventing dangerous escalations."
2,,,"To reduce the risk of hydroplaning, you should:","a: Avoid speeding on wet roads, b: Use properly inflated tires, c: Replace worn tires, d: All of the above",d,"Hydroplaning risks are reduced by driving slower on wet roads, maintaining proper tire pressure, and replacing tires with adequate tread."
2,,,"When parallel parking between two cars, what should you do first?","a: Turn wheels to the left.,b: Turn wheels to the right.,c: Pull up even with the car in front.",c,"Stop parallel to the car ahead of your desired parking space, check traffic, and signal before beginning the parking maneuver."
2,,,"If involved in an accident, a driver should:","a: Stop at or near the scene, b: Avoid standing in traffic lanes, c: Turn off the ignition of wrecked vehicles, d: All of the above",d,"Stopping safely, staying out of traffic, and turning off ignitions prevent further accidents and ensure safety at the scene."
2,,,Drinking alcohol and driving is:,"a: A minor safety issue, b: A serious safety issue, c: Safe with minimal drinks",b,"Driving under the influence is a major safety hazard, impairing critical driving skills and endangering everyone on the road."
2,,,"How close may you not pass within to a bridge, viaduct, or tunnel?","a: 200 feet.,b: 100 feet.,c: 500 feet.",b,"Do not pass within 100 feet of a bridge, viaduct, or tunnel to ensure safe and legal passing."
2,,,How can you avoid alcohol-related crash risks?,"a: Decide not to drive before drinking.,b: Say, 'No thanks, I’m driving.'.,c: Call a taxi.",c,"Decide not to drive before drinking, refuse drinks if driving, or arrange alternative transportation to avoid impaired driving."
2,,,What must you do on a narrow road with an oncoming vehicle?,"a: Pull completely off the road.,b: Allow the oncoming vehicle half the road.,c: Demand the other vehicle pull over.",b,"On narrow roads, provide at least half the main-traveled road to oncoming vehicles to ensure safe passing."
2,,,What speed must you not exceed?,"a: The maximum speed limit.,b: A speed faster than reasonable.,c: A speed safe for conditions.",c,"Drive at a speed appropriate for traffic, pedestrian presence, weather, road quality, and light conditions, within legal limits."
2,,,Where should you stop at an intersection with no stop line or crosswalk?,"a: No stop is required.,b: Slow down to check for traffic.,c: Stop where you can see 200 feet on either side.",a,"If no stop line or crosswalk exists, stop at the point nearest the intersection where you can see approaching traffic without entering the roadway."
2,,,A flashing red traffic signal is equivalent to:,"a: A slow sign, b: A yield sign, c: A stop sign",c,"A flashing red signal mandates a full stop, like a stop sign, requiring drivers to yield to other traffic before proceeding."
2,,,What should you do at a steady yellow traffic light?,"a: Speed up to avoid stopping.,b: Continue as you have the right-of-way.,c: Slow to a stop unless already in the intersection.",c,"A steady yellow light signals an impending red light, so drivers should stop unless they are too close to the intersection to stop safely."
2,,,A red arrow on a traffic light indicates:,"a: Proceed slowly through the intersection, b: Stop and proceed when clear, c: Stop until a green light or arrow appears",c,"A red arrow requires a full stop, and drivers must wait until a green light or arrow appears before proceeding, unless otherwise posted."
2,,,"When a road has a solid yellow line and a broken yellow line, with the broken line next to your lane, you may pass:","a: Only in an emergency, b: If on an expressway, c: If traffic is clear",c,"A broken yellow line on your side allows passing if the road is clear of oncoming traffic, ensuring safe overtaking."
2,,,A 'No standing' sign at a specific location indicates:,"a: No stopping allowed at any time, b: Parking is permitted if the driver stays in the vehicle, c: Brief stops are allowed to pick up or drop off passengers",c,"A 'No standing' sign permits temporary stops solely for loading or unloading passengers, prohibiting prolonged parking or waiting."
2,,,"At a light rail intersection, you should always:","a: Look both ways before crossing tracks, b: Obey all traffic signals, c: Share the road with pedestrians and bicyclists, d: All of the above",d,"Light rail intersections require checking for trains, obeying signals, and yielding to pedestrians and cyclists to ensure safety."
2,,,Work zone signs indicate:,"a: It’s summer, b: Stop and back up, c: Less than ideal driving conditions",c,"Orange work zone signs signal road work, requiring extra caution due to potential hazards like workers or equipment."
2,,,"When seeing a vehicle entering your lane from a freeway ramp, you should:","a: Maintain speed and position, b: Honk to alert them, c: Ignore them as you have priority",a,"Maintain speed and position but, if possible, change lanes or adjust speed to allow safe merging for the entering vehicle."
2,,,What should you do if involved in a collision?,"a: Move the injured far from the road.,b: Avoid moving the injured unless necessary.,c: Insist the injured are fine without medical help.",b,"Avoid moving injured persons unless absolutely necessary to prevent worsening injuries, keeping them stable until help arrives."
2,,,"If a crossing guard is directing traffic in a school zone, you must:","a: Follow the guard’s directions, b: Follow surrounding traffic despite the guard, c: Assume the guard shouldn’t direct traffic",a,"Crossing guards in school zones have authority to direct traffic, and drivers must follow their instructions for safety."
2,,,What do work zone signs indicate?,"a: It’s summer.,b: Stop and back up immediately.,c: Less than ideal driving conditions.",c,"Orange work zone signs signal road work, requiring extra caution due to workers, equipment, or road changes."
2,,,What should you do when passing other vehicles?,"a: Check mirrors and blind spots.,b: Honk three times.,c: Re-enter within 10 feet of the passed vehicle.",a,"Check mirrors and blind spots, signal, and re-enter your lane only when you see the passed vehicle’s front in your rearview mirror."
2,,,What should you do at a steady green traffic light?,"a: Proceed unless vehicles or pedestrians are in the intersection.,b: Stop if a police officer is nearby.,c: Treat it as a four-way stop.",a,"At a steady green light, proceed but yield to any vehicles or pedestrians still in the intersection to avoid collisions."
2,,,"When parking downhill on a two-way street, what should you do?","a: Turn wheels to the right.,b: Turn wheels to the left.,c: Keep wheels straight.",a,Turn wheels toward the curb when parking downhill to direct the vehicle away from traffic if it rolls.
2,,,What should you do when passing a recently parked vehicle?,"a: Assume the driver may open the door.,b: Speed up.,c: Brake hard.",a,"Assume the driver of a parked vehicle may open their door, requiring extra caution to avoid collisions."
2,,,What should you do when approaching a flashing yellow light?,"a: Speed up to clear the intersection.,b: Stop completely.,c: Turn on your headlights.",a,"A flashing yellow light signals a hazard, requiring drivers to slow down and proceed cautiously through the intersection."
2,,,"When stopped on an incline, you should:","a: Leave extra space in front of your vehicle, b: Stop at an intersection, c: Stop at a stop sign",a,Extra space in front of your vehicle on an incline prevents collisions if the vehicle ahead rolls backward when traffic resumes.
2,,,What should you do if your vehicle’s right wheels leave the pavement?,"a: Stop abruptly.,b: Pull fully off the road and return when safe.,c: Accelerate and steer back quickly.",b,"If your wheels leave the pavement, slow down, steer parallel to the road, and ease back onto the pavement when safe to avoid losing control."
2,,,What does a steady green arrow at a traffic signal mean?,"a: Merge into the arrow’s lane.,b: Slow to a stop if safe.,c: Turn in the arrow’s direction after yielding.",c,"A steady green arrow permits turns in the indicated direction, but drivers must yield to traffic and pedestrians already in the intersection."
2,,,What ensures safety when backing a vehicle?,"a: Honk before shifting to reverse.,b: Check behind the vehicle before entering.,c: Check rearview mirrors.",b,"Walk behind the vehicle to check for children or objects before backing, as mirrors alone may not suffice."
