Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Escrow","Bilateral Contract","Exclusive Right-to-Sell","Estate for Years","B","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Escrow","Exclusive Right-to-Sell","Estate for Years","Acceptance","A","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Acceptance","Estate for Years","Exclusive Right-to-Sell","Accord","B","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Accord","Acceptance","Accord And Satisfaction","Exclusive Right-to-Sell","D","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accord","Accounts Payable","Accord And Satisfaction","Acceptance","D","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Addendum","Accounts Payable","Accord And Satisfaction","Accord","D","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Accord And Satisfaction","Addendum","Accounts Payable","Additional Deposit","A","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Additional Deposit","Accounts Payable","Adjusted Mortgage","Addendum","B","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Additional Deposit","Adjusted Mortgage","Addendum","Administrator's Deed","C","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Adult","Additional Deposit","Administrator's Deed","Adjusted Mortgage","B","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
