section-num,section-name,question,options,correct-answer,note
3,In Shape to Drive,How does alcohol affect your ability to drive?,"a: Even a tiny amount of alcohol can impair concentration, perception, judgment, and memory.,b: Only a blood alcohol level above the legal limit impacts driving ability.,c: Alcohol has no effect on driving skills.",c,"Even a small quantity of alcohol will diminish your concentration, perception, judgment, and memory, impacting your driving skills negatively. No one can drive safely after consuming alcohol."
2,Safe Driving Tips,What causes highway hypnosis while driving?,"a: Taking frequent breaks during a trip.,b: Gazing at the road for extended periods.,c: Getting too much sleep before a journey.",b,"Highway hypnosis occurs when drivers fixate on the road ahead for long periods, failing to actively scan their surroundings. This can cause zoning out, increasing the risk of crashing into slowing or stopped traffic."
1,Rules of the Road,What does a No Standing sign indicate?,"a: You can park if the driver stays in the vehicle.,b: Stopping is never permitted at this location.,c: You may briefly stop to pick up or drop off passengers.",c,A No Standing sign allows only temporary stops to load or unload passengers.
1,Rules of the Road,What does a No Stopping sign mean unless directed by a police officer?,"a: You can stop only to avoid other traffic.,b: You may stop to unload packages.,c: You can stop only to let passengers out.",a,"A No Stopping sign permits stopping only to obey a traffic signal, a police officer, or to avoid a collision with another vehicle."
1,Rules of the Road,What happens if a bicyclist disobeys traffic laws?,"a: They can be issued a ticket.,b: They are exempt because traffic laws don’t apply to bicyclists.,c: They will only get a warning from law enforcement.",a,Bicyclists have the same rights and responsibilities as motor vehicle drivers. Violating traffic laws can result in a ticket for both.
1,Rules of the Road,What does a broken yellow line next to a solid yellow line signify?,"a: Passing is allowed from the lane adjacent to the broken line.,b: Passing is permitted from either direction.,c: Passing is allowed from the lane next to the solid line.",a,A broken yellow line beside a solid yellow line indicates that passing is permitted only from the lane next to the broken line.
1,Rules of the Road,At what age must a child ride in the back seat of a vehicle?,"a: Under 14.,b: Under 15.,c: Under 16.",a,"Washington’s Child Restraint Law mandates that children under 13 must ride in the back seat to reduce the risk of injury in crashes, which are the leading cause of death for young children."
1,Rules of the Road,What does a diamond-shaped sign represent?,"a: A school crossing sign.,b: An interstate route sign.,c: A road hazard warning sign.",c,"Diamond-shaped, typically yellow signs warn of hazardous locations or areas with special rules, with orange used in work zones."
1,Rules of the Road,What does a double solid yellow line in the center of a two-lane road mean?,"a:Lanes move in the same direction,b:Lanes move in opposite directions,c:You lanes move in opposite directions",c,Double solid yellow lines indicate that traffic moves in opposite directions and passing is not allowed.
3,In Shape to Drive,What is the minimum THC level a driver over 21 may not have per milliliter of blood?,"a: One nanogram.,b: Zero nanograms.,c: Three nanograms.",b,Drivers aged 21 or older may not drive with a THC level of five nanograms or more per milliliter of blood. Those under 21 may not have any detectable THC. Marijuana use while driving is highly dangerous.
1,Rules of the Road,What must a driver do when approaching a flashing red traffic signal?,"a: Merge to the right.,b: Slow down without stopping.,c: Stop and proceed when safe.",c,"A flashing red light requires a full stop, yielding to traffic and pedestrians, and proceeding only when safe. At railroad crossings, it signals an approaching train."
1,Rules of the Road,"When entering interstate traffic from an entrance ramp, a driver should:","a: Force their way into traffic.,b: Yield to vehicles already on the interstate.,c: Claim the right-of-way.",b,Drivers entering an interstate from an entrance or acceleration ramp must yield to vehicles already on the highway and merge safely.
1,Rules of the Road,"When entering public traffic from a driveway or private road, a driver should:","a: Force their way into traffic.,b: Yield to vehicles on the public road.,c: Assume the right-of-way.",b,Drivers entering public roads from driveways or private roads must yield to vehicles already on the public road and merge safely.
2,Safe Driving Tips,"Why should drivers be extra cautious around motorcyclists, bicyclists, and pedestrians?","a: They follow different traffic laws than larger vehicles.,b: They are harder to spot in traffic.,c: They always have the right-of-way.",b,"Motorcyclists, bicyclists, and pedestrians are less visible in traffic due to their smaller size, faster movement, and less noticeable lighting, requiring drivers to be extra vigilant."
3,In Shape to Drive,What should a driver do before taking a non-prescription drug?,"a: Drink alcohol instead.,b: Check the drug’s label for warnings before driving.,c: Drive regardless of any warnings.",b,Non-prescription drugs can impair driving ability. Drivers should check labels for warnings and consult a doctor or pharmacist if unsure about driving while on the medication.
3,In Shape to Drive,What is the minimum license suspension for a first DUI conviction if a breath test is refused?,"a: 90 days.,b: 30 days.,c: One year.",c,"For a first DUI arrest within seven years, refusing a breath test results in a one-year license revocation, while a conviction without refusal leads to a 90-day suspension."
1,Rules of the Road,A flashing red traffic signal is equivalent to:,"a: A yield sign.,b: A stop sign.,c: A slow sign.",b,A flashing red signal requires the same action as a stop sign: a complete stop and yielding to traffic that does not have to stop.
2,Safe Driving Tips,What defines a good defensive driver?,"a: Always drives at a constant speed.,b: Anticipates other drivers’ actions.,c: Drives slowly at all times.",b,A defensive driver actively watches for other drivers’ actions and anticipates potential issues to avoid collisions.
3,In Shape to Drive,How can a leaking exhaust system affect you?,"a: Cause excessive oil consumption.,b: Make you drowsy while driving.,c: Require an earlier vehicle tune-up.",b,"A leaky exhaust system can release toxic fumes, causing drowsiness or even death in a short time."
3,In Shape to Drive,Why is a leaky exhaust system dangerous?,"a: It causes hearing loss.,b: It leads to carbon monoxide poisoning.,c: It causes pollution.",b,"A leaky exhaust system can allow carbon monoxide to enter the vehicle, posing a risk of poisoning, which requires immediate repair."
2,Safe Driving Tips,"When a pedestrian crosses in front of your vehicle, you should:","a: Speed up to pass them.,b: Flash your lights.,c: Slow down.",c,"Drivers must slow down and be prepared to stop when pedestrians are crossing, especially near children, and always yield to those in crosswalks."
1,Rules of the Road,A person using a white cane or guide dog is likely:,"a: Conducting a traffic study.,b: Blind.,c: Deaf.",b,"Drivers must yield to pedestrians using a white cane or guide dog, as they are likely blind."
