section-num,section-name,question,options,correct-answer,note,difficulty
1,Rules of the Road,What happens if a bicyclist disobeys traffic laws?,"a: They can be issued a ticket.,b: They are exempt because traffic laws don’t apply to bicyclists.,c: They will only get a warning from law enforcement.",a,"Bicyclists generally must follow the same traffic laws as drivers, including obeying signals, signs, and right-of-way rules. If a bicyclist breaks these laws, they can receive a traffic ticket just like a motor vehicle driver.",
1,Rules of the Road,What is a speed limit?,"a: The suggested speed under ideal conditions.,b: The legal maximum or minimum speed under ideal conditions.,c: The legal maximum or minimum speed under dangerous conditions.",b,"A speed limit is the maximum (and sometimes minimum) legal speed allowed on a road under ideal conditions. You must still slow down below the posted limit when conditions are less than ideal, such as in bad weather, heavy traffic, school zones, or work zones.",
1,Rules of the Road,Who has the right-of-way at a four-way stop if two drivers arrive simultaneously?,"a: The driver on the left.,b: The driver on the right.,c: Neither driver needs to stop.",b,"At a four-way stop, all drivers must come to a complete stop. If two vehicles arrive at the same time, the driver on the right has the right-of-way and should proceed first. The driver on the left must yield. If arrival times are different, the vehicle that stopped first goes first, regardless of side.",
1,Rules of the Road,What does a regulatory sign with a red circle and slash indicate?,"a: Drivers must stop completely.,b: An action is prohibited.,c: Some drivers must yield.",b,"A red circle with a diagonal slash over a symbol means that the action shown is not allowed. For example, a right-turn arrow with a red circle and slash means no right turn at that location.",difficult
1,Rules of the Road,At what age must a child ride in the back seat of a vehicle?,"a: Under 13.,b: Under 14.,c: Under 16.",a,"In Washington State, children under 13 years old must ride in the back seat when practical because it is safer in a crash, especially with airbags in the front. The law is under 13, not under 14, 15, or 16. Keeping younger passengers in the rear seat greatly reduces the risk of serious injury.",difficult
1,Rules of the Road,When may you cross a dashed white line?,"a: At any time.,b: Only during daylight hours.,c: When safe to change lanes.",c,"Dashed white lines separate lanes of traffic moving in the same direction. You may cross a dashed white line to change lanes or pass when it is safe and legal to do so, after checking mirrors and blind spots and signaling your intention.",
1,Rules of the Road,What happens if a green arrow changes to a solid green light?,"a: You may still turn but must yield to oncoming traffic.,b: You must proceed straight and cannot turn.,c: You retain the right-of-way to turn.",a,"A green arrow gives you a protected turn with the right-of-way. When it changes to a solid green light, you may still turn in that direction, but it is no longer protected. You must yield to oncoming traffic, cyclists, and pedestrians before turning.",
1,Rules of the Road,What must a driver do when dealing with pedestrians?,"a: Make sure pedestrians see your vehicle.,b: Always yield and do whatever is necessary to avoid hitting pedestrians, even if they are not following the rules.,c: Yield only when pedestrians have the right-of-way.",b,"Drivers must use extreme care around pedestrians. You must yield to pedestrians in crosswalks and always do whatever is necessary to avoid hitting a pedestrian, even if the pedestrian is crossing incorrectly or does not have the right-of-way.",difficult
1,Rules of the Road,What must you do when meeting an oncoming vehicle on a narrow road?,"a: Pull completely off the road.,b: Allow the oncoming vehicle half the road.,c: Demand they pull over.",b,"On a narrow road, you must share the roadway so that each vehicle has enough space to pass safely. Slow down if needed and keep as far to the right as is safe, allowing the oncoming vehicle at least half of the main-traveled portion of the road. Never force the other driver off the road or insist they yield all the space.",
1,Rules of the Road,What does an arrow painted on the pavement mean?,"a: Drivers in that lane must stop before following the arrow.,b: Drivers in that lane may follow the arrow if they choose.,c: Drivers in that lane must follow the arrow’s direction.",c,"Arrows painted on the pavement show which direction traffic in that lane must go, such as straight, left turn, or right turn. When you are in a lane with a directional arrow, you are required to follow that direction unless a traffic sign or signal clearly allows something different.",
1,Rules of the Road,What does a red and white triangular sign at an intersection indicate?,"a: Always stop completely.,b: Slow down if an emergency vehicle is approaching.,c: Slow down and yield to traffic or pedestrians.",c,"A red and white triangular sign is a yield sign. You must slow down, be ready to stop, and yield the right-of-way to traffic and pedestrians already in or approaching the intersection. Stop if needed to avoid interfering with other road users.",
1,Rules of the Road,What do speed limit signs indicate?,"a: Suggested speeds for the area.,b: Maximum or minimum legal speed.,c: Speed for heavy traffic.",b,"Speed limit signs show the maximum or sometimes minimum legal speed under ideal conditions. You must slow down below the posted limit when road, traffic, or weather conditions make the posted speed unsafe.",
1,Rules of the Road,Where should your car be positioned to make a right turn?,"a: Near the center of the street.,b: Close to the left side.,c: Close to the right side.",c,"To make a right turn safely, you should position your vehicle as close as practicable to the right-hand curb or edge of the roadway. This helps prevent you from swinging wide into another lane and keeps you predictable to other drivers, cyclists, and pedestrians.",
