section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,What is the default speed limit on most urban streets in South Carolina when no speed limit is posted?,"a:25 mph,b:30 mph,c:35 mph,d:40 mph",b,South Carolina sets the default speed limit in urban and business districts at 30 mph when no other limit is posted. Always look for posted signs since specific roads may have different limits.,medium
1,Traffic Laws & Rules of the Road,"Under South Carolina's GDL program, at what age can a teenager apply for a beginner's permit?","a:14,b:15,c:16,d:15 and a half",b,"In South Carolina, teens can apply for a beginner's permit at age 15. They must hold the permit for at least 1 year (180 days minimum practice) and meet supervised driving requirements before obtaining a restricted license.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit in most South Carolina school zones?,"a:15 mph,b:20 mph,c:25 mph,d:30 mph",c,South Carolina school zones have a speed limit of 25 mph when children are present or warning lights are active. Always reduce speed well before entering a school zone and watch for pedestrians near the road.,medium
1,Traffic Laws & Rules of the Road,"In South Carolina, what term is used for the offense of driving while impaired by alcohol?","a:DWI (Driving While Intoxicated),b:DUI (Driving Under the Influence),c:OWI (Operating While Intoxicated),d:DUII (Driving Under the Influence of Intoxicants)",b,South Carolina uses the term DUI (Driving Under the Influence) — not DWI. This is state-specific terminology and is directly tested on the SCDMV knowledge exam. The legal BAC threshold is 0.08% for drivers 21 and older.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in South Carolina?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"A BAC of 0.08% or higher is per se illegal for drivers 21 and older in South Carolina. Commercial drivers face a stricter 0.04% limit. At or above 0.08%, the BAC level alone establishes impairment regardless of how the driver appears.",medium
1,Traffic Laws & Rules of the Road,"Under South Carolina's zero tolerance law, what BAC level is illegal for a driver under 21?","a:Any measurable amount — 0.00%,b:0.02%,c:0.04%,d:0.08%",b,"South Carolina's zero tolerance law sets the illegal threshold for drivers under 21 at 0.02% BAC. A driver under 21 with a BAC of 0.02% or higher faces DUI charges and license suspension, even if they do not appear visibly impaired.",medium
1,Traffic Laws & Rules of the Road,South Carolina's seatbelt law for front-seat occupants uses which enforcement type?,"a:Secondary enforcement — officers must have another reason to stop the vehicle,b:Primary enforcement — officers can stop a vehicle solely for a seatbelt violation,c:Enforcement only for drivers, not passengers,d:No enforcement — seatbelts are recommended but not required",b,"South Carolina uses primary enforcement for front-seat occupants, meaning an officer can stop a vehicle solely for a front-seat seatbelt violation. Back-seat passengers are covered by secondary enforcement. All occupants are required to wear seatbelts.",medium
1,Traffic Laws & Rules of the Road,How long must a South Carolina teen hold a beginner's permit before applying for a restricted license?,"a:6 months,b:180 days (approximately 6 months),c:1 full year,d:90 days",b,South Carolina requires teens under 18 to hold their beginner's permit for at least 180 days (approximately 6 months) before they can take the road test for a driver's license.,medium
1,Traffic Laws & Rules of the Road,"Under South Carolina's Move Over law, what must you do when approaching a stopped vehicle with flashing lights on the side of the road?","a:Move over only for law enforcement vehicles,b:Slow to 25 mph regardless of posted limit,c:Move one lane away if safe, or slow to a safe speed if a lane change isn't possible,d:Activate your hazard flashers and maintain speed",c,"South Carolina's Move Over law requires drivers to move one lane away from any stopped emergency, law enforcement, towing, or highway utility vehicle with flashing lights. If moving over is not safely possible, slow to a safe and reasonable speed.",medium
1,Traffic Laws & Rules of the Road,What is the speed limit on most South Carolina rural two-lane roads when no sign is posted?,"a:45 mph,b:50 mph,c:55 mph,d:60 mph",c,"The default speed limit on most South Carolina rural roads is 55 mph when no other limit is posted. Interstate highways have a higher default of 70 mph. Always check for posted signs, especially in areas with frequent intersections or pedestrian activity.",medium
1,Traffic Laws & Rules of the Road,"Under South Carolina's implied consent law, a driver suspected of DUI who refuses a chemical test will face:","a:No penalty — the refusal cannot be used against them,b:A 6-month license suspension for a first offense,c:Only a fine, not a license suspension,d:The same penalties as an actual DUI conviction",b,South Carolina's implied consent law means drivers have agreed to submit to chemical testing by driving on state roads. A first-offense refusal triggers a 6-month license suspension. The refusal can also be mentioned in court proceedings.,medium
1,Traffic Laws & Rules of the Road,Texting while driving in South Carolina is:,"a:Legal unless you are under 18,b:Legal for drivers over 21 only,c:Prohibited for all drivers at all times,d:Legal only when the vehicle is stopped at a traffic signal",c,"South Carolina prohibits texting while driving for all drivers of any age. Reading, composing, or sending a text message while operating a vehicle is illegal statewide. Violating this law is a primary offense — officers can stop you for it directly.",medium
1,Traffic Laws & Rules of the Road,What must you do before turning right on a red light in South Carolina?,"a:Slow to 10 mph, then proceed,b:Signal, then proceed without stopping if no traffic is coming,c:Come to a complete stop, yield to all traffic and pedestrians, then proceed if clear,d:Wait for the light to turn green",c,Right turns on red are permitted in South Carolina after a complete stop and yielding to all pedestrians and cross traffic. A 'No Turn on Red' sign overrides this rule. Never make the turn until you have verified the intersection is fully clear.,medium
1,Traffic Laws & Rules of the Road,You are driving and a school bus ahead activates its flashing red lights and extends its stop arm. You are in the lane directly behind the bus. What must you do?,"a:Pass carefully on the left if no children are visible,b:Stop at least 20 feet behind the bus and wait,c:Slow to 15 mph and proceed past the bus,d:Stop only if children are actively exiting",b,"When a school bus displays flashing red lights and its stop arm extends, drivers must stop at least 20 feet away and wait until the lights stop flashing and the arm retracts. On an undivided two-lane road, traffic in both directions must stop.",medium
1,Traffic Laws & Rules of the Road,What is the recommended following distance in South Carolina under normal driving conditions?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,"South Carolina recommends the 3-second rule as the minimum following distance in normal conditions. Pick a fixed landmark — when the vehicle ahead passes it, you should reach it no sooner than 3 seconds. In rain or on slick roads, increase to 4–6 seconds.",medium
1,Traffic Laws & Rules of the Road,You arrive at a 4-way stop at exactly the same moment as a driver to your left. Who has the right of way?,"a:You do, because the other driver is to your left,b:The other driver, because you are to their right,c:Whoever signals first has the right of way,d:Neither — both must wait for a traffic officer",a,"At a 4-way stop when two vehicles arrive simultaneously, the driver to the RIGHT has the right of way. If you are to the right of the other driver, you go first. Stated differently: you yield to traffic coming from your RIGHT.",medium
1,Traffic Laws & Rules of the Road,A flashing red light at an intersection in South Carolina means:,"a:Yield to cross traffic, then proceed,b:Slow and proceed with caution,c:Stop completely, yield to all traffic, then proceed when safe,d:The signal is malfunctioning — treat as a green light",c,"A flashing red light is treated like a stop sign in South Carolina. Come to a complete stop, check for traffic and pedestrians in all directions, yield the right of way, and proceed when safe. This is different from a flashing yellow, which means caution without requiring a full stop.",medium
1,Traffic Laws & Rules of the Road,"On a South Carolina highway, you see a solid yellow line on YOUR side of the center stripe. This means:","a:You may pass if the road ahead appears clear,b:You are prohibited from crossing the center line to pass,c:Passing is allowed for vehicles going faster than 55 mph,d:You are in a passing zone — proceed when safe",b,"A solid yellow line on your side of the road means you may not cross the center line to pass. The solid line indicates a no-passing zone due to limited visibility — a hill, curve, or other hazard. Wait for a dashed yellow line on your side before passing.",medium
1,Traffic Laws & Rules of the Road,You are driving on an interstate in South Carolina. What is the maximum speed limit for passenger vehicles in most rural sections?,"a:65 mph,b:70 mph,c:75 mph,d:80 mph",b,South Carolina's standard interstate speed limit for passenger vehicles is 70 mph in rural sections. Urban interstate sections through major cities like Columbia or Charleston may have lower posted limits. Always follow the posted sign.,medium
1,Traffic Laws & Rules of the Road,Which of the following actions is NOT allowed when passing another vehicle on a two-lane road in South Carolina?,"a:Passing when there is a dashed yellow center line on your side,b:Passing on a long, straight section with clear visibility ahead,c:Passing when approaching the crest of a hill where oncoming traffic cannot be seen,d:Passing a slow-moving farm vehicle with adequate sight distance",c,"Passing near the crest of a hill is prohibited because you cannot see oncoming traffic. Passing is also prohibited on curves, near intersections, in school zones, and wherever solid yellow lines appear on your side. Visibility must be clear for the entire passing maneuver.",medium
1,Traffic Laws & Rules of the Road,An emergency vehicle with lights and siren approaches from the opposite direction on a divided highway. What must you do?,"a:Pull to the right and stop as soon as safely possible,b:Maintain speed — on a divided highway the rule does not apply to you,c:Slow to 25 mph until the emergency vehicle passes,d:Move to the left lane to create space",a,"Even on a divided highway when an emergency vehicle approaches from the opposite direction, South Carolina law requires you to pull to the right and stop. The right-and-stop rule applies regardless of direction on undivided roads; on divided roads local customs may vary, but pulling right and stopping is always safest and required by law.",medium
1,Traffic Laws & Rules of the Road,What color and shape is a railroad advance warning sign?,"a:White rectangle with a red R,b:Yellow circle with a large X and 'RR',c:Red octagon with 'STOP',d:Orange diamond with a locomotive symbol",b,"Railroad advance warning signs are round (circular), yellow, and display a large X with 'RR' — warning drivers that a railroad crossing is ahead. The circular shape is reserved specifically for railroad warning signs, making them distinctive from other warning signs (which are diamond-shaped).",medium
1,Traffic Laws & Rules of the Road,"In South Carolina, when must you turn on your vehicle's headlights?","a:Only between midnight and 5 AM,b:Only when it is raining heavily,c:From sunset to sunrise and whenever visibility is reduced to less than 500 feet,d:Only on rural roads and highways",c,South Carolina requires headlights from sunset to sunrise and any time weather reduces visibility to less than 500 feet. Many states also require headlights whenever windshield wipers are in use — a rule that is tested because drivers often forget it applies in light drizzle as well.,medium
1,Traffic Laws & Rules of the Road,You are making a left turn at an intersection with a green light. Oncoming traffic is still moving. When can you turn?,"a:Immediately — a green light gives you the right of way to turn,b:Only after you enter the intersection and oncoming traffic clears,c:After you yield to oncoming traffic and find a safe gap,d:Only when a dedicated left-turn arrow appears",c,"A solid green light allows you to turn left, but you must first yield to oncoming traffic and pedestrians in the crosswalk. Enter the intersection to position yourself, then wait for a safe gap before completing the turn. Failing to yield on a left turn is one of the most common crash causes.",medium
1,Traffic Laws & Rules of the Road,A yellow diamond-shaped sign with a pedestrian symbol means:,"a:No pedestrians allowed on this road,b:A school zone is ahead — reduce speed,c:Pedestrian crossing ahead — be prepared to stop,d:Parking area for pedestrians only",c,"A yellow diamond sign with a pedestrian symbol warns drivers of a pedestrian crossing ahead. Reduce speed, scan for people crossing or preparing to cross, and be ready to stop. This type of crossing may or may not have a marked crosswalk.",medium
1,Traffic Laws & Rules of the Road,"Under South Carolina law, which of the following is true about nighttime driving restrictions for teens with a restricted license?","a:No nighttime restrictions exist in South Carolina,b:Drivers under 16 may not drive between midnight and 6 AM,c:Drivers under 17 may not drive between midnight and 6 AM without a licensed adult,d:Drivers under 18 may not drive at all between 10 PM and 5 AM",c,"South Carolina restricts drivers under 17 with a restricted license from driving between midnight and 6 AM unless accompanied by a licensed adult age 21 or older, or driving to/from work or a school-sponsored activity. The curfew is midnight — not 10 PM or 11 PM.",medium
1,Traffic Laws & Rules of the Road,What does a green traffic signal arrow pointing left indicate?,"a:You may turn left after yielding to oncoming traffic,b:You may turn left without yielding — oncoming traffic is stopped,c:Left turns are prohibited at this intersection,d:Oncoming traffic has the green — yield before turning",b,"A green arrow (protected left turn) means you may turn in the direction of the arrow without yielding — oncoming traffic has a red light. Protected turns are the safest type of left turn. When the arrow ends and a solid green appears, you must then yield to oncoming traffic.",medium
1,Traffic Laws & Rules of the Road,You are driving and your wheels drift off the paved road onto a soft shoulder. What is the safest way to return to the pavement?,"a:Jerk the wheel sharply back onto the road immediately,b:Apply the brakes hard and stop before returning,c:Ease off the gas, steer gently, and gradually return to the lane when safe,d:Continue on the shoulder until you reach a driveway",c,"When wheels drift onto a soft shoulder, ease off the gas and steer gently — do not jerk the wheel. Sudden overcorrection causes rollovers, especially at highway speeds. Gradually return to the lane when speed has reduced and you have a clear, safe entry.",medium
1,Traffic Laws & Rules of the Road,"When approaching an uncontrolled railroad crossing in South Carolina, you must:","a:Stop completely regardless of whether a train is visible,b:Slow to 15 mph and check for trains,c:Slow down, look and listen in both directions, and only cross when safe,d:Maintain speed if no warning lights are active",c,"At uncontrolled railroad crossings, South Carolina law requires you to slow down, look both ways, and listen for trains before crossing. You are not required to stop unless a train is coming or warning signals are active — but you must be certain the tracks are clear. Trains cannot stop quickly.",medium
1,Traffic Laws & Rules of the Road,South Carolina's Move Over law applies to which types of stopped vehicles with flashing lights?,"a:Law enforcement vehicles only,b:Law enforcement and fire/rescue vehicles only,c:Emergency, law enforcement, towing, and highway utility vehicles,d:Any vehicle using hazard flashers on the side of the road",c,"South Carolina's Move Over law covers emergency vehicles, law enforcement, towing/recovery operations, and highway utility vehicles — any vehicle performing roadside operations with activated warning lights. The law is designed to protect both first responders and service workers operating on or near the roadway.",medium
1,Traffic Laws & Rules of the Road,"If traffic is approaching while you plan a three-point turnabout, what should you do?","a:Begin the turnabout quickly to beat the traffic,b:Flash your headlights and start immediately,c:Yield to all approaching traffic before starting the turnabout,d:Signal and proceed without checking for traffic",c,"A three‑point turn should only be done when you have clear space and enough time to complete it safely. If any traffic is approaching from either direction, you must wait and yield until the roadway is clear before starting the maneuver.",medium
1,Traffic Laws & Rules of the Road,"At an uncontrolled intersection, what is the appropriate driver response?","a:Maintain your speed and proceed.,b:Always come to a complete stop regardless of other vehicles.,c:Yield to any vehicle approaching from the right and be prepared to stop to avoid a crash.",c,"At an intersection with no signs or signals, you must yield to vehicles that arrive from your right. Approach slowly, be ready to stop, and proceed only when you are sure it is safe and you will not cause other drivers to brake suddenly.",medium
8,Special Situations & Road Users,Which statement about railroad crossings is true?,"a:You have the right-of-way at all railroad crossings,b:You need not stop for a crossing without gates,c:You may pass another vehicle on the tracks if it is safe,d:You must stop when directed to do so by a flagger or stop sign at a crossing",d,"At railroad crossings, trains always have the right-of-way. You must stop when a flagger, stop sign, or other traffic control device at the crossing requires it, and you must never drive onto the tracks unless you can fully clear them.",medium
6,"Alcohol, Drugs & Impaired Driving",Any amount of alcohol in your bloodstream can affect your:,"a:Knowledge only.,b:Judgment and physical coordination.,c:Vehicle registration status.,d:Right-of-way privileges.",b,"Any amount of alcohol can slow your brain’s processing, weaken judgment, and reduce coordination. Even if you are below the legal BAC limit, your ability to react, make safe decisions, and control the vehicle can be impaired.",easy
8,Special Situations & Road Users,"What are ""No zones"" around large trucks?","a:Areas where you can squeeze around while it turns.,b:Areas where smaller cars disappear into the truck's blind spots.,c:Safe spaces to travel close behind the truck.,d:Designated passenger loading zones.",b,"""No zones"" are the large blind spots around trucks and other big vehicles where your car may completely disappear from the truck driver’s view. Avoid driving for long periods directly beside, very close in front of, or close behind a large truck so the driver can see you and react safely.",medium
7,Vehicle Ownership & Responsibilities,What do your brake lights communicate to other drivers?,"a:You are making a turn,b:You are changing lanes,c:You are slowing down or stopping,d:Your emergency brake is on",c,"Brake lights warn drivers behind you that you are slowing down or stopping. This gives them time to reduce speed and maintain a safe following distance, helping to prevent rear-end collisions.",easy
4,Safe & Defensive Driving Practices,"If your accelerator becomes stuck while driving, which is the best immediate action among these?","a:Slam on the brakes hard.,b:Turn on your hazard lights as you take steps to safely stop the engine and slow down.,c:Blow your horn to warn others.",b,"If your accelerator sticks, keep control of the vehicle and focus on slowing and stopping safely. Turn on your hazard lights to warn others, shift to neutral if you can, apply the brakes firmly but smoothly, and steer to a safe location. Once you are out of traffic and stopped, turn off the engine. Sounding the horn is less important than immediately working to slow and stop the vehicle safely.",difficult
