section-num,section-name,question,options,correct-answer,note
1,"Adverse Weather and Visibility Conditions","When encountering a deep puddle on the road ahead, you should:","a: Keep the posted speed to pass through the water.,b: Steer clear of the puddle if possible.,c: Shift to neutral while driving through the water.",b,"Avoiding deep puddles prevents skidding or hydroplaning, as wet surfaces are slippery and reduce traction."
7,"Railroad Crossings","If traffic blocks you from fully crossing railroad tracks, you may proceed only when:","a: An approaching train is too slow to be a threat.,b: Your entire vehicle can fit on the other side.,c: At least half of your vehicle can cross the tracks.",b,"You must ensure your whole vehicle can clear the tracks to avoid being stuck, as partial crossing is dangerous."
8,"General Driving Techniques and Emergencies","If you’re about to be rear-ended, you should not:","a: Unfasten your seat belt.,b: Brace yourself.,c: Press your head against the headrest.",a,"Keep your seat belt on and brace yourself to minimize injury; unfastening the belt increases risk during impact."
5,"Passing, Lane Changes, and Speed Management","If a vehicle is tailgating you on a two-lane road:","a: Slow down gradually to prompt the tailgater to pass.,b: Speed up to widen the gap between you and the vehicle.,c: Brake suddenly then return to your normal speed.",a,"Slowly reducing speed encourages the tailgater to pass safely when the road is clear, avoiding abrupt braking."
8,"General Driving Techniques and Emergencies","If you see animals near the roadway while driving:","a: Accelerate to scare them off.,b: Slow down and drive cautiously.,c: Swerve quickly into another lane.",b,"Slow down to avoid sudden animal movements, as they may dart onto the road unexpectedly."
2,"Traffic Signs, Signals, and Markings","When driving beside a single broken white line on a highway:","a: You cannot cross the line to pass.,b: You may cross to pass or change lanes.,c: You may cross only from the left lane.",b,"A broken white line allows passing or lane changes if safe, as it separates same-direction traffic."
2,"Traffic Signs, Signals, and Markings","On a one-way street if an emergency vehicle with flashing lights approaches, you must:","a: Drive with your hazard lights on.,b: Pull to the nearest roadside and stop.,c: Speed up to take the nearest exit.",b,"Stop at the roadside to allow the emergency vehicle to pass safely, regardless of traffic direction."
2,"Traffic Signs, Signals, and Markings","If a green light is on but the intersection is blocked by traffic, you should:","a: Turn left to find another route.,b: Stay out of the intersection until it clears.,c: Enter the intersection with other vehicles.",b,"Wait outside the intersection to avoid blocking cross traffic when the light changes to red."
3,"Impaired Driving","If you feel fatigued while driving, you should:","a: Speed up to reach your destination sooner.,b: Turn up the radio volume.,c: Find a safe spot to take a short nap.",c,"A short nap in a safe parking area can refresh you, as fatigue impairs focus and reaction time."
6,"Parking and Stopping","When parked parallel to the curb, you may exit on the traffic side only:","a: During daylight when visible to other drivers.,b: When the nearest traffic light is red.,c: When it won’t interfere with oncoming traffic.",c,"Exit only when safe to avoid disrupting traffic or endangering bicyclists and vehicles."
