section-num,section-name,question,options,correct-answer,note,difficulty
3,"Signs, Signals & Road Markings",What are the colors of signs that indicate the distance to the next highway exit?,"a:Black with white letters,b:Yellow with black letters,c:Red with white letters,d:Green with white letters.",d,Guidance and destination signs (including distance to exits) are green with white letters or symbols.,medium
8,Special Situations & Road Users,"When an authorized emergency vehicle using sirens and flashing lights approaches, what must you do?","a:Pull to the right edge of the roadway and wait for it to pass.,b:Maintain your speed and lane.,c:Speed up to get out of the way.,d:Stop in the middle of the road.",a,"When an emergency vehicle approaches with lights or siren, immediately pull to the right side and let it pass.",easy
2,Traffic Laws & Rules of the Road,"What is true about signaling before turns, lane changes, or pulling from a curb?","a:It is a good driving habit and is required by law.,b:It is only necessary if other vehicles are present.,c:You only need to signal during the maneuver, not before.",a,You must signal your intentions in advance; South Carolina law generally requires signaling at least 100 feet before turning or changing lanes.,easy
8,Special Situations & Road Users,"If a child is riding a bicycle near your vehicle, you should:","a:Expect the unexpected and be prepared for sudden movements.,b:Beep your horn to warn them.,c:Assume they are in total control.",a,"Children on bicycles are unpredictable; be alert, reduce speed, and be prepared for sudden changes in direction.",easy
2,Traffic Laws & Rules of the Road,"If you miss an exit on a freeway, what should you do?","a:Continue to the next exit or other safe location to turn around.,b:Stop and back up on the shoulder.,c:Make the turn quickly from your current lane.",a,"If you miss an exit, do not back up or make sudden lane changes; proceed to the next exit or safe location where you can turn around legally.",easy
3,"Signs, Signals & Road Markings",Drivers may not pass from either side of which centerline marking?,"a:Double solid yellow line.,b:Single broken yellow line.,c:Combination solid and broken yellow line.,d:Single solid white line.",a,A double solid yellow centerline on a two-way road means no traffic from either direction may cross the center to pass.,medium
4,Safe & Defensive Driving Practices,"True or False: As vehicle speed increases, it takes longer to stop when reacting to another driver's unexpected actions.","a:TRUE,b:FALSE,c:Only on wet roads,d:Only with heavier vehicles",a,"Higher speeds increase stopping distance and reaction distance, so it takes longer to stop at higher speeds.",easy
4,Safe & Defensive Driving Practices,Which action helps prevent becoming an aggressive driver?,"a:Drive above the posted speed limit.,b:Relax, concentrate on driving, and be realistic with travel time.,c:Tailgate the driver ahead of you.",b,"To avoid aggressive driving, stay calm, focus on driving, allow plenty of travel time, obey speed limits, and be courteous to other road users.",easy
5,Driving in Special Conditions,"When a vehicle with bright headlights comes toward you at night, what should you do to avoid being blinded?","a:Glance toward the right edge of your lane.,b:Stop until it passes.,c:Look directly at the headlights.",a,Do not stare at oncoming headlights; glance toward the right edge of your lane so you can maintain course without being blinded.,easy
5,Driving in Special Conditions,True or false: While driving at night you may use only your parking lights instead of headlights.,"a:False.,b:True.,c:Only on well-lit streets.,d:Only during dawn or dusk."," ""a""",It is unlawful to drive at night using only parking lights. Headlights are required when visibility is reduced.,easy
8,Special Situations & Road Users,"If you see pedestrians in a crosswalk ahead, how should you respond?","a:Yield and wait for them to cross before proceeding.,b:Continue because motorists always have the right-of-way.,c:Pull behind pedestrians and pass them.,d:Honk to encourage them to hurry.",a,At crosswalks yield to pedestrians; proceed only when it is safe and the crosswalk is clear.,easy
8,Special Situations & Road Users,"When driving near heavy trucks, what should other drivers remember?","a:Trucks require increased stopping distances and larger turning space,b:Trucks require less stopping distance than smaller vehicles,c:Trucks are quieter at night,d:Trucks always have the right-of-way",a,Heavy trucks need more stopping distance and wider turning room; avoid lingering alongside where the driver cannot see you.,medium
8,Special Situations & Road Users,May you drive around lowered gates at a railroad crossing?,"a:No, never drive around lowered gates.,b:Only if you are in a hurry.,c:Only if you see no train coming.,d:Only on private property."," ""a""","You must never go around a lowered gate. Obey lights, gates, and flaggers at railroad crossings to avoid a collision.",easy
