section-num,section-name,question,options,correct-answer,note,difficulty
6,Vehicle Ownership & Responsibilities,"If you discover a defect that could affect the safe operation of your vehicle, you should:","a:Delay fixing it until you can afford repairs.,b:Drive at slower speeds until it can be fixed.,c:Correct the defect as soon as possible.",c,Any defect that affects safe vehicle operation should be repaired promptly and before driving when possible.,easy
3,Safe & Defensive Driving Practices,"To be prepared for what lies ahead on the roadway, you should:","a:Stare straight ahead at all times.,b:Continually scan the entire roadway and roadsides.,c:Drive with your left foot lightly resting on the brake.",b,Search the road and sides continually to identify hazards early; do not simply stare at the center of the road.,easy
7,Special Situations & Road Users,You must yield the right-of-way to emergency vehicles when:,"a:Only when other vehicles yield,b:Under no circumstances.,c:You see flashing red or blue lights or hear a siren.",c,Yield the right-of-way immediately to any emergency vehicle using lights or sirens by pulling over to the curb and stopping.,easy
3,Safe & Defensive Driving Practices,Drowsy drivers:,"a:Can stay alert by opening a window and turning up the radio.,b:Can drive so poorly they may appear to be drunk.,c:Should drink strong coffee to remain alert.",b,"Drowsiness can severely impair driving ability; coffee, open windows, or loud radios are not reliable remedies.",medium
4,Driving in Special Conditions,"If you must stop along the road at night, what should you do with your lights?","a:Leave your low-beam headlights on (and use emergency flashers),b:Turn off all your lights,c:Use only your parking lights",a,"If you stop at night, use your emergency flashers and keep low-beam headlights on so other drivers can see your vehicle clearly.",medium
4,Driving in Special Conditions,When driving in fog you should use:,"a:High beam headlights.,b:Low beam headlights.,c:Parking lights.",b,"Use low beam headlights in fog, rain, or snow so you are better able to see and be seen.",easy
3,Safe & Defensive Driving Practices,When should you increase your following distance?,"a:Only when exiting an expressway.,b:Only when following a motorcycle.,c:When behind a large vehicle that blocks your view or in bad weather.",c,"Increase following distance in many situations: large vehicles that block vision, bad weather, heavy traffic, or if tailgated.",easy
1,Traffic Laws & Rules of the Road,"If you're stopped in line at a stop sign and there is no cross traffic after vehicles ahead have passed, what must you do?","a:Proceed without stopping because the way is clear.,b:Stop again at the stop sign or stop line before proceeding.,c:Slowly roll past the stop sign.",b,"You must always come to a complete stop at the stop sign and yield before proceeding, even if vehicles ahead have moved.",easy
3,Safe & Defensive Driving Practices,Many crashes are caused by drivers who:,"a:Yield the right-of-way.,b:Travel too fast for the conditions.,c:Constantly check their mirrors.",b,Driving too quickly for road or weather conditions is a common factor in crashes.,easy
4,Driving in Special Conditions,"If an oncoming driver fails to dim high beams, where should you direct your gaze?","a:At the lights of the approaching vehicle.,b:Toward the right side of the road.,c:Toward the left side of the road.",b,Glance to the right side of the road to avoid being blinded while keeping enough sight to stay on course.,easy
