chapter,section,sub-section,question,options,correct-answer,note
6,,,"On a freeway, drivers should look farther ahead than they normally would on a city street","""a: Because it takes 500 feet to stop a vehicle on a freeway,b: In order to spot potential hazards and dangers ahead,c: Because there are multiple lanes""","""b""","""The DMV handbook states that 'To give yourself time to react, avoid last minute moves and hazards, always keep your eyes moving and scan the road at least 10 seconds ahead of your vehicle.'"""
6,,,Make room for cars that are entering the freeway by:,"""a: Slowing down.,b: Merging into a different lane.,c: Maintaining your speed and position.""","""a""","""According to page 22, 'Make space for vehicles entering freeways, even if you have the right-of-way.'"""
6,,,You may use your horn on narrow mountain roads,"""a: To alert oncoming traffic where you cannot see at least 200 feet ahead,b: To let pedestrians know you are there,c: To signal to other drivers that you are in a hurry""","""a""","""The DMV Handbook states on page 12: 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: Avoid collisions. Alert oncoming traffic on narrow mountain roads where you cannot see at least 200 feet ahead.'"""
6,,,When is it required to signal before changing lanes?,"""a: At all times,b: Only when there are other vehicles nearby,c: Only when changing lanes on a freeway""","""a""","""The DMV Handbook states that you should 'Always signal when you turn, change lanes, slow down, or stop.'"""
6,,,Which of the following is most likely to be slippery in cold weather after snow or rain?,"""a: A hilly,b: A residential road,c: A road in a shaded area""","""c""","""According to page 61, 'Shade from trees or buildings can hide icy spots on cold, wet days. These areas freeze first and dry out last.'"""
6,,,It is against the law to enter an intersection or crosswalk when,"""a: The light is yellow,b: The light is flashing red,c: You cannot cross without obstructing traffic from either side.""","""c""","""The DMV Handbook states on page 39 that it is against the law to block an intersection where there is not enough space to completely cross before the traffic signal light turns red."""
6,,,Using a cell phone while operating a motor vehicle is considered a distraction because:,"""a: It causes the driver to be concerned about the cost of the call.,b: It occupies the driver's hands,c: It is an activity that draws the attention of other drivers.""","""b""","""The DMV handbook states on page 70 'Cell phones are the main source of distracted driving. Driving while using a handheld cell phone is unsafe and illegal... It occupies the driver's hands.'"""
6,,,"At dawn or dusk and in rain or snow, it can be hard to see and be seen. A good way to let other drivers know you are there is to turn:","""a: Up the instrumental panel lights.,b: On your parking lights.,c: On your headlights.""","""c""","""The DMV handbook states 'Use your headlights: When it is too dark to see from 1,000 feet away, Beginning 30 minutes after sunset, Until 30 minutes before sunrise, In adverse weather. If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.'"""
6,,,Who is most at risk?,"""a: Drivers who are fatigued,b: Drivers who are driving on long boring roads,c: All of the above""","""c""","""Page 9 of the California Driver's Handbook states 'Fatigue and Drowsiness - Can affect your vision and increase reaction time to hazards.'"""
6,,,You are driving on a city street and see an emergency vehicle with flashing lights behind you. What should you do?,"""a: Drive to the right edge of the road and slow down.,b: Drive to the right edge of the road and stop.,c: Stay in your lane slow down and let it pass.""","""b""","""According to the DMV Handbook, 'Give the right-of-way to any law enforcement vehicle, fire engine, ambulance, or other emergency vehicle using a siren and red lights. Failure to pull over may result in a ticket. Drive to the right edge of the road and stop until the emergency vehicle(s) have passed.'"""
6,,,"When both right and left turn signals are flashing at the same time on a moving vehicle, it means","""a: It is carrying children to or from school,b: Let the vehicle have the right-of-way,c: There may be a hazard or an accident ahead""","""c""","""If you can see a collision or hazard ahead, warn drivers behind you using these methods: Turn on your emergency flashers. Lightly tap your brake pedal three or four times. Use a hand signal when slowing and stopping."""
6,,,What is the benefit of a space cushion around your vehicle?,"""a: Other drivers can cut in front of you,b: If another driver makes a mistake,c: It inflates to protect you from injury in the case of a collision.""","""b""","""A space cushion around your vehicle allows for you to react if another driver makes a mistake. The DMV Handbook states 'Following other vehicles at a safe distance gives you enough time to react if another driver makes a mistake.'"""
6,,,"If a tire suddenly blows out while you are driving, you should:","""a: Grip the steering wheel firmly,b: Pump the brakes rapidly.,c: Brake hard and steer toward the right edge of the roadway.""","""a""","""According to the DMV Handbook, if a tire blows out while you are driving, you should 'Hold the steering wheel with both hands. Maintain your vehicle speed if possible and safe. Gradually release the accelerator. Correct the steering as necessary to stabilize your vehicle and regain control.' """
6,,,To avoid glare from the headlights of an approaching car:,"""a: Look briefly toward the right side of the road.,b: Stay focused on the centerline on the road.,c: Flash your high beams.""","""a""","""To avoid glare from the headlights of an approaching car, the DMV handbook states on page 59, 'Do not look directly into the oncoming headlights...Look toward the right edge of your lane...Do not react to the other driver by keeping your high-beam headlights on.'"""
6,,,What is a crosswalk?,"""a: Another name for a four-way intersection.,b: An area designated for road construction workers.,c: The area where pedestrians may cross the roadway.""","""c""","""A crosswalk is the part of the road set aside for pedestrians to safely cross the road. They are often marked with white lines. School crossings may have yellow crosswalk lines. Not all crosswalks are marked. Pedestrians have the right-of-way in marked or unmarked crosswalks."""
6,,,It is unlawful to:,"""a: Pass another vehicle in any marked no passing zone.,b: Pass another vehicle over a railroad crossing.,c: Both of the above.""","""c""","""The DMV handbook states on page 24, 'You must judge whether you have enough space to pass whenever you approach...a railroad crossing.' and, 'Do Not Pass...Within 100 feet of an intersection, bridge, tunnel, railroad crossing, or other hazardous area.'"""
6,,,A safety zone is a specially marked area for passengers to get on or off buses or trolleys. You may not drive through a safety zone:,"""a: Only when a bus or trolley is present.,b: Only when a bus or trolley is unloading passengers.,c: At any time or for any reason.""","""c""","""The DMV handbook states 'Safety zones are spaces set aside for pedestrians waiting for buses, streetcars, and trolleys. Safety zones are marked by raised buttons or markers on a road. Do not drive through a safety zone under any condition.'"""
6,,,"When you see a NEV ROUTE sign, you should watch out for","""a: A Nevada law enforcement officer,b: Slow-moving vehicles in the roadway,c: Animal-drawn vehicles""","""b""","""On page 45, the DMV Handbook states, 'Watch for slow-moving vehicles when you see these signs or markings: - NEV USE ONLY - NEV ROUTE. NEVs and LSVs reach a maximum speed of 25 mph.'"""
6,,,Which of the following roadways freeze first when wet?,"""a: Bridges and overpasses,b: Intersections,c: Tunnels""","""a""","""Bridges and overpasses tend to freeze before the rest of the road because they can have icy spots."""
6,,,"If you are involved in a traffic collision and no one is injured, you are required to complete and submit a written report to","""a: DMV,b: CHP,c: EDD""","""a""","""According to the California Driver's Handbook, page 77, 'If you are in a collision, you must report it to DMV within 10 days if:  - The collision caused more than $1,000 in damage to property. - Anyone was injured or killed.'"""
6,,,"Work zone barriers, drums, cones, and signs are used to:","""a: Make drivers angry about slow traffic.,b: Inconvenience drivers.,c: Keep traffic out of hazardous work zones.""","""c""","""Cones, drums, and barriers are used to keep traffic out of a hazardous work zone. 'Go through the work zone carefully by: Slowing down.' 'Cones, drums, or other barriers will guide you through the work zone.' """
6,,,"When driving at night, you should:","""a: Always use your high beams.,b: Look directly at the headlights of an oncoming vehicle.,c: Increase your following distance.""","""c""","""When driving at night, you should increase your following distance. This gives you more time to react if the driver in front of you brakes suddenly."""
6,,,Children on bicycles should be given extra space by motor vehicle operators because:,"""a: They do not have the same physical reflexes as adults.,b: They are smaller and more difficult to see than adults.,c: Both of the above.""","""c""","""The DMV handbook explains that motorcyclists are smaller and harder to see in blind spots, and they are less protected on the road. This applies to children on bikes as well. """
6,,,Which of these statements about drugs and traffic is true?,"""a: Even over-the-counter drugs can impair your driving,b: Any prescription drug is safe to use if you don’t feel drowsy,c: Only illegal drugs can impair your driving""","""a""","""The DMV handbook states that 'Prescription and over-the-counter medications can make you an unsafe driver. Some medicines can make you sleepy. It is your responsibility to know the effects of the medications you take.'"""
6,,,"When entering the interstate on a short entrance ramp where there is no acceleration lane, you should:","""a: Immediately enter the far-right traffic lane on the interstate and speed up to match the flow of traffic.,b: Use the shoulder of the main road to get up to the speed of traffic.,c: Speed up and enter the interstate only after you have identified a gap in traffic.""","""c""","""The DMV handbook states, 'When you enter a highway, you will need to...Be at or near the speed of traffic...Merge into highway traffic when safe to do so. Do not stop unless absolutely necessary.'"""
6,,,"At a T-intersection with no signs or signals, you must yield to","""a: Traffic on the road you are entering,b: Traffic on the road you are leaving,c: Pedestrians in the crosswalk,d: None of the above""","""b""","""According to page 38, 'Vehicles, bicyclists, and pedestrians on the through road (continuing to go straight) have the right-of-way.' This means that the vehicle entering the T-intersection must yield to traffic on the road it is leaving."""
6,,,Prior to entering a curve:,"""a: Activate your turn signal.,b: Reduce your speed.,c: Brake hard.""","""b""","""You must slow down before entering a curve to avoid losing control of your vehicle."""
6,,,What happens if you do not signal when required?,"""a: You may get a ticket,b: You may cause an accident,c: All of the above""","""c""","""The DMV handbook states that it is important to signal when making a turn, changing lanes, slowing down, or stopping, and that failing to do so could result in a ticket or cause an accident. The correct answer is all of the above."""
