id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9878,ਹੌਲੀ-ਹੌਲੀ ਚੱਲਣ ਵਾਲੇ ਵਾਹਨ ਦੇ ਪਿੱਛੇ ਅਕਸਰ ਫਸੇ ਡਰਾਈਵਰ:,,ਵਾਹਨ ਨੂੰ ਬਹੁਤ ਧਿਆਨ ਨਾਲ ਪਾਲਣਾ ਕਰੋ.,ਵਾਹਨ ਨੂੰ ਕਾਫ਼ੀ ਥਾਂ ਦਿਓ।,ਯਾਤਰਾ ਦੀ ਗਤੀ ਤੋਂ ਖੁਸ਼ ਹਨ।,,A,"ਡ੍ਰਾਈਵਰਾਂ ਲਈ ਹੌਲੀ-ਹੌਲੀ ਚੱਲਣ ਵਾਲੇ ਵਾਹਨਾਂ ਨੂੰ ਟੇਲਗੇਟ ਕਰਨਾ ਆਮ ਗੱਲ ਹੈ ਜੋ ਆਲੇ ਦੁਆਲੇ ਦੇ ਟ੍ਰੈਫਿਕ ਦੀ ਗਤੀ ਨਾਲ ਨਹੀਂ ਚੱਲ ਸਕਦੇ। ਜੇਕਰ ਤੁਹਾਨੂੰ ਟੇਲਗੇਟ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ, ਤਾਂ ਦੂਜੇ ਡ੍ਰਾਈਵਰ ਨੂੰ ਤੁਹਾਡੇ ਵਾਹਨ ਨੂੰ ਲੰਘਣ ਦਿਓ।"
9237,ਵ੍ਹੀਲ ਨਟਸ ਦੇ ਆਲੇ ਦੁਆਲੇ ਜੰਗਾਲ ਦਾ ਮਤਲਬ ਹੋ ਸਕਦਾ ਹੈ:,,ਹਾਲ ਹੀ ਵਿੱਚ ਮੀਂਹ ਪਿਆ।,ਗਿਰੀਦਾਰ ਢਿੱਲੇ ਹਨ.,ਗਿਰੀਦਾਰ ਬਹੁਤ ਤੰਗ ਹਨ.,,B,ਹਰ ਡਰਾਈਵ ਤੋਂ ਪਹਿਲਾਂ ਆਪਣੇ ਟਾਇਰਾਂ ਦੀ ਜਾਂਚ ਕਰਨਾ ਮਹੱਤਵਪੂਰਨ ਹੈ। ਵ੍ਹੀਲ ਨਟਸ ਦੇ ਆਲੇ ਦੁਆਲੇ ਜੰਗਾਲ ਇਹ ਸੰਕੇਤ ਕਰ ਸਕਦਾ ਹੈ ਕਿ ਉਹ ਢਿੱਲੇ ਹਨ।
9591,ਸ਼ੀਸ਼ੇ ਦੀ ਜਾਂਚ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ:,,ਹਰ ਲੇਨ ਬਦਲਣ ਤੋਂ ਪਹਿਲਾਂ.,"ਲੇਨ ਬਦਲਣ ਵੇਲੇ, ਪਰ ਸਿਰਫ਼ ਉਦੋਂ ਜਦੋਂ ਹੋਰ ਵਾਹਨ ਨੇੜੇ ਹੋਣ।","ਲੇਨ ਬਦਲਣ ਵੇਲੇ, ਪਰ ਸਿਰਫ ਤਾਂ ਹੀ ਜੇ ਬਾਹਰ ਹਨੇਰਾ ਹੋਵੇ।",,A,ਲੇਨ ਬਦਲਣ ਤੋਂ ਪਹਿਲਾਂ ਹਮੇਸ਼ਾਂ ਆਪਣੇ ਸ਼ੀਸ਼ਿਆਂ ਵਿੱਚ ਆਵਾਜਾਈ ਦੀ ਜਾਂਚ ਕਰੋ। ਵਾਰ-ਵਾਰ ਸ਼ੀਸ਼ੇ ਦੀ ਜਾਂਚ ਤੁਹਾਡੀ ਆਮ ਸਕੈਨਿੰਗ ਰੁਟੀਨ ਦਾ ਹਿੱਸਾ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।
8491,"CDL ਲਈ ਅਰਜ਼ੀ ਦੇਣ ਲਈ, ਇੱਕ ਬਿਨੈਕਾਰ ਘੱਟੋ-ਘੱਟ:",,15 ਸਾਲ ਦੀ ਉਮਰ,18 ਸਾਲ ਦੀ ਉਮਰ,21 ਸਾਲ ਦੀ ਉਮਰ.,,B,"ਕੈਲੀਫੋਰਨੀਆ ਵਿੱਚ, ਵਪਾਰਕ ਡ੍ਰਾਈਵਰ ਲਾਇਸੈਂਸ ਲਈ ਅਰਜ਼ੀ ਦੇਣ ਲਈ ਤੁਹਾਡੀ ਉਮਰ ਘੱਟੋ-ਘੱਟ 18 ਸਾਲ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।"
9430,"ਜੇਕਰ ਤੁਸੀਂ ਉਸ ਖੇਤਰ ਤੋਂ ਅਣਜਾਣ ਹੋ ਜਿਸ ਵਿੱਚ ਤੁਹਾਨੂੰ ਬੈਕਅੱਪ ਲੈਣਾ ਚਾਹੀਦਾ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਆਪਣੇ ਵਾਹਨ ਤੋਂ ਬਾਹਰ ਨਿਕਲੋ ਅਤੇ ਇਸਦੇ ਨਾਲ ਹੋਰ ਜਾਣੂ ਹੋਣ ਲਈ ਖੇਤਰ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਸੈਰ ਕਰੋ।,ਦੋਵੇਂ ਪਾਸੇ ਦੇ ਸ਼ੀਸ਼ੇ ਨਾ ਵਰਤੋ ਕਿਉਂਕਿ ਇਹ ਧਿਆਨ ਭਟਕਾਉਣ ਵਾਲਾ ਹੋ ਸਕਦਾ ਹੈ।,ਖੇਤਰ ਵਿੱਚ ਕਿਸੇ ਹੋਰ ਦੇ ਬੈਕਅੱਪ ਲਈ ਉਡੀਕ ਕਰੋ ਤਾਂ ਜੋ ਤੁਸੀਂ ਦੇਖ ਸਕੋ ਕਿ ਉਹ ਇਹ ਕਿਵੇਂ ਕਰਦੇ ਹਨ।,,A,"ਬੈਕਅੱਪ ਲੈਣ ਤੋਂ ਪਹਿਲਾਂ, ਤੁਹਾਨੂੰ ਆਪਣੇ ਵਾਹਨ ਤੋਂ ਬਾਹਰ ਨਿਕਲਣਾ ਚਾਹੀਦਾ ਹੈ ਅਤੇ ਆਪਣੀ ਯਾਤਰਾ ਦੀ ਲਾਈਨ ਨੂੰ ਦੇਖਣਾ ਚਾਹੀਦਾ ਹੈ। ਪਾਸਿਆਂ ਅਤੇ ਓਵਰਹੈੱਡ ਲਈ ਆਪਣੀ ਕਲੀਅਰੈਂਸ ਦੀ ਜਾਂਚ ਕਰੋ।"
11894,A ____ ਇੱਕ ਡਰਾਈਵਰ ਨੂੰ ਹੌਲੀ ਹੌਲੀ ਸਪਰਿੰਗ ਬ੍ਰੇਕ ਲਗਾਉਣ ਦੀ ਆਗਿਆ ਦਿੰਦਾ ਹੈ।,,ਨਿਯੰਤਰਣ ਵਾਲਵ ਨੂੰ ਮੋਡਿਊਲ ਕਰਨਾ,ਟ੍ਰੇਲਰ ਏਅਰ ਸਪਲਾਈ ਕੰਟਰੋਲ,ਰੀਲੇਅ ਵਾਲਵ,,A,"ਇੱਕ ਸੰਚਾਲਨ ਕੰਟਰੋਲ ਵਾਲਵ ਇੱਕ ਡਰਾਈਵਰ ਨੂੰ ਹੌਲੀ-ਹੌਲੀ ਸਪਰਿੰਗ ਬ੍ਰੇਕ ਲਗਾਉਣ ਦੀ ਆਗਿਆ ਦਿੰਦਾ ਹੈ। ਲੈਸ ਵਾਹਨਾਂ ਵਿੱਚ, ਵਾਲਵ ਨੂੰ ਡੈਸ਼ਬੋਰਡ 'ਤੇ ਸਥਿਤ ਇੱਕ ਲੀਵਰ ਦੁਆਰਾ ਨਿਯੰਤਰਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।"
8609,ਕਾਰਗੋ ਵਿੱਚ ਹਰ ____ ਕਾਰਗੋ ਲਈ ਇੱਕ ਟਾਈ-ਡਾਊਨ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।,,ਪੰਜ ਫੁੱਟ,10 ਫੁੱਟ,20 ਫੁੱਟ,,B,"ਕਾਰਗੋ ਨੂੰ ਹਰ 10 ਫੁੱਟ ਕਾਰਗੋ ਲਈ ਘੱਟੋ-ਘੱਟ ਇੱਕ ਟਾਈ-ਡਾਊਨ ਦੁਆਰਾ ਰੋਕਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ। ਹਾਲਾਂਕਿ, ਸਾਰੇ ਕਾਰਗੋ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ ਦੋ ਟਾਈ-ਡਾਊਨ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ, ਭਾਵੇਂ ਮਾਲ ਦਾ ਆਕਾਰ ਕੋਈ ਵੀ ਹੋਵੇ।"
8522,"ਮੈਨੂਅਲ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਵਾਹਨ ਨੂੰ ਰੋਕਣ ਵੇਲੇ, ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਜਦੋਂ ਇੰਜਣ ਵਿਹਲੇ ਹੋਣ ਦੇ ਨੇੜੇ ਹੋਵੇ ਤਾਂ ਕਲਚ ਨੂੰ ਅੰਦਰ ਧੱਕੋ।,ਜਦੋਂ ਇੰਜਣ ਵਿਹਲੇ ਹੋਣ ਦੇ ਨੇੜੇ ਹੋਵੇ ਤਾਂ ਕਲੱਚ ਨੂੰ ਬਾਹਰ ਧੱਕੋ।,ਜਦੋਂ ਇੰਜਣ ਨਿਸ਼ਕਿਰਿਆ ਦੇ ਨੇੜੇ ਹੋਵੇ ਤਾਂ ਨਿਰਪੱਖ ਵਿੱਚ ਸ਼ਿਫਟ ਕਰੋ।,,A,"ਰੁਕਣ ਵੇਲੇ, ਬ੍ਰੇਕ ਪੈਡਲ 'ਤੇ ਹੌਲੀ-ਹੌਲੀ ਦਬਾਅ ਪਾਓ ਅਤੇ ਸੁਚਾਰੂ ਢੰਗ ਨਾਲ ਰੁਕੋ। ਜੇਕਰ ਮੈਨੂਅਲ ਟਰਾਂਸਮਿਸ਼ਨ ਵਾਹਨ ਨੂੰ ਰੋਕ ਰਹੇ ਹੋ, ਤਾਂ ਇੰਜਣ ਬੇਕਾਰ ਹੋਣ ਦੇ ਨੇੜੇ ਹੋਣ 'ਤੇ ਕਲਚ ਨੂੰ ਅੰਦਰ ਧੱਕੋ।"
9449,ਮਾੜਾ ਭਾਰ ਸੰਤੁਲਨ:,,ਸੰਭਾਲਣ ਵਿੱਚ ਸੁਧਾਰ ਕਰਦਾ ਹੈ।,ਹੈਂਡਲ ਕਰਨਾ ਵਧੇਰੇ ਮੁਸ਼ਕਲ ਬਣਾਉਂਦਾ ਹੈ।,ਡਰਾਈਵਰ ਦੀ ਸਟੀਅਰ ਕਰਨ ਦੀ ਸਮਰੱਥਾ ਨੂੰ ਵਧਾਉਂਦਾ ਹੈ।,,B,ਮਾੜਾ ਸੰਤੁਲਿਤ ਲੋਡ ਅਸੁਰੱਖਿਅਤ ਹੈਂਡਲਿੰਗ ਦਾ ਕਾਰਨ ਬਣ ਸਕਦਾ ਹੈ। ਵਾਹਨ ਨੂੰ ਲੋਡ ਕਰਨ ਵੇਲੇ ਕਾਰਗੋ ਦੇ ਭਾਰ ਨੂੰ ਸਹੀ ਢੰਗ ਨਾਲ ਵੰਡਣਾ ਮਹੱਤਵਪੂਰਨ ਹੈ।
9245,ਗਿੱਲੀਆਂ ਸੜਕਾਂ ਦੀਆਂ ਸਤਹਾਂ 'ਤੇ ਹਾਈਡ੍ਰੋਪਲੇਨਿੰਗ ਨੂੰ ਰੋਕਣ ਦਾ ਇੱਕ ਤਰੀਕਾ ਹੈ:,,ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਹਾਡੇ ਟਾਇਰਾਂ ਦੀ ਡੂੰਘਾਈ ਚੰਗੀ ਹੈ।,ਆਪਣੇ ਟਾਇਰਾਂ ਨੂੰ ਘਟਾਓ।,ਆਮ ਨਾਲੋਂ ਤੇਜ਼ ਗੱਡੀ ਚਲਾਓ।,,A,"ਜਦੋਂ ਇੱਕ ਗਿੱਲੀ ਸੜਕ ਦੀ ਸਤ੍ਹਾ 'ਤੇ ਗੱਡੀ ਚਲਾਉਂਦੇ ਹੋ, ਹਾਈਡ੍ਰੋਪਲੇਨਿੰਗ ਦਾ ਜੋਖਮ ਵਧ ਜਾਂਦਾ ਹੈ ਜੇਕਰ ਤੁਹਾਡਾ ਟਾਇਰ ਪ੍ਰੈਸ਼ਰ ਬਹੁਤ ਘੱਟ ਹੈ ਜਾਂ ਤੁਹਾਡਾ ਟਾਇਰ ਟ੍ਰੇਡ ਬਹੁਤ ਖਰਾਬ ਹੈ। ਜੇਕਰ ਤੁਸੀਂ ਹਾਈਡ੍ਰੋਪਲੇਨ ਨੂੰ ਚਲਾਉਣਾ ਸ਼ੁਰੂ ਕਰਦੇ ਹੋ, ਤਾਂ ਐਕਸਲੇਟਰ ਨੂੰ ਛੱਡੋ ਅਤੇ ਹੌਲੀ ਕਰਨ ਲਈ ਕਲੱਚ ਵਿੱਚ ਧੱਕੋ।"
