section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,What is the act of turning your head and checking your blind spot before changing lanes called?,"a:An unnecessary practice.,b:A good driving habit.,c:A bad driving habit.",b,"Checking blind spots by turning your head over your shoulder before changing lanes, pulling away from a curb, or merging is a good driving habit—you should not rely solely on mirrors.",
3,"Signs, Signals & Road Markings",An octagonal road sign is always which of the following?,"a:A hospital sign.,b:A speed limit sign.,c:A stop sign.",c,An eight-sided (octagonal) sign always means STOP.,
7,Vehicle Ownership & Responsibilities,Where are you not allowed to park?,"a:In a driveway if permitted by owner.,b:On private property with permission.,c:In a parking lot.,d:On a crosswalk or in a marked bicycle lane.",d,"Parking is unlawful in locations such as crosswalks or marked bicycle lanes; when parking on the street, be within 12 inches of the curb.",difficult
8,Special Situations & Road Users,What lane width is a motorcycle entitled to use?,"a:The bicycle lane only.,b:The same full lane width as any other motor vehicle.,c:Only half the width of a regular lane.",b,"Motorcycles are entitled to occupy the full lane, just like other motor vehicles.",
2,Traffic Laws & Rules of the Road,"If the driver behind you signals they want to pass, what should you do?","a:Maintain your current speed.,b:Slow down to allow room in front of your vehicle for them to pass.,c:Speed up to prevent the pass.",b,"When another driver wants to pass, slow down slightly to create space ahead so they can complete the pass safely.",
5,Driving in Special Conditions,"To stay safe in poor weather, which of the following should you do?","a:Not drive on bald tires.,b:Increase your following distances.,c:Slow down.",b,"In poor weather, slow down, increase following distance, and ensure tires have adequate tread for proper control and stopping.",
2,Traffic Laws & Rules of the Road,"On a narrow road when meeting an oncoming vehicle, what must you do?","a:Demand the other vehicle pull over to make room.,b:Allow the oncoming vehicle at least one-half of the main-traveled portion of the road.,c:Pull completely off the road and stop.",b,"On narrow roads, allow the oncoming vehicle at least half the main traveled portion so both vehicles can pass safely.",
7,Vehicle Ownership & Responsibilities,"When approaching an accident scene, what should you generally do if you are not involved and emergency help has already arrived?","a:Stop in the roadway to look.,b:Pull over in the emergency lane and get out to watch.,c:Keep your attention on driving and continue moving.",c,Do not stop at an accident scene unless you are involved or assistance is required; keep moving and remain attentive to traffic and pedestrians.,
4,Safe & Defensive Driving Practices,"On major highways, what driving habits help prevent 'highway hypnosis' and improve safety?","a:Keep your eyes fixed on the horizon.,b:Stay alert, keep your eyes moving, and be prepared to react to hazards.,c:Turn off cruise control and close your eyes briefly to rest.",b,"To avoid highway hypnosis and stay safe, remain alert, scan the road frequently rather than staring at one spot, and be ready to respond to unexpected hazards.",
5,Driving in Special Conditions,Which of the following should you avoid when driving on slippery roads?,"a:Reduce your following distance.,b:Always drive at the maximum speed limit.,c:Use cruise control to maintain a steady speed.",a,"Avoid cruise control on slippery roads; reduce speed and increase following distance, and avoid sudden steering or braking.",
