section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Before entering a curve you should:,"a:Accelerate quickly.,b:Activate your turn signal.,c:Reduce your speed.,d:Brake hard in the curve.",c,Reduce your speed before you enter a curve so you can steer smoothly and keep traction. Braking hard while already in the curve can cause your tires to lose grip and may lead to skidding or loss of control.,
3,"Signs, Signals & Road Markings",Broken yellow pavement markings are used to:,"a:Separate lanes of traffic moving in opposite directions where passing is allowed.,b:Mark the right edge of the roadway.,c:Indicate no passing zones.,d:Separate lanes of traffic moving in the same direction.",a,"Broken yellow lines separate traffic moving in opposite directions and show that passing is allowed when it is safe and the way ahead is clear. Solid yellow lines, or solid with broken, are used to mark no-passing zones.",
5,Driving in Special Conditions,In dense fog you should slow down and use which lights?,"a:Parking lights only.,b:High beam headlights.,c:Low beam headlights.,d:Emergency flashers only.",c,"In dense fog, slow down and use low beam headlights. Low beams aim light down toward the road and reduce glare. High beams reflect off the fog back into your eyes, making it harder to see.",
8,Special Situations & Road Users,"When following a large truck, you should:","a:Stay farther behind than you would a passenger vehicle.,b:Attempt to stay directly beside the truck.,c:Keep no more than one car length behind.,d:Follow more closely because the truck blocks your view.",a,"When following a large truck, leave extra space. Trucks block your view of the road ahead and need more distance to stop. Staying farther back improves your visibility and gives you more time to react if the truck slows or stops.",difficult
2,Traffic Laws & Rules of the Road,"If you face a green signal but pedestrians remain in the intersection, you must:","a:Proceed only if turning right.,b:Wave the pedestrians on and continue.,c:Proceed because you have the right-of-way.,d:Yield to the pedestrians.",d,"Even with a green light, you must yield to pedestrians who are already in the intersection or crosswalk. Do not move until they have safely cleared your path, including when you are turning on a steady green.",difficult
5,Driving in Special Conditions,"If an oncoming driver fails to dim their headlights, where should you look?","a:Look toward the center of the roadway.,b:Toward the right side of the road.,c:Look straight ahead.",b,"When an oncoming driver does not dim their high beams, you should briefly glance toward the right edge of your lane or the right side of the road. This reduces glare, helps you avoid being blinded, and still lets you use the road edge and lane markings as a guide to stay in your lane.",
5,Driving in Special Conditions,What is the safest action if you find the roadway ahead flooded?,"a:Drive only in the center of the roadway.,b:Slam on the brakes.,c:Do not drive through the flooded area; turn around and find another route.",c,"If the road ahead is flooded, you should not drive through the water. Even a small depth can hide potholes, debris, or washed‑out pavement, and as little as a foot of moving water can sweep a vehicle away. The safest choice is to turn around and find another route.",
1,Licensing & Permit Requirements,How is having a driver license classified?,"a:A right.,b:A requirement.,c:A privilege.",c,"In the United States, driving is considered a privilege, not a right. You must qualify for a license and follow all traffic laws. The state can suspend or revoke your license if you drive unsafely, commit serious violations, or fail to meet legal requirements.",
5,Driving in Special Conditions,Your vehicle can begin to hydroplane at speeds as low as approximately:,"a:25 miles per hour.,b:35 miles per hour.,c:55 miles per hour.,d:45 miles per hour.",b,"Hydroplaning happens when your tires ride on top of water instead of gripping the road. This can begin around 35 mph on wet roads, especially with standing water or worn tires. Reducing speed in rain and driving with good tires helps maintain traction and control.",difficult
2,Traffic Laws & Rules of the Road,"When you approach a flashing red traffic light, you must:","a:Only stop if other vehicles are present.,b:Assume it will turn green soon and proceed.,c:Treat the intersection as if controlled by a stop sign.,d:Turn around and find another route.",c,"A flashing red light means the same as a stop sign. You must come to a complete stop, check for traffic and pedestrians, and proceed only when it is safe and after yielding to anyone with the right‑of‑way.",difficult
2,Traffic Laws & Rules of the Road,What does a steady green traffic light at an intersection allow you to do?,"a:You may continue through the intersection at a safe and reasonable speed, if it is clear to do so.,b:Increase your speed.,c:Adjust your mirrors.",a,"A steady green light means you may go straight or turn, if it is permitted and safe, but you must first yield to pedestrians and any vehicles already in the intersection. Never enter the intersection unless you can clear it safely.",difficult
2,Traffic Laws & Rules of the Road,What speed should you generally travel at?,"a:At or below the speed limit, depending on conditions.,b:At a speed appropriate for road and weather conditions, without exceeding the speed limit.,c:At the speed of vehicles surrounding you, as long as it is safe and legal.",b,"You must always choose a speed that is safe for current traffic, road, and weather conditions, even if that means driving below the posted limit. However, you may never legally exceed the posted speed limit, no matter how good conditions are or how fast other drivers are going.",difficult
7,Vehicle Ownership & Responsibilities,"If you must stop on the freeway shoulder because of an emergency, you should:","a:Leave the vehicle in the lane to block traffic.,b:Get out and walk along the roadway to find help.,c:Raise your vehicle's hood and turn on your hazard lights while stopped safely on the shoulder.,d:Stand behind the car in traffic to warn others.",c,"If you must stop on the freeway shoulder, pull as far off the roadway as possible, turn on your hazard lights, and raise the hood to show you are disabled. Stay inside the vehicle with your seat belt on if it is safe, and do not stand or walk close to moving traffic.",
