id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
83668,What are the drivers legally required to do when an ambulance is approaching with its lights flashing?,,Slow down and proceed with caution.,Pull over to the right and stop.,Pull over to the left and stop.,"Continue with the posted speed, the ambulance will pass you on the left.",B,
83684,"In city traffic, a driver with car windows open and no radio playing might not detect the siren more than _____ feet away.",,50,15,123,100,C,
83671,"When following another vehicle, the following distance should be",,doubled when the road is slippery.,tripled on a road with packed snow.,increased by 50 % if your vehicle is heavy.,Any of the above.,D,
83655,Who is responsible for the mechanical safety of an ambulance?,,The ambulance driver,The service owner,The service mechanic,The ambulance attendant,A,
83648,"When ambulances are readily available from two or more services, your ambulance company may respond to a motor vehicle accident",,only upon instruction from a peace officer or a public agency dispatcher.,whenever your ambulance is closer to the scene than your competitor’s.,immediately after receiving a call from another ambulance driver.,promptly after receiving a call from a private person.,A,
83654,The red warning lights on the ambulance may be displayed,,when responding to an emergency call.,when an extreme hazard exists.,when speed in transporting the patient is crucial.,under any of the above circumstances.,D,
83663,A temporary Certificate becomes void after,,180 days.,3 months.,5 years.,1 year.,A,
83643,"While driving under “Code 3” exemptions, you may disobey a red light only",,after coming to a full stop first.,when you are driving no faster than 30 mph.,when there is no other traffic around.,after slowing down to 15 mph.,D,
83679,Warning lamp effectiveness may be reduced by,,low sun or glare.,confusion with traffic signals and neon lights.,if mounted too high or too low on the ambulance.,any or all of the above factors.,D,
83644,"Even if you have an ambulance driver certificate that has been renewed after December of last year, you may not respond to an emergency call",,if your required EMT has expired.,if your medical certificate was not issued within the last two years.,if your drivers license has been suspended.,in any of the above situations.,D,
83658,"Unless specifically exempted, a new ambulance driver must obtain a valid EMT-1(ambulance) certificate",,after two years of employment.,only if necessary.,only to renew an ambulance driver certificate.,within one year of employment.,D,
83675,The minimum supply of oxygen required when responding to an emergency call is,,15 minutes supply.,20 minutes supply at 10 LPM in a stationary cylinder.,10 minutes supply in a stationary cylinder.,20 minutes supply at 10 LPM in a portable cylinder.,D,
83638,"When driving an ambulance under ""Code 3"", the driver should",,have the siren on at all times.,display a flashing red warning lamp.,avoid passing vehicles on their right.,do all of the above.,C,
83642,Smoking in the ambulance is,,not mentioned in the regulations.,prohibited.,permitted by regulations.,prohibited only in the patients compartment.,A,
83659,Your ambulance drivers certificate may be denied or revoked if you are convicted of,,possession of stolen property.,possession of marijuana.,indecent exposure.,any of the above,D,
83636,The primary responsibility of an ambulance driver is,,speedy transportation to the closest facility.,saving fuel.,safe patient transportation.,the quality of medical care provided to the patient.,C,
83647,Every ambulance driver must be trained to use all the required ambulance equipment and to assist the attendant in care of the injured,,within the first year of employment.,within the first 90 days of employment.,before responding to an emergency call.,within the first 6 months of employment.,C,
83657,"When transporting a stabilized patient, the driver should",,always drive “Code 3”.,drive within the posted speed limit.,always use the siren.,use only the flashing red lights without the siren.,B,
83674,"""Code 3"" is prohibited by the regulations",,in adverse weather conditions.,in congested traffic.,when the posted speed limit is 75 mph or more.,when the patient is in critical condition.,B,
83685,"When backing up, an ambulance driver should",,use the horn to warn the other drivers and pedestrians about your intention.,constantly check your mirrors.,keep checking for pedestrians or obstacles.,all of the above.,D,
83677,"Driving under ""Code 3"" may be justified for the following reason(s):",,to prevent undue suffering.,to prevent disability.,to save a life.,any or all of the above reasons.,D,
83665,How often are fire extinguishers to be inspected and serviced?,,Every months,Every day,"Every year, or immediately after use","Every three months, or immediately after use",C,
83661,Who has the main authority for managing the scene of a traffic accident that involves injuries?,,Paramedics,The driver,Ambulance attendant,Public safety agency having investigative authority,D,
83650,"The decision to use high speed patient transportation requires sound judgement, because high speed may",,disrupt ongoing medical treatment.,put a stabilized patient into shock.,scare the patient.,do all of the above.,D,
83641,The driver is required to inspect the ambulance,,daily.,after every trip.,once a week.,at the start of their shift.,D,
83669,When is it necessary to display a steady red light on an ambulance?,,When you are done your shift,When passing other vehicles,In case of an extreme hazard,Every time you drive an ambulance,C,
83652,"When a qualified attendant is not readily available, the driver's responsibility is to",,respond promptly without the attendant.,notify the dispatcher that you are unable to respond.,wait for the attendant.,ask a trainee to help.,B,
83666,"What are the conditions for driving under ""Code 3"" exemption ?",,Uncontrolled cardiovascular impairment,Complicated childbirth,Uncontrolled hemorrhage,Any or all of the above conditions,D,
83662,"While driving under “Code 3” exemptions, which hazards should you anticipate?",,Drivers not following the Move Over Law,Inattentive drivers,Blind intersections,All of the above,D,
83651,In order to maintain a valid ambulance driver certificate you must pass a physical exam,,every two years.,when renewing the EMT-1(Ambulance) certificate.,once a month.,every year.,A,
83649,Studies have shown that sirens on emergency vehicles do not give sufficient warnings to,,pedestrians.,drivers of vehicles approaching on an intersecting street.,in busy city traffic.,approaching drivers.,B,
83682,All reusable medical supplies should be kept,,clean and ready to use.,sterilized.,disinfected.,all of the above.,D,
83680,The driver should look _____ before entering an intersection.,,it doesn't matter as long as he looks both ways.,right-left-right,right and left,left-right-left,D,
83656,A tire with the tread depth of less than ____in any two adjacent grooves must not be used on an ambulance.,,1/16 of an inch,1/32 of an inch,3/32 of an inch,None of the above,B,
83645,Patients with _____ require low speed patient transportation.,,serious fractures,spinal Injuries,heart attack,all of the above conditions,D,
83640,You must not operate an ambulance when you are,,temporarily disabled.,tired or sick.,permanently disabled.,any of the above.,D,
83673,"If you must back your ambulance, you must station an observer",,outside and to the left rear of the vehicle.,outside and to the back of your vehicle.,outside and to the right of the vehicle.,inside looking out of the right window.,A,
83664,What is the most urgent Code?,,1,2,3,0,C,
83639,"If your ambulance drivers certificate has been revoked for reckless driving, when are you allowed to reapply?",,You must wait for a minimum of six months.,Within a year.,You must wait for a year before reapplying.,After three years.,C,
83653,The amber warning lights on the ambulance may be displayed only,,during “Code 3” operation.,at the scene of an emergency.,during an unusual traffic hazard.,when loading a patient.,C,
83681,Which of the following statements is FALSE?,,Ambulance mattresses should be covered with impervious plastic material.,Safety equipment of an ambulance include seatbelts for every seat.,All drivers and passengers of an ambulance are required to wear seatbelts.,Each ambulance must have 4 complete sets of clean linen supplies per ambulance cot.,C,
83678,"When using a siren, an ambulance driver should",,"assume drivers do not hear the siren, especially at intersections.",assume drivers have difficulty locating the source of siren.,use the siren only when it is most effective.,do all of the above.,D,
83683,"To protect against HIV, hepatitis B, each ambulance must be equipped with",,containers for soiled equipment.,masks with one way valves.,goggles.,all of the above.,D,
83670,What is/are the primary rule/s of high speed driving?,,"When you double your speed, the braking distance quadruples.",Do not allow your brakes to fade.,Do not try to negotiate a curve or a turn faster than reasonbly possible.,All of the above.,D,
83672,Which of the following statements is FALSE?,,An ambulance driver must keep a minimum 3 (three) seconds following distance in ideal conditions.,An ambulance driver must never pass other vehicles on the right.,An ambulance driver may violate the red traffic signal only if the vehicle's speed is 15 mph or less.,An ambulance driver is required training in drawing blood.,D,
83635,"""Code 3"" transportation is most likely required for patients that have",,uncontrolled hemorrhage.,serious fractures.,heart attacks.,spinal injuries.,A,
83660,A conviction that has been set aside or dismissed following probation as permitted by Penal Code Section 1203.4,,will not affect your application.,may not be used to disqualify an applicant,does not need to be reported on the application.,is considered a conviction regardless of the dismissal.,D,
83667,What are the essential signs and conditions for the special exemptions from the basic traffic laws?,,The siren is used when reasonably necessary.,An ambulance is displaying a steady red light visible from 1000' to the front of vehicle.,An ambulance is responding to an emergency call.,All of the above.,D,
83676,A utility floodlight on the ambulance may be displayed when,,loading or unloading a patient.,at all times.,never.,"when driving at ""Code 3"".",A,
83637,An ambulance driver must demonstrate the ability to safely operate an ambulance to,,the California Highway Patrol.,all the above,the DMV.,their employer.,D,
