section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving",What term refers to the amount of alcohol present in a person's bloodstream?,"a:Driving under influence level (DUI level).,b:Rate of alcohol consumption (RAC).,c:Implied consent (IC).,d:Blood alcohol concentration (BAC).",d,Blood alcohol concentration (BAC) measures the percentage of alcohol in the blood; higher BAC levels indicate greater impairment.,easy
8,Special Situations & Road Users,"After stopping for a train at a railroad crossing and the train passes, you should:","a:Honk to signal your intent to cross.,b:Drive around crossing gates if they stay down briefly.,c:Immediately proceed once the visible train passes.,d:Look for a second train and wait for signals to stop flashing.",d,There may be another train on adjacent tracks; wait until all gates are up and signals stop before proceeding.,medium
3,"Signs, Signals & Road Markings",Regulatory signs are typically what color background?,"a:White.,b:Green.,c:Blue.,d:Yellow.",a,"Regulatory signs (speed, stop, yield, etc.) are usually white rectangles or squares with colored symbols or text.",easy
5,Driving in Special Conditions,"Work zone barrels, cones, and signs are used to:","a:Inconvenience drivers intentionally.,b:Make drivers angry about slow traffic.,c:Keep drivers out of hazardous work areas.",c,These devices guide and protect drivers and workers by keeping traffic out of dangerous parts of the work zone.,easy
3,"Signs, Signals & Road Markings",A centerline with one solid yellow and one broken yellow line means:,"a:You are not allowed to pass in this area.,b:You are only allowed to make right turns in this area.,c:You may pass from the side next to the broken line when it is safe.",c,"When the broken line is adjacent to your lane, you may cross it to pass if it is safe; the solid line side may not pass.",medium
2,Traffic Laws & Rules of the Road,"If you are already in an intersection when a green light changes to yellow, you should:","a:Stop in the intersection,b:Continue moving and clear the intersection safely.",b,"If you are within the intersection when the light turns yellow, proceed to clear it safely rather than stopping in it.",medium
3,"Signs, Signals & Road Markings",A broken yellow line between two lanes of traffic indicates:,"a:Both lanes of traffic are going in the same direction.,b:Passing is not permitted.,c:Passing is permitted when it is safe.",c,Dashed yellow lines separate opposing lanes and mean that passing is allowed when it is safe to do so.,easy
5,Driving in Special Conditions,"In fog, rain, or snow you should use:","a:High beam headlights.,b:Fog lights only.,c:Low beam headlights.",c,Low beam headlights reduce glare from reflected moisture and help you see better in precipitation and fog.,easy
5,Driving in Special Conditions,Why is driving at night generally more dangerous than driving in daylight?,"a:Your reaction time is slower at night.,b:The road is always more slippery at night.,c:You cannot see as far ahead at night.,d:Oncoming headlights eliminate glare.",c,Reduced visibility and glare from oncoming lights mean you cannot see as far at night; use headlights and be cautious.,easy
4,Safe & Defensive Driving Practices,"Because motorcycles and similar small vehicles can be hard to spot, you should:","a:Make constant visual checks and be especially alert.,b:Share a lane with a motorcycle.,c:Slow down every time you see one.",a,Motorcycles can be hidden in blind spots; check mirrors frequently and look carefully before changing lanes or turning.,easy
