Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Exclusive Right-to-Sell","Estate for Years","Escrow","Bilateral Contract","D","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Acceptance","Escrow","Exclusive Right-to-Sell","Estate for Years","B","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Accord","Acceptance","Estate for Years","Exclusive Right-to-Sell","C","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Exclusive Right-to-Sell","Acceptance","Accord","Accord And Satisfaction","A","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accord","Accounts Payable","Acceptance","Accord And Satisfaction","C","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accord","Accord And Satisfaction","Accounts Payable","Addendum","A","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Additional Deposit","Accord And Satisfaction","Accounts Payable","Addendum","B","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Accounts Payable","Addendum","Additional Deposit","Adjusted Mortgage","A","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Administrator's Deed","Adjusted Mortgage","Addendum","Additional Deposit","C","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Additional Deposit","Adult","Administrator's Deed","Adjusted Mortgage","A","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property.","Ad Valorem","Parol","Order Confirming Sale","Parcel Map","A","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"National: Real Estate Practice","State Rules","National","A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. matches which of the following terms?","Asbestos","Per Capita","Parcel Map","Parol","A","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes.","Assessed Value","Per Capita","Parol","Per Stirpes","A","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"National: Real Estate Practice","State Rules","National","Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. is the legal definition of:","Per Stirpes","Lis Pendens","Pocket Card","Per Capita","B","Lis Pendens is defined as: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. Example: A buyer sues a seller for specific performance to force the sale of a home. The buyer's attorney records a lis pendens on the property to prevent the seller from selling it to someone else during the lawsuit."
"National: Real Estate Practice","State Rules","National","What real estate term matches the following description: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members.","A.I.R. (american Industrial Real Estate Association)","Pocket Card","Police Power","Per Stirpes","A","A.I.R. (american Industrial Real Estate Association) is defined as: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. Example: An example applying the concept of A.I.R. (american Industrial Real Estate Association) in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Define: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes.","Power Of Attorney","Pocket Card","Police Power","Abandonment Of Homestead","D","Abandonment Of Homestead is defined as: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. Example: An example applying the concept of Abandonment Of Homestead in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. matches which of the following terms?","Pre-emption Right","Police Power","Power Of Attorney","Accommodator","D","Accommodator is defined as: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. Example: An example applying the concept of Accommodator in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","Select the correct term for this definition: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A..","Pre-emption Right","Probate Sale","Administrator","Power Of Attorney","C","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","A written statement or declaration, sworn to before an officer who has authority to administer an oath. is the legal definition of:","Affidavit","Probate Sale","Pre-emption Right","Profit A Prendre","A","Affidavit is defined as: A written statement or declaration, sworn to before an officer who has authority to administer an oath. Example: An example applying the concept of Affidavit in U.S. real estate transactions."
"National: Real Estate Practice","State Rules","National","What real estate term matches the following description: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support.","Profit And Loss Statement","Affidavit Of Alimony And Child Support","Profit A Prendre","Probate Sale","B","Affidavit Of Alimony And Child Support is defined as: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support. Example: An example applying the concept of Affidavit Of Alimony And Child Support in U.S. real estate transactions."
"National: General Principles of Agency","Agency & Ethics","National","A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. is the legal definition of:","Agency","Proxy","Private Mortgage Insurance","Property Management","A","Agency is defined as: A legal relationship where one party (the agent) acts on behalf of and under the control of another party (the principal) in dealings with third parties. Example: A home seller hires a real estate broker to market their home. The seller signs a listing agreement, creating an agency relationship. The broker now has the legal authority and duty to represent the seller's interests in negotiations with prospective buyers."
"National: General Principles of Agency","Agency & Ethics","National","What real estate term matches the following description: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood.","Property Management","Public Housing Agency","Blockbusting","Proxy","C","Blockbusting is defined as: An illegal practice where real estate agents induce property owners to sell at low prices by claiming that minority groups are moving into the neighborhood. Example: An agent contacts homeowners in a subdivision and warns them that a minority family has purchased a nearby home, advising them to sell their properties before home values drop. This is blockbusting, and it violates federal fair housing laws."
"National: General Principles of Agency","Agency & Ethics","National","Define: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing.","Caveat Emptor","Ratification","Proxy","Public Housing Agency","A","Caveat Emptor is defined as: Latin for 'let the buyer beware,' a legal principle holding the buyer responsible for assessing property quality and defects before purchasing. Example: A buyer purchases a home in a state with strict caveat emptor laws. During inspections, they fail to check the crawlspace. After closing, they discover termite damage. Under caveat emptor, the buyer is responsible for the repairs unless they can prove the seller intentionally concealed the damage."
"National: General Principles of Agency","Agency & Ethics","National","An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. matches which of the following terms?","Real Estate Agent","Ratification","Public Housing Agency","Commingling","D","Commingling is defined as: An illegal practice where a licensed broker mixes client funds (such as earnest money escrows) with their personal or business operating funds. Example: A broker receives a $5,000 earnest money check from a buyer. Instead of depositing it into the brokerage's trust account, they deposit it into their business operating account to pay office utilities, intending to transfer it back later. This is commingling, and it can result in the revocation of their real estate license."
"National: General Principles of Agency","Agency & Ethics","National","Select the correct term for this definition: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties.","Real Estate Brokerage Managers Council","Ratification","Dual Agency","Real Estate Agent","C","Dual Agency is defined as: A relationship where a single broker represents both the buyer and the seller in the same transaction. Requires written disclosure and consent from both parties. Example: An agent lists a house for sale. A buyer who does not have an agent contacts them directly to purchase the home. The agent represents both the buyer and the seller in the transaction, creating a dual agency relationship that requires signed disclosures from both parties."
"National: General Principles of Agency","Agency & Ethics","National","A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability. is the legal definition of:","Real Estate Brokerage Managers Council","Real Estate Agent","Realtors National Marketing Institute","Fair Housing Act","D","Fair Housing Act is defined as: A federal law prohibiting discrimination in housing based on race, color, national origin, religion, sex, familial status, or disability. Example: A landlord refuses to rent an apartment to a qualified family because they have children. This is a violation of the Fair Housing Act, which protects familial status."
