Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is the legal BAC limit for drivers age 21 and over in most states?,0.02%,0.05%,0.08%,0.10%,C,Most states set the legal BAC limit at 0.08% for adult drivers.
Drivers under 21 are subject to:,Standard BAC limits,Higher BAC limits,Zero-tolerance laws,No alcohol laws,C,Most states enforce zero-tolerance laws for drivers under 21.
Prescription drugs can affect driving by:,Improving focus,Causing drowsiness or slowed reaction,Having no effect,Only affecting new drivers,B,Many prescription drugs can impair alertness and reaction time.
Driving under the influence of marijuana is:,Legal everywhere,Legal if prescribed,Illegal if it impairs driving,Allowed at low doses,C,Driving while impaired by any drug is illegal.
Refusing a chemical test when suspected of DUI may result in:,No consequences,A warning,License suspension,Reduced fine,C,Most states impose automatic license suspension for refusal.
Mixing alcohol with drugs is:,Safer than alcohol alone,Less impairing,More dangerous,Only illegal for minors,C,Combining substances increases impairment and crash risk.
A driver can be arrested for DUI if BAC is below 0.08%:,Never,Only at night,If driving is impaired,Only after an accident,C,Drivers can be arrested if impaired regardless of BAC level.
Which is a sign of impaired driving?,Steady speed,Quick reactions,Swerving or drifting lanes,Proper signaling,C,Swerving and poor lane control indicate impairment.
Over-the-counter medications can impair driving by:,Improving coordination,Causing drowsiness or dizziness,Increasing alertness,Having no effect,B,Many cold and allergy medicines can impair driving ability.
DUI laws apply to:,Alcohol only,Illegal drugs only,Alcohol and drugs,Commercial drivers only,C,DUI laws apply to impairment from alcohol, drugs, or both.
