section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,"When passing, when should you move back into the right lane?","a:When you can see both headlights of the passed vehicle in your rearview mirror.,b:When you are one vehicle length ahead.,c:After a fixed three-second wait.,d:When the driver waves you back.",a,Return to your lane only after you can see the passed vehicle's headlights in your rearview mirror and are sure you have enough room.,medium
1,Traffic Laws & Rules of the Road,"When turning left at an intersection, you must:","a:Always yield to oncoming traffic and pedestrians.,b:Expect oncoming traffic and pedestrians to yield to you.,c:Never yield to anyone.,d:Only yield to vehicles, not pedestrians.",a,Left-turning drivers must yield to oncoming traffic traveling straight and to pedestrians.,medium
1,Traffic Laws & Rules of the Road,"Before passing another vehicle, you should signal when?","a:After you begin to pass.,b:Just before changing lanes so others see your intent.,c:Only if a police officer is present.,d:Only after you complete the pass.",b,Signal early enough before passing so other drivers understand your intentions in advance.,medium
1,Traffic Laws & Rules of the Road,What is defensive driving?,"a:Identifying dangerous driving situations and taking action to avoid accidents.,b:Defending yourself against poor drivers by getting ahead of them in traffic.,c:Following the vehicle ahead of you at a close distance.",a,Defensive driving means recognizing hazards and taking proactive steps to avoid accidents.,medium
1,Traffic Laws & Rules of the Road,Should drivers avoid driving beside large vehicles for long periods?,"a:True—drivers should be cautious and avoid lingering beside large vehicles.,b:False—it's fine to travel side-by-side with large vehicles.,c:Only true on highways,d:Only true at night",a,Large vehicles have extensive blind spots; avoid driving beside them for extended periods and either drop back or move ahead.,medium
1,Traffic Laws & Rules of the Road,"When preparing to exit an interstate, when is it appropriate to reduce your speed?","a:Immediately upon entering the deceleration lane.,b:About halfway through the deceleration lane.,c:Before reaching the deceleration lane.",a,Maintain highway speed until you reach the deceleration lane; then reduce speed to the posted advisory speed for the ramp.,medium
1,Traffic Laws & Rules of the Road,"When the weather is poor, what should drivers do to following distance?","a:Increase their following distance.,b:Decrease their following distance.,c:Increase their speed to reach destination more quickly.",a,"In bad weather, increase following distance to allow for longer stopping times.",medium
1,Traffic Laws & Rules of the Road,What practice best ensures safety when backing your vehicle?,"a:Honk the horn before reversing.,b:Walk behind the vehicle and check the area before getting in to back up.,c:Rely only on your rearview mirrors.,d:Back quickly to save time.",b,"Before backing, walk to the rear of the vehicle to check for children or objects; backing requires extra caution.",medium
1,Traffic Laws & Rules of the Road,What does a yellow left-turn arrow indicate?,"a:Drivers should prepare to yield to oncoming traffic.,b:The protected left turn is about to end.,c:Both of the above.",c,A yellow left-turn arrow warns that the protected turn is ending and drivers must prepare to yield to oncoming traffic.,medium
1,Traffic Laws & Rules of the Road,"If you are very angry after an argument, what is the safest choice?","a:Take a few minutes to calm down before driving.,b:Play loud music to distract yourself.,c:Drive on the interstate to vent frustration.",a,Strong emotions reduce driving ability; pause to cool off before getting behind the wheel.,medium
1,Traffic Laws & Rules of the Road,Which statement about large trucks is correct?,"a:They take longer to stop than passenger vehicles.,b:They are more maneuverable than passenger vehicles.,c:They all have air brakes that allow them to stop quickly.",a,Large trucks require much longer stopping distances than passenger vehicles because of their size and weight.,medium
1,Traffic Laws & Rules of the Road,Why must you use extra caution near a pedestrian carrying a white cane?,"a:They may be blind or have limited vision and may not see traffic.,b:They are likely to move quickly out of the way.,c:They are signaling you to proceed.,d:They are traffic officers.",a,Pedestrians with white canes or guide dogs are blind or visually impaired; yield the right-of-way and be prepared to stop.,medium
