id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
55168,"ਇਹ ਸੁਨਿਸ਼ਚਿਤ ਕਰੋ ਕਿ _________ ਨੂੰ ਕੱਟਿਆ ਨਹੀਂ ਗਿਆ, ਛਾਣਿਆ ਗਿਆ, ਕੱਟਿਆ ਗਿਆ, ਜਾਂ ਪਹਿਨਿਆ ਨਹੀਂ ਗਿਆ ਹੈ, ਅਤੇ ਟ੍ਰੈਕਟਰ ਦੇ ਪੁਰਜ਼ਿਆਂ ਨਾਲ ਉਲਝਿਆ, ਚਿਣਿਆ ਜਾਂ ਖਿੱਚਿਆ ਨਹੀਂ ਗਿਆ ਹੈ।",,ਸਪਲੈਸ਼ ਗਾਰਡ,ਦਰਵਾਜ਼ੇ ਦੇ ਸਬੰਧ ਅਤੇ ਲਿਫਟਾਂ,ਏਅਰ ਲਾਈਨਾਂ ਅਤੇ ਬਿਜਲੀ ਦੀਆਂ ਲਾਈਨਾਂ,ਤਾਲੇ ਜਬਾੜੇ,C,"ਆਪਣੇ ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਦੌਰਾਨ, ਬਿਜਲੀ ਦੀਆਂ ਲਾਈਨਾਂ ਅਤੇ ਏਅਰ ਹੋਜ਼ (ਜਾਂ ਹਾਈਡ੍ਰੌਲਿਕ ਬ੍ਰੇਕਾਂ ਲਈ ਹਾਈਡ੍ਰੌਲਿਕ ਹੋਜ਼) ਦੀ ਜਾਂਚ ਕਰੋ। ਇਹ ਸੁਨਿਸ਼ਚਿਤ ਕਰੋ ਕਿ ਲਾਈਨਾਂ ਅਤੇ ਹੋਜ਼ਾਂ ਨੂੰ ਕੱਟਿਆ, ਚੱਫਿਆ, ਕੱਟਿਆ ਜਾਂ ਖਰਾਬ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ। ਇਹ ਵੀ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਉਹ ਟਰੈਕਟਰ ਦੇ ਹਿੱਸਿਆਂ 'ਤੇ ਉਲਝੇ ਹੋਏ, ਚਿਮਟੇ ਹੋਏ ਜਾਂ ਘਸੀਟਦੇ ਨਹੀਂ ਹਨ।"
55162,ਤੁਸੀਂ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਕੀ ਨਿਰੀਖਣ ਕਰਦੇ ਹੋ ਕਿ ਸਾਰੇ ਮੌਜੂਦ ਹਨ ਅਤੇ ਢਿੱਲੇਪਣ ਦੇ ਕੋਈ ਸੰਕੇਤ ਨਹੀਂ ਦਿਖਾਉਂਦੇ ਜਿਵੇਂ ਕਿ ਜੰਗਾਲ ਦੇ ਰਸਤੇ ਜਾਂ ਚਮਕਦਾਰ ਧਾਗੇ?,,ਰਿਮਸ,ਲੂਗ ਗਿਰੀਦਾਰ,ਸਪੇਸਰ,ਉੱਪਰ ਵਾਲਿਆਂ ਵਿਚੋਂ ਕੋਈ ਵੀ ਨਹੀਂ,B,"ਆਪਣੇ ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਦੌਰਾਨ, ਜਾਂਚ ਕਰੋ ਕਿ ਸਾਰੇ ਲੂਗ ਗਿਰੀਦਾਰ ਮੌਜੂਦ ਹਨ ਅਤੇ ਉਹਨਾਂ ਲਈ ਹਿਸਾਬ-ਕਿਤਾਬ, ਕੱਸ ਕੇ ਬੰਨ੍ਹਿਆ ਹੋਇਆ ਹੈ, ਅਤੇ ਚੀਰ ਜਾਂ ਵਿਗਾੜ ਤੋਂ ਮੁਕਤ ਹੈ।"
55164,ਏਅਰ ਬ੍ਰੇਕ ਸਿਸਟਮ ਵਿੱਚ ਹਵਾ ਦਾ ਦਬਾਅ ਕੀ ਰੱਖਦਾ ਹੈ?,,ਪਾਵਰ ਸਟੀਅਰਿੰਗ,ਪਾਣੀ ਪੰਪ,ਏਅਰ ਕੰਪ੍ਰੈਸ਼ਰ,ਅਲਟਰਨੇਟਰ,C,"ਏਅਰ ਕੰਪ੍ਰੈਸ਼ਰ ਏਅਰ ਸਟੋਰੇਜ਼ ਟੈਂਕਾਂ ਵਿੱਚ ਹਵਾ ਨੂੰ ਪੰਪ ਕਰਕੇ ਏਅਰ ਬ੍ਰੇਕ ਲਈ ਹਵਾ ਦਾ ਦਬਾਅ ਬਣਾਈ ਰੱਖਦਾ ਹੈ। ਜੇਕਰ ਤੁਹਾਡੇ ਵਾਹਨ ਦਾ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਬੈਲਟ ਨਾਲ ਚੱਲਦਾ ਹੈ, ਤਾਂ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਇਸਦੀ ਡਰਾਈਵ ਬੈਲਟ ਸੁੰਨ ਹੈ। ਇੱਕ ਬੈਲਟ ਜੋ ਬਹੁਤ ਢਿੱਲੀ ਹੈ, ਫਿਸਲ ਸਕਦੀ ਹੈ ਅਤੇ ਏਅਰ ਕੰਪ੍ਰੈਸਰ ਨੂੰ ਸਹੀ ਢੰਗ ਨਾਲ ਨਹੀਂ ਚਲਾ ਸਕਦੀ।"
55170,ਸਲਾਈਡਿੰਗ ਪੰਜਵੇਂ ਪਹੀਏ ਦੀ ਸਲਾਈਡ ਵਿਧੀ ਵਿੱਚ ਬਿਨਾਂ ਢਿੱਲੀ ਜਾਂ ਗੁੰਮ ਹੋਈ ਪਿੰਨ ਦੇ ਨਾਲ ਕੀ ਪੂਰੀ ਤਰ੍ਹਾਂ ਜੁੜਿਆ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ?,,ਸਲਾਈਡਿੰਗ ਪਿੰਟਲ,ਪਾੜਾ,ਤਾਲਾਬੰਦੀ ਪਿੰਨ,ਤਾਲੇ ਜਬਾੜੇ,C,"ਬਹੁਤ ਸਾਰੇ ਵਾਹਨਾਂ 'ਤੇ, ਪੰਜਵਾਂ ਪਹੀਆ ਸਲਾਈਡਰ ਰੇਲਾਂ 'ਤੇ ਅੱਗੇ ਅਤੇ ਪਿੱਛੇ ਵੱਲ ਸਲਾਈਡ ਕਰਨ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ। ਜੇਕਰ ਤੁਹਾਡੇ ਵਾਹਨ 'ਤੇ ਅਜਿਹਾ ਹੈ, ਤਾਂ ਸਲਾਈਡਿੰਗ ਪੰਜਵੇਂ ਪਹੀਏ ਦੇ ਲਾਕਿੰਗ ਪਿੰਨ ਦੀ ਜਾਂਚ ਕਰੋ। ਇਹ ਸੁਨਿਸ਼ਚਿਤ ਕਰੋ ਕਿ ਉਹਨਾਂ ਵਿੱਚੋਂ ਕੋਈ ਵੀ ਢਿੱਲੀ ਜਾਂ ਗੁੰਮ ਨਹੀਂ ਹੈ ਅਤੇ ਇਹ ਸਾਰੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਲੱਗੇ ਹੋਏ ਹਨ।"
55165,ਕਿਹੜੇ ਟਾਇਰਾਂ ਦੀ ਘੱਟੋ-ਘੱਟ ਟ੍ਰੇਡ ਡੂੰਘਾਈ 4/32 ਇੰਚ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ?,,ਵਾਧੂ ਟਾਇਰ,ਸਟੀਅਰਿੰਗ ਐਕਸਲ ਟਾਇਰ,ਗੈਰ-ਡਰਾਈਵ ਐਕਸਲ ਟਾਇਰ,ਉੱਤੇ ਦਿਤੇ ਸਾਰੇ,B,"ਸਟੀਅਰਿੰਗ ਐਕਸਲ ਦੇ ਟਾਇਰਾਂ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 4/32 ਇੰਚ ਟ੍ਰੇਡ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ, ਅਤੇ ਬਾਕੀ ਸਾਰੇ ਟਾਇਰਾਂ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 2/32 ਇੰਚ ਟ੍ਰੇਡ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ। ਸਾਹਮਣੇ ਵਾਲੇ ਟਾਇਰਾਂ 'ਤੇ ਨਾਕਾਫ਼ੀ ਟ੍ਰੈਡ ਫਰੰਟ-ਵ੍ਹੀਲ ਸਕਿਡ ਦੇ ਜੋਖਮ ਨੂੰ ਵਧਾਉਂਦਾ ਹੈ।"
55159,ਵ੍ਹੀਲ ਬ੍ਰੇਕ ਅਸੈਂਬਲੀ ਵਿੱਚ ਹਵਾ ਜਾਂ ਹਾਈਡ੍ਰੌਲਿਕ ਤਰਲ ਕੀ ਲੈ ਜਾਂਦਾ ਹੈ?,,ਸਲੈਕ ਐਡਜਸਟਰ,ਬ੍ਰੇਕ ਲਾਈਨਿੰਗ,ਬ੍ਰੇਕ ਹੋਜ਼ / ਲਾਈਨ,ਬ੍ਰੇਕ ਚੈਂਬਰ,C,"ਕੰਪਰੈੱਸਡ ਹਵਾ (ਜਾਂ ਹਾਈਡ੍ਰੌਲਿਕ ਤਰਲ ਜੇ ਤੁਹਾਡੇ ਵਾਹਨ ਵਿੱਚ ਹਾਈਡ੍ਰੌਲਿਕ ਬ੍ਰੇਕ ਹਨ) ਹੋਜ਼ਾਂ ਅਤੇ ਲਾਈਨਾਂ ਰਾਹੀਂ ਬ੍ਰੇਕਾਂ ਵਿੱਚ ਵਹਿੰਦੀ ਹੈ। ਆਪਣੇ ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਦੌਰਾਨ, ਲੀਕ ਜਾਂ ਉਲਝਣ ਲਈ ਸਾਰੀਆਂ ਹੋਜ਼ਾਂ ਅਤੇ ਲਾਈਨਾਂ ਦੀ ਜਾਂਚ ਕਰੋ।"
55171,"ਗੰਭੀਰ ਜਾਂ ਤੂਫਾਨੀ ਮੌਸਮ ਦੇ ਦੌਰਾਨ ਦਿੱਖ ਨੂੰ ਬਿਹਤਰ ਬਣਾਉਣ ਲਈ, __________ ਸੁਰੱਖਿਅਤ, ਨੁਕਸਾਨ ਰਹਿਤ, ਅਤੇ ਸੁਚਾਰੂ ਅਤੇ ਸਹੀ ਢੰਗ ਨਾਲ ਕੰਮ ਕਰਨਾ ਲਾਜ਼ਮੀ ਹੈ।",,ਹੱਥ ਅਤੇ ਕਦਮ,ਵਿੰਡਸ਼ੀਲਡ ਵਾਈਪਰ ਅਤੇ ਵਾਸ਼ਰ,ਰੋਸ਼ਨੀ ਸੂਚਕ,ਸੰਕਟਕਾਲੀਨ ਉਪਕਰਣ,B,ਜਾਂਚ ਕਰੋ ਕਿ ਵਿੰਡਸ਼ੀਲਡ ਵਾਈਪਰ ਬਲੇਡ ਚੰਗੀ ਸਥਿਤੀ ਵਿੱਚ ਹਨ ਅਤੇ ਵਿੰਡਸ਼ੀਲਡ ਦੇ ਵਿਰੁੱਧ ਕਾਫ਼ੀ ਜ਼ੋਰ ਨਾਲ ਦਬਾਓ ਤਾਂ ਜੋ ਇਸਨੂੰ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸਟ੍ਰੀਕਿੰਗ ਤੋਂ ਬਿਨਾਂ ਸਾਫ਼ ਰੱਖਿਆ ਜਾ ਸਕੇ। ਇਹ ਵੀ ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਵਿੰਡਸ਼ੀਲਡ ਵਾਸ਼ਰ ਮਕੈਨਿਜ਼ਮ ਕੰਮ ਕਰਦਾ ਹੈ ਅਤੇ ਸਰੋਵਰ ਵਿੱਚ ਕਾਫ਼ੀ ਵਿੰਡਸ਼ੀਲਡ ਵਾਸ਼ਰ ਤਰਲ ਹੈ।
55172,"_________ ਬਿਨਾਂ ਕਿਸੇ ਗੰਦਗੀ, ਗੈਰ-ਕਾਨੂੰਨੀ ਸਟਿੱਕਰਾਂ, ਰੁਕਾਵਟਾਂ, ਜਾਂ ਨੁਕਸਾਨ ਤੋਂ ਸਾਫ਼ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।",,ਹੈੱਡਲਾਈਟਾਂ,ਰੋਸ਼ਨੀ ਸੂਚਕ,ਵਿੰਡਸ਼ੀਲਡ ਅਤੇ ਸ਼ੀਸ਼ੇ,ਉੱਪਰ ਵਾਲਿਆਂ ਵਿਚੋਂ ਕੋਈ ਵੀ ਨਹੀਂ,C,"ਵਿੰਡਸ਼ੀਲਡ ਅਤੇ ਸ਼ੀਸ਼ੇ ਸਾਫ਼ ਅਤੇ ਨੁਕਸਾਨ ਤੋਂ ਮੁਕਤ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ, ਗੈਰ-ਕਾਨੂੰਨੀ ਸਟਿੱਕਰ, ਜਾਂ ਰੁਕਾਵਟਾਂ ਜੋ ਦਿਖਣਯੋਗਤਾ ਵਿੱਚ ਰੁਕਾਵਟ ਪਾ ਸਕਦੀਆਂ ਹਨ।"
55166,ਹੇਠਾਂ ਦਿੱਤੇ ਵਿੱਚੋਂ ਕਿਹੜਾ ਇੰਜਣ ਨੂੰ ਡ੍ਰਾਈਵਟਰੇਨ ਤੋਂ ਵੱਖ ਕਰ ਸਕਦਾ ਹੈ?,,ਪਾਰਕਿੰਗ ਬ੍ਰੇਕ,ਡਰਾਈਵ ਸ਼ਾਫਟ,ਕਲਚ ਅਤੇ ਗਿਅਰਸ਼ਿਫਟ,ਪਾਣੀ ਪੰਪ,C,"ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਇੰਜਣ ਚਾਲੂ ਕਰਦੇ ਹੋ ਤਾਂ ਤੁਹਾਡਾ ਵਾਹਨ ਹਿੱਲਦਾ ਨਹੀਂ ਹੈ, ਪਹਿਲਾਂ ਕਲਚ ਨੂੰ ਦਬਾਓ (ਜਦੋਂ ਤੱਕ ਵਾਹਨ ਵਿੱਚ ਆਟੋਮੈਟਿਕ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਨਾ ਹੋਵੇ) ਅਤੇ ਗੀਅਰਸ਼ਿਫਟ ਨੂੰ ਨਿਊਟਰਲ ਵਿੱਚ ਰੱਖੋ (ਜਾਂ ਇੱਕ ਆਟੋਮੈਟਿਕ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਲਈ ਪਾਰਕ ਕਰੋ)। ਇੰਜਣ ਚਾਲੂ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਹੌਲੀ-ਹੌਲੀ ਕਲਚ ਨੂੰ ਛੱਡ ਦਿਓ।"
55173,"_________ ਉਹ ਬਰੈਕਟ, ਬੋਲਟ ਜਾਂ ਬੁਸ਼ਿੰਗ ਹਨ ਜੋ ਸਪਰਿੰਗ ਜਾਂ ਏਅਰ ਬੈਗ ਨੂੰ ਐਕਸਲ ਅਤੇ ਵਾਹਨ ਦੇ ਫਰੇਮ ਨਾਲ ਜੋੜਨ ਲਈ ਵਰਤੇ ਜਾਂਦੇ ਹਨ।",,ਬਸੰਤ ਮਾਊਂਟ,ਮਾਊਂਟਿੰਗ ਬੋਲਟ,ਸਦਮਾ ਸੋਖਕ,ਟੋਰਕ,A,"ਸਪਰਿੰਗ ਮਾਊਂਟ ਵਿੱਚ ਬਰੈਕਟ, ਬੋਲਟ, ਬੇੜੀਆਂ ਅਤੇ ਬੁਸ਼ਿੰਗ ਹੁੰਦੇ ਹਨ ਜੋ ਵਾਹਨ ਦੇ ਫਰੇਮ ਵਿੱਚ ਸਪਰਿੰਗਜ਼ ਜਾਂ ਏਅਰ ਬੈਗ (ਏਅਰ ਰਾਈਡ ਸਸਪੈਂਸ਼ਨ ਲਈ) ਨੂੰ ਜੋੜਨ ਲਈ ਵਰਤੇ ਜਾਂਦੇ ਹਨ। ਆਪਣੇ ਨਿਰੀਖਣ ਦੌਰਾਨ, ਜਾਂਚ ਕਰੋ ਕਿ ਸਪਰਿੰਗ ਮਾਊਂਟ ਵਾਹਨ ਦੇ ਫ੍ਰੇਮ ਅਤੇ ਐਕਸਲ 'ਤੇ ਸੁਰੱਖਿਅਤ ਹਨ। ਜਾਂਚ ਕਰੋ ਕਿ ਕੋਈ ਝਾੜੀਆਂ ਖਰਾਬ ਜਾਂ ਗੁੰਮ ਨਹੀਂ ਹਨ। ਜਾਂਚ ਕਰੋ ਕਿ ਕੋਈ ਟੁੱਟੇ, ਢਿੱਲੇ, ਜਾਂ ਗੁੰਮ ਹੋਏ ਬੋਲਟ ਜਾਂ ਯੂ-ਬੋਲਟ ਨਹੀਂ ਹਨ।"
