section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"In Alaska, between which dates are studded tires legally permitted on public roads?","a:September 15 – April 30,b:October 1 – April 15,c:November 1 – March 31,d:October 15 – May 1",b,Alaska law permits studded tires from October 1 through April 15. Using studded tires outside this window can result in a fine because studded tires damage dry pavement when not needed.,medium
2,Traffic Laws & Rules of the Road,What is the minimum age to apply for a learner's permit in Alaska?,"a:13,b:14,c:15,d:15 and a half",b,"Alaska allows teens to apply for a learner's permit at age 14, one of the youngest permit ages in the country. The permit requires supervised driving with a licensed adult before advancing to a restricted license.",medium
2,Traffic Laws & Rules of the Road,What is the legal BAC limit for drivers age 21 and older in Alaska?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,"Alaska, like all U.S. states, sets the per se DUI limit at 0.08% BAC for drivers 21 and older. Reaching 0.08% is itself grounds for a DUI charge, regardless of apparent impairment.",medium
2,Traffic Laws & Rules of the Road,Alaska's zero tolerance law for drivers under 21 sets the illegal BAC at:,"a:0.00% — any detectable amount,b:0.01%,c:0.02%,d:0.04%",a,Alaska applies a true zero tolerance standard for drivers under 21 — any measurable amount of alcohol in the system is illegal. An underage driver with any detectable BAC faces license revocation and criminal penalties.,medium
2,Traffic Laws & Rules of the Road,You are driving on an icy Alaska road and feel your rear wheels begin to slide. What should you do?,"a:Brake firmly and steer straight,b:Accelerate to regain traction,c:Steer in the direction of the skid and ease off the gas,d:Turn the wheel sharply in the opposite direction of the skid",c,"When your vehicle begins to skid on ice, steer gently in the direction the rear is sliding and ease off the accelerator. This technique — called counter-steering — helps straighten the vehicle. Braking during a skid usually makes it worse.",medium
2,Traffic Laws & Rules of the Road,You are driving in Alaska during a whiteout blizzard with near-zero visibility. What is the safest action?,"a:Use high beams and maintain speed to exit the storm quickly,b:Pull off the road safely, turn on hazard lights, and wait for conditions to improve,c:Follow the taillights of the vehicle ahead closely,d:Drive on the shoulder to avoid the main travel lanes",b,"In a whiteout, the safest option is to pull completely off the roadway, turn on your hazard flashers, and wait for conditions to improve. Following another vehicle in a whiteout is dangerous because a chain-reaction crash can occur if the lead vehicle stops.",medium
2,Traffic Laws & Rules of the Road,"When driving on Alaska highways in winter, which of the following actions is most important before beginning your trip?","a:Carry at least half a tank of fuel,b:Check the DOT Alaska 511 road conditions report,c:Ensure you have an emergency kit with extra clothing, food, and a shovel,d:All of the above",d,"All three precautions are essential for Alaska winter driving. Remote highways can leave you stranded for hours; fuel, road condition awareness, and emergency supplies are each critical for safety.",medium
2,Traffic Laws & Rules of the Road,What is the speed limit on most residential streets in Alaska when no speed limit sign is posted?,"a:20 mph,b:25 mph,c:30 mph,d:35 mph",b,"Alaska's default speed limit on residential and business district streets where no limit is posted is 25 mph. On rural highways without posted limits, the default is higher — always check posted signs to be sure.",medium
2,Traffic Laws & Rules of the Road,Which of the following is a state-specific rule about vehicle equipment that applies in Alaska but NOT in warm-weather states like Hawaii?,"a:All tires must be the same brand,b:Studded tires are permitted during designated winter months,c:Chains are prohibited on paved roads,d:Snow tires must be removed by April 1 regardless of conditions",b,Studded tires are allowed in Alaska from October 1 through April 15 to provide traction on snow and ice. This rule is Alaska-specific; many warm-weather states prohibit studded tires entirely because they damage dry pavement.,medium
2,Traffic Laws & Rules of the Road,A flashing yellow light at an intersection means:,"a:Stop completely and yield before proceeding,b:Slow down and proceed with caution,c:The signal is broken — treat as a 4-way stop,d:Do not enter the intersection",b,"A flashing yellow light is a caution indicator. You must slow down and proceed carefully but are not required to come to a complete stop — unlike a flashing red, which requires a full stop.",medium
7,Vehicle Ownership & Responsibilities,What is the minimum license suspension period for driving without valid liability insurance in Alaska?,"a:60 days.,b:Two years.,c:90 days.",c,"In Alaska, if you are involved in a crash while uninsured or fail to show proof of liability insurance when required, your driver license can be suspended for at least 90 days. States use license suspension to enforce mandatory insurance laws and to ensure that drivers can pay for damages they may cause.",difficult
2,Traffic Laws & Rules of the Road,"In Alaska, what must you do when a school bus stops and activates its flashing red lights on a two-lane road?","a:Stop only if you are driving behind the bus,b:Slow to 15 mph and pass with caution,c:Stop in both directions at least 20 feet from the bus until lights stop flashing,d:Yield only to children crossing directly in front of the bus",c,Alaska law requires vehicles traveling in both directions on an undivided road to stop at least 20 feet from a school bus with flashing red lights. You may not proceed until the lights stop flashing and the stop arm retracts.,medium
2,Traffic Laws & Rules of the Road,You are approaching a yield sign. What does Alaska law require?,"a:Stop completely regardless of traffic,b:Slow down and yield to cross traffic; stop only if necessary,c:Maintain speed and merge when safe,d:Flash your headlights to signal your intention",b,"A yield sign requires you to slow down and give the right of way to cross traffic or pedestrians. You must stop if necessary to avoid a conflict, but a full stop is not required when the way is clear.",medium
2,Traffic Laws & Rules of the Road,You are driving at night and see a moose on the road ahead. You should:,"a:Honk continuously to scare the moose away and accelerate to pass quickly,b:Flash your high beams and proceed carefully,c:Slow down immediately and wait for the moose to move — do not attempt to pass around it,d:Swerve sharply around the moose in the opposite lane",c,"Moose collisions are extremely dangerous in Alaska and frequently fatal. Slow down immediately and wait patiently for the moose to move. Honking can startle moose into unpredictable behavior, and swerving risks a rollover or head-on collision.",medium
2,Traffic Laws & Rules of the Road,What is the required following distance in normal driving conditions under Alaska's safe driving guidelines?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,Alaska recommends a minimum 3-second following distance under normal conditions. On icy or slippery roads — common in Alaska — that gap should increase to 6–10 seconds or more to account for longer stopping distances.,medium
2,Traffic Laws & Rules of the Road,When is it legal to make a right turn at a red light in Alaska?,"a:Never — right turns on red are prohibited statewide,b:After a complete stop, yielding to pedestrians and cross traffic, unless a sign prohibits it,c:At any time if no vehicles are visible,d:Only between the hours of 6 AM and 10 PM",b,Right turns on red are permitted in Alaska after a complete stop and yielding to pedestrians and other traffic. Some intersections post 'No Turn on Red' signs — always check for those signs before turning.,medium
2,Traffic Laws & Rules of the Road,What shape and color is a regulatory sign in Alaska?,"a:Yellow diamond,b:White rectangle or white circle,c:Orange rectangle,d:Green rectangle",b,"Regulatory signs — such as speed limits, stop signs, and no-passing zones — are typically white rectangles (or white circles, like railroad advance warning) and convey rules you must obey. Yellow diamonds are warning signs.",medium
2,Traffic Laws & Rules of the Road,You are driving uphill on a steep Alaska mountain road and your engine begins to overheat. What should you do?,"a:Continue driving and open the windows to let the engine cool,b:Turn on the heater to draw heat away from the engine and pull over when safe,c:Rev the engine to maintain coolant circulation,d:Immediately stop in the travel lane and call for help",b,"Turning on the heater pulls heat from the engine coolant into the cabin, which can temporarily reduce engine temperature on steep grades. Pull over safely as soon as possible and let the engine cool before opening the hood — a hot radiator cap can cause serious burns.",medium
2,Traffic Laws & Rules of the Road,"In Alaska, what does a solid yellow line on your side of the center line mean?","a:Passing is permitted when the road is clear,b:Passing is prohibited — do not cross the line to pass,c:The road ahead has a sharp curve,d:Passing is allowed only at speeds over 45 mph",b,A solid yellow line on your side of the center line prohibits passing by crossing that line. Only a dashed yellow line on your side indicates passing is permitted when safe. These markings apply in Alaska and nationwide.,medium
2,Traffic Laws & Rules of the Road,"When an emergency vehicle with sirens and flashing lights approaches from any direction, Alaska law requires you to:","a:Speed up to the next intersection and turn off the road,b:Stop immediately in your current lane,c:Pull to the right side of the road and stop until the vehicle has passed,d:Move to the left lane and reduce speed",c,Alaska law requires you to pull to the right edge of the road and stop when an emergency vehicle with active lights and siren approaches. Remain stopped until the emergency vehicle has fully passed before resuming travel.,medium
2,Traffic Laws & Rules of the Road,You are approaching an intersection where a traffic light has gone dark (no lights showing). How should you treat it?,"a:Treat it as a yield sign — slow down and yield,b:Treat it as a 4-way stop — come to a full stop and take turns proceeding,c:Treat it as a green light if the intersection looks clear,d:Stop only if you see other vehicles approaching",b,"A dark or non-functioning traffic signal must be treated as a 4-way stop in Alaska and nationwide. All drivers must come to a complete stop, then proceed in turn based on order of arrival and right-of-way rules.",medium
8,Special Situations & Road Users,Why must you be especially alert for motorcycles?,"a:They are more difficult to see than cars.,b:Motorcyclists are less skilled drivers than other motorists.,c:They rarely use their headlights.",a,"You must be especially alert for motorcycles because they are smaller and harder to see than cars, especially in blind spots, at intersections, and in heavy traffic. Their size also makes it harder to judge their speed and distance, so you should check mirrors and blind spots carefully and give them extra space.",
