section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,When are you allowed to drive on the shoulder of the road?,"a:Whenever you need to pass another vehicle.,b:When the car in front of you is turning.,c:When the car in front of you is driving too slowly.,d:Only when directed to do so by an official.",d,"Driving on the shoulder is permitted only under official direction (e.g., emergency or traffic control); it is not a legal passing lane.",medium
5,Driving in Special Conditions,Roads are most slippery at which time?,"a:When it has been raining hard for several hours.,b:When they are clean and dry.,c:During a heavy downpour after several hours.,d:Just after it starts to rain.",d,"Road surface oils mix with the first rain, creating very slippery conditions often during the first half-hour of rain.",easy
7,Vehicle Ownership & Responsibilities,Which statement about railroad crossings is correct?,"a:You should use cruise control to maintain speed across tracks.,b:You have the right-of-way at all railroad crossings.,c:You must stop at a railroad crossing when directed by a flagger or stop sign.,d:You never need to stop at railroad crossings.",c,"Stop at railroad crossings when signs, signals, or flaggers direct you to do so, and always proceed with caution near tracks.",easy
3,"Signs, Signals & Road Markings","If an overhead lane sign shows an arrow with the word 'ONLY' beneath it, what must you do?","a:Always change lanes to the left.,b:Drive in the direction shown by the arrow.,c:Look for a destination sign to decide.,d:Ignore the arrow if the way looks clear.",b,A lane control sign indicates you must travel in the direction shown by the arrow from that lane.,easy
5,Driving in Special Conditions,"When roads are icy or snowy, what should you do before descending a steep hill?","a:Follow closely behind the vehicle ahead to maintain traction.,b:Pump the brakes continuously to prevent freezing.,c:Shift into a low gear before going down the hill.",c,"On slippery slopes, shift to a low gear to use engine braking and avoid riding the brakes; maintain extra space behind the vehicle ahead and avoid quick stops. If you don’t have ABS, you may need to pump the brakes to slow down.",medium
7,Vehicle Ownership & Responsibilities,"If your car's suspension is in poor condition, what problem can result?","a:Vehicle control problems.,b:Squealing brakes.,c:Improved fuel economy.,d:Increased tire pressure.",a,Bad suspension reduces vehicle control and ride comfort and may make the car difficult to handle.,difficult
8,Special Situations & Road Users,How must you yield when an emergency vehicle with siren and lights approaches?,"a:Stop immediately even if you are in an intersection.,b:Drive as close as possible to the right edge of the road and stop.,c:Move into the right lane and slow until it passes.",b,"Pull to the right edge of the road and stop, avoiding stopping in an intersection, until the emergency vehicle passes.",easy
5,Driving in Special Conditions,When in rainy weather you should be most cautious when turning or stopping:,"a:Only during heavy downpours.,b:When the pavement is freshly cleaned.,c:During the first half hour of rain.,d:After it has been raining hard for several hours.",c,Roads are especially slippery shortly after rain begins because oil and residue on the surface mix with the water.,easy
3,"Signs, Signals & Road Markings",What do signs with orange backgrounds indicate?,"a:General warning signs.,b:Regulatory instructions.,c:Construction and maintenance warnings.",c,Orange signs are specifically used to warn drivers about construction and maintenance areas ahead.,easy
4,Safe & Defensive Driving Practices,"If a child is about to run into the street, what should you do immediately?","a:Begin to prepare to slow down in stages.,b:Sound a sharp blast of your horn to warn them.,c:Flash your headlights to get attention.,d:Drive past slowly so as not to startle the child.",b,"If a child or pedestrian is about to enter your path, a sharp horn blast can warn them and help prevent a collision.",easy
3,"Signs, Signals & Road Markings",During what times are drivers required to use headlights?,"a:Only during the day in clear weather.,b:From one-half hour after sunset until one-half hour before sunrise,c:Whenever the driver feels tired.",b,Headlights are legally required from 30 minutes after sunset to 30 minutes before sunrise and anytime visibility drops below 200 feet.,medium
6,"Alcohol, Drugs & Impaired Driving",What is the only thing that can lower your BAC and reduce alcohol’s effects?,"a:Consuming coffee or caffeine.,b:Eating high-fat foods.,c:Taking a cold shower.,d:Time for the body to metabolize the alcohol.",d,Only the passage of time allows the body to remove alcohol; nothing else speeds up the process.,easy
6,"Alcohol, Drugs & Impaired Driving",When is it acceptable to drive while using a medication that impairs your driving?,"a:Under no circumstances.,b:If you don't feel drowsy.,c:Only if it was prescribed by a physician.,d:If you take half the recommended dose.",a,"It is illegal and unsafe to drive under the influence of any substance—alcohol, prescription or over-the-counter medications, or illegal drugs—that impairs your ability to drive.",easy
3,"Signs, Signals & Road Markings","When encountering a flashing yellow traffic signal at an intersection, how should you proceed?","a:Slow down and cross the intersection carefully.,b:Yield to all traffic before crossing regardless of conditions.,c:Stop first",a,A flashing yellow light means proceed with caution—slow down and be alert for cross traffic or other hazards.,easy
3,"Signs, Signals & Road Markings",What does a double solid yellow centerline indicate about passing?,"a:Passing is allowed from both directions.,b:Passing is not allowed from either direction.,c:Passing is allowed only from your direction of travel.",b,Double solid yellow lines prohibit passing for traffic in both directions.,easy
7,Vehicle Ownership & Responsibilities,"When backing up a vehicle, what is the correct practice?","a:Use your side mirrors only.,b:Look through the rear window while backing up.,c:Rely only on your rearview mirror.,d:Press the accelerator as needed to move quickly.",b,"When reversing, turn and look through the rear window; do not depend solely on mirrors and move at a low speed.",easy
4,Safe & Defensive Driving Practices,"If your vehicle's rear end skids to the left, what steering action should you take?","a:Hold the steering wheel straight and speed up.,b:Steer to the right.,c:Tap the brakes lightly and shift into neutral.,d:Steer to the left (in the direction you want to go).",d,"If your rear skids left, steer left to bring the front of the vehicle into alignment with the rear; avoid braking hard during the skid.",difficult
