id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8595,You may not consume alcohol within ____ of going on duty.,,One hour,Two hours,Four hours,,C,"Commercial vehicle drivers are prohibited from consuming any intoxicating beverage, regardless of its alcohol content, within four hours of going on duty."
8504,A tread depth of ____ should be in every major groove of a tire that is not in the front of a commercial motor vehicle.,,1/32 of an inch,2/32 of an inch,4/32 of an inch,,B,"For safe operation, a commercial motor vehicle needs a tread depth of 4/32 of an inch in every major groove on the front tires, and a tread depth of 2/32 of an inch on other tires."
8772,Why do large vehicles use air brakes?,,Other brake systems squeak too loudly.,Air brakes are very effective systems.,Other braking systems are hard to come by.,,B,"If used and maintained properly, air brakes are a safe and effective way to stop large, heavy vehicles."
8524,"When backing with a trailer, you should begin by:",,Turning the steering wheel in the direction of the turn.,Turning the steering wheel in the direction opposite of the turn.,Turning the wheel as sharply as possible.,,B,"When backing with a trailer, begin by turning the steering wheel in the direction opposite of the turn. Once the trailer starts to turn, reverse the direction of the steering wheel to follow the trailer."
11717,"While driving downhill, you should brake until you reach a speed that is ____ below your safe speed, then release the brake pedal.",,5 mph,10 mph,15 mph,,A,"While driving downhill, you should hold down the brake pedal until your vehicle reaches a speed 5 mph below your safe speed, then release the brake pedal. Repeat this process."
8526,When backing with a trailer:,,You should not back up in a straight line.,You should not correct drift until you are far off course.,You should frequently pull forward to reposition the vehicle.,,C,"When backing, you should pull forward to reposition your vehicle whenever needed. Drift should be corrected immediately by turning the steering wheel in the direction of the drift."
8588,"If involved in an accident, which of the following is not recommended?",,Trying to move your vehicle to the side of the road,Caring for the injured,Driving away from the scene,,C,"When involved in an accident, you should protect the area, notify authorities, care for the injured, collect required information, and report the accident. You can lose your license for leaving the scene of an accident."
9582,When leaving your vehicle:,,The air brakes should be applied.,The parking brake should be applied.,Brakes should not be applied if the vehicle is left out of gear.,,B,"Parking brakes should be used whenever you park. If necessary, chock your wheels."
8525,"When backing up, follow a turning trailer by:",,Changing nothing. The vehicle will naturally follow the trailer.,Changing the direction of the steering wheel.,Turning the steering wheel even harder in the direction that it is already turning.,,B,"When backing with a trailer, begin by turning the steering wheel in the direction opposite of the turn. Once the trailer starts to turn, reverse the direction of the steering wheel to follow the trailer."
9254,"By beginning a left turn before reaching the center of an intersection, you:",,Will likely complete the turn satisfactorily.,May hit other vehicles with the left side of your vehicle.,Can expect other drivers to move their vehicles to accommodate your turn.,,B,"When planning to turn left at an intersection, make sure you have reached the center of the intersection before beginning the turn. If you turn too soon, off-tracking may cause the left side of your vehicle to hit another vehicle."
