section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Why should you look farther ahead on a freeway than on a city street?,"a:Because it helps you keep up with traffic.,b:Because it takes a quarter of a mile to stop.,c:To see potential hazards earlier and allow more time to react.",c,Higher speeds on freeways require earlier detection of changing conditions and hazards.,easy
4,Safe & Defensive Driving Practices,"If an oncoming driver fails to dim their headlights, what should you do?","a:Look straight ahead.,b:Look toward the center of the roadway.,c:Look toward the right side of the road to avoid glare.",c,Glance toward the right edge of the road to avoid being blinded while keeping enough view to stay in your lane.,easy
8,Special Situations & Road Users,"When following a motorcycle, what should you do?","a:Tailgate to prevent lane changes.,b:Drive more slowly than usual.,c:Be ready to use your horn frequently.,d:Allow a larger following distance (three to four seconds).",d,Maintain a larger following distance behind motorcycles because they can stop quickly and are more vulnerable in a fall.,easy
3,"Signs, Signals & Road Markings","If a lane-control sign over your lane has an arrow with 'ONLY' below it, you must:","a:Travel in the direction of the arrow.,b:Always make a lane change.,c:Look for a destination sign to follow.",a,A lane-control sign marked 'ONLY' indicates the required direction of travel for that lane.,easy
2,Traffic Laws & Rules of the Road,Where is a U-turn prohibited?,"a:In a parking lot.,b:At an intersection controlled by a stop sign.,c:On a straight road with 500 feet of clear view.,d:On or near any curve or hill.",d,Never make a U-turn on or near a curve or hill where you cannot clearly see approaching traffic; it creates a collision risk.,easy
2,Traffic Laws & Rules of the Road,When are collisions more likely to occur regarding vehicle speeds?,"a:When all vehicles travel at about the same speed.,b:When one vehicle is traveling faster or slower than the flow of traffic.,c:Only when vehicles travel too fast.,d:Only when vehicles travel too slowly.",b,Collisions are more likely when a vehicle's speed differs significantly from the general flow of traffic.,easy
8,Special Situations & Road Users,Why should drivers give extra space to children on bicycles?,"a:They are smaller and more difficult to see than adults.,b:They do not have the same physical reflexes as adults.,c:Both of the above.",c,"Children are less predictable and harder to see; give extra space near schools, parks, and driveways.",medium
8,Special Situations & Road Users,"If a pedestrian is partway across when your signal turns green, how should you proceed?","a:Wait until the pedestrian has cleared the street before you proceed.,b:Proceed if you have the right-of-way.,c:Proceed if the pedestrian is not in your lane.",a,Yield to pedestrians in the intersection even if your light turns green; wait until they finish crossing.,medium
3,"Signs, Signals & Road Markings",What does a broken yellow centerline allow drivers to do?,"a:Pass on the left when the way ahead is clear.,b:Passing is not permitted.,c:Passing on the right is permitted when the way ahead is clear.",a,Broken yellow centerlines permit passing on the left from the side with the dashed line when safe to do so.,easy
4,Safe & Defensive Driving Practices,"Before returning to your lane after passing, what should you verify?","a:Flash your headlights.,b:Beep your horn.,c:See both headlights of the passed vehicle in your rearview mirror.",c,"After passing, make sure you can see both headlights of the vehicle you passed in your rearview mirror before moving back into that lane.",easy
6,"Alcohol, Drugs & Impaired Driving",What term is used to describe the amount of alcohol in a person's blood?,"a:Implied consent (IC).,b:Blood alcohol concentration (BAC).,c:Rate of alcohol consumption (RAC).",b,BAC measures the percentage of alcohol in the bloodstream and is used to determine impairment.,easy
7,Vehicle Ownership & Responsibilities,Where is the safest place for children age 12 and under in a vehicle with airbags?,"a:The front passenger seat.,b:Standing between the front seats.,c:The back seat.,d:The truck bed of a pickup.",c,Airbags can injure children; anyone age 12 or younger should ride in the back seat.,easy
2,Traffic Laws & Rules of the Road,"If a traffic control signal is not working, how should you proceed at the intersection?","a:If the intersection is clear,b:Drive quickly through the intersection to get out of the way of other vehicles.,c:Come to a full stop and yield the right-of-way before entering the intersection.",c,"Treat an unlit or nonworking signal as an all-way stop: stop, observe, and yield before entering.",medium
