section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,When may you drive around lowered railroad crossing gates?,"a:When the train has passed and gates are up.,b:If the lights have stopped flashing but the gate is still down.,c:If an approaching train seems far away.,d:Never — you must not go around a lowered gate.",d,Do not drive around or under a lowered gate; you must wait until lights and bells stop and the gate is fully raised.,easy
2,Traffic Laws & Rules of the Road,"When the center of the road has a solid yellow line next to a broken yellow line with the broken line next to your lane, when may you pass?","a:Only if you are on an expressway.,b:You may pass from your lane when traffic is clear.,c:Only in an emergency.",b,"If the broken line is adjacent to your lane, you may cross it to pass when it is safe and no oncoming traffic is present.",medium
2,Traffic Laws & Rules of the Road,You should not pass another vehicle under which conditions?,"a:On a hill or curve.,b:When approaching an intersection.,c:When a school bus's flashing red lights are on.,d:All of the above.",a,"Never pass on hills or curves, at intersections, before or on railroad crossings or bridges, or when a stopped school bus has flashing red lights.",medium
6,"Alcohol, Drugs & Impaired Driving",Does drinking coffee after drinking alcohol reduce blood alcohol concentration?,"a:Yes — it cancels the alcohol's effects.,b:No — it has no effect on BAC.,c:Yes — it decreases BAC.",b,Coffee may make you feel more alert but it does not lower your blood alcohol concentration or sober you up.,easy
2,Traffic Laws & Rules of the Road,"When changing lanes, which of the following should you do?","a:Signal at least 100 feet before changing lanes (five seconds on a freeway), check mirrors, and glance over your shoulder.,b:Rely only on mirrors without checking your blind spot.,c:Begin signaling as you move into the next lane.,d:Signal after you start the lane change.",a,"Begin signaling in advance, check mirrors, and glance over your shoulder to clear blind spots before completing a lane change.",medium
6,"Alcohol, Drugs & Impaired Driving",How can alcoholic beverages affect your driving ability?,"a:They slow reaction time, impair thinking and give false confidence.,b:They always make you more alert.,c:They improve coordination in small amounts.",a,"Alcohol is a depressant that slows reflexes, impairs judgment and coordination, and can create a false sense of confidence.",medium
4,Safe & Defensive Driving Practices,How must a driver behave when encountering pedestrians?,"a:Proceed unless the pedestrian is in your lane.,b:Assume pedestrians should yield to vehicles.,c:Yield the right-of-way to pedestrians and do everything possible to avoid striking them.,d:Yield only if the pedestrian is in a marked crosswalk.",c,"Drivers must yield to pedestrians and take all reasonable actions to prevent collisions, even if the pedestrian is not lawfully crossing.",easy
6,"Alcohol, Drugs & Impaired Driving",Drivers who have consumed alcohol before driving typically:,"a:Are always aware of the risks they are taking.,b:Do not have sufficient control over their bodies, minds, or the vehicle.,c:Are better drivers because they are more careful.",b,"Alcohol is a depressant that impairs coordination, judgment, and reaction time; it reduces a driver's ability to operate a vehicle safely.",easy
2,Traffic Laws & Rules of the Road,"When, if ever, may you legally drive above the posted speed limit?","a:When no police officer is present to enforce the limit.,b:When surrounding traffic is driving above the limit.,c:Never; posted limits are the maximum under ideal conditions.",c,Speed limits represent the maximum legal speed under ideal conditions; you should not exceed them. You may need to go slower when conditions require it.,easy
5,Driving in Special Conditions,Why does driving at night require increased caution?,"a:Because visibility is reduced and headlights are required from half an hour after sunset until half an hour before sunrise.,b:Because traffic moves much faster at night.,c:Because there is always more traffic at night.",a,At night you cannot see as well; use headlights appropriately and drive so you can stop within the distance you can see ahead.,medium
8,Special Situations & Road Users,"If an approaching train is close enough or traveling fast enough to be hazardous, what must you do?","a:Slow down and proceed with caution.,b:Not cross the tracks until the train has completely passed.,c:Cross the tracks at your own risk.",b,"If a train is close enough to be a danger, do not attempt to cross the tracks. Wait until it has completely passed and all signals have cleared.",medium
2,Traffic Laws & Rules of the Road,"If turning left onto a one-way street, into which lane should you finish the turn?","a:The lane closest to the lane you came from.,b:The rightmost lane.,c:Either lane indiscriminately.",a,"Turn into the lane nearest to the one you left—on a left turn to a one-way street, that will be the leftmost available lane.",easy
2,Traffic Laws & Rules of the Road,"If you see a driver's left arm and hand extended downward, what does that signal mean?","a:They plan to turn right.,b:They plan to turn left.,c:They intend to come to a stop.,d:They plan to speed up.",c,A left arm extended downward indicates the driver intends to slow or stop; adjust your driving accordingly if following such a vehicle.,easy
3,"Signs, Signals & Road Markings","On traffic signals mounted horizontally, where is the red light located?","a:The leftmost position.,b:The middle position.,c:The rightmost position.",c,"Horizontal signals place the red light on the left, yellow in the middle, and green on the right.",easy
2,Traffic Laws & Rules of the Road,In which situations are you required to stop your vehicle?,"a:Only at red lights.,b:Only at stop signs.,c:At stop signs,d:Only if a police officer orders you to stop.",b,You must stop at intersections with stop signs or red lights and whenever a traffic officer instructs you to stop.,easy
4,Safe & Defensive Driving,What happens to your field of vision as your vehicle speed increases?,"a:It increases,b:It remains unchanged regardless of speed.,c:It decreases",c,"As speed increases, your peripheral vision narrows and you must be more alert to potential hazards ahead and to the sides.",medium
3,"Signs, Signals & Road Markings",What color are signs that indicate public recreation or cultural sites?,"a:Green.,b:Brown.,c:Orange.",b,"Brown signs indicate areas of cultural or historical interest or public recreation, useful when traveling in unfamiliar areas.",easy
2,Traffic Laws & Rules of the Road,"If waiting to turn left and opposing traffic blocks your view of other lanes, you should:","a:Accelerate quickly when the first lane clears.,b:Wait until you can see all lanes you must cross before turning.,c:Rely on another driver to wave you across.",b,Do not begin the left turn until you can see that all lanes you will cross are clear and it is safe to complete the turn.,medium
2,Traffic Laws & Rules of the Road,"When driving on an interstate, what must you do before changing lanes?","a:Stop on the shoulder to check traffic.,b:Always use cruise control while changing lanes.,c:Signal",c,"On interstates, signal and verify mirrors and blind spots before changing lanes; only stop on the shoulder for emergencies.",easy
3,"Signs, Signals & Road Markings",A solid yellow line on your side of the centerline means:,"a:Pass with caution whenever you want.,b:Slow down to below the speed limit.,c:Do not pass from your lane.",c,A solid yellow line adjacent to your lane indicates passing is prohibited from your direction.,easy
5,Driving in Special Conditions,"On slippery roads, how should you handle turns?","a:Take turns more slowly than usual.,b:Change lanes quickly to avoid the curve.,c:Accelerate quickly through curves.",a,Reduce speed before and during turns on slippery roads to maintain traction and control.,medium
4,Safe & Defensive Driving Practices,"Which practice helps prevent \highway hypnosis\"" on long trips?""","a:Begin the trip well-rested and take regular stops.,b:Drive continuously without stopping to maintain focus.,c:Keep the cruise control engaged at all times.",a,"To avoid highway hypnosis, start well-rested, take regular breaks even if you don't feel tired, and keep your eyes scanning the road.",medium
8,Special Situations & Road Users,"When an emergency vehicle is approaching with siren or flashing lights, what must a driver do immediately?","a:Pull to the right and slow down but not stop.,b:Turn on four-way flashers and continue driving.,c:Pull to the right and stop.,d:Speed up to clear the lane.",c,You must immediately move to the right side of the road and stop for an approaching emergency vehicle using warning devices.,easy
8,Special Situations & Road Users,You must stop at a railroad crossing under which circumstances?,"a:When flashing red signals and gates are operating.,b:Only if you see a train approaching.,c:When directed to do so by a flagger or a stop sign.,d:Both a and b.",c,You must stop at a railroad crossing when directed by a flagger or stop sign and when flashing red signals or gates are activated.,medium
3,"Signs, Signals & Road Markings",What does a flashing red traffic signal require you to do?,"a:Come to a complete stop and yield, like a stop sign.,b:Proceed without stopping because the signal is broken.,c:Slow down and proceed with caution without stopping.",a,A flashing red signal mandates a full stop and yielding to other traffic and pedestrians before proceeding when safe.,easy
2,Traffic Laws & Rules of the Road,Under what condition may you continue carefully through an intersection when the signal turns yellow?,"a:If an emergency vehicle is crossing your lane.,b:If you are already in the intersection when the light turns steady yellow.,c:If there are pedestrians crossing.",b,"If you are already within the intersection when the light turns steady yellow, you should continue through carefully; do not enter on a yellow light if you can stop safely before the intersection.",easy
2,Traffic Laws & Rules of the Road,Before making a left turn you must:,"a:Swing to the right side of your lane before turning.,b:Yield to oncoming vehicles and pedestrians.,c:Sound your horn to warn other drivers.",b,When turning left you must yield the right-of-way to oncoming traffic and to pedestrians in the intersection.,easy
3,"Signs, Signals & Road Markings",What do double solid yellow lines down the middle of the road indicate?,"a:Pedestrian crossing ahead.,b:Passing is not permitted in either direction.,c:Railroad crossing ahead.",c,Double solid yellow lines in the center of the roadway mean passing is prohibited for traffic in both directions except to turn.,easy
7,Vehicle Ownership & Responsibilities,"If you hit an unattended parked vehicle and cannot find the owner, what must you do?","a:Wait until the police arrive and do nothing else.,b:Drive away if no one is nearby.,c:Leave a written notice with your name",c,"If you cannot locate the owner after striking an unattended vehicle, leave a written notice with your contact information and the circumstances.",medium
6,"Alcohol, Drugs & Impaired Driving","For drivers 21 and older, at what BAC is driving illegal in Louisiana?","a:0.02 percent.,b:0.08 percent.,c:0.05 percent.",b,Louisiana law makes it illegal for drivers 21+ to operate a vehicle with a blood alcohol concentration of 0.08% or higher.,easy
2,Traffic Laws & Rules of the Road,When is it appropriate to use a three-point turn (turnabout)?,"a:Anytime you want to change direction quickly.,b:When driving in heavy,c:Only on a narrow street where a U-turn and going around the block are not possible.",c,Use a three-point turn only on a two-lane roadway when a U-turn is not possible and you cannot go around the block; it's the most difficult turnabout.,medium
2,Traffic Laws & Rules of the Road,"If a green arrow changes into a solid green light, what applies to drivers who want to turn?","a:You may no longer turn and must go straight.,b:You may still turn but must yield to oncoming traffic and pedestrians.,c:You retain automatic right-of-way to turn.",b,"A green arrow gives protected turn movement. If it becomes a regular green, you may still turn but must yield to oncoming traffic and pedestrians.",easy
4,Safe & Defensive Driving,"Before making a turn, what action should you take?","a:Immediately turn the wheel without signalling.,b:Increase your speed then turn.,c:Signal at least three to four seconds before turning.",c,Activate your turn signal a few seconds before turning to notify other drivers and pedestrians of your intention.,easy
6,"Alcohol, Drugs & Impaired Driving",What happens if you refuse a requested alcohol analysis test in Louisiana?,"a:Refusal is recommended to avoid conviction.,b:You face no consequences.,c:Your license will be suspended (first offense results in 365-day suspension).",c,"By law, driving in Louisiana implies consent to chemical testing. Refusing a test results in administrative license suspension (365 days for a first refusal).",medium
7,Vehicle Ownership & Responsibilities,"If you find a defect that could affect safe vehicle operation, what should you do?","a:Drive only at reduced speeds until you can fix it.,b:Use the vehicle for short local trips only.,c:Delay repairs until you can afford them.,d:Have the defect repaired immediately before driving.",a,Any defect that may affect safe operation should be fixed as soon as possible and before driving when practical.,easy
7,Vehicle Ownership & Responsibilities,What does a 'No standing' sign mean at a location?,"a:You may park there if you remain in the vehicle.,b:You may stop only temporarily to load or unload passengers.,c:You may never stop your vehicle there.",c,"A No Standing sign means you can stop briefly to pick up or discharge passengers, but you may not park.",medium
5,Driving in Special Conditions,"If it begins to sleet or snow while you are driving, you should:","a:All of the above.,b:Keep your windshield and mirrors clear.,c:Increase the distance between your vehicle and the vehicles you are following.,d:Approach all vehicles with caution.",c,"In snowy or icy weather keep windows and mirrors clear, increase following distance, and approach other vehicles and hazards with caution.",medium
2,Traffic Laws & Rules of the Road,A sign showing Reduced speed - 35 mph means:,"a:You have ample time to slow before the reduced speed starts.,b:The reduced speed zone begins at the next sign.,c:The new 35 mph speed limit begins at that sign.",c,A Reduced speed sign indicates the new speed limit takes effect at the sign; reduce speed accordingly at that point.,easy
8,Special Situations & Road Users,"When approaching railroad tracks, what actions should you take?","a:Try to drive around a lowered gate.,b:Turn off your radio and keep moving normally.,c:Speed up to cross before any approaching train arrives.,d:Look",d,"Approach tracks with caution: look and listen for trains, slow down, and be ready to stop if necessary.",medium
4,Safe & Defensive Driving Practices,How should drivers depress the gas pedal?,"a:With the heel lifted off the floor at all times.,b:By lightly tapping it.,c:Gradually and smoothly.,d:Abruptly to accelerate quickly.",c,Accelerate gradually and smoothly with the top of your foot on the gas pedal and your heel on the floor to maintain control.,easy
