Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Bilateral Contract","Exclusive Right-to-Sell","Estate for Years","Escrow","A","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Acceptance","Escrow","Exclusive Right-to-Sell","Estate for Years","B","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Estate for Years","Acceptance","Accord","Exclusive Right-to-Sell","A","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Exclusive Right-to-Sell","Accord","Accord And Satisfaction","Acceptance","A","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Acceptance","Accounts Payable","Accord And Satisfaction","Accord","A","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Addendum","Accord","Accounts Payable","Accord And Satisfaction","B","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Accounts Payable","Additional Deposit","Accord And Satisfaction","Addendum","C","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Accounts Payable","Addendum","Additional Deposit","Adjusted Mortgage","A","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Administrator's Deed","Adjusted Mortgage","Addendum","Additional Deposit","C","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Adult","Administrator's Deed","Adjusted Mortgage","Additional Deposit","D","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
"National: Contracts","Contracts","National","A mortgage released after a company has undergone reorganization. matches which of the following terms?","Adult","Administrator's Deed","Adjusted Mortgage","Advance Fee","C","Adjusted Mortgage is defined as: A mortgage released after a company has undergone reorganization. Example: An example applying the concept of Adjusted Mortgage in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: A conveyancing instrument used by an Administrator to transfer property from an estate. See: Administrator.","Advance Payments","Administrator's Deed","Advance Fee","Adult","B","Administrator's Deed is defined as: A conveyancing instrument used by an Administrator to transfer property from an estate. See: Administrator. Example: An example applying the concept of Administrator's Deed in U.S. real estate transactions."
"National: Contracts","Contracts","National","A person old enough to vote and to make contracts. The age in most states is 18, except for contracts to purchase alcohol, for which all states classify an adult as a person over the age of 21. is the legal definition of:","Advance Fee","Advance Payments","Advances","Adult","D","Adult is defined as: A person old enough to vote and to make contracts. The age in most states is 18, except for contracts to purchase alcohol, for which all states classify an adult as a person over the age of 21. Example: An example applying the concept of Adult in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: A fee charged by a broker to a seller to cover all or a portion of the broker's costs of promoting the property. The fee is generally credited against commissions but is not refunded if no commissions are received. Most frequently used in connection with large offerings which require a substantial outlay of funds for promotion.","Advances","Affidavit Of Title","Advance Fee","Advance Payments","C","Advance Fee is defined as: A fee charged by a broker to a seller to cover all or a portion of the broker's costs of promoting the property. The fee is generally credited against commissions but is not refunded if no commissions are received. Most frequently used in connection with large offerings which require a substantial outlay of funds for promotion. Example: An example applying the concept of Advance Fee in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: Payments made to a contractor before performance. Not the usual method and when made by HUD or GNMA, there must special approval. See also: Progress Payments; Provisional Payments.","After Acquired Title","Affidavit Of Title","Advance Payments","Advances","C","Advance Payments is defined as: Payments made to a contractor before performance. Not the usual method and when made by HUD or GNMA, there must special approval. See also: Progress Payments; Provisional Payments. Example: An example applying the concept of Advance Payments in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money advanced by a lender (mortgagee or beneficiary under a deed of trust) to pay the borrower's (mortgagor's or trustor's) obligations of taxes, insurance, or other items necessary to protect the secured property. The amounts advanced are then added to the balance owing on the mortgage or trust deed. matches which of the following terms?","Affidavit Of Title","Advances","After Acquired Title","Agreement","B","Advances is defined as: Money advanced by a lender (mortgagee or beneficiary under a deed of trust) to pay the borrower's (mortgagor's or trustor's) obligations of taxes, insurance, or other items necessary to protect the secured property. The amounts advanced are then added to the balance owing on the mortgage or trust deed. Example: An example applying the concept of Advances in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: An affidavit by a seller of real property that, as of a certain date, no defects of title exist except those which have been disclosed in the sales contract or deed.","Agreement Of Sale","Agreement","After Acquired Title","Affidavit Of Title","D","Affidavit Of Title is defined as: An affidavit by a seller of real property that, as of a certain date, no defects of title exist except those which have been disclosed in the sales contract or deed. Example: An example applying the concept of Affidavit Of Title in U.S. real estate transactions."
"National: Contracts","Contracts","National","Legal doctrine by which property automatically vests in a grantee when the grantor acquires title to the property after the deed has been executed and delivered. is the legal definition of:","Agreement","Amendment","Agreement Of Sale","After Acquired Title","D","After Acquired Title is defined as: Legal doctrine by which property automatically vests in a grantee when the grantor acquires title to the property after the deed has been executed and delivered. Example: An example applying the concept of After Acquired Title in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: A general term usually describing a common view of two or more people regarding the rights and obligations of each with regard to a given subject. Not necessarily a contract, although all contracts are agreements.","Agreement Of Sale","Antenuptial Agreement","Agreement","Amendment","C","Agreement is defined as: A general term usually describing a common view of two or more people regarding the rights and obligations of each with regard to a given subject. Not necessarily a contract, although all contracts are agreements. Example: An example applying the concept of Agreement in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: Has two separate meanings, depending on area of the country. In some states it is synonymous with a purchase agreement (See: Purchase Agreement). In other states, it is synonymous with a land contract. See: Land Contract.","Anticipatory Breach","Amendment","Agreement Of Sale","Antenuptial Agreement","C","Agreement Of Sale is defined as: Has two separate meanings, depending on area of the country. In some states it is synonymous with a purchase agreement (See: Purchase Agreement). In other states, it is synonymous with a land contract. See: Land Contract. Example: An example applying the concept of Agreement Of Sale in U.S. real estate transactions."
"National: Contracts","Contracts","National","A change, either to correct an error or to alter a part of an agreement without changing the principal idea or essence. matches which of the following terms?","Antenuptial Agreement","Amendment","Antitrust Laws","Anticipatory Breach","B","Amendment is defined as: A change, either to correct an error or to alter a part of an agreement without changing the principal idea or essence. Example: An example applying the concept of Amendment in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: An agreement made by a man and woman in contemplation of marriage, setting forth the property rights of each during the marriage, and in the event of divorce or death.","Anticipatory Breach","Apartment Hotel","Antitrust Laws","Antenuptial Agreement","D","Antenuptial Agreement is defined as: An agreement made by a man and woman in contemplation of marriage, setting forth the property rights of each during the marriage, and in the event of divorce or death. Example: An example applying the concept of Antenuptial Agreement in U.S. real estate transactions."
"National: Contracts","Contracts","National","One party to a contract informing the other of his or her intent not to perform before performance is due. A legal action may be brought even though the original contract (not yet due for performance) has not been breached. Example: The buyer informs the seller before the closing date of his or her intent not to buy. is the legal definition of:","Apartment Hotel","Antitrust Laws","Arbitration Clause","Anticipatory Breach","D","Anticipatory Breach is defined as: One party to a contract informing the other of his or her intent not to perform before performance is due. A legal action may be brought even though the original contract (not yet due for performance) has not been breached. Example: The buyer informs the seller before the closing date of his or her intent not to buy. Example: An example applying the concept of Anticipatory Breach in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Laws enacted to promote free competition by prohibiting agreements to limit competition. In real property businesses, for example, setting a \""standard\"" commission for all brokers to charge would be a violation.","As Is Condition","Apartment Hotel","Antitrust Laws","Arbitration Clause","C","Antitrust Laws is defined as: Laws enacted to promote free competition by prohibiting agreements to limit competition. In real property businesses, for example, setting a \""standard\"" commission for all brokers to charge would be a violation. Example: An example applying the concept of Antitrust Laws in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A building combining the features of an apartment building and a hotel. The units are furnished and may offer hotel facilities such as maid service, a restaurant, etc., but whose residents may stay for months or years, paying on a weekly or monthly basis.","Arbitration Clause","Apartment Hotel","Asking Price","As Is Condition","B","Apartment Hotel is defined as: A building combining the features of an apartment building and a hotel. The units are furnished and may offer hotel facilities such as maid service, a restaurant, etc., but whose residents may stay for months or years, paying on a weekly or monthly basis. Example: An example applying the concept of Apartment Hotel in U.S. real estate transactions."
"National: Contracts","Contracts","National","A clause in a lease calling for the decision of a third party (arbiter) regarding disputes over future rents based on negotiation. Also used in construction contracts, disputes between brokers, etc. matches which of the following terms?","Arbitration Clause","Assignment","As Is Condition","Asking Price","A","Arbitration Clause is defined as: A clause in a lease calling for the decision of a third party (arbiter) regarding disputes over future rents based on negotiation. Also used in construction contracts, disputes between brokers, etc. Example: An example applying the concept of Arbitration Clause in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: Premises accepted by a buyer or tenant in the condition existing at the time of the sale or lease, including all physical defects.","Asking Price","Assignment Of Lease","As Is Condition","Assignment","C","As Is Condition is defined as: Premises accepted by a buyer or tenant in the condition existing at the time of the sale or lease, including all physical defects. Example: An example applying the concept of As Is Condition in U.S. real estate transactions."
"National: Contracts","Contracts","National","The price at which the seller is offering property for sale. The eventual selling price may be less after negotiation with a buyer. is the legal definition of:","Assignment","Asking Price","Assignment Of Lease","Assumption Of Mortgage","B","Asking Price is defined as: The price at which the seller is offering property for sale. The eventual selling price may be less after negotiation with a buyer. Example: An example applying the concept of Asking Price in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: A transfer to another of any property, real or personal, or of any rights or estates in said property. Common assignments are of leases, mortgages, deed of trust, but the general term encompasses all transfers of title.","Assignment","Attestation Clause","Assignment Of Lease","Assumption Of Mortgage","A","Assignment is defined as: A transfer to another of any property, real or personal, or of any rights or estates in said property. Common assignments are of leases, mortgages, deed of trust, but the general term encompasses all transfers of title. Example: An example applying the concept of Assignment in U.S. real estate transactions."
