chapter,section,sub-section,question,options,correct-answer,note
5,,,You may use your horn on narrow mountain roads,"""a: To alert oncoming traffic where you cannot see at least 200 feet ahead,b: To let pedestrians know you are there,c: To signal to other drivers that you are in a hurry""","""a""","""The DMV Handbook states on page 12: 'Use your vehicle's horn to let other drivers know you are there or warn others of a hazard. Use your horn to: Avoid collisions. Alert oncoming traffic on narrow mountain roads where you cannot see at least 200 feet ahead.'"""
5,,,You should signal continuously while turning because it:,"""a: Is illegal to turn off your signal before completing a turn.,b: Lets other drivers know what your intentions are.,c: Is always unsafe to turn off a signal before completing a turn.""","""b""","""The DMV handbook states that you should signal when you turn because 'Always signal when you turn, change lanes, slow down, or stop. You can signal using your vehicle's signal lights or using hand-and-arm positions.'"""
5,,,"When both right and left turn signals are flashing at the same time on a moving vehicle, it means","""a: It is carrying children to or from school,b: Let the vehicle have the right-of-way,c: There may be a hazard or an accident ahead""","""c""","""If you can see a collision or hazard ahead, warn drivers behind you using these methods: Turn on your emergency flashers. Lightly tap your brake pedal three or four times. Use a hand signal when slowing and stopping."""
5,,,You are driving behind a motorcycle and want to pass. You must:,"""a: Stay in the right lane as much as possible because the motorcycle is small and doesn't use all of the lane.,b: Blow your horn to make the motorcycle move onto the shoulder so that you can pass.,c: Have your vehicle entirely in the left lane before and during the pass.""","""c""","""To safely pass a motorcycle that is in the travel lane you may need to change to another lane. In this case, pass safely then return to your original lane. Leave space between your vehicle and the bicyclist."""
5,,,Regulatory signs are,"""a: Suggestions,b: Law,c: Warnings""","""b""","""On page 37, the DMV handbook states that 'Red and White Regulatory Sign Follow the sign's instruction.'"""
5,,,It is illegal to leave a child age six or younger unattended in a vehicle on a hot day:,"""a: Even if they are secured in a child passenger restraint system.,b: If they are supervised by a person twelve years of age or older.,c: Only if the key is in the ignition.""","""a""","""The DMV handbook states 'It is illegal to leave a child who is six years old or younger unattended in a vehicle...' and 'A child may be left under the supervision of a person who is at least 12 years old.'"""
5,,,A curb painted red means:,"""a: Loading zone.,b: The area is reserved for picking up or dropping off passengers.,c: No parking""","""c""","""According to the DMV Handbook, 'Red: No stopping, standing, or parking.'"""
5,,,"Left sign or the lane and sign should be used to warn of the reduction in the number of traffic lanes in the direction of travel on a multi lane highway. When parking uphill on a 2 way street with no curb, your front wheels should be","""a: Turn to the left toward the street,b: Turn to the right away from the street,c: Parallel with the pavement,d: Turn the wheels toward the curb""","""b""","""To prevent rolling downhill when parked on a hill with no curb, turn your front wheels to the right away from the street. 'Headed uphill: Turn your front wheels away from the curb (left - towards the center of the road) and let your vehicle roll back a few inches. The wheel should gently touch the curb. '"""
5,,,"Before switching on the ignition, you should:","""a: Buckle your safety belt.,b: Be sure all passengers have buckled their safety belts.,c: Both of the above.""","""c""","""The DMV handbook states that drivers should 'buckle up' and make sure that their 'passengers must wear seat belts.'"""
5,,,You may make a left turn on a red light only from a:,"""a: One-way street onto a two-way street.,b: One-way street onto a one-way street.,c: Two-way street onto a one-way street.""","""b""","""You may turn left against a red light when you are turning from a one-way street onto a one-way street. Make sure there is no sign prohibiting the turn. Yield to other vehicles, pedestrians, or bicyclists who have a green light. Look both ways and turn when it is safe."""
5,,,If weather or light conditions require you to have your lights on while driving:,"""a: Use your parking lights.,b: Use your high beams.,c: Use your low beams.""","""c""","""According to page 11, 'Use your headlights: ...If you need to use your windshield wipers due to fog, rain, or snow, you must turn on your low-beam headlights.'"""
5,,,"If you pass a school bus that is stopped with its red lights flashing, you will:","""a: Be fined up to $1000,b: Be fined up to $100.,c: Face no legal consequences.""","""a""","""According to the DMV handbook, on page 50, 'If you fail to stop, you may be fined up to $1,000 and your driving privilege could be suspended for one year.'"""
5,,,What should a driver do when approaching a traffic control signal that is not in operation?,"""a: Come to a full stop and yield the right-of-way before entering the intersection.,b: If the intersection is clear,c: Drive quickly through the intersection to get out of the way of other vehicles.""","""a""","""When a traffic light is not working, stop as if the intersection is controlled by STOP signs in all directions. Then proceed cautiously when it is safe to do so."""
5,,,"When crossing a sidewalk to enter traffic from an alley or driveway, drivers should:","""a: Stop only if pedestrians are on the sidewalk.,b: Stop before driving onto the sidewalk or sidewalk area.,c: Expect pedestrians on the sidewalk to yield the right-of-way.""","""b""","""The DMV handbook states, 'You may drive on or cross a sidewalk to enter or exit a driveway or alley.'  This means drivers should stop before driving onto the sidewalk or sidewalk area."""
5,,,Dim your high beam headlights to low beams within,"""a: 200 feet when a vehicle is coming towards you,b: 300 feet when a vehicle is coming towards you,c: 500 feet when a vehicle is coming towards you""","""c""","""According to The DMV handbook, 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.' This information is found on page 11 of the DMV handbook."""
5,,,"When changing lanes on a freeway, you should:","""a: Signal for at least five seconds.,b: Slow down before you start to change lanes.,c: Assume there is enough space in the next lane for your vehicle""","""a""","""The DMV handbook states, 'Signal at least five seconds before you change lanes on a freeway.'"""
5,,,Which of the following factors affect an individual's absorption of alcohol?,"""a: Weight,b: Height,c: Intelligence""","""a""","""The DMV handbook states that 'Your BAC measures how much alcohol is present in your bloodstream.' It further provides a 'BLOOD ALCOHOL CONCENTRATION (BAC) Table' that includes different body weights to show how BAC is impacted.  This table shows that a person's weight is a factor that impacts alcohol absorption."""
5,,,"If you are driving and the rear end of your car starts skidding to the left, you should:","""a: Steer to the right.,b: Steer to the left.,c: Tap your brakes lightly and shift into neutral.""","""b""","""To get out of a skid, you should steer in the direction of the skid. 'If you start to skid, follow these steps: 1. Slowly remove your foot from the accelerator. 2. Do not use the brakes. 3. Turn the steering wheel in the direction of the skid. 4. Try to get a wheel on dry pavement.'"""
5,,,"If you are the first person to stop to give assistance at a collision scene, you should drive to the side of the road","""a: After you have passed the collision scene,b: Before you reach the collision scene,c: Next to the collision scene""","""c""","""The DMV handbook states on page 77: 'If you are in a collision, you must stop. Someone could be injured and need your help.'"""
5,,,What is a crosswalk?,"""a: Another name for a four-way intersection.,b: An area designated for road construction workers.,c: The area where pedestrians may cross the roadway.""","""c""","""A crosswalk is the part of the road set aside for pedestrians to safely cross the road. They are often marked with white lines. School crossings may have yellow crosswalk lines. Not all crosswalks are marked. Pedestrians have the right-of-way in marked or unmarked crosswalks."""
5,,,Continuous hard braking on ice and snow often:,"""a: Helps you stop faster.,b: Locks the front wheels of a vehicle,c: Keeps the brakes from freezing.""","""b""","""The DMV handbook mentions that 'A locked wheel skid is usually caused by braking too hard when you are going too fast'."""
5,,,What should a driver do who is stopped at an intersection and wants to make a left turn?,"""a: Turn immediately if there are no pedestrians.,b: Take the right-of-way turn before oncoming traffic.,c: Give the right-of-way to any approaching vehicle that is close enough to be dangerous.""","""c""","""When turning left, you must check for pedestrians. 'Give the right-of-way to any pedestrian or approaching vehicle that is close enough to be dangerous.'"""
5,,,"""No passing zone"" signs tell drivers:","""a: To speed up slightly.,b: That it is not safe to pass.,c: To maintain a steady speed.""","""b""","""The DMV handbook explains on page 37 that 'No Passing' signs indicate 'that it is not safe to pass'."""
5,,,Dim your headlights for oncoming vehicles or when you are within 300 feet of a vehicle:,"""a: That you are approaching from behind.,b: Approaching you from behind.,c: That you have already passed.""","""a""","""The DMV handbook states on page 11, 'Dim your high-beam headlights to low beams within 500 feet of a vehicle coming toward you or within 300 feet of a vehicle you are following.'"""
5,,,"As you approach the top of a hill, you should:","""a: Speed up slightly.,b: Prepare to stop,c: Maintain a steady speed.""","""b""","""You should prepare to stop as you approach the top of a hill because you may not be able to see what is ahead.  The DMV handbook states: 'Do not pass if you are approaching a hill or curve and cannot see if other traffic is approaching. This is very dangerous on one and two lane roads.'"""
