id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
9432,Mirror adjustment can only be checked properly if:,,The trailer is straight.,There is no trailer.,The vehicle is on a slight incline.,,A,"On a vehicle with one or more trailers, mirror adjustment can only be checked accurately if the trailers are straight. Mirror adjustment should be checked before the start of every trip."
8578,What should you do if the braking system cannot build up hydraulic pressure?,,Upshift.,Downshift.,Hold the brake pedal down as far as it will go.,,B,"If your hydraulic braking system will not build up the pressure needed to slow or stop your vehicle, there are a few possible solutions. Try shifting into a lower gear, pumping the brakes, and/or using the emergency brake."
11623,"When connecting a converter dolly to a second or third trailer, the trailer height should be:",,Slightly higher than the center of the fifth wheel.,Level with the center of the fifth wheel.,Slightly lower than the center of the fifth wheel.,,C,"When connecting a converter dolly to a second or third trailer, the trailer height should be correct. It should be slightly lower than the center of the fifth wheel."
11355,Broken suspension parts:,,Should be repaired immediately.,"Should be repaired, but not immediately.",Cannot be identified.,,A,The suspension system performs the vital functions of holding up the vehicle and its load while keeping the axles in place. Defects in the suspension are therefore extremely dangerous.
8662,Cargo tanks should never be completely full because:,,There needs to be room for the liquid to expand.,Regulations require three feet of clearance between the top of the liquid and the roof of the tank.,The tank would be too heavy.,,A,"Liquids expand as they get warmer and drivers must allow extra space in a tank to accommodate this expansion. Different liquids expand to different degrees, so drivers must be aware of the outage requirements of the specific load they are carrying."
8643,Rollovers happen when:,,You drive too slowly.,You are stopped.,You take a turn too fast.,,C,"Rollovers are caused by operators turning too fast. To avoid rolling over, drive slowly on entrance ramps, on exit ramps, and around corners. Avoid making quick lane changes when towing trailers."
11536,A driver operating a tank equipped with baffles should be particularly wary of:,,Front-to-back surge.,Side-to-side surge.,End-to-end surge.,,B,"While baffles in a tank inhibit forward and backward surge, they do not prevent side-to-side surge. Surge to the sides can cause rollovers."
8538,"When pulled over to the side of the road, you should:",,Rely on your taillights to alert other motorists to your presence.,Not worry about other motorists.,Use your four-way emergency flashers to alert other motorists to your presence.,,C,"When stopped on the side of the road, be sure to turn on your vehicle's four-way emergency flashers, especially during times of lowered visibility. Place warning devices within 10 minutes of being stopped."
8524,"When backing with a trailer, you should begin by:",,Turning the steering wheel in the direction of the turn.,Turning the steering wheel in the direction opposite of the turn.,Turning the wheel as sharply as possible.,,B,"When backing with a trailer, begin by turning the steering wheel in the direction opposite of the turn. Once the trailer starts to turn, reverse the direction of the steering wheel to follow the trailer."
8709,"If transporting chlorine, what must be in the vehicle?",,A gas mask,Goggles,An axe,,A,"If transporting chlorine in cargo tanks, a driver must have an approved gas mask in their vehicle."
9260,After two violations of any state law regarding hand-held mobile phone use:,,You will need to cancel your mobile phone service.,Your CDL will be disqualified.,You will be required to drive 10 mph under the posted speed limit for a period of time.,,B,"If you are twice convicted of violating any state law regarding hand-held mobile phone use, your CDL will be disqualified. Consequences will become more severe with subsequent violations."
9261,"Compared to talking on a cell phone while driving, texting while driving is:",,Much safer.,Just as safe.,More dangerous.,,C,"Texting while driving is even more dangerous than speaking on a phone while driving. In addition to being mentally distracting, texting is also physically distracting."
9487,An indicator that cargo contains hazardous materials is:,,The cargo is stored in cylinder tanks.,The cargo is picked up from a supermarket.,The cargo is packaged in cardboard boxes.,,A,Packaging can be an indicator of whether or not materials are hazardous. Cylinders and drums are often used to hold and transport hazardous materials.
9257,How do ice cream trucks become hazardous to other drivers?,,Ice cream trucks must be kept cold.,Children often run toward an ice cream truck without looking for other traffic.,Ice cream trucks leave trails of water and ice on the roadway.,,B,Ice cream trucks can create hazardous conditions for other drivers because they attract children. Children often do not notice or pay attention to other vehicles on the roadway when running to or from ice cream trucks.
11609,A loss of air pressure in the emergency line will cause:,,The service brakes to activate.,The tractor protection valve to close.,The rear trailer to detach from the combination.,,B,The tractor protection valve keeps air in the trailer's braking system should the trailer break away or develop a leak. A loss of air pressure in the emergency line will cause the tractor protection valve to open and the emergency trailer brakes to activate.
11855,"When coupling, after you've connected the air lines to the trailer, you should:",,Supply air to the trailer.,Activate the emergency brake.,Disconnect the glad hands.,,A,"Correctly following the steps to couple and uncouple trailers is vital to safely operating a combination vehicle. After connecting the air lines to the trailer while coupling, you should supply air to the trailer."
9595,The weight of a truck:,,Usually has no impact on stopping distance.,Is a major factor affecting stopping distance.,Is not as important as the type of cargo in determining stopping distance.,,B,"A vehicle's weight is an important factor affecting its stopping distance. The heavier a vehicle is, the more work the brakes will need to do to bring it to a complete stop."
11457,"After coupling, there should be ____ between the upper and lower fifth wheel.",,No space,Very little space,A lot of space,Three inches of space,A,"Before a trip, be sure to inspect all couplings. There should be no space between the upper and lower fifth wheel."
11559,"In a sudden turn, the ____ trailer is the most likely to turn over.",,Front,Last,Middle,,B,"When making a turn, be sure to steer gently and smoothly. Making a quick turn while pulling trailers is dangerous and can increase the risk of the last trailer rolling over."
9435,Roads are especially slippery when it first begins to rain because:,,Water is always very slippery.,The fresh rain mixes with oil on the roadway.,The water has nowhere to go.,,B,"Roads are particularly slippery when it first begins to rain. The water mixes with oil drippings on the road that have not yet washed away, creating a slippery and dangerous mixture."
11528,"Before a trip, you can make sure air flows to all trailers by:",,Checking for moving air inside of each trailer.,Listening for air at the rear shut-off valve.,Feeling for air at the front shut-off valve.,,B,"Before a trip, ensure that air in the air brake system reaches all trailers. Do this by waiting for air pressure to build, then sending air to both the emergency and service lines and opening the shut-off valves on the rear of the last trailer. If air escapes from the shut-off valves in the rear of the combination, the air is being supplied to the entire vehicle."
11438,"Your engine runs a pump used during the delivery of compressed gas. After delivery, you should turn off the engine ____ unhooking the hoses.",,Before,After,While,Either before or after,A,"Unless your engine runs a pump for product transfer, turn it off when loading or unloading a compressed gas tank. If you do use your engine to run a pump, you should turn the engine off after the product transfer but before unhooking the hoses."
8530,"When traveling down a hill, you can reduce the amount of required braking by:",,Switching into a higher gear.,Switching into a lower gear.,Switching into neutral.,,B,"Before starting down a hill, decelerate and shift down into a gear that will allow you to control your vehicle without braking too hard. Using too much brake when driving downhill can cause the brakes to overheat, reducing the braking power."
8561,"When driving under wet conditions, a lack of spray coming from the tires of other vehicles indicates that:",,Ice has formed on the road.,The pavement is dry.,The spray is caught on the underside of the vehicle.,,A,"In wet conditions, a lack of spray coming from the tires of other vehicles indicates that ice has formed on the road. Be especially cautious when traveling under wet conditions in freezing weather."
