section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,"When following a motorcycle, how much following distance should you allow on dry pavement?","a:Allow at least two seconds of following distance.,b:Allow at least two car lengths.,c:Allow at least four seconds of following distance.",b,On dry pavement allow at least four seconds of following distance behind a motorcycle to give ample reaction and braking time.,medium
8,Special Situations & Road Users,When are you NOT required to stop for a school bus displaying flashing red lights and an extended stop arm?,"a:If you are driving on the opposite side of a divided highway.,b:If you are behind the bus.,c:If you see no children present.",a,You must stop for a stopped school bus with flashing red lights unless you are on the opposite side of a divided highway.,easy
6,"Alcohol, Drugs & Impaired Driving",Even small amounts of alcohol can do what to a driver?,"a:Improve driving confidence without affecting skill.,b:Have no noticeable effect until exceeding the legal limit.,c:Reduce concentration",c,Even modest alcohol consumption impairs mental and physical skills needed for safe driving.,medium
3,"Signs, Signals & Road Markings",When is it legal to cross solid yellow centerlines?,"a:To make a turn.,b:At any time.,c:To pass traffic moving in the same direction.",b,Solid yellow lines generally prohibit passing; crossing is permitted for making turns or as directed by signs.,medium
4,Safe & Defensive Driving Practices,"If another driver cuts you off in traffic, what is the best reaction?","a:Pull alongside and confront the driver.,b:Let it go and continue driving safely rather than reacting aggressively.,c:Flash your high beams repeatedly to scare them.",b,Avoid road rage by not taking it personally; maintain safety and continue driving calmly.,easy
3,"Signs, Signals & Road Markings",What is the purpose of highway pavement markings?,"a:Are only found in construction zones.,b:Provide information for drivers.,c:Are usually not important.",b,"Pavement markings convey information to drivers about lane positioning, passing zones, and upcoming conditions.",easy
2,Traffic Laws & Rules of the Road,When should you signal before passing another vehicle?,"a:After you begin the lane change.,b:Only if another driver is following you closely.,c:Signal early enough",c,Signal in advance of your lane change so other drivers are aware of your intention to pass.,easy
8,Special Situations & Road Users,"If a transit vehicle is signaling to re-enter the roadway after a stop, you must:","a:Yield and allow it to reenter.,b:Move to the left lane.,c:Honk to let the driver know you are there.",a,"You must yield—by slowing, stopping, or changing lanes when safe—to allow buses to re-enter traffic after loading or unloading.",easy
8,Special Situations & Road Users,When are you allowed to go around a lowered or closing railroad crossing gate?,"a:When the train has passed.,b:When the lights have stopped flashing.,c:Under no circumstances.",c,Never attempt to go around a lowered gate or ignored flashing signals; do not cross until it is safe and legal to do so.,easy
8,Special Situations & Road Users,How should you respond when approaching a stopped emergency vehicle with flashing lights on the roadside?,"a:Maintain your speed and lane as long as you don't cross the shoulder.,b:Drive to the right and stop immediately regardless of traffic.,c:Slow down and change lanes away from the stopped vehicle if possible; if not safe to change lanes",c,"When passing a stopped emergency, tow, or roadside assistance vehicle with flashing lights, move over a lane if possible; otherwise slow down and provide extra space.",medium
2,Traffic Laws & Rules of the Road,"At a stop sign, after coming to a complete stop you should first do what?","a:Move when the vehicle ahead of you moves.,b:Check your rearview mirror for cars tailgating.,c:Look left",c,"After stopping, scan left, then right, then left again to ensure the intersection is clear before proceeding.",easy
4,Safe & Defensive Driving Practices,Before changing lanes on a multilane highway you should:,"a:Reduce your speed.,b:Sound your horn.,c:Look in your rearview and side mirrors and check over your shoulder for traffic in your blind spot.",c,Always check mirrors and look over your shoulder to verify the blind spot is clear before changing lanes.,medium
5,Driving in Special Conditions,"On slippery roads, how should you negotiate turns?","a:Reduce speed and take turns more slowly than usual.,b:Change lanes quickly to avoid puddles.,c:Accelerate through the turn to maintain momentum.",a,Approach and negotiate curves at reduced speeds on slippery surfaces to maintain traction and control.,easy
6,"Alcohol, Drugs & Impaired Driving",Which is a possible penalty for a first conviction of driving under the influence of alcohol?,"a:Be required to drive with a restricted occupational license.,b:Lose your license for up to five years.,c:Be required to conduct a public education class on the dangers of drunk driving.",b,Penalties for a first DUI include fines and possible license suspension; more severe penalties depend on BAC and other factors.,medium
2,Traffic Laws & Rules of the Road,What does a flashing yellow traffic light at an intersection mean?,"a:Slow down and proceed with care.,b:Continue normally through the intersection.,c:Stop and proceed when a green light appears.",a,"A flashing yellow light means caution: slow down, look, and proceed carefully when safe.",easy
2,Traffic Laws & Rules of the Road,"When approaching a steady yellow light, what should you do?","a:Accelerate to avoid a red light.,b:Continue driving,c:Slow to a stop",a,A steady yellow indicates the signal will change to red; slow and stop unless it is unsafe to do so.,easy
2,Traffic Laws & Rules of the Road,"If you miss your turn or exit on a freeway, what should you do?","a:Make a quick lane change and turn from your lane of travel.,b:Back up on the shoulder to return to the exit.,c:Continue to the next exit or other safe location to turn around.",c,Do not stop or back up on a freeway; proceed to the next exit and turn around where safe and legal.,easy
2,Traffic Laws & Rules of the Road,"If you are driving on a two-lane street and a fire engine that is not using its emergency signals is following you, what should you do?","a:Speed up to increase the distance from the engine.,b:Continue driving normally; you do not need to yield unless its lights or siren are on.,c:Pull immediately to the side and stop.",b,"If the emergency vehicle has no lights or siren, you may continue in a normal manner; only clear the way when they are using signals.",easy
2,Traffic Laws & Rules of the Road,"If a green arrow changes into a solid green light, what must you do before turning?","a:May still turn, but you must yield to oncoming traffic.,b:May no longer turn and must proceed straight.,c:Still have the right-of-way to turn.",a,"A green arrow gives protected movement; when it ends, you may turn on a green light but must yield to pedestrians and oncoming traffic.",easy
2,Traffic Laws & Rules of the Road,You must come to a complete stop at an intersection when you see which signal?,"a:A yellow arrow.,b:A steady yellow light.,c:A flashing red light.",c,"A flashing red light has the same meaning as a stop sign: stop completely, then proceed when safe.",easy
6,"Alcohol, Drugs & Impaired Driving",Which of the following penalties may be required for driving under the influence?,"a:A $100 fine only.,b:No penalties for a first offense.,c:Attendance at Alcohol Highway Safety School.",c,"First or second DUI offenses generally include, among other penalties, required attendance at Alcohol Highway Safety School.",medium
4,Safe & Defensive Driving Practices,What should you do before making a turn?,"a:Increase your speed to complete the turn faster.,b:Turn the wheel immediately without signaling.,c:Activate your turn signal several seconds in advance.",c,Signal three to four seconds before turning to warn other road users of your intent.,easy
4,Safe & Defensive Driving Practices,How should you scan the road ahead to prepare for hazards?,"a:Drive with your left foot resting lightly on the brake pedal.,b:Stare straight ahead at all times.,c:Continually scan the entire road and both roadsides.",c,"Effective hazard detection requires continuously scanning the roadway and roadside areas, not staring fixedly or using improper foot position.",easy
6,"Alcohol, Drugs & Impaired Driving","If someone under 16 uses a false ID to obtain alcohol, what happens to their driving privilege?","a:They will be barred from driving until age 21.,b:No action affects their license until they turn 21.,c:Their driving privilege will be suspended beginning at age 16.",c,"If convicted while under 16 for possessing or obtaining alcohol via false ID, the driving suspension takes effect when the person turns 16.",difficult
3,"Signs, Signals & Road Markings","If the center of the road has a broken yellow line, what does that tell you about the road?","a:You are on a one-way road.,b:The road is under repair.,c:You are on a two-way road (traffic moves in both directions).",c,Broken yellow centerlines separate traffic moving in opposite directions and may be crossed to pass when safe.,easy
