id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8699,Containers of hazardous materials must be:,,Brightly-colored.,Braced to prevent movement during transportation.,Made of cardboard.,,B,"Containers of hazardous materials should be braced so they will not fall, slide, or bounce around during transportation."
11435,The identification number associated with a hazardous material should appear:,,On the material's packaging.,On the vehicle's license plate.,Directly next to a placard.,On a bumper sticker on the vehicle.,A,A material's ID number must appear on its accompanying shipping paper as well as on its packaging. It must also appear on cargo tanks and other bulk packaging.
11439,Placarded vehicles must carry fire extinguishers with a minimum rating of:,,10 B:C.,20 C.,10 A:B.,5 B:C.,A,The power unit of a placarded vehicle must be equipped with a fire extinguisher with an Underwriters Laboratories (UL) rating of 10 B:C or more.
8683,Which of the following is not a list to search to determine if an item is a hazardous material?,,"The Hazardous Materials Table (Title 49, CFR, §172.101)",The List of Hazardous Substances and Reportable Quantities,The Periodic Table of Elements,,C,"The three main lists used to identify hazardous materials are the Hazardous Materials Table (Title 49, CFR, §172.101), the List of Hazardous Substances and Reportable Quantities (Appendix A to Title 49, CFR, §172.101), and the List of Marine Pollutants (Appendix B to Title 49, CFR, §172.101)."
8692,"If a package contains liquid containers, the box must display:",,Arrows pointing in the correct upright direction.,A return address.,The number of containers inside the box.,,A,Packages that contain liquid containers must have orientation markers. Arrows displayed on the box should be pointing in the correct upright direction.
9487,An indicator that cargo contains hazardous materials is:,,The cargo is stored in cylinder tanks.,The cargo is picked up from a supermarket.,The cargo is packaged in cardboard boxes.,,A,Packaging can be an indicator of whether or not materials are hazardous. Cylinders and drums are often used to hold and transport hazardous materials.
11440,"If transporting explosives, you may leave your vehicle unattended:",,In a rest area.,At a truck stop.,On private property.,In a safe haven.,D,"When transporting hazardous materials, you may leave your vehicle unattended in a safe haven. A safe haven is a location that has been approved for parking unattended vehicles that are loaded with explosives."
8689,Shippers are required to keep a copy of shipping papers for at least:,,Five months.,One year.,Two years.,,C,"Shippers must retain hazardous materials shipping papers, or an electronic image of the papers, for a minimum of two years after the date that the material is accepted by the initial carrier. For hazardous waste, the requirement increases to three years."
8696,If transporting mass explosives:,,The vehicle must always be placarded.,"The vehicle must be placarded, but only if transporting more than 200 pounds of the material.",The vehicle does not need to be placarded.,,A,Attach the appropriate placards to your vehicle before driving. A vehicle must be placarded if it is carrying mass explosives in any amount.
8682,Where are the identification numbers assigned to chemicals located?,,In the DOT Emergency Response Guidebook (ERG),In the truck's manual,On the EPA’s website,,A,The four-digit identification numbers assigned to specific hazardous chemicals are listed in the U.S. Department of Transportation (DOT)'s Emergency Response Guidebook (ERG).
8695,"To know which placard to use, you need to know:",,The hazard class of the materials.,The type of container that is holding the materials.,The destination of the materials.,,A,"To determine which placards need to be used, you must know the hazard class of the materials being shipped, the amount of hazardous materials being shipped, and the total weight of all hazardous materials in your vehicle."
8694,A placard should be placed:,,At least three inches away from any other markings.,"Under a ladder, if space is an issue.",On a background that is a similar color to the placard.,,A,"A placard must be placed at least three inches away from any other markings. The placard should be kept clear of attachments or devices, such as doors and ladders. Placards should always be placed against a background of a contrasting color."
8693,A clue that your shipment contains hazardous materials is that:,,The shipper is in the business of firework or munition dealing.,The last shipment you picked up was labeled as hazardous.,The packaging looks damaged.,,A,"One clue that a shipment may contain hazardous materials is that the shipper is in a line of business that involves such materials. Examples include paint dealers; chemical suppliers; scientific supply houses; pest control businesses; agricultural supply firms; and dealers in explosives, munitions, or fireworks."
8666,Shippers package in order to ____ hazardous materials.,,Contain,Release,Insulate,,A,Shippers package hazardous materials in a way that is meant to completely contain the materials. Vehicles should be placarded to communicate the risk of the cargo.
8674,"If a driver is given a leaking package or shipment, they should:",,Accept it.,Refuse it.,Leave it on the side of the road.,,B,It is a driver's responsibility to refuse packages or shipments of hazardous materials if they contain leaks.
11510,You may leave a vehicle that is carrying explosives unattended:,,Under a bridge.,In a safe haven.,On the shoulder of a highway.,,B,"When transporting hazardous materials, you may leave your vehicle unattended in a safe haven. A safe haven is a location that has been approved for parking unattended vehicles that are loaded with explosives."
9482,"If you discover that your cargo is leaking, you should:",,Touch the leaking material to identify the cargo.,Use shipping papers and labels to identify the leaking cargo.,Assume all the cargo is leaking.,,B,"If you discover a leak in a cargo of hazardous materials, identify the materials in question by using the shipping papers, labels, or package location. Do not touch the leaking material."
8704,"If you're transporting explosives and your vehicle breaks down, you should notify other drivers:",,With flares.,With reflective triangles.,By standing on the roadway and waving your arms.,,B,"If your vehicle breaks down while you are transporting explosives and you need to use warning signals, use reflective triangles or red electric lights. Never use burning signals, such as flares or fuses, when transporting explosives."
11334,"When traveling with Division 1.1 explosives, you must park at least ____ from any building.",,25 feet,50 feet,300 feet,,C,"When carrying Division 1.1, 1.2, or 1.3 explosives, do not park within 300 feet of a bridge, tunnel, or building; a place where people gather; or an open fire."
8686,"If a shipping paper describes both hazardous and non-hazardous materials, the hazardous materials may need to be:",,Highlighted in a contrasting color.,Circled by a pen or marker.,Unmarked.,,A,"If a shipping paper describes both hazardous and non-hazardous materials, the hazardous materials must be distinguished in one of three ways. They must be entered first on the shipping paper, highlighted in a contrasting color, or properly marked with an ""X"" in a column titled ""HM."""
11507,Which type of material may be required to have a transport index?,,Liquid,Combustible,Radioactive,,C,Some radioactive materials are required to be accompanied by a transport index. A transport index is a number that indicates how much control the material will require during transport. The total transport index of all cargo in a single vehicle may not exceed 50.
8678,Hazardous materials shipping papers may not be kept:,,In a pouch on the driver’s door.,In a pouch on the passenger’s side door.,Within reach of the driver while the seat belt is fastened.,,B,"Shipping papers must be quickly accessible in the event of an emergency. While driving, operators must keep the papers in a pouch on the driver’s door or in clear view and within immediate reach while their seat belt is fastened. Shipping papers may be kept on the driver’s seat when the driver is out of the vehicle."
8697,"When loading containers of hazardous materials, you should not use:",,Dollies.,Hooks.,Straps.,,B,"Always protect containers of hazardous materials. When loading hazardous materials, never use equipment that could damage containers or packaging, such as hooks."
8675,A material’s hazard class reflects:,,The risks associated with the material.,How quickly the material must reach its destination.,How much the material weighs.,,A,A hazardous material will be placed into one of nine classes to explain the type of risks associated with the material.
8679,How do you label a package if the hazardous materials label will not fit onto the package?,,Place the label on a tag securely attached to the item.,Attach a QR Code to be scanned.,Reduce the size of the HazMat label to fit it completely on the item.,,A,"Shippers should place applicable diamond-shaped hazard warning labels on hazardous materials packages. If a label will not fit entirely onto a package, shippers may instead place the label on a tag that is securely attached to the package."
8680,____ are used to warn others of hazardous materials.,,Placards,Flashing lights,Color-coded pieces of tape,,A,"Diamond-shaped signs called placards are placed on bulk packages and on the outside of vehicles to warn drivers and others of the presence of hazardous materials. It is the responsibility of the shipper to place the placards, and it is the responsibility of the driver to verify that the correct placards have been placed."
8710,"As a driver, which of the following is not your job at the scene of an accident?",,Keeping people away from the scene.,Taking heroic measures to put the fire out.,Communicating the danger of the hazardous materials to response personnel.,,B,"If you are involved in an accident while carrying hazardous materials, it is your responsibility as the driver to keep people away from the scene; limit the spread of material if you can safely do so; inform emergency response personnel of the dangers posed by the materials; and provide emergency personnel with the shipping papers and emergency response information. Unless you have protective equipment and the necessary training, do not try to fight hazardous materials fires yourself."
8667,"If transporting hazardous materials, a shipper should warn others by:",,Posting HazMat placards on their truck.,Putting flashing lights on their truck.,Sounding a siren.,,A,"Shippers of certain kinds of hazardous materials are required to display diamond-shaped warning signs, known as placards, on any transporting vehicles. Shippers are required to provide applicable placards, labels, shipping papers, and emergency response information."
8670,How often are hazardous materials employees required to be trained and tested?,,Once every year,Once every three years,Once every five years,,B,All drivers must be trained in the security risks of hazardous materials transportation. This training must include how to recognize and respond to possible security threats. Hazardous materials employees must be trained and tested at least once every three years.
8712,"During a cargo fire, opening the trailer doors may actually cause the fire to expand because doing so:",,Allows oxygen into the trailer.,Changes the temperature of the trailer.,Provides more moisture to the trailer.,,A,"When experiencing a cargo fire, it may be a bad idea to open the doors to the trailer. Doing so allows oxygen to enter the area, potentially causing the fire to flare up and expand."
11505,A hazardous material's identification number should appear:,,On the transporting vehicle's bumper.,On the material's packaging.,On a sticker near the material's shipping container.,,B,A material's ID number must appear on its accompanying shipping paper as well as on its packaging. It also must appear on cargo tanks and other bulk packaging.
8671,"If a route you are planning to use has a route restriction, you should contact:",,The California Highway Patrol.,The California Environmental Protection Agency.,The California Energy Commission.,,A,You should contact the U.S. Department of Transportation (DOT) and/or the California Highway Patrol (CHP) for information about permits or route restrictions applicable to certain classifications and quantities of hazardous materials.
11332,Placards showing the type of hazardous materials in a vehicle are usually shaped like what?,,An octagon,A circle,A diamond,,C,Hazardous materials warning placards are diamond-shaped.
8701,"If loading corrosive materials, you should not:",,Roll the containers.,Load the containers by hand.,Use the vehicle’s parking brake.,,A,"If loading by hand, load breakable containers of corrosive liquid one by one. Keep them facing upright. Do not drop or roll the containers."
9306,"When traveling with Division 1.1 explosives, you may park no closer than ____ from the nearest building.",,10 feet,50 feet,300 feet,,C,"When carrying Division 1.1, 1.2, or 1.3 explosives, you should not park within 300 feet of a bridge, tunnel, or building, unless you are parking for a short period of time while performing an operational necessity, like refueling."
9479,"While driving, shipping papers should be:",,Within reach.,In the sleeping compartment.,Hidden under a seat.,,A,"While hazardous materials are being transported, shipping papers should either be kept in a pouch in the driver's side door or in another location where the driver is able to easily reach them while their seat belt is fastened. The papers must be clearly visible to anyone who is entering the cab."
10481,Portable tanks:,,Cannot be removed from a vehicle.,Are not permanently attached to a vehicle.,Are permanently attached to a vehicle.,Should not be used.,B,"Cargo tanks remain on a vehicle at all times, regardless of whether or not they are carrying cargo. Portable tanks are bulk packaging and are not permanently attached to a vehicle."
