section-num,section-name,question,options,correct-answer,note,difficulty
6,"Alcohol, Drugs & Impaired Driving",What kinds of drugs can impair your driving ability?,"a:Only illegal drugs.,b:No drugs affect driving if taken as directed.,c:Only prescription medicines.,d:Illegal, prescription, and over-the-counter drugs can all impair driving.",d,"Many types of drugs can impair driving, including illegal drugs, prescription medications, and over‑the‑counter medicines. Even when taken as directed, some drugs can cause drowsiness, slow reaction time, or affect judgment. Always read labels and talk to your doctor or pharmacist about how a medicine may affect your ability to drive safely.",
4,Safe & Defensive Driving Practices,"If your vehicle's accelerator sticks open, what is the correct response?","a:Shift to neutral, turn on hazard lights, apply brakes gradually, and safely pull off the road, then turn off the ignition.,b:Slam the brakes and hold them down hard.,c:Keep accelerating to reach a safe area quickly.,d:Turn the steering wheel sharply to stall the engine.",a,"If your accelerator sticks, keep calm and quickly shift to neutral so the engine is no longer driving the wheels. Turn on your hazard lights, steer smoothly, and apply the brakes gradually to slow down and move to the side of the road. Once you are safely off the roadway and stopped, then turn off the ignition. Do not turn the key to lock while moving, because that can lock the steering.",
8,Special Situations & Road Users,"On a two-lane road without bicycle lanes, the safest way to pass a bicyclist is to:","a:Honk and expect the bicyclist to move over.,b:Force them off the road by driving quickly past.,c:Pass as close as possible to minimize time near them.,d:Slow down, wait until it is safe, and pass with at least 3 feet of clearance (more at higher speeds).",d,"When passing a bicyclist on a two‑lane road without a bike lane, slow down and wait until it is safe to move over and give them plenty of space—at least 3 feet, and more at higher speeds. Only pass when you can do so without crowding the bicyclist or oncoming traffic. Never honk aggressively, crowd, or try to force a bicyclist off the road.",difficult
2,Traffic Laws & Rules of the Road,What do speed limit signs legally indicate?,"a:Potential driving speeds for the area.,b:The maximum or minimum speed that is legally allowed under ideal conditions.,c:The speed drivers should drive in heavy traffic.,d:A recommended speed for inexperienced drivers.",b,"Speed limit signs show the maximum (and sometimes minimum) speed allowed under ideal conditions. You must slow down below the posted limit when conditions such as rain, fog, traffic, or road work make it unsafe to travel at the maximum speed. The posted limit is never a guarantee that it is safe to drive that fast in all situations.",
7,Vehicle Ownership & Responsibilities,Why is a leaking exhaust system hazardous?,"a:Carbon monoxide poisoning.,b:A loss of hearing.,c:Pollution.",a,"A leaking exhaust system is dangerous because it can let carbon monoxide and other exhaust gases enter the passenger compartment. Carbon monoxide is colorless and odorless and can cause headache, dizziness, unconsciousness, and death. Any suspected exhaust leak should be checked and repaired immediately.",
2,Traffic Laws & Rules of the Road,"When merging from an entrance ramp onto a crowded freeway, what should you do?","a:Stop at the end of the ramp and wait for a gap.,b:Use mirrors and blind-spot checks and use the acceleration lane to match freeway speed.,c:Enter immediately without checking.,d:Yield only to vehicles on your left.",b,"When entering a freeway, use the entrance ramp and acceleration lane to reach the speed of traffic on the freeway, then merge when there is a safe gap. Check your mirrors and blind spots, signal, and always yield to vehicles already on the freeway. Stopping at the end of the ramp is unsafe because other drivers do not expect a stopped vehicle there.",
8,Special Situations & Road Users,You hear a siren behind you while driving. What should you do?,"a:Speed up to get out of the way.,b:Safely pull over to the right and stop to allow the emergency vehicle to pass.,c:Ignore it if you do not see lights.,d:Stop immediately where you are and remain.",b,"When an emergency vehicle using sirens and/or flashing lights approaches, you must yield the right-of-way. Safely pull over to the right side of the road and stop until the vehicle has passed, unless directed otherwise by law enforcement. Do not speed up or stop suddenly in the lane, as that can create additional hazards.",difficult
4,Safe & Defensive Driving Practices,Which factor greatly increases stopping distance and the seriousness of a crash?,"a:Night driving.,b:Slow speeds.,c:High speeds.",c,"As speed increases, your stopping distance grows rapidly because both your reaction distance and braking distance get longer. In a crash, higher speed also means much greater impact force, which increases the likelihood of serious injury or death. Driving at safe, legal speeds gives you more time and space to react and stop.",
3,"Signs, Signals & Road Markings",What does a single broken yellow line down the center of a two-lane road mean?,"a:Traffic moves in the same direction and passing is prohibited.,b:You must not cross for any reason.,c:Traffic moves in opposite directions and passing is allowed when it is safe.,d:It marks a bicycle lane.",c,"A single broken yellow line in the center of a two-lane road means traffic moves in opposite directions and passing is allowed from either direction when it is safe and legal. Before passing, you must ensure there is enough clear distance ahead, no oncoming traffic close by, and no signs or markings prohibiting passing.",
8,Special Situations & Road Users,"At a railroad crossing without flashing warnings or gates, how should you proceed?","a:Approach with caution and be prepared to yield to any train, ensuring room to clear the tracks.,b:Cross immediately to save time.,c:Always stop no matter what.,d:Shift gears while crossing to avoid stalling.",a,"At a railroad crossing without lights or gates, slow down, look and listen carefully in both directions, and be prepared to stop. Cross only when you are sure no train is coming and there is enough space on the far side of the tracks for your vehicle to clear completely. Never stop on the tracks or shift gears while crossing.",difficult
8,Special Situations & Road Users,"When you see an emergency vehicle with flashing lights, what must you do?","a:Slow down and keep moving in your lane.,b:Pull to the right curb and stop.,c:Keep driving in your lane and ignore it.,d:Speed up to clear the way.",b,"When an emergency vehicle approaches with flashing lights and/or siren, you must safely pull over to the right side of the road and stop, remaining stopped until it has passed. This creates a clear path so the emergency vehicle can move quickly and safely.",
