Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"National: Contracts","Contracts","National","A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). matches which of the following terms?","Estate for Years","Exclusive Right-to-Sell","Bilateral Contract","Escrow","C","Bilateral Contract is defined as: A contract where both parties exchange mutual promises of performance, binding both parties to execute terms (e.g., a standard purchase agreement). Example: A buyer and seller sign a contract for the sale of a house. The seller promises to convey the title, and the buyer promises to pay $275,000 at closing. This mutual exchange of promises makes it a bilateral contract."
"National: Contracts","Contracts","National","Select the correct term for this definition: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties.","Estate for Years","Acceptance","Escrow","Exclusive Right-to-Sell","C","Escrow is defined as: An arrangement where a neutral third party holds funds, deeds, or documents until specified contract conditions are met by both parties. Example: A buyer deposits a $10,000 check into an escrow account. The escrow company holds this earnest money until the closing date, when the funds are applied to the buyer's down payment and the deed is recorded."
"National: Contracts","Contracts","National","A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. is the legal definition of:","Acceptance","Estate for Years","Accord","Exclusive Right-to-Sell","B","Estate for Years is defined as: A leasehold estate that has a specific, definite start and end date. No notice is required to terminate this tenancy. Example: A tenant signs a lease agreement to rent a beach condo from June 1 to August 31. This lease is an estate for years, and the tenant must vacate the property on August 31 without any further notice."
"National: Contracts","Contracts","National","What real estate term matches the following description: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently.","Accord","Acceptance","Exclusive Right-to-Sell","Accord And Satisfaction","C","Exclusive Right-to-Sell is defined as: A listing agreement where the broker receives a commission regardless of who finds the buyer, even if the seller sells the property independently. Example: A seller signs an exclusive right-to-sell listing with a broker. While the broker is marketing the home, the seller's coworker offers to buy it. At closing, the seller must pay the broker the agreed-upon commission, even though the coworker was introduced by the seller."
"National: Contracts","Contracts","National","Define: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact.","Accord","Acceptance","Accord And Satisfaction","Accounts Payable","B","Acceptance is defined as: Voluntary agreement to an offer. (1) Real property acceptance must be unequivocal See: Mirror Image Rule. (2) Acceptance for goods, according to the Uniform Commercial Code, need not be unequivocal. Offer, acceptance, and consideration form a contact. Example: An example applying the concept of Acceptance in U.S. real estate transactions."
"National: Contracts","Contracts","National","An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". matches which of the following terms?","Accounts Payable","Accord","Addendum","Accord And Satisfaction","B","Accord is defined as: An agreement by which one accepts something different (usually less) from what is owed as full satisfaction. The amount owed may be in dispute or simply accepted as full satisfaction by the creditor or claimant. The agreement and acceptance is called \""Accord and Satisfaction\"". Example: An example applying the concept of Accord in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt.","Addendum","Accord And Satisfaction","Accounts Payable","Additional Deposit","B","Accord And Satisfaction is defined as: The agreement (accord) and acceptance (satisfaction) by creditors of less than the full amount owing on a debt. Example: An example applying the concept of Accord And Satisfaction in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. is the legal definition of:","Adjusted Mortgage","Addendum","Accounts Payable","Additional Deposit","C","Accounts Payable is defined as: Money owing. The term is generally used in business rather than personal finances. Usually represents services or materials, such as wood, bricks, payment of subcontractors, etc., to a builder. Example: An example applying the concept of Accounts Payable in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment.","Adjusted Mortgage","Additional Deposit","Administrator's Deed","Addendum","D","Addendum is defined as: Something added. A list or other material added to a document, letter, contractual agreement, escrow instructions, etc. See also: Amendment. Example: An example applying the concept of Addendum in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"".","Adjusted Mortgage","Adult","Administrator's Deed","Additional Deposit","D","Additional Deposit is defined as: A buyer of real property will generally give a small deposit with an offer, and a more substantial deposit after the offer has been accepted. The second deposit is the \""additional deposit\"". Example: An example applying the concept of Additional Deposit in U.S. real estate transactions."
"National: Contracts","Contracts","National","A mortgage released after a company has undergone reorganization. matches which of the following terms?","Administrator's Deed","Adult","Adjusted Mortgage","Advance Fee","C","Adjusted Mortgage is defined as: A mortgage released after a company has undergone reorganization. Example: An example applying the concept of Adjusted Mortgage in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: A conveyancing instrument used by an Administrator to transfer property from an estate. See: Administrator.","Adult","Advance Payments","Administrator's Deed","Advance Fee","C","Administrator's Deed is defined as: A conveyancing instrument used by an Administrator to transfer property from an estate. See: Administrator. Example: An example applying the concept of Administrator's Deed in U.S. real estate transactions."
"National: Contracts","Contracts","National","A person old enough to vote and to make contracts. The age in most states is 18, except for contracts to purchase alcohol, for which all states classify an adult as a person over the age of 21. is the legal definition of:","Advance Fee","Advances","Advance Payments","Adult","D","Adult is defined as: A person old enough to vote and to make contracts. The age in most states is 18, except for contracts to purchase alcohol, for which all states classify an adult as a person over the age of 21. Example: An example applying the concept of Adult in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: A fee charged by a broker to a seller to cover all or a portion of the broker's costs of promoting the property. The fee is generally credited against commissions but is not refunded if no commissions are received. Most frequently used in connection with large offerings which require a substantial outlay of funds for promotion.","Advances","Advance Fee","Affidavit Of Title","Advance Payments","B","Advance Fee is defined as: A fee charged by a broker to a seller to cover all or a portion of the broker's costs of promoting the property. The fee is generally credited against commissions but is not refunded if no commissions are received. Most frequently used in connection with large offerings which require a substantial outlay of funds for promotion. Example: An example applying the concept of Advance Fee in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: Payments made to a contractor before performance. Not the usual method and when made by HUD or GNMA, there must special approval. See also: Progress Payments; Provisional Payments.","Advances","After Acquired Title","Affidavit Of Title","Advance Payments","D","Advance Payments is defined as: Payments made to a contractor before performance. Not the usual method and when made by HUD or GNMA, there must special approval. See also: Progress Payments; Provisional Payments. Example: An example applying the concept of Advance Payments in U.S. real estate transactions."
"National: Contracts","Contracts","National","Money advanced by a lender (mortgagee or beneficiary under a deed of trust) to pay the borrower's (mortgagor's or trustor's) obligations of taxes, insurance, or other items necessary to protect the secured property. The amounts advanced are then added to the balance owing on the mortgage or trust deed. matches which of the following terms?","After Acquired Title","Advances","Agreement","Affidavit Of Title","B","Advances is defined as: Money advanced by a lender (mortgagee or beneficiary under a deed of trust) to pay the borrower's (mortgagor's or trustor's) obligations of taxes, insurance, or other items necessary to protect the secured property. The amounts advanced are then added to the balance owing on the mortgage or trust deed. Example: An example applying the concept of Advances in U.S. real estate transactions."
"National: Contracts","Contracts","National","Select the correct term for this definition: An affidavit by a seller of real property that, as of a certain date, no defects of title exist except those which have been disclosed in the sales contract or deed.","Agreement","Agreement Of Sale","Affidavit Of Title","After Acquired Title","C","Affidavit Of Title is defined as: An affidavit by a seller of real property that, as of a certain date, no defects of title exist except those which have been disclosed in the sales contract or deed. Example: An example applying the concept of Affidavit Of Title in U.S. real estate transactions."
"National: Contracts","Contracts","National","Legal doctrine by which property automatically vests in a grantee when the grantor acquires title to the property after the deed has been executed and delivered. is the legal definition of:","After Acquired Title","Agreement","Agreement Of Sale","Amendment","A","After Acquired Title is defined as: Legal doctrine by which property automatically vests in a grantee when the grantor acquires title to the property after the deed has been executed and delivered. Example: An example applying the concept of After Acquired Title in U.S. real estate transactions."
"National: Contracts","Contracts","National","What real estate term matches the following description: A general term usually describing a common view of two or more people regarding the rights and obligations of each with regard to a given subject. Not necessarily a contract, although all contracts are agreements.","Amendment","Antenuptial Agreement","Agreement Of Sale","Agreement","D","Agreement is defined as: A general term usually describing a common view of two or more people regarding the rights and obligations of each with regard to a given subject. Not necessarily a contract, although all contracts are agreements. Example: An example applying the concept of Agreement in U.S. real estate transactions."
"National: Contracts","Contracts","National","Define: Has two separate meanings, depending on area of the country. In some states it is synonymous with a purchase agreement (See: Purchase Agreement). In other states, it is synonymous with a land contract. See: Land Contract.","Amendment","Antenuptial Agreement","Agreement Of Sale","Anticipatory Breach","C","Agreement Of Sale is defined as: Has two separate meanings, depending on area of the country. In some states it is synonymous with a purchase agreement (See: Purchase Agreement). In other states, it is synonymous with a land contract. See: Land Contract. Example: An example applying the concept of Agreement Of Sale in U.S. real estate transactions."
"National: Contracts","Contracts","National","A change, either to correct an error or to alter a part of an agreement without changing the principal idea or essence. matches which of the following terms?","Amendment","Antenuptial Agreement","Anticipatory Breach","Antitrust Laws","A","Amendment is defined as: A change, either to correct an error or to alter a part of an agreement without changing the principal idea or essence. Example: An example applying the concept of Amendment in U.S. real estate transactions."
