section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When an emergency vehicle approaches with lights or siren active, what must a driver do immediately?","a:Pull to the right and stop.,b:Slow down and stay in lane.,c:Pull to the right and turn on four-way flashers.,d:Drive to the left shoulder and stop",a,You must promptly pull to the right and stop to allow emergency vehicles to pass safely.,easy
6,"Alcohol, Drugs & Impaired Driving",Which statement best describes drivers who have consumed alcohol and then drive?,"a:They do not have sufficient control over their bodies, minds, or vehicles,b:They are always aware of the risks, c:They become better drivers because they are more careful",a,"Alcohol is a depressant that reduces judgment, vision, coordination, and reaction time, impairing a driver’s ability to operate a vehicle safely.",easy
8,Special Situations & Road Users,"When approaching railroad tracks, what should you do?","a:Look and listen, slow down, and be prepared to stop.,b:Speed up to cross before a train appears.,c:Drive around lowered gates if a car is stuck on the tracks.,d:Keep radio volume high to hear signals better.",a,"Always look, listen, and be ready to stop at tracks; do not go around gates or take risks.",easy
2,Traffic Laws & Rules of the Road,How must a driver respond to a flashing red traffic signal?,"a:Come to a complete stop, yield to traffic and pedestrians, then proceed when safe.,b:Slow down and continue without stopping.,c:Merge to the right.",a,"A flashing red light means stop, yield to other traffic and pedestrians, and proceed only when it is safe.",medium
6,"Alcohol, Drugs & Impaired Driving","If you socialize and drink alcohol, what is a safe option to ensure safe travel?","a:Ride home with a friend who has not been drinking.,b:Drink coffee before driving.,c:Take a cold shower before driving.,d:Wait 10 minutes and then drive",a,Arranging a sober ride home prevents impaired driving; coffee or a shower does not reduce blood alcohol content.,easy
4,Safe & Defensive Driving Practices,Does talking or texting on a cell phone significantly increase crash risk?,"a:False,b:True",b,Using a handheld or hands-free phone for talking or texting distracts you and increases the likelihood of a crash; it reduces attention and reaction time.,easy
8,Special Situations & Road Users,"When driving near heavy trucks, what must other drivers allow for?","a:The increased stopping distance required by large vehicles,b:The decreased stopping distance of trucks,c:The reduced noise levels from larger vehicles",a,Large vehicles need more distance to stop; smaller vehicles should avoid lingering in truck blind spots and give them extra space.,easy
4,Safe & Defensive Driving Practices,Which behavior describes an inattentive driver?,"a:Daydreaming or staring at objects off the roadway while driving.,b:Checking mirrors frequently and scanning traffic.,c:Watching only the car directly ahead.,d:Using turn signals when changing lanes.",a,Inattentive drivers are distracted by non-driving activities and do not adequately scan the road.,medium
7,Vehicle Ownership & Responsibilities,"When making an emergency roadside stop, is it unnecessary to set the parking brake?","a:False,b:True",a,"When you make an emergency stop, set your parking brake and turn on your emergency flashers to alert other drivers.",easy
2,Traffic Laws & Rules of the Road,"Which traffic signal situation requires you to come to a complete stop, yield, then proceed when clear?","a:A flashing red light.,b:A solid green light.,c:A flashing yellow light.,d:A steady yellow light",a,"A flashing red light functions like a stop sign: stop, yield to others, and proceed when safe.",easy
