id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11607,A loss of air pressure in the emergency line will cause:,,The suspension springs to extend.,The tractor protection valve to open.,The emergency brakes to activate.,,C,The emergency air line controls the emergency brakes on a combination vehicle. A loss of air pressure in the emergency line will cause the emergency trailer brakes to activate.
11858,"When connecting a converter dolly to a second trailer, the trailer height should be ____ the center of the fifth wheel.",,Level with,Slightly higher than,Slightly lower than,,C,"When connecting a converter dolly to a second or third trailer, the trailer height should correct. It should be slightly lower than the center of the fifth wheel."
11559,"In a sudden turn, the ____ trailer is the most likely to turn over.",,Front,Last,Middle,,B,"When making a turn, be sure to steer gently and smoothly. Making a quick turn while pulling trailers is dangerous and can increase the risk of the last trailer rolling over."
11839,"After completing a pre-trip inspection, you should ensure that the:",,Service line valve is closed.,Trailer hand brake is applied.,Emergency line valve is open.,,A,"Before a trip, you should ensure that air reaches all air brakes on all trailers by opening up the rear emergency line and service line shut-off valves and listening for escaping air. Close both shut-off valves before beginning to drive."
9468,All trailers made after ____ must be equipped with Anti-Lock Braking Systems (ABS).,,1943,1998,2009,,B,"All trailers and converter dollies manufactured on or after March 1, 1998 must have Anti-Lock Braking Systems (ABS)."
11605,"An air supply control lever should be in its ""normal"" position when you are:",,Changing a tire.,Applying the trailer emergency brakes.,Pulling a trailer.,,C,"Tractor protection controls in older vehicles may be operated by levers instead of knobs. If an air supply control is set in its ""normal"" position, it is properly set for you to pull a trailer."
11526,How much space should be between the upper and lower fifth wheel?,,About five inches of space,A maximum of two inches of space,No space,,C,"Before a trip, be sure to inspect all couplings. There should be no space between the upper and lower fifth wheel."
11569,"In a vehicle equipped with an automatic tractor protection valve, the valve will pop out when:",,Air pressure drops to a level between 20 and 45 psi.,You are experiencing a trailer jackknife.,Wheels have regained traction after a skid.,,A,"In vehicles equipped with an automatic tractor protection valve, the valve will pop out if air pressure drops to a level between 20 and 45 psi. When the valve pops out, the protection valve will close, stopping the flow of air."
9895,Which of the following will not help prevent a rig from rolling over?,,Keeping the cargo as close to the ground as possible,Driving slowly around turns,Driving on the shoulder of a road,,C,"To help prevent a rig from rolling over, you should keep the weight of the cargo as close to the ground as possible when loading. You should also drive slowly around turns."
11567,Push in the trailer air supply control to:,,Activate the emergency brakes.,Deactivate the air brakes.,Supply the trailer with air.,,C,Push in the trailer air supply control to supply the trailer with air. Pull out the trailer air supply control to turn off the air supply and activate the emergency brakes.
11589,"To test the trailer service brakes, you should:",,Move the vehicle forward slowly and apply the brakes with the brake pedal.,Reverse the vehicle slowly and apply the brakes with the hand control.,Move the vehicle forward slowly and apply the brakes with the hand control.,,C,"To test the trailer service brakes, you should first ensure that the braking system has a normal air pressure level, then release the parking brake. You should then move the vehicle forward slowly and apply the brakes with the hand control. If the trailer service brakes are working properly, you will feel the brakes activate."
11840,"During a trip, the ____ should be open.",,Rear service line shut-off valve,Rear supply line shut-off valve,Inner shut-off valves,,C,"When starting a trip, be sure that all shut-off valves are in the open position, except for the last valves on the rear trailer. It is important that air reaches the brakes on all trailers and that it is not able to escape from the back of the vehicle."
8642,Operating combination vehicles usually requires ­­­­­____ operating single vehicles.,,Less skill than,About the same level of skill as,More skill than,,C,Combination vehicles are usually heavier and longer than single combination vehicles. Operating a combination vehicle requires a higher level of driving skill than operating a single commercial vehicle.
11837,"To find out if a vehicle that was built before 1998 has an Anti-Lock Braking System (ABS), you can:",,Pump the air brakes to activate the ABS.,Look into the back of the fifth wheel.,Check for wheel speed sensors coming from the back of the brakes.,,C,"If you are operating a vehicle built before 1998 and are unsure if the trailer has an Anti-Lock Braking System (ABS), you can check under the trailer for wheel speed sensors coming from the back of the brakes."
9469,What does an Anti-Lock Braking System (ABS) do?,,It allows a vehicle's wheels to lock up.,It prevents a vehicle's wheels from locking up.,It makes turning a vehicle easier.,,B,"An Anti-Lock Braking System (ABS) helps prevent wheel lockup during hard braking. If ABS detects impending lockup, it reduces braking pressure to a safe level."
