section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"When preparing to leave the interstate for an exit, you should:","a:Be in the proper lane at least one mile before your exit and do not slow until on the deceleration lane.,b:Signal and slow down 50–100 feet before the ramp.,c:Reduce to 45 mph one mile before exiting.,d:Stop in the exit lane before slowing.",a,"Plan ahead by getting into the correct lane well before your exit and avoid slowing until you reach the deceleration lane.""", medium
5,Driving in Special Conditions,When are roads especially slippery during a rainstorm?,"a:When it has been raining for an hour or more.,b:For the first 10 to 15 minutes of a rainstorm.,c:The day after it rains.",a,"Pavement is often most slippery in the first 10 to 15 minutes of rain as surface oils combine with water, creating a slick film.",medium
2,Traffic Laws & Rules of the Road,"Unless posted otherwise, the speed limit on a county road without a hard surface is:","a:45 miles per hour.,b:55 miles per hour,c:50 miles per hour.,d:40 miles per hour.",c,"The typical speed limit on unpaved county roads is 50 mph unless another limit is posted.""", medium
5,Driving in Special Conditions,May you use parking lights instead of headlights when driving at night?,"a:True,b:False",b,It is illegal to drive at night using only parking lights; you must use headlights in conditions of reduced visibility.,easy
5,Driving in Special Conditions,"As daylight begins to fade, what should you use to make your vehicle more visible?","a:Emergency flashers.,b:Low beam headlights.,c:Parking lights.",b,"Turn on low beam headlights as dusk approaches to help other drivers see you; reserve high beams for dark, open roads with no oncoming traffic.",easy
2,Traffic Laws & Rules of the Road,"True or False: At a four-way stop, the driver on the right should insist on the right-of-way.","a:False,b:True",b,Never insist on right-of-way in a way that could cause a crash; yield your legal right-of-way when doing so prevents an accident.,easy
7,Vehicle Ownership & Responsibilities,"When parking uphill with a curb, how should you turn your front wheels?","a:Slightly to the right.,b:Sharply away from the curb.,c:Sharply toward the curb.",b,"When parking uphill with a curb, turn your wheels sharply away from the curb so that if the vehicle rolls, it will roll away from traffic and into the curb.",medium
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, how should you steer?","a:To keep the front wheels straight.,b:In the opposite direction of the skid.,c:In the direction you want the vehicle to go.",c,"Turn the steering wheel toward the direction you want the vehicle to travel; as it straightens, correct as needed.",medium
8,Special Situations & Road Users,"If a pedestrian begins crossing in front of your vehicle, what is the appropriate action?","a:Flash your headlights and proceed.,b:Speed up to pass before they cross.,c:Slow down and be prepared to stop.",c,"Always slow and, if necessary, stop for pedestrians crossing the roadway. Yield the right-of-way to pedestrians in crosswalks and be especially cautious around children.",easy
8,Special Situations & Road Users,"To pass a bicyclist safely, what should you do?","a:Drive into the bicycle lane until it is clear to pass.,b:Slow down and give the bicyclist as much space as possible when passing.,c:Honk to warn the bicyclist and then pass quickly.",a,"When passing a bicycle, reduce speed and give the bicyclist plenty of room; do not crowd or force the rider off their line.",easy
8,Special Situations & Road Users,"When approaching a stopped school bus on the opposite side of a divided highway with a median, must you stop?","a:False,b:True",b,"If a school bus is stopped on the opposite side of a divided highway separated by a median, you are not required to stop in most cases.",medium
4,Safe & Defensive Driving Practices,"If the driver ahead appears distracted (driving with one hand and talking), how should you react?","a:Match their behavior to keep pace.,b:Give that vehicle extra space.,c:Honk continuously until they pay attention.",b,"If another driver seems inattentive, increase the distance between vehicles. Distracted drivers have reduced reaction times and present a higher crash risk.",easy
2,Traffic Laws & Rules of the Road,"On an interstate, when should you use the left lane?","a:To stop briefly,b:To overtake or pass another vehicle.,c:To prepare to exit.,d:To drive slower than the flow of traffic.",b,"Use the left lane primarily for passing; remain in the right lanes for normal travel unless overtaking.""", easy
2,Traffic Laws & Rules of the Road,What happens to fines for speeding in work zones?,"a:Doubled.,b:Reduced.,c:Tripled.",a,Fines for moving violations such as speeding are doubled in work zones where workers are present and in school zones during posted hours.,easy
8,Special Situations & Road Users,"If there is no marked crosswalk and you see a pedestrian crossing your lane, what is the correct action?","a:Make eye contact then proceed at normal speed.,b:Stop and let the pedestrian finish crossing.,c:Slow down and pass carefully in front of them.",b,Drivers must yield to pedestrians crossing the roadway even if there is no marked crosswalk; stop and allow them to cross safely.,easy
2,Traffic Laws & Rules of the Road,"If you and another vehicle arrive at a four-way stop at the same time and that vehicle is on your left, who has the right-of-way?","a:Whoever signals first has the right-of-way.,b:You have the right-of-way.,c:The driver on your left has the right-of-way.",b,"If two vehicles arrive simultaneously at a four-way stop, yield to the vehicle on your right. If the other vehicle is on your left, you are to its right and have the right-of-way.",medium
3,"Signs, Signals & Road Markings",Signs that require drivers to obey an instruction are called what?,"a:Warning signs.,b:Regulatory signs.,c:Information signs.",b,Regulatory signs instruct drivers on laws and regulations that must be obeyed; failure to do so may result in penalties.,easy
5,Driving in Special Conditions,"If your accelerator suddenly sticks while driving, you should:","a:Reach down to pull up the pedal.,b:Shift to neutral and apply steady pressure on the brake.,c:Shift to park immediately.,d:Turn off the ignition while moving.",b,"Keep your focus on driving, shift the car to neutral, apply steady braking, pull safely off the road, and turn off the engine once stopped.", difficult
6,"Alcohol, Drugs & Impaired Driving","By operating a motor vehicle in Nebraska, you have given implied consent to what?","a:Submit to a chemical test when requested by a law enforcement officer.,b:Refuse testing without consequence.,c:Choose which chemical test to take.",a,Nebraska’s Implied Consent law means drivers must submit to required chemical testing upon a lawful request by an officer; refusal may carry penalties.,medium
5,Driving in Special Conditions,What should you do when driving in foggy conditions?,"a:Drive at the posted speed limit regardless of visibility.,b:Use your high beams to see farther ahead.,c:Turn on your low-beam headlights.",c,Use low-beam headlights (not high beams) and reduce speed in fog because high beams reflect off fog and reduce visibility further. Be prepared to stop if visibility is poor.,easy
7,Vehicle Ownership & Responsibilities,"Under Nebraska law, children up to what age must be secured in a federally-approved child safety seat?","a:Four years old,b:Eight years old,c:Ten years old,d:Six years old",d,"Children up to age six must be properly secured in a federally-approved child safety seat while in a moving vehicle.""", easy
4,Safe & Defensive Driving Practices,"On a freeway, why should you look farther ahead than on a city street?","a:Because it takes a quarter of a mile to stop your vehicle completely.,b:In order to see potential hazards early.,c:Because it helps you keep up with traffic.",c,"On freeways you should scan farther ahead to detect potential hazards early, anticipate traffic changes, and react safely to merging traffic and sudden slowdowns.",easy
8,Special Situations & Road Users,"If an emergency vehicle with flashing lights is behind you on a city street, what must you do?","a:Pull into the center lane and stop.,b:Slow down but stay in your lane and let it pass.,c:Drive faster to clear the road ahead.,d:Drive to the right edge of the road and stop until it passes.",d,"You must yield to emergency vehicles using lights and sirens: safely move to the right edge and stop until they have passed; if in an intersection drive through then stop.""", easy
8,Special Situations & Road Users,"After a train has passed and you have stopped at the crossing, what should you do before proceeding?","a:Proceed immediately when you see the train pass.,b:Look for a second train.,c:Both look for a second train and wait for warning signals to stop flashing before proceeding.",c,"Even after one train passes, check for a second train on adjacent tracks and wait until all gates are up and warning lights have stopped before crossing.",medium
2,Traffic Laws & Rules of the Road,"As a green light turns yellow when you near an intersection, your best response is to:","a:Prepare to stop if it is safe to do so.,b:Speed up to beat the red light.,c:Apply the brakes sharply to stop immediately.,d:Turn right regardless of traffic",a,"A steady yellow warns the light will soon turn red; be prepared to stop safely rather than accelerating to beat it.""", easy
8,Special Situations & Road Users,What can happen to bicyclists who do not obey traffic laws?,"a:They are always given warnings instead of tickets.,b:They can be ticketed just like motor vehicle drivers.,c:They must ride on sidewalks only.,d:They are exempt from traffic laws.",b,"Bicyclists have the same rights and responsibilities as drivers of motor vehicles and may be cited for violations.""", easy
2,Traffic Laws & Rules of the Road,"When passing on a multilane highway, what must you ensure?","a:Be sure the passing lane is clear.,b:Pass only on the right.,c:Always watch for oncoming traffic.",a,"Before you pass on a multilane highway, make sure the lane you intend to use is clear, signal, and complete the maneuver safely.",medium
7,Vehicle Ownership & Responsibilities,Are children under age 18 allowed to ride in a vehicle's cargo area?,"a:True,b:False",a,Nebraska law prohibits passengers under 18 from riding in cargo areas; children must be properly restrained in a seat belt or child safety seat while the vehicle is moving.,easy
8,Special Situations & Road Users,How should your following distance change when following a motorcycle?,"a:Decrease your following distance.,b:Keep it the same as any vehicle.,c:Ignore motorcycle behavior.,d:Increase your following distance compared to following other vehicles.",d,"Allow greater following distance because motorcycles can stop and maneuver more quickly than larger vehicles.""", medium
2,Traffic Laws & Rules of the Road,How should a driver check blind spots when preparing to change lanes?,"a:Rely only on the left outside mirror.,b:Use only the rearview mirror.,c:Look over the left or right shoulder to view the blind spot.",c,Mirrors do not show areas directly beside and slightly behind the vehicle; a quick glance over the appropriate shoulder verifies those blind spots before changing lanes.,easy
4,Safe & Defensive Driving,"If someone is tailgating you and there is no right lane, you should:","a:Maintain your speed and ignore them.,b:Wait until the road ahead is clear and then slowly reduce speed to encourage them to pass.,c:Brake abruptly to warn them off.,d:Speed up to increase the gap from the tailgater.",b,"If tailgated and you cannot move right, slow down gradually when safe to encourage the tailgater to pass; never brake abruptly.",medium
3,"Signs, Signals & Road Markings",A diamond-shaped traffic sign is used to:,"a:Mark public recreation areas.,b:Indicate a stop requirement.,c:Provide mileage information.,d:Warn drivers of existing or possible hazards ahead.",d,"Diamond-shaped signs (usually yellow or orange) warn drivers of potential hazards or changes in road conditions ahead.""", easy
2,Traffic Laws & Rules of the Road,"Using a handheld device to read, type, or send written messages while driving in Nebraska is:","a:Completely legal if you are stopped at a red light.,b:A secondary offense with a fine of $200–$500.,c:A secondary offense with a $50–$100 fine.,d:A primary offense.",b,"It is a secondary offense to use a handheld device to read, type, or send written communication while driving; penalties range from $200 to $500.",medium
