section-num,section-name,question,options,correct-answer,note,difficulty
7,Vehicle Ownership & Responsibilities,"If you discover a defect that could affect the safe operation of your vehicle, you should:","a:Correct the defect as soon as possible.,b:Delay fixing it until you can afford repairs.,c:Drive at slower speeds until it can be fixed.",a,Any defect that affects safe vehicle operation should be repaired promptly and before driving when possible.,easy
4,Safe & Defensive Driving Practices,"To be prepared for what lies ahead on the roadway, you should:","a:Continually scan the entire roadway and roadsides.,b:Stare straight ahead at all times.,c:Drive with your left foot lightly resting on the brake.",a,Search the road and sides continually to identify hazards early; do not simply stare at the center of the road.,easy
8,Special Situations & Road Users,You must yield the right-of-way to emergency vehicles when:,"a:You see flashing red or blue lights or hear a siren.,b:Only when other vehicles yield, c:Under no circumstances.",a,Yield the right-of-way immediately to any emergency vehicle using lights or sirens by pulling over to the curb and stopping.,easy
4,Safe & Defensive Driving Practices,Drowsy drivers:,"a:Can drive so poorly they may appear to be drunk.,b:Can stay alert by opening a window and turning up the radio.,c:Should drink strong coffee to remain alert.",a,"Drowsiness can severely impair driving ability; coffee, open windows, or loud radios are not reliable remedies.",medium
5,Driving in Special Conditions,"If you must stop along the road at night, what should you do with your lights?","a:Leave your low-beam headlights on (and use emergency flashers),b:Turn off all your lights,c:Use only your parking lights",a,"If you stop at night, use your emergency flashers and keep low-beam headlights on so other drivers can see your vehicle clearly.",medium
5,Driving in Special Conditions,When driving in fog you should use:,"a:Low beam headlights.,b:Parking lights.,c:High beam headlights.",a,"Use low beam headlights in fog, rain, or snow so you are better able to see and be seen.",easy
4,Safe & Defensive Driving Practices,When should you increase your following distance?,"a:When behind a large vehicle that blocks your view or in bad weather.,b:Only when exiting an expressway.,c:Only when following a motorcycle.",a,"Increase following distance in many situations: large vehicles that block vision, bad weather, heavy traffic, or if tailgated.",easy
2,Traffic Laws & Rules of the Road,"If you're stopped in line at a stop sign and there is no cross traffic after vehicles ahead have passed, what must you do?","a:Stop again at the stop sign or stop line before proceeding.,b:Proceed without stopping because the way is clear.,c:Slowly roll past the stop sign.",a,"You must always come to a complete stop at the stop sign and yield before proceeding, even if vehicles ahead have moved.",easy
4,Safe & Defensive Driving Practices,Many crashes are caused by drivers who:,"a:Travel too fast for the conditions.,b:Constantly check their mirrors.,c:Yield the right-of-way.",a,Driving too quickly for road or weather conditions is a common factor in crashes.,easy
5,Driving in Special Conditions,"If an oncoming driver fails to dim high beams, where should you direct your gaze?","a:Toward the right side of the road.,b:At the lights of the approaching vehicle.,c:Toward the left side of the road.",a,Glance to the right side of the road to avoid being blinded while keeping enough sight to stay on course.,easy
4,Safe & Defensive Driving Practices,Which statement best defines defensive driving?,"a:Defensive driving means identifying dangerous situations and taking action to avoid accidents.,b:Defensive driving means defending yourself by getting ahead of bad drivers in traffic.,c:Defensive driving means following the vehicle ahead of you at a close distance.",a,"Defensive driving is recognizing hazards early and taking action to avoid collisions, reducing conflicts with aggressive or inattentive road users.",easy
2,Traffic Laws & Rules of the Road,Which steps should you take when changing lanes on a highway?,"a:Signal, check rearview and side mirrors, then glance over your shoulder to check blind spots.,b:Only signal if there is visible traffic behind you.,c:Just check your mirrors and change lanes quickly.",a,"Before changing lanes, signal, check mirrors, and glance over your shoulder to verify blind spots are clear.",easy
2,Traffic Laws & Rules of the Road,Which of the following has authority over the others and must be obeyed first?,"a:A steady red light,b:A police officer,c:A stop sign",b,"Directions given by a police officer or other authorized traffic officer take precedence over traffic signals, signs, or pavement markings.",easy
6,"Alcohol, Drugs & Impaired Driving",Which of the following is a common sign of a drunk driver?,"a:Weaving between lanes and making sudden, jerky stops.,b:Always driving faster than traffic.,c:Consistently maintaining perfect lane position.",a,"Signs of impairment include weaving, erratic speed changes, jerking motions, and sudden stops.",medium
6,"Alcohol, Drugs & Impaired Driving",Alcoholic beverages can affect you by:,"a:Slowing your reaction time.,b:Giving you increased, accurate confidence.,c:Improving thinking ability.",a,"Alcohol impairs reaction time, judgment, balance, and vision while giving false confidence.",medium
2,Traffic Laws & Rules of the Road,A flashing red traffic signal requires you to:,"a:Come to a complete stop, yield, and go only when safe.,b:Slow down at the light.,c:Merge to the right immediately.",a,"A flashing red light means stop, yield to traffic and pedestrians, and proceed only when it is safe.",medium
5,Driving in Special Conditions,What do work zone (orange) signs indicate?,"a:Less-than-ideal driving conditions and that construction or maintenance is present.,b:That it is summer and roads are busier.,c:You must immediately stop and back up.",a,Orange work zone signs warn drivers of road work; slow down and be extra cautious.,medium
8,Special Situations & Road Users,"When approaching a railroad crossing that has no gates or flashing lights, you should:","a:Prepare to yield to any train that may be approaching.,b:Cross the tracks immediately and as quickly as possible.,c:Always stop before crossing no matter what.",a,"If there are no active signals, be prepared to yield and only cross when there is room for your entire vehicle on the other side and you are sure no trains are coming.",easy
8,Special Situations & Road Users,"On a divided multilane highway when you hear or see an emergency vehicle, what should you do?","a:Slow down, move to provide a clear path, and stop.,b:Disregard the signal if other lanes are available.,c:Stop as quickly as possible wherever you are.",a,"When an emergency vehicle approaches, slow down and make a clear path by moving and stopping when safe; do not try to outdrive the vehicle.",easy
8,Special Situations & Road Users,What should you do when approaching a railroad crossing without signals?,"a:Slow down and be prepared to stop.,b:Always come to a complete stop.,c:Assume there will always be signals.",a,"At an un-signaled railroad crossing slow down, look and listen for trains, and be prepared to stop if a train is approaching.",easy
