section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"Unless otherwise posted, what is the maximum speed limit on a public highway?","a:55 mph.,b:30 mph.,c:45 mph.",a,"On public highways, the maximum speed limit is 55 mph unless a different limit is posted. Always obey posted limits.",easy
7,Vehicle Ownership & Responsibilities,What is the first thing you should adjust when getting into a car to drive?,"a:Your seat position so you can see and reach controls comfortably.,b:Your rearview mirror only.,c:The steering wheel first.,d:The radio.",a,"Adjust your seat so you can see the road and reach controls, then adjust mirrors and steering wheel while seated in the proper position.",easy
2,Traffic Laws & Rules of the Road,What should you do when entering a roadway from a private road or driveway?,"a:Yield the right-of-way to pedestrians and vehicles already on the roadway.,b:Drive out quickly to merge smoothly.,c:Blow your horn to warn approaching drivers.",a,"When entering from a driveway or private road, you must yield to traffic and pedestrians on the roadway before proceeding.",medium
4,Safe & Defensive Driving Practices,Which of the following can cause distracted driving?,"a:Talking or texting on a cell phone.,b:None of the above.,c:Only changing a radio station.",a,"Distracted driving includes any activity that takes your eyes, hands, or mind off driving, such as using a phone or handling food.",easy
8,Special Situations & Road Users,Are small children safe if held by an adult in a vehicle during a crash?,"a:May be safely held by a strong adult.,b:Will not be hurt in an accident because they are small.,c:Will be protected only when properly secured in child restraints.",c,Children must be secured in appropriate child seats or safety belts; no adult can reliably hold a child safe during a crash.,easy
2,Traffic Laws & Rules of the Road,"When two vehicles arrive at an uncontrolled intersection at the same time, who has the right-of-way?","a:The vehicle approaching from the right.,b:The vehicle approaching from the left.,c:The vehicle that honks first.,d:The larger vehicle.",a,"At an intersection of two similar roads without signs or signals, drivers must yield to vehicles approaching from the right.",medium
2,Traffic Laws & Rules of the Road,Which statement about driving too slowly is true?,"a:Driving too slowly on certain highways can be dangerous.,b:Driving too slowly is not an unsafe practice.,c:The speed at which you drive does not affect safety.",a,Driving excessively slowly can be hazardous by disrupting traffic flow and causing unsafe passing maneuvers; drive with the flow within speed limits.,easy
3,"Signs, Signals & Road Markings",What does a solid yellow arrow in a turn signal indicate?,"a:Means drivers may turn in the indicated direction.,b:Is never used as a traffic signal.,c:Has the same meaning as a circular yellow traffic light.",c,A solid yellow arrow functions like a circular yellow light—slow and prepare to stop because the protected turn is ending.,medium
2,Traffic Laws & Rules of the Road,"If another driver passes you in a no-passing zone, you should:","a:Slow down and allow the other driver to safely return to the drive lane.,b:Accelerate to prevent them from passing.,c:Pull off the road immediately.,d:Honk to express disapproval.",a,Allow the passing vehicle to re-enter the lane when safe by slowing if necessary; avoid actions that create hazards.,medium
8,Special Situations & Road Users,"If a child is riding a bicycle nearby, what should you expect?","a:The unexpected—children may swerve or make sudden moves.,b:That the child will be in total control.,c:That beeping your horn will improve safety.",a,Children on bicycles are unpredictable; expect sudden movements and give extra space and caution.,medium
7,Vehicle Ownership & Responsibilities,How close to a fire hydrant may you lawfully park?,"a:You may not park within 50 feet of a fire hydrant.,b:You may not park within 25 feet of a fire hydrant.,c:You may not park within 10 feet of a fire hydrant.",a,Parking within 50 feet of a fire hydrant is prohibited to ensure emergency access.,easy
2,Traffic Laws & Rules of the Road,"If your view is blocked at an intersection, what should you do?","a:Slow down and look both ways.,b:Stop, then inch forward until you can see clearly in both directions.,c:Maintain your speed and look both ways.",b,"If your view is blocked, come to a stop and inch forward slowly until you can see clearly in both directions before proceeding.",medium
8,Special Situations & Road Users,Which statement about railroad crossings is accurate?,"a:Not all railroad crossings are equipped with flashing red signals and gates.,b:You must stop at a railroad crossing when directed to do so by a flagger.,c:It is against the law to go around lowered gates at a crossing.,d:All of the above.",d,"You must obey crossing devices and flaggers, exercise caution at crossings without gates or lights, and never go around lowered gates.",medium
7,Vehicle Ownership & Responsibilities,Who benefits most from wearing seat belts?,"a:All occupants of a car being driven on an expressway.,b:The person driving the car.,c:Passengers when they are on a long drive.",a,Seat belts are most effective when every occupant wears one; unbelted passengers become dangerous projectiles in crashes.,easy
2,Traffic Laws & Rules of the Road,"When making a right turn on a steady green light, what must you do?","a:Yield to pedestrians and other traffic as required.,b:Maintain your normal driving speed and turn.,c:Stop and look for police vehicles first.",a,"You may turn right on a green light unless posted otherwise, but you must yield to pedestrians and other traffic in the intersection.",easy
8,Special Situations & Road Users,"If there is no marked crosswalk and you see a pedestrian crossing your lane, you should:","a:Stop and let the pedestrian finish crossing.,b:Make sure the pedestrian can see you before proceeding.,c:Cautiously drive around the pedestrian.,d:Speed up to pass before they finish.",a,Drivers must yield to pedestrians in the roadway even when there is no marked crosswalk; stop and let them cross safely.,easy
8,Special Situations & Road Users,"If there are two railroad tracks side by side and one train passes, what should you do?","a:Look for another train on the other track before proceeding.,b:Assume it is safe to proceed after the first train passes.,c:Always stop before crossing any set of tracks.",a,"When multiple tracks are present, wait until you're sure no other train is approaching on the other track before crossing.",medium
7,Vehicle Ownership & Responsibilities,What documents should a driver be ready to present during a traffic stop or equipment check?,"a:Driver's license, vehicle registration, and proof of insurance.,b:Only proof of insurance.,c:Only the vehicle registration.",a,"When stopped for a traffic violation or equipment check, the driver must present their license, registration, and evidence of insurance upon request.",easy
4,Safe & Defensive Driving Practices,Why is using a cell phone while driving distracting?,"a:It occupies the driver's hands, eyes, and mind.,b:It distracts other drivers.,c:It is costly.,d:It improves attention to traffic.",a,"Using a phone takes your hands off the wheel, your eyes off the road, and your attention away from driving tasks; it increases crash risk.",medium
8,Special Situations & Road Users,HOV lanes are reserved primarily for:,"a:Vehicles with the required number of occupants (high-occupancy vehicles).,b:Only government vehicles.,c:Single-occupant vehicles at all times.,d:Emergency vehicles exclusively.",a,HOV lanes are for vehicles meeting the occupancy requirement shown on signs; motorcycles and certain other vehicles may also be allowed.,medium
