Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Property Ownership and Land Use Controls and Regulations","Forms of Ownership","State","Tenants in common share in the unity of","time.","title.","interest.","possession.","D","Tenants in common share only the unity of possession; they may hold unequal shares, acquire title at different times, and via separate deeds."
"Valuation and Market Analysis","Appraisal Concepts","State","When comparing the economic life of improved property with physical life of the property, the economic life","is longer.","is shorter.","is the same.","depends on the type of improvements.","B","The economic life of an improved property is the period of profitable utility, which is always shorter than its physical life."
"Property Ownership and Land Use Controls and Regulations","Building Codes and Design","State","The builder’s plan that displays the piers, subfloors, footing, and columns within a structure is called","a floor plan.","an elevation plan.","a foundation plan.","a plot plan.","C","A foundation plan is a detailed drawing showing piers, subfloors, footings, and columns."
"Property Ownership and Land Use Controls and Regulations","Government Controls","State","Federal law protects purchasers of subdivision properties that are located in the United States and are being offered for sale in interstate commerce. This law provides for a right of rescission within","3 days.","5 days.","7 days.","10 days.","C","Under the Interstate Land Sales Full Disclosure Act, purchasers have a 7-day right of rescission."
"Financing","Lending Practices","State","A mortgage company would give the LEAST consideration to which of the following in granting a loan?","Borrower’s present and future income","Value of the property in relation to loan","Borrower’s need for financial assistance","Amount of down payment","C","Lenders evaluate a borrower's income, credit, and the property's collateral value, not the borrower's emotional or financial need."
"Contracts","UCC and Business Opportunities","State","In the event the parties to a bulk sale do not comply with the provisions of the bulk sales law as outlined in the Uniform Commercial Code, the party that would probably be injured the MOST would be the","seller.","buyer.","creditor.","lender.","C","The bulk sales transfer law in the UCC is designed primarily to protect the creditors of a business being sold."
"Practice of Real Estate and Mandated Disclosures","Brokerage Operations","State","In California, a broker must have an employment contract with each licensed employee in the office. This contract","must be kept by the employees for five years after the term of employment.","must be in writing.","need not be retained by the broker.","need not be retained by the salesperson.","B","Under California DRE rules, employment contracts between a broker and their salespersons must be in writing."
"Contracts","Leases","State","Through valid contractual assignment of a lease, the assignee purchases the leasehold interest and becomes a","landlord.","guarantor.","sublessee.","tenant.","D","Through assignment, the assignee acquires the full leasehold interest and becomes the new tenant in direct privity of estate with the lessor."
"Financing","Lending Practices","State","Which of the following is TRUE with respect to an impound account?","The lender holding the account pays the same interest rate on funds as that paid by a savings and loan on savings accounts.","It benefits both the trustor and the beneficiary.","The maximum amount cannot exceed 5% of the annual disbursements.","It is required on all home loans.","B","An impound account benefits both the trustor (by budgeting tax/insurance payments) and the beneficiary (by securing their interest)."
"Practice of Real Estate and Mandated Disclosures","Mandated Disclosures","State","Upon payment of a fee, information on inspection reports issued by any licensed structural pest control operator may be obtained from the Structural Pest Control Board for up to two years by","the seller only.","the buyer only.","the seller and buyer only.","anyone who requests it and pays the fee.","D","Structural pest control reports are public records and can be obtained from the Structural Pest Control Board by anyone who requests them and pays the fee."
