Topic,Subtopic,Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"License Law and Regulations","State Rules","State","Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. matches which of the following terms?","Asbestos","Assessed Value","Lis Pendens","Ad Valorem","D","Ad Valorem is defined as: Latin for 'according to value,' used to describe property tax assessments based on the assessed valuation of the property. Example: A property has a market value of $300,000, but the local county assesses property taxes at 60% of market value, resulting in an assessed value of $180,000. If the tax rate is 20 mills ($0.020 per dollar), the annual ad valorem property tax is $3,600."
"License Law and Regulations","State Rules","State","Select the correct term for this definition: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled.","Asbestos","A.I.R. (american Industrial Real Estate Association)","Lis Pendens","Assessed Value","A","Asbestos is defined as: A naturally occurring fibrous mineral formerly used in insulation and fireproofing that can crumble (friable) and cause severe respiratory illness if inhaled. Example: During an inspection of a home built in 1965, the inspector notes damaged pipe insulation that contains asbestos. The buyer requests that the seller hire an abatement team to safely encapsulate the asbestos fibers before closing the transaction."
"License Law and Regulations","State Rules","State","The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. is the legal definition of:","Lis Pendens","A.I.R. (american Industrial Real Estate Association)","Abandonment Of Homestead","Assessed Value","D","Assessed Value is defined as: The valuation placed on a property by a public tax assessor for the purpose of calculating local annual property taxes. Example: A county has an assessment ratio of 80%. A home with a fair market value of $250,000 has an assessed value of $200,000. The millage rate of 30 mills is then applied to the $200,000 assessed value, resulting in an annual property tax bill of $6,000."
"License Law and Regulations","State Rules","State","What real estate term matches the following description: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit.","Lis Pendens","A.I.R. (american Industrial Real Estate Association)","Abandonment Of Homestead","Accommodator","A","Lis Pendens is defined as: Latin for 'suit pending,' a recorded legal notice warning the public that a property is the subject of an active lawsuit. Example: A buyer sues a seller for specific performance to force the sale of a home. The buyer's attorney records a lis pendens on the property to prevent the seller from selling it to someone else during the lawsuit."
"License Law and Regulations","State Rules","State","Define: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members.","Accommodator","A.I.R. (american Industrial Real Estate Association)","Administrator","Abandonment Of Homestead","B","A.I.R. (american Industrial Real Estate Association) is defined as: A specialized association of real estate brokers and salespeople who deal primarily in industrial properties. The goal of the association is to further the knowledge and effectiveness of its members. Example: An example applying the concept of A.I.R. (american Industrial Real Estate Association) in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. matches which of the following terms?","Affidavit","Accommodator","Administrator","Abandonment Of Homestead","D","Abandonment Of Homestead is defined as: A recorded document, executed by those claiming a homestead exemption, giving up said homestead. Not applicable to all states and procedure must be according to local statutes. Example: An example applying the concept of Abandonment Of Homestead in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Select the correct term for this definition: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used.","Affidavit Of Alimony And Child Support","Administrator","Affidavit","Accommodator","D","Accommodator is defined as: One who acts to facilitate an exchange under the rules of Section 1031 of the Internal Revenue Service Code. The proper terminology is a Qualified Intermediary, but accommodator, facilitator or intermediary are the common terms used. Example: An example applying the concept of Accommodator in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. is the legal definition of:","Administrator","Affidavit","Affirmative Easement","Affidavit Of Alimony And Child Support","A","Administrator is defined as: A person given authority by a proper court to manage and distribute the estate of a deceased person when there is no will. See also: Administrator C.T.A.. Example: An example applying the concept of Administrator in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","What real estate term matches the following description: A written statement or declaration, sworn to before an officer who has authority to administer an oath.","Alias","Affirmative Easement","Affidavit","Affidavit Of Alimony And Child Support","C","Affidavit is defined as: A written statement or declaration, sworn to before an officer who has authority to administer an oath. Example: An example applying the concept of Affidavit in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Define: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support.","Allegation","Affidavit Of Alimony And Child Support","Alias","Affirmative Easement","B","Affidavit Of Alimony And Child Support is defined as: A sworn statement of a separated or divorced person showing the amount (if any) of alimony or child support. Example: An example applying the concept of Affidavit Of Alimony And Child Support in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","An easement described from the benefited estate (dominant tenement). Also called a parcel 2 easement. The same easement described from the burdened estate (servient tenement) would be a negative easement. matches which of the following terms?","Allegation","Alias","Allodium","Affirmative Easement","D","Affirmative Easement is defined as: An easement described from the benefited estate (dominant tenement). Also called a parcel 2 easement. The same easement described from the burdened estate (servient tenement) would be a negative easement. Example: An example applying the concept of Affirmative Easement in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Select the correct term for this definition: Latin for \""otherwise\"". Commonly meaning that a person is known by more than one name. In some states, indicated by the letters AKA (also known as).","Allodium","Alias","Allegation","Area","B","Alias is defined as: Latin for \""otherwise\"". Commonly meaning that a person is known by more than one name. In some states, indicated by the letters AKA (also known as). Example: An example applying the concept of Alias in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","The assertion or statement of a party to an action, setting forth that which the party expects to prove. is the legal definition of:","Allodium","Articles Of Incorporation","Allegation","Area","C","Allegation is defined as: The assertion or statement of a party to an action, setting forth that which the party expects to prove. Example: An example applying the concept of Allegation in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","What real estate term matches the following description: Land owned by individuals, as opposed to the feudal system of ownership of all land by a king or ruler.","Articles Of Incorporation","Area","Allodium","Artist's Conception (rendering)","C","Allodium is defined as: Land owned by individuals, as opposed to the feudal system of ownership of all land by a king or ruler. Example: An example applying the concept of Allodium in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Define: The surface (plane) space of land or a building. Also describes a neighborhood, or large land section (such as the Southern California area). The term may also indicate a use, such as a work area, living area, play area, etc.","Artist's Conception (rendering)","Attorney's Opinion Of Title","Area","Articles Of Incorporation","C","Area is defined as: The surface (plane) space of land or a building. Also describes a neighborhood, or large land section (such as the Southern California area). The term may also indicate a use, such as a work area, living area, play area, etc. Example: An example applying the concept of Area in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Documentation filed with the state which sets forth general information about a corporation. More specific rules of the corporation would be contained in the by-laws. matches which of the following terms?","Attorney's Opinion Of Title","Artist's Conception (rendering)","Articles Of Incorporation","Attractive Nuisance","C","Articles Of Incorporation is defined as: Documentation filed with the state which sets forth general information about a corporation. More specific rules of the corporation would be contained in the by-laws. Example: An example applying the concept of Articles Of Incorporation in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","Select the correct term for this definition: A drawing of a proposed real estate project. Not necessarily to scale and generally used to promote the sale of vacant land or the leasing of proposed buildings.","Artist's Conception (rendering)","Base Map","Attractive Nuisance","Attorney's Opinion Of Title","A","Artist's Conception (rendering) is defined as: A drawing of a proposed real estate project. Not necessarily to scale and generally used to promote the sale of vacant land or the leasing of proposed buildings. Example: An example applying the concept of Artist's Conception (rendering) in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","A statement placed in an abstract of title giving the opinion of the condition of title by an attorney who has examined the abstract. The attorney may be personally liable for mistakes he or she has made. Most abstract examination has modernly been replaced by title insurance. is the legal definition of:","Base Map","Blight","Attorney's Opinion Of Title","Attractive Nuisance","C","Attorney's Opinion Of Title is defined as: A statement placed in an abstract of title giving the opinion of the condition of title by an attorney who has examined the abstract. The attorney may be personally liable for mistakes he or she has made. Most abstract examination has modernly been replaced by title insurance. Example: An example applying the concept of Attorney's Opinion Of Title in U.S. real estate transactions."
"License Law and Regulations","State Rules","State","What real estate term matches the following description: Anything on a property which may attract small children and is dangerous to them. Reasonable care must be used to prevent injury to children.","Attractive Nuisance","Block","Base Map","Blight","A","Attractive Nuisance is defined as: Anything on a property which may attract small children and is dangerous to them. Reasonable care must be used to prevent injury to children. Example: An example applying the concept of Attractive Nuisance in U.S. real estate transactions."
