id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8699,ਖਤਰਨਾਕ ਸਮੱਗਰੀ ਦੇ ਕੰਟੇਨਰ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ:,,ਚਮਕੀਲੇ ਰੰਗ ਵਾਲਾ।,ਆਵਾਜਾਈ ਦੇ ਦੌਰਾਨ ਅੰਦੋਲਨ ਨੂੰ ਰੋਕਣ ਲਈ ਬ੍ਰੇਸਡ.,ਗੱਤੇ ਦਾ ਬਣਿਆ.,,B,"ਖਤਰਨਾਕ ਸਮੱਗਰੀਆਂ ਦੇ ਕੰਟੇਨਰਾਂ ਨੂੰ ਬਰੇਸ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ ਤਾਂ ਜੋ ਉਹ ਆਵਾਜਾਈ ਦੇ ਦੌਰਾਨ ਡਿੱਗਣ, ਖਿਸਕਣ ਜਾਂ ਉਛਾਲ ਨਾ ਕਰਨ।"
11435,ਖ਼ਤਰਨਾਕ ਸਮੱਗਰੀ ਨਾਲ ਸਬੰਧਿਤ ਪਛਾਣ ਨੰਬਰ ਦਿਖਾਈ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ:,,ਸਮੱਗਰੀ ਦੀ ਪੈਕਿੰਗ 'ਤੇ.,ਵਾਹਨ ਦੀ ਲਾਇਸੈਂਸ ਪਲੇਟ 'ਤੇ.,ਸਿੱਧੇ ਇੱਕ ਤਖ਼ਤੀ ਦੇ ਅੱਗੇ.,ਵਾਹਨ 'ਤੇ ਬੰਪਰ ਸਟਿੱਕਰ 'ਤੇ।,A,ਸਮੱਗਰੀ ਦਾ ਆਈਡੀ ਨੰਬਰ ਇਸਦੇ ਨਾਲ ਵਾਲੇ ਸ਼ਿਪਿੰਗ ਪੇਪਰ ਦੇ ਨਾਲ-ਨਾਲ ਇਸਦੀ ਪੈਕਿੰਗ 'ਤੇ ਦਿਖਾਈ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ। ਇਹ ਕਾਰਗੋ ਟੈਂਕਾਂ ਅਤੇ ਹੋਰ ਬਲਕ ਪੈਕਿੰਗ 'ਤੇ ਵੀ ਦਿਖਾਈ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ।
11439,ਪਲੇਕਾਰਡ ਵਾਲੇ ਵਾਹਨਾਂ ਨੂੰ ਘੱਟੋ-ਘੱਟ ਰੇਟਿੰਗ ਦੇ ਨਾਲ ਅੱਗ ਬੁਝਾਉਣ ਵਾਲੇ ਯੰਤਰ ਰੱਖਣੇ ਚਾਹੀਦੇ ਹਨ:,,10 ਬੀ: ਸੀ.,20 ਸੀ.,10 ਏ:ਬੀ.,5 ਬੀ: ਸੀ.,A,ਪਲੇਕਾਰਡ ਵਾਲੇ ਵਾਹਨ ਦੀ ਪਾਵਰ ਯੂਨਿਟ 10 B:C ਜਾਂ ਇਸ ਤੋਂ ਵੱਧ ਦੀ ਅੰਡਰਰਾਈਟਰ ਲੈਬਾਰਟਰੀਜ਼ (UL) ਰੇਟਿੰਗ ਵਾਲੇ ਅੱਗ ਬੁਝਾਉਣ ਵਾਲੇ ਯੰਤਰ ਨਾਲ ਲੈਸ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ।
8683,"ਇਹ ਪਤਾ ਕਰਨ ਲਈ ਕਿ ਕੀ ਕੋਈ ਵਸਤੂ ਖਤਰਨਾਕ ਸਮੱਗਰੀ ਹੈ, ਹੇਠ ਲਿਖੀਆਂ ਵਿੱਚੋਂ ਕਿਹੜੀ ਸੂਚੀ ਨਹੀਂ ਹੈ?",,"ਖਤਰਨਾਕ ਸਮੱਗਰੀਆਂ ਦੀ ਸਾਰਣੀ (ਸਿਰਲੇਖ 49, CFR, §172.101)",ਖਤਰਨਾਕ ਪਦਾਰਥਾਂ ਅਤੇ ਰਿਪੋਰਟਯੋਗ ਮਾਤਰਾਵਾਂ ਦੀ ਸੂਚੀ,ਤੱਤਾਂ ਦੀ ਆਵਰਤੀ ਸਾਰਣੀ,,C,"ਖ਼ਤਰਨਾਕ ਸਮੱਗਰੀਆਂ ਦੀ ਪਛਾਣ ਕਰਨ ਲਈ ਵਰਤੀਆਂ ਜਾਂਦੀਆਂ ਤਿੰਨ ਮੁੱਖ ਸੂਚੀਆਂ ਹਨ ਖ਼ਤਰਨਾਕ ਸਮੱਗਰੀਆਂ ਦੀ ਸਾਰਣੀ (ਟਾਈਟਲ 49, CFR, §172.101), ਖ਼ਤਰਨਾਕ ਪਦਾਰਥਾਂ ਦੀ ਸੂਚੀ ਅਤੇ ਰਿਪੋਰਟ ਕਰਨ ਯੋਗ ਮਾਤਰਾਵਾਂ (ਅੰਤਿਕਾ A ਤੋਂ ਟਾਈਟਲ 49, CFR, §172.101), ਅਤੇ ਪੋਲਟੈਂਟ ਟੂ ਟਾਈਟਲ 49, CFR, §172.101, ਅਤੇ ਪੋਲਟੈਂਟ ਟੂ ਟਾਈਟਲ 49. §172.101)।"
8692,"ਜੇਕਰ ਇੱਕ ਪੈਕੇਜ ਵਿੱਚ ਤਰਲ ਕੰਟੇਨਰ ਹਨ, ਤਾਂ ਬਾਕਸ ਨੂੰ ਪ੍ਰਦਰਸ਼ਿਤ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਸਹੀ ਸਿੱਧੀ ਦਿਸ਼ਾ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰਦੇ ਤੀਰ।,ਵਾਪਸੀ ਦਾ ਪਤਾ।,ਡੱਬੇ ਦੇ ਅੰਦਰ ਕੰਟੇਨਰਾਂ ਦੀ ਗਿਣਤੀ।,,A,ਪੈਕੇਜ ਜਿਨ੍ਹਾਂ ਵਿੱਚ ਤਰਲ ਕੰਟੇਨਰ ਹੁੰਦੇ ਹਨ ਉਹਨਾਂ ਵਿੱਚ ਸਥਿਤੀ ਮਾਰਕਰ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ। ਬਕਸੇ 'ਤੇ ਪ੍ਰਦਰਸ਼ਿਤ ਤੀਰ ਸਹੀ ਸਿੱਧੀ ਦਿਸ਼ਾ ਵੱਲ ਇਸ਼ਾਰਾ ਕਰਦੇ ਹੋਣੇ ਚਾਹੀਦੇ ਹਨ।
9487,ਇੱਕ ਸੂਚਕ ਕਿ ਕਾਰਗੋ ਵਿੱਚ ਖਤਰਨਾਕ ਸਮੱਗਰੀ ਹੁੰਦੀ ਹੈ:,,ਮਾਲ ਸਿਲੰਡਰ ਟੈਂਕਾਂ ਵਿੱਚ ਸਟੋਰ ਕੀਤਾ ਜਾਂਦਾ ਹੈ।,ਮਾਲ ਇੱਕ ਸੁਪਰਮਾਰਕੀਟ ਤੋਂ ਚੁੱਕਿਆ ਜਾਂਦਾ ਹੈ।,ਕਾਰਗੋ ਗੱਤੇ ਦੇ ਬਕਸੇ ਵਿੱਚ ਪੈਕ ਕੀਤਾ ਗਿਆ ਹੈ.,,A,ਪੈਕਿੰਗ ਇਸ ਗੱਲ ਦਾ ਸੂਚਕ ਹੋ ਸਕਦੀ ਹੈ ਕਿ ਸਮੱਗਰੀ ਖਤਰਨਾਕ ਹੈ ਜਾਂ ਨਹੀਂ। ਸਿਲੰਡਰਾਂ ਅਤੇ ਡਰੱਮਾਂ ਦੀ ਵਰਤੋਂ ਅਕਸਰ ਖਤਰਨਾਕ ਸਮੱਗਰੀਆਂ ਨੂੰ ਰੱਖਣ ਅਤੇ ਲਿਜਾਣ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।
11440,"ਜੇਕਰ ਵਿਸਫੋਟਕਾਂ ਦੀ ਢੋਆ-ਢੁਆਈ ਕਰ ਰਹੇ ਹੋ, ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਬਿਨਾਂ ਧਿਆਨ ਦੇ ਛੱਡ ਸਕਦੇ ਹੋ:",,ਇੱਕ ਆਰਾਮ ਖੇਤਰ ਵਿੱਚ.,ਇੱਕ ਟਰੱਕ ਸਟਾਪ 'ਤੇ.,ਨਿੱਜੀ ਜਾਇਦਾਦ 'ਤੇ.,ਇੱਕ ਸੁਰੱਖਿਅਤ ਪਨਾਹ ਵਿੱਚ.,D,"ਖ਼ਤਰਨਾਕ ਸਮੱਗਰੀ ਦੀ ਢੋਆ-ਢੁਆਈ ਕਰਦੇ ਸਮੇਂ, ਤੁਸੀਂ ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਸੁਰੱਖਿਅਤ ਪਨਾਹਗਾਹ ਵਿੱਚ ਛੱਡ ਸਕਦੇ ਹੋ। ਇੱਕ ਸੁਰੱਖਿਅਤ ਪਨਾਹਗਾਹ ਉਹ ਸਥਾਨ ਹੈ ਜੋ ਵਿਸਫੋਟਕਾਂ ਨਾਲ ਭਰੇ ਗੈਰ-ਹਾਜ਼ਰ ਵਾਹਨਾਂ ਨੂੰ ਪਾਰਕ ਕਰਨ ਲਈ ਮਨਜ਼ੂਰ ਕੀਤਾ ਗਿਆ ਹੈ।"
8689,ਸ਼ਿਪਰਾਂ ਨੂੰ ਘੱਟੋ-ਘੱਟ ਸ਼ਿਪਿੰਗ ਕਾਗਜ਼ਾਂ ਦੀ ਇੱਕ ਕਾਪੀ ਰੱਖਣ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ:,,ਪੰਜ ਮਹੀਨੇ.,ਇੱਕ ਸਾਲ।,ਦੋ ਸਾਲ.,,C,"ਸ਼ੁਰੂਆਤੀ ਕੈਰੀਅਰ ਦੁਆਰਾ ਸਮੱਗਰੀ ਨੂੰ ਸਵੀਕਾਰ ਕੀਤੇ ਜਾਣ ਦੀ ਮਿਤੀ ਤੋਂ ਘੱਟੋ-ਘੱਟ ਦੋ ਸਾਲਾਂ ਲਈ ਸ਼ਿਪਰਾਂ ਨੂੰ ਖਤਰਨਾਕ ਸਮੱਗਰੀ ਦੇ ਸ਼ਿਪਿੰਗ ਕਾਗਜ਼, ਜਾਂ ਕਾਗਜ਼ਾਂ ਦੀ ਇਲੈਕਟ੍ਰਾਨਿਕ ਤਸਵੀਰ ਨੂੰ ਬਰਕਰਾਰ ਰੱਖਣਾ ਚਾਹੀਦਾ ਹੈ। ਖਤਰਨਾਕ ਰਹਿੰਦ-ਖੂੰਹਦ ਲਈ, ਲੋੜ ਤਿੰਨ ਸਾਲਾਂ ਤੱਕ ਵਧ ਜਾਂਦੀ ਹੈ।"
8696,ਜੇ ਵੱਡੇ ਪੱਧਰ 'ਤੇ ਵਿਸਫੋਟਕਾਂ ਦੀ ਆਵਾਜਾਈ:,,ਵਾਹਨ ਹਮੇਸ਼ਾ ਪਲੇਕਾਰਡ ਵਾਲਾ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।,"ਵਾਹਨ ਨੂੰ ਪਲੇਕਾਰਡ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ, ਪਰ ਸਿਰਫ ਤਾਂ ਹੀ ਜੇ 200 ਪੌਂਡ ਤੋਂ ਵੱਧ ਸਮੱਗਰੀ ਦੀ ਢੋਆ-ਢੁਆਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।",ਵਾਹਨ ਨੂੰ ਪਲੇਕਾਰਡ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਨਹੀਂ ਹੈ.,,A,ਗੱਡੀ ਚਲਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਆਪਣੇ ਵਾਹਨ ਨਾਲ ਢੁਕਵੇਂ ਪਲੇਕਾਰਡ ਲਗਾਓ। ਜੇਕਰ ਕੋਈ ਵਾਹਨ ਕਿਸੇ ਵੀ ਮਾਤਰਾ ਵਿੱਚ ਵੱਡੇ ਪੱਧਰ 'ਤੇ ਵਿਸਫੋਟਕ ਲੈ ਕੇ ਜਾ ਰਿਹਾ ਹੈ ਤਾਂ ਉਸ ਨੂੰ ਪਲੇਕਾਰਡ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।
8682,ਰਸਾਇਣਾਂ ਨੂੰ ਨਿਰਧਾਰਤ ਪਛਾਣ ਨੰਬਰ ਕਿੱਥੇ ਸਥਿਤ ਹਨ?,,DOT ਐਮਰਜੈਂਸੀ ਰਿਸਪਾਂਸ ਗਾਈਡਬੁੱਕ (ERG) ਵਿੱਚ,ਟਰੱਕ ਦੇ ਮੈਨੂਅਲ ਵਿੱਚ,EPA ਦੀ ਵੈੱਬਸਾਈਟ 'ਤੇ,,A,ਖਾਸ ਖਤਰਨਾਕ ਰਸਾਇਣਾਂ ਨੂੰ ਨਿਰਧਾਰਤ ਕੀਤੇ ਗਏ ਚਾਰ-ਅੰਕ ਵਾਲੇ ਪਛਾਣ ਨੰਬਰ ਯੂ.ਐੱਸ. ਡਿਪਾਰਟਮੈਂਟ ਆਫ਼ ਟ੍ਰਾਂਸਪੋਰਟੇਸ਼ਨ (DOT) ਦੀ ਐਮਰਜੈਂਸੀ ਰਿਸਪਾਂਸ ਗਾਈਡਬੁੱਕ (ERG) ਵਿੱਚ ਸੂਚੀਬੱਧ ਕੀਤੇ ਗਏ ਹਨ।
