section-num,section-name,question,options,correct-answer,note,difficulty,handbook-page,handbook-section
1,Right-of-Way,What should you do at an uncontrolled intersection?,"a: Maintain speed and proceed.,b: Slow down, be prepared to stop, check all directions, and yield as needed.,c: Yield to all other drivers.",b,"At an uncontrolled intersection, you must slow and be prepared to stop, look carefully in all directions, and yield to any traffic already in the intersection or approaching closely—especially vehicles coming from your right. A full stop is required only if needed for safety or to yield the right‑of‑way.",difficult,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When turning left, drivers must yield to:","a: Drivers already in the intersection, b: Oncoming traffic, c: Pedestrians in the intersection, d: All of the above",d,"When turning left, you must yield to oncoming traffic, to pedestrians in the crosswalk or intersection, and to any vehicles or cyclists already in the intersection. Turn only when the way is completely clear.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,Which vehicle must yield when two vehicles enter an intersection simultaneously from different roads?,"a: Either vehicle.,b: The vehicle on the left.,c: The vehicle on the right.",b,"At an uncontrolled intersection where two vehicles arrive at about the same time, the driver on the left must yield to the driver on the right. This rule helps prevent confusion and collisions when there are no signs or signals.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,"At an uncontrolled intersection where you arrive simultaneously with a vehicle to your right, you should:","a: Speed through the intersection., b: Yield to the vehicle on the right., c: Enter and force the other vehicle to stop.",b,"At an uncontrolled intersection, if you and another vehicle arrive at the same time, the driver on the left must yield to the driver on the right. Yielding to the vehicle on your right helps prevent confusion and collisions when there are no signs or signals.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,At a four-way stop:,"a: The first vehicle to arrive has the right-of-way, b: The last vehicle to arrive has the right-of-way, c: One driver may proceed without stopping",a,"At a four-way stop, the vehicle that arrives first and comes to a complete stop has the right-of-way and may proceed first. If two or more vehicles arrive at the same time, the driver on the right goes first. Always proceed with caution and be prepared to yield if another driver does something unexpected.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When approaching an emergency vehicle stopped with flashing lights, you must:","a: Slow down and change lanes if possible, b: Drive to the right and stop, c: Maintain speed in your lane",a,"Move Over laws require you to slow down and, if it is safe and legal, change lanes away from a stopped emergency vehicle with flashing lights. If you cannot change lanes, reduce your speed significantly and pass with extra caution, giving as much space as possible.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,What must you do when approaching a stopped emergency vehicle with flashing lights?,"a: Change lanes or slow down.,b: Drive to the right and stop.,c: Continue at the same speed.",a,"Change lanes away from a stopped emergency vehicle or slow down if unable to move over, giving it space.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,What must you do on a narrow road with an oncoming vehicle?,"a: Pull completely off the road.,b: Allow the oncoming vehicle half the road.,c: Demand the other vehicle pull over.",b,"On a narrow road, you must allow oncoming traffic at least half of the main-traveled portion of the roadway. Slow down, keep as far to the right as is safe, and share the available space so both vehicles can pass without leaving the roadway or creating a hazard.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do if you hear a siren behind you on the roadway?,"a: Stop where you are., b: Pull over to the right and stop., c: Speed up to clear the way.",b,"When an emergency vehicle with lights and siren approaches from behind, safely move to the right side of the road and stop until it has passed. This creates a clear lane so the emergency vehicle can get through quickly and safely.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do while waiting to turn left in an intersection?,"a: Signal and keep wheels turned left.,b: Signal and keep wheels straight.,c: Flash headlights to signal drivers.",b,"When waiting to turn left, signal early and keep your wheels straight while you are stopped in the intersection. If you are rear-ended with your wheels turned left, your vehicle can be pushed into oncoming traffic; straight wheels help you be pushed forward instead.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When hearing a siren behind you on the road, you should:","a: Stop where you are, b: Pull over to the right and stop, c: Speed up to clear the way",b,"When you hear a siren or see flashing lights from an emergency vehicle behind you, safely pull over to the right side of the road and stop. This creates a clear path so the emergency vehicle can pass quickly and safely.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,You must pull over and stop for an emergency vehicle:,"a: When it is approaching from ahead or behind on your side of the road., b: Only if it’s following you, c: Not when it is separated from you by a physical median or barrier on a divided highway",a,"When an emergency vehicle approaches with lights and siren on, you must immediately pull over to the right edge of the road and stop, unless you are in an intersection. This applies whether the vehicle is coming from ahead or behind on the same roadway. You are not required to stop for emergency vehicles that are on the opposite side of a divided highway or median, because they cannot cross into your lanes.",difficult,20,Chapter 4: Right-of-Way
1,Right-of-Way,Who has the right-of-way at an uncontrolled intersection when two vehicles arrive simultaneously?,"a: The vehicle on the right.,b: The vehicle on the left.,c: The vehicle that honks first.",a,"At an uncontrolled intersection (no signs or signals), if two vehicles arrive at the same time, the driver on the left must yield to the driver on the right. The vehicle on the right goes first. Honking does not give a driver the right-of-way.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,When must you yield to emergency vehicles?,"a: Never., b: When they use flashing lights and siren (or emergency signals)., c: Only if other vehicles yield.",b,"You must immediately yield the right‑of‑way to emergency vehicles that are using both their flashing lights and siren (or, in some states, at least their lights). Safely pull to the right side of the road and stop until the emergency vehicle has passed, unless directed otherwise by an officer.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do when preparing to turn left?,"a: Slow down and check your rearview mirror.,b: Move into the left lane.,c: Watch for oncoming vehicles and pedestrians.",c,"When preparing to turn left, you must signal, move into the proper lane, slow as needed, and most importantly yield to oncoming vehicles and pedestrians. Watching carefully for oncoming traffic and people in the crosswalk is critical because they have the right-of-way when you are turning left.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,"When two vehicles enter an intersection from different roads at the same time, which must yield?","a: Either vehicle, b: The vehicle on the left, c: The vehicle on the right",b,"At an uncontrolled intersection where two vehicles arrive at about the same time, the driver on the left must yield to the driver on the right. This rule helps prevent confusion and collisions when there are no signs or signals.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,"When two vehicles arrive at an uncontrolled intersection simultaneously, which has the right-of-way?","a: The vehicle on the right, b: The vehicle on the left, c: The vehicle sounding its horn first",a,"At an uncontrolled intersection (no signs or signals), if two vehicles arrive at the same time, the driver on the left must yield to the driver on the right. This rule helps prevent confusion and collisions by clearly assigning priority.",difficult,23,Chapter 4: Right-of-Way
1,Right-of-Way,A driver entering an interstate from an entrance or acceleration ramp:,"a: Must yield to vehicles already on the interstate, b: Has the right-of-way, c: Can force their way into traffic",a,"A driver entering an interstate from an entrance or acceleration ramp must yield to traffic already on the highway. Use the ramp to reach the speed of traffic, signal, and merge only when there is a safe gap. Vehicles on the interstate are not required to change lanes or slow down to let you in, although they may do so as a courtesy.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,What should you do if stopped in a line at a stop sign with no cross traffic after others pass?,"a: Proceed without stopping again.,b: Stop again at the stop sign.,c: Roll past the stop sign slowly.",b,"Always stop completely at a stop sign, even in a line of traffic, to yield to any approaching vehicles.",,22,Chapter 4: Right-of-Way
1,Right-of-Way,What should you avoid when making a right turn?,"a: Signaling to other drivers.,b: Swinging too wide.,c: Slowing down.",b,"When making a right turn, you should stay close to the right curb and turn into the right lane of the road you are entering. Swinging too wide can put you into another lane or into the path of oncoming or adjacent traffic, increasing the risk of a collision. Always signal and slow down appropriately before turning.",,20,Chapter 4: Right-of-Way
1,Right-of-Way,You must yield to emergency vehicles:,"a: Never, b: When they use flashing lights or sirens, c: Only when other vehicles yield",b,"You must yield the right-of-way to emergency vehicles that are using their siren and/or flashing lights. Safely pull over to the right edge of the road and stop until the emergency vehicle has passed, unless directed otherwise by a police officer.",difficult,23,Chapter 4: Right-of-Way
