section-num,section-name,question,options,correct-answer,note,difficulty
5,Driving in Special Conditions,How can you reduce the risk of hydroplaning?,"a:Drive more slowly.,b:Drive more quickly.,c:Drive through deeper water.,d:Turn off traction control.",a,Hydroplaning is more likely at higher speeds on wet roads; slowing down helps tires channel water and maintain contact with the road.,medium
4,Safe & Defensive Driving Practices,How far ahead should you look while driving to maintain safe awareness?,"a:About 10 to 15 seconds ahead.,b:Only 100 to 150 yards ahead.,c:One to two blocks only.,d:Directly in front of the hood at all times.",a,Scanning 10–15 seconds down the road helps you anticipate hazards and avoid last-second maneuvers.,easy
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, how should you steer?","a:Turn the wheel in the direction you want the vehicle to go.,b:Turn the wheel to keep the front wheels straight.,c:Turn the wheel opposite the direction of the skid.",a,"If you skid, steer toward where you want the vehicle to go. When the car begins to straighten, correct steering to keep control.",medium
4,Safe & Defensive Driving Practices,"If a tire suddenly blows out, what should you do with the steering and brakes?","a:Apply the brake and hold it.,b:Hold the steering wheel tightly and use the brakes lightly.,c:Pull over quickly.",b,"Hold the steering wheel firmly to keep the vehicle straight, slow gradually by easing off the gas, and apply brakes lightly once the vehicle is under control.",medium
4,Safe & Defensive Driving Practices,Your vehicle's blind spot is the area:,"a:You cannot see without turning your head.,b:Directly behind your vehicle only.,c:Visible in your rearview mirror.,d:Inside the car behind the passenger seat.",a,Blind spots are areas not visible in mirrors; check them by turning your head to look over your shoulder before changing lanes.,easy
7,Vehicle Ownership & Responsibilities,"If you stop along the road at night, what lighting should you use?","a:Keep your low-beam headlights on and turn on emergency flashers.,b:Turn off all lights to conserve battery.,c:Use parking lights only.",a,"If you stop at night, turn on your emergency flashers and keep your low-beam headlights on so other road users can see your vehicle.",medium
4,Safe & Defensive Driving Practices,What helps you avoid needing to make emergency stops in traffic?,"a:Drive only in the right lane.,b:Look ahead and maintain a safe following distance.,c:Honk to make others aware of you.",b,Maintaining a safe following distance and scanning ahead allows you to react and avoid sudden emergency stops.,easy
2,Traffic Laws & Rules of the Road,"Before changing from the right lane into the left on a multi-lane highway, what checks should you make?","a:Look over your left shoulder for traffic in your blind spot and check mirrors, then signal.,b:Look only in your side mirror and then change lanes.,c:Signal and look in your rearview mirror only.",a,Check mirrors and look over your left shoulder for vehicles in the blind spot; always signal before changing lanes.,easy
4,Safe & Defensive Driving Practices,Anything that requires you to which of the following could cause a crash?,"a:Take your attention away from the task of driving.,b:Take your hands off the wheel only briefly.,c:Use your mirrors occasionally.",a,"Any activity that diverts attention from driving, takes your eyes off the road, or your hands off the wheel is a dangerous distraction that can cause a crash.",easy
2,Traffic Laws & Rules of the Road,"After passing on the left, when is it safe to return to the right lane?","a:When you can see the front of the passed vehicle in your rearview mirror.,b:After roughly three seconds.,c:When you can no longer see the vehicle over your right shoulder.",a,You may return to the right lane when the passed vehicle's front is visible in your rearview mirror; always signal before changing lanes.,easy
5,Driving in Special Conditions,Which type of roadway area tends to freeze first in cold weather?,"a:Areas shaded by trees or buildings.,b:Flat open areas.,c:Roads in direct sunlight.",a,Shaded sections freeze sooner and stay icy longer because they get less sun and dry more slowly than exposed areas.,medium
8,Special Situations & Road Users,"Faced with an oncoming car on your left and a bicyclist on your right, what should you do?","a:Pull onto the shoulder.,b:Split the difference.,c:Let the car pass and then pass the bike.",c,"When multiple hazards exist, handle one at a time: allow the oncoming vehicle to pass before safely passing the bicyclist.",medium
2,Traffic Laws & Rules of the Road,"If you want to turn left but oncoming traffic is heavy and the light is green, what is the appropriate action?","a:Use the next intersection.,b:Wait at the crosswalk for traffic to clear.,c:Wait in the center of the intersection for traffic to clear.",c,"If the light is green and it is safe, you may enter the intersection to wait for a gap in oncoming traffic to complete your left turn; do not block the crosswalk.",medium
5,Driving in Special Conditions,"When it starts to rain while you are driving, what should you do?","a:Slow down.,b:Drive at the posted maximum speed.,c:Drive faster than surrounding traffic to get through the rain quickly.",a,"Reduce speed when rain begins, turn on headlights for visibility, and pull over if visibility becomes too poor to continue safely.",easy
2,Traffic Laws & Rules of the Road,"When turning left from a multilane, one-way street onto another one-way or multilane roadway, from which lane should you begin the turn?","a:The left lane.,b:The middle of the intersection.,c:The right lane.",a,"When turning left from multilane or one-way streets, begin the turn from the leftmost lane designated for left turns.",easy
2,Traffic Laws & Rules of the Road,Is it ever legal to block an intersection?,"a:If you entered the intersection on the green light.,b:During rush hour traffic.,c:Under no circumstances.",c,You may not enter an intersection unless you can fully clear it; blocking an intersection is unlawful even if the light is green when you enter.,medium
4,Safe & Defensive Driving Practices,"If your wheels go off the pavement, what should you do?","a:Maintain speed and gently brake while driving with wheels off pavement, then steer back when safe.,b:Grip the wheel and sharply jerk back onto the pavement.,c:Brake hard immediately and stop.",a,"If your vehicle leaves the pavement, reduce speed gently while staying straight; when safe, steer back onto the road. Do not make sudden, sharp turns to force the vehicle back onto the pavement.",medium
3,"Signs, Signals & Road Markings",What does a solid yellow line on your side of the centerline mean?,"a:Slow down.,b:Pass with caution.,c:Do not pass.",c,A solid yellow line next to your lane means passing from your direction is prohibited; wait for a legal passing zone.,easy
2,Traffic Laws & Rules of the Road,"When entering the roadway from a driveway, what must you do?","a:Must stop and proceed only when there are no pedestrians or vehicles approaching.,b:Must drive slowly so approaching vehicles can get out of your way.,c:Must honk your horn to alert pedestrians and drivers.",a,"Stop before entering the roadway from a driveway, yield to approaching vehicles and pedestrians, and proceed only when safe.",easy
8,Special Situations & Road Users,Why should you be cautious when passing a bicycle?,"a:Oncoming traffic may not see you pull out to pass the bike.,b:The bicycle always has the right-of-way.,c:You are moving slower than the bicycle.",a,Bicyclists may swerve to avoid hazards and oncoming traffic may not see you moving into its lane; give bicycles extra room.,medium
4,Safe & Defensive Driving Practices,"On long highway trips, what helps prevent drowsiness?","a:Stopping at regular intervals to rest.,b:Turning up the radio.,c:Slowing down.",a,Schedule regular stops to rest and stretch to reduce drowsiness while driving long distances.,easy
3,"Signs, Signals & Road Markings",How must a driver respond to a flashing red traffic signal?,"a:Stop, yield to traffic and pedestrians, and proceed when safe.,b:Slow down and proceed without stopping.,c:Merge to the right and continue.",a,A flashing red light requires a full stop; yield to other road users and go only when it is safe.,easy
8,Special Situations & Road Users,"If stopped at a railroad crossing with more than one track, when is it safe to proceed?","a:When you have a clear view of all tracks and there are no trains approaching.,b:As soon as one train passes on one track.,c:When the crossing lights stop flashing even if you cannot see down all tracks.",a,Wait until you can see clearly down all tracks before proceeding; another train may be approaching on a different track.,medium
3,"Signs, Signals & Road Markings",What does a single dashed yellow line between opposing lanes mean?,"a:Drivers may pass if it is safe to do so.,b:Both lanes travel in the same direction.,c:Drivers may not pass.",a,A single dashed yellow centerline indicates passing is allowed for vehicles in both directions when it is safe.,easy
6,"Alcohol, Drugs & Impaired Driving",How does alcohol affect driving skills and judgment?,"a:It harms both driving skills and judgment.,b:It helps driving skills but harms judgment.,c:It has no effect on either.",a,"Alcohol impairs reaction time, vision, coordination, and judgment, making driving dangerous at any level of consumption.",medium
4,Safe & Defensive Driving Practices,What is 'highway hypnosis' most likely caused by?,"a:Staring at the roadway for long periods of time.,b:Frequent rest stops.,c:Too much sleep the night before your trip.",a,Highway hypnosis occurs when you stare ahead for long periods and stop actively scanning; take breaks and stay mentally alert to avoid zoning out.,medium
3,"Signs, Signals & Road Markings",Two solid white lines across a lane mark what?,"a:The boundaries of a crosswalk where pedestrians should be given the right-of-way.,b:That motor vehicles have priority over pedestrians.,c:That no one has the right-of-way.",a,Two solid white lines across a lane typically mark a crosswalk; drivers must yield to pedestrians in crosswalks.,easy
