id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11653,If a trailer is not at the proper height during coupling:,,It will not make a difference when coupling.,Coupling will be more secure.,It may not couple correctly.,,C,"Before coupling together a tractor and a trailer, you should make sure the trailer is at the proper height. If the trailer is too low, the trailer nose may be damaged. If the trailer is too high, it may not be able to couple correctly."
11293,"While driving, a driver should:",,Not be concerned with what is happening on the sides of their vehicle.,Be concerned with what is happening on all sides of the vehicle.,Not be concerned with what is happening behind the vehicle.,,B,It is essential that you are aware of what is happening on all sides of your vehicle at all times. Scan the road ahead and make regular checks of the mirrors on both sides of your vehicle while you are driving.
8568,What should you do if your vehicle gets stuck on railroad tracks?,,Stay in the vehicle.,Get out of the vehicle and call for assistance.,Continue trying to get your vehicle off the tracks until you are successful.,,B,"If your CMV gets stuck on railroad tracks, you should immediately leave the vehicle and get away from the tracks. Check the signposts or signal housing at the crossing for emergency contact information and call 911, or another appropriate emergency number."
8553,Which of the following is not a type of distraction?,,Physical,Mental,Obtuse,,C,"Distractions that can affect safe driving can be classified as physical (such as reaching for an object), mental (such as talking with passenger), or both (such as talking on a hand-held phone)."
11583,"After finishing a pre-trip inspection, you should:",,Leave the rear shut-off valves open.,Remove the service line valve.,Close the emergency line valve.,,C,"Before a trip, you should ensure that air reaches all air brakes on all trailers by opening up the rear emergency line and service line shut-off valves to listen for escaping air. Close both shut-off valves before beginning to drive."
8520,Rolling backward when beginning to accelerate is dangerous because:,,The transmission may be damaged.,The truck is not made to go backwards.,You may hit a vehicle behind you.,,C,Be sure that you are able to accelerate without first rolling back. Rolling backwards may cause you to collide with a vehicle or other obstacle behind your truck.
11460,Test the tractor protection valve by:,,Removing the air supply knob.,Removing the parking brake control knob.,Releasing air with the brake pedal.,Releasing air with the gas pedal.,C,"You should test the tractor protection valve by allowing the air supply to properly charge, turning off the engine, then releasing air from the system by pressing the brake pedal several times. The tractor protection valve should move into its emergency position when psi drops to an unsafe level."
8562,"In cool weather, as the temperature begins to rise and ice begins to melt:",,It is usually safe to drive.,The road will become even more slippery.,Traction will increase.,,B,"As the temperature begins to rise and ice on the road begins to melt, the road surface will often become even more slippery. Water from the slight melting will sit on top of the ice, decreasing the available traction even more. Always decrease your speed and drive with caution when traveling on slippery surfaces."
11264,When starting an engine:,,The brakes will lock up.,"Warning lights should turn on, then quickly turn off.",Coolant temperatures should decrease.,,B,"After a vehicle is started, the warning lights and buzzers should go out after a few seconds. If the warning signals do not turn off, there may be something wrong with the vehicle."
9237,Rust around wheel nuts may mean:,,It rained recently.,The nuts are loose.,The nuts are too tight.,,B,It is important to inspect your tires before every drive. Rust around wheel nuts may indicate that they are loose.
11906,"If you are braking on dry pavement while traveling at 55 mph, how much distance will brake lag add to your overall stopping distance?",,32 feet,45 feet,20 feet,,A,"The total stopping distance for vehicles equipped with air brakes is made up of four factors: perception distance, reaction distance, brake lag distance, and braking distance. When braking at a speed of 55 mph while driving on dry pavement, the brake lag can add around 32 feet to the vehicle's total stopping distance."
9267,"If an aggressive driver is involved in a crash on the road ahead, you should:",,Stop and confront the driver.,"Stop a safe distance from the crash scene, wait for police to arrive, and tell them of the driver's behavior.",Block the driver in with your vehicle.,,B,"If you see a crash involving an aggressive driver, you should stop a safe distance from the crash scene, wait for police to arrive, and inform them of the aggressive behavior you witnessed."
11443,"When visually checking a coupling device, you should:",,Look for mud on the fifth wheel.,Make sure the kingpin is polished.,Make sure there is a space between the upper and lower fifth wheel.,Make sure the locking jaws are closed on the kingpin.,D,"When performing a visual check of coupling devices, you should make sure there is no space between the upper and lower fifth wheel. Ensure that the locking jaws are securely closed around the shank of the kingpin."
9257,How do ice cream trucks become hazardous to other drivers?,,Ice cream trucks must be kept cold.,Children often run toward an ice cream truck without looking for other traffic.,Ice cream trucks leave trails of water and ice on the roadway.,,B,Ice cream trucks can create hazardous conditions for other drivers because they attract children. Children often do not notice or pay attention to other vehicles on the roadway when running to or from ice cream trucks.
9573,Regrooved tires are:,,Allowed only on the front of a bus.,Allowed only on the rear of a bus.,Not allowed anywhere on a bus.,,B,"Regrooved, recapped, or retreaded tires are not permitted to be used on the front of a bus."
11896,"In a dual air brake system, air pressure should build from 85 to 100 psi within ____ seconds.",,25,10,45,,C,"When inspecting a vehicle with a dual air brake system, you should wait for air pressure to build from 85 to 100 psi in both the primary and secondary systems. This should take about 45 seconds."
11180,What happens when a vehicle hydroplanes?,,The tires lose contact with the road.,The trailer disengages from the tractor.,The vehicle becomes easier to control.,,A,"On a wet road, it is possible for a vehicle's tires to lose traction with the road surface and begin to glide along on the layer of water. This is referred to as hydroplaning. Hydroplaning can occur at speeds as low as 30 mph."
11366,A driver who stops at a green light could be:,,An impaired driver.,A driver who is color blind.,A person who does not know the rules of the road.,,A,"It is important to observe other drivers' actions and identify clues that a person could be driving impaired. Drivers who have had too much to drink, are sleepy, are on drugs, or are ill can present hazards to other drivers. One sign that a driver may be impaired is that they stop in inappropriate places, such as at green traffic lights."
8517,How can you check for a leak in hydraulic brakes?,,"Pump the brake pedal three times, then hold down the pedal for five seconds. If the pedal moves, there may be a problem.","Push the brake pedal down as far as possible and release. If the brake pedal returns to its normal position, there may be a problem.","Push the brake pedal down as far as possible and release. If the brake squeaks, there may be a problem.",,A,"Check hydraulic brakes by pumping the brake pedal three times before applying firm pressure to the pedal for five seconds. The pedal should not move. If it does, there may be a leak or some other problem in the braking system."
9870,"As part of a pre-trip inspection, you should look for all of the following, except:",,Tires with too much air pressure.,Tires with too much wear.,Tires made by different manufacturers.,,C,"When inspecting your tires, verify that there is tread depth of at least 4/32 of an inch in every major groove on the front tires and tread depth of at least 2/32 of an inch in grooves on the other tires. Be sure that your tires are not too worn, are not cracked, have proper air pressure, and are all equally sized."
11465,"During an applied leakage test, the maximum leakage rate for a double combination vehicle is:",,10 psi in a minute.,8 psi in a minute.,6 psi in a minute.,4 psi in a minute.,D,It is important to know the maximum air loss rate that is safe for your specific vehicle. A double combination vehicle should have a leakage rate no higher than 4 psi in a minute during an applied leakage test.
9577,When should a driver sign a vehicle inspection report?,,After every trip,If noted defects are repaired,After each fueling,,B,You must sign a vehicle inspection report only if defects were noted and either certified to have been repaired or certified as not needing to be repaired.
8530,"When traveling down a hill, you can reduce the amount of required braking by:",,Switching into a higher gear.,Switching into a lower gear.,Switching into neutral.,,B,"Before starting down a hill, decelerate and shift down into a gear that will allow you to control your vehicle without braking too hard. Using too much brake when driving downhill can cause the brakes to overheat, reducing the braking power."
11273,Roads are especially slippery right after it begins to rain because:,,The water mixes with oil and grease on the road.,Tires are not made to drive in wet weather.,The water yet hasn't absorbed the dirt and grease.,,A,Roads are often especially slippery when it first begins to rain. Rainwater forms a slick film when mixed with oil and grease on the road surface that has not yet washed away.
8633,Anti-Lock Braking Systems (ABS):,,Reduce a vehicle's normal braking capacity.,Are in addition to other braking systems and do not reduce a vehicle's braking power.,Are not effective on larger vehicles.,,B,"If equipped, ABS is in addition to a vehicle's normal braking system and does not increase or decrease the braking power of any other system. ABS only activates when a vehicle's wheels are about to lock."
11297,The heavier the vehicle:,,The less important the brakes become.,The harder the brakes need to work.,The quieter the brakes will sound.,,B,"The heavier a vehicle is, the more the brakes will need to work to bring the vehicle to a complete stop."
8516,"When starting an engine, oil pressure should come up to a normal level:",,Within seconds.,Within five minutes.,After about three minutes.,,A,Look at your truck's gauges when starting the engine. The oil pressure in an engine should come up to a normal level within seconds of the vehicle's engine being started.
11261,"To check the automatic transmission fluid level in some vehicles, you will have to:",,Park your vehicle uphill.,Park your vehicle downhill.,Leave the vehicle running.,,C,"In some vehicles, it may be necessary to leave the engine running when checking the automatic transmission fluid level."
9283,The more alcohol in the body:,,The quicker the liver will digest the alcohol.,The less effect the alcohol will have on the individual.,The longer it will take to remove the alcohol from the body.,,C,"The body removes alcohol at a fixed rate. The more alcohol consumed, the longer it will take for the body to remove the alcohol from its system."
8641,"Brakes can get out of adjustment quickly, especially:",,If they are hot.,In the winter time.,If they are used frequently.,,A,"Brakes are particularly prone to getting out of adjustment if they are hot. Be sure to routinely check the adjustment of your brakes. For a vehicle to be safely controlled, all brakes must be properly functioning and adjusted."
9115,"When turning quickly to avoid an object in the roadway, you should:",,Apply your brakes as you steer.,Give yourself extra clearance by turning more than needed to miss the object.,Turn just enough to miss the object and avoid turning more.,Steer and accelerate at the same time.,C,"When turning quickly to avoid an object, turn only as much as is necessary to clear it. Do not apply the brakes while turning."
9090,Most drivers are the least alert:,,In the morning.,In cold weather.,At night.,After work.,C,"Fatigue and lack of alertness are major hazards when driving at night. Most people are the least alert at night, especially after midnight."
11678,"Before starting down a hill, be sure to:",,Accelerate.,Switch into a high gear.,Sound your horn.,Switch into a low gear.,D,"Before starting down a hill, be sure to switch into a low gear. Gravity will increase your vehicle's speed as you travel downhill."
9007,What can happen if a parking brake is used in very wet weather when temperatures are below freezing?,,The brakes will squeak.,The brakes may freeze so the vehicle cannot move.,The brakes may suddenly release by themselves.,The brakes may explode.,B,"If you use the parking brakes when the weather is very wet and the temperature is below freezing, the brakes may become frozen, preventing the vehicle from moving."
11572,The service air line is attached to the:,,Relay valves.,Supply line.,Emergency air line.,Steering wheel.,A,"The service air line carries air and is controlled by either the foot brake or trailer hand brake. The service air line is attached to relay valves, which allow the trailer brakes to be applied quickly."
11630,If you don't pull the dolly out from beneath the rear trailer before unlocking the pintle hook:,,The tow bar may cause injury.,The landing gear may break.,The pintle hook may detach.,Nothing bad could happen.,A,"Never unlock the pintle hook with the dolly still under the rear trailer. This could cause the dolly tow bar to fly up, possibly causing serious injury."
