section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If a child is about to run into the street, what is an appropriate immediate response?","a:Start to prepare to slow down.,b:Flash your headlights.,c:Sound a sharp blast of your horn.",c,"If a pedestrian, especially a child, may enter the street in front of you, a sharp blast of the horn can warn them and help prevent a collision.",medium
2,Traffic Laws & Rules of the Road,"At a four-way stop, who has the right-of-way?","a:The driver who reaches the intersection first.,b:The driver who reaches the intersection second.,c:The driver to your left should always be given the right-of-way.",a,"At a four-way stop, the driver who arrives first should proceed first. If multiple vehicles arrive simultaneously, yield to the right.",easy
2,Traffic Laws & Rules of the Road,"After overtaking another vehicle, when is it safe to return to your lane?","a:When you can see the passed vehicle's headlights in your rearview mirror.,b:When the driver you passed signals you to return.,c:After signaling for three seconds.",a,"Before returning to your driving lane, ensure there's enough room; seeing both headlights of the passed vehicle in your inside rearview mirror indicates adequate space.",medium
8,Special Situations & Road Users,"If you see pedestrians near the road where you are driving, what should you do?","a:Sound your horn and maintain speed.,b:Speed up to clear the area quickly.,c:Slow down and pass with caution.",c,"When pedestrians are near the road, slow down and be prepared to stop; give them extra space and time to cross.",easy
2,Traffic Laws & Rules of the Road,What should you do before passing on a two-lane road?,"a:Judge the distance and speed of any oncoming vehicles.,b:Sound your horn as you begin to pass.,c:Flash your headlights as you pass.",a,Carefully judge the speed and distance of oncoming traffic to ensure you have enough space to pass safely on a two-lane road.,medium
4,Safe & Defensive Driving Practices,How can you help the driver behind you maintain a safe following distance?,"a:Maintain a steady speed.,b:Drive 10 mph faster than the car behind you.,c:Drive 10 mph slower than the car behind you.",a,"Keeping a steady speed and signaling early for turns, lane changes, and deceleration helps the driver behind maintain safe distance.",easy
2,Traffic Laws & Rules of the Road,Should you start across an intersection if you know you will block it when the light turns red?,"a:Under any circumstances.,b:Unless you entered the intersection on a yellow light.,c:Unless you entered the intersection on a green light.",a,Do not enter an intersection unless you can clear it before the light turns red; blocking intersections can result in a citation.,medium
2,Traffic Laws & Rules of the Road,You approach an intersection with a steady yellow light and have not entered it. What should you do?,"a:Speed up to beat the red light.,b:Reduce your speed and proceed through carefully.,c:Come to a safe stop.",c,"A steady yellow means prepare to stop. If you haven't entered the intersection, come to a safe stop unless stopping would be unsafe.",easy
3,"Signs, Signals & Road Markings","If the centerline has one solid yellow and one broken yellow, and the broken line is next to your lane, what does that mean?","a:You are not allowed to pass in this area.,b:You are in a passing zone and may pass if no oncoming traffic is present.,c:You may only make right turns in this area.",b,A broken yellow line next to your lane means you may pass to the left when it is safe and no oncoming traffic is present.,medium
4,Safe & Defensive Driving Practices,"When another vehicle is passing you, how should you respond?","a:Brake hard.,b:Maintain a constant speed.,c:Speed up.",b,"When being passed, keep a steady speed and allow the passing vehicle to merge back safely.",easy
3,"Signs, Signals & Road Markings",What does a steady green traffic light allow you to do?,"a:Proceed through the intersection at a safe and reasonable speed if it is clear.,b:Increase your speed to beat other traffic.,c:Adjust your mirrors before proceeding.",a,"A steady green light permits you to go through the intersection, yielding to traffic and pedestrians already there.",easy
4,Safe & Defensive Driving Practices,When are large trucks most likely to lose speed?,"a:When driving up long or steep hills.,b:When driving down long, gradual hills.,c:When driving in long, gradual curves.",a,Large trucks need more time to accelerate; they often lose speed ascending long or steep grades—give them extra space.,medium
4,Safe & Defensive Driving Practices,What is the 'golden rule' of driving?,"a:Drive aggressively to get where you need to go.,b:Ignore other drivers on the roadway.,c:Treat other road users the way you want to be treated.",c,"Treat other drivers, bicyclists, and pedestrians with respect and courtesy to help prevent conflicts and crashes.",easy
8,Special Situations & Road Users,"When following a motorcycle, how should you adjust your spacing?","a:Allow extra space in front of the motorcycle.,b:Follow at the same distance you would a passenger vehicle.,c:Reduce following distance because motorcycles stop faster.",a,"Give motorcycles more space because they can stop more quickly and are harder to see, especially at night.",easy
6,"Alcohol, Drugs & Impaired Driving","If you are 21 or older, at what BAC are you in violation of the law?","a:0.08 percent,b:0.06 percent,c:0.04 percent",a,A BAC of 0.08% or higher is illegal for drivers 21 and older and results in license suspension and possible criminal penalties.,easy
4,Safe & Defensive Driving Practices,"When passing a pedestrian on the roadway and an oncoming vehicle is approaching, what should you do?","a:Slow down and let the oncoming vehicle pass before you pass the pedestrian.,b:Honk to get the pedestrian to move over.,c:Maintain steady speed; the oncoming vehicle must stop for you.",a,"When multiple hazards are present, handle them one at a time—let the oncoming vehicle pass, then pass the pedestrian if safe.",easy
6,"Alcohol, Drugs & Impaired Driving",What term describes the amount of alcohol in a person's blood?,"a:Blood alcohol concentration (BAC).,b:Implied consent (IC).,c:Rate of alcohol consumption (RAC).",a,Blood Alcohol Concentration (BAC) measures the percentage of alcohol in the bloodstream; higher BAC indicates greater impairment.,easy
5,Driving in Special Conditions,"To reduce the chance of skidding on slippery surfaces, what is the safest practice?","a:Speed up to enter curves and slow down to exit them.,b:Shift to a lower gear after starting down a steep hill.,c:Slow down before entering curves and intersections.",c,"Reduce your speed before a curve or intersection so you do not need to brake sharply while turning, which can cause a skid.",medium
2,Traffic Laws & Rules of the Road,May you drive off the roadway (onto the shoulder) to pass another vehicle?,"a:If the vehicle ahead is turning left.,b:If there are two or more lanes traveling in your direction.,c:Under no circumstances.",c,You must not pass by driving off the paved road or onto the shoulder; this is illegal and unsafe.,easy
6,"Alcohol, Drugs & Impaired Driving",What effect can combining prescription drugs with alcohol have on driving?,"a:It can make you unfit to drive.,b:It will likely have no effect.,c:It will make you more alert.",a,"Many medications interact with alcohol to impair judgment, coordination, and reaction time, making driving unsafe.",difficult
7,Vehicle Ownership & Responsibilities,"If your vehicle experiences a mechanical problem while driving, what should you do?","a:Put on your hazard lights and pull off the road as soon as safely possible.,b:Stop in your lane and put on hazard lights.,c:Signal and pull into the slow lane.",a,Get your vehicle off the road away from traffic and turn on emergency flashers so other drivers can see you.,medium
7,Vehicle Ownership & Responsibilities,Where should a 12-year-old sit in a vehicle equipped with airbags?,"a:The back seat.,b:The front seat.,c:Any seat is acceptable.",a,Children under 14 must be secured in the rear seat using appropriate restraints to avoid airbag-related injuries.,easy
