section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,When should you make sure your passengers have fastened their seat belts?,"a:Before you start the engine.,b:Only when it is raining or snowing.,c:Only if the vehicle will be driven long distances.,d:Only after a police officer instructs you to do so.",a,Seat belts are the best protection in a crash. Ensure you and your passengers have fastened seat belts before starting the vehicle.,easy
2,Traffic Laws & Rules of the Road,What do speed limit signs represent?,"a:The maximum or minimum legal speed under ideal conditions.,b:A suggested driving speed for heavy traffic only.,c:A recommended safe speed in all conditions.,d:Speeds enforceable only at night.",a,Speed limit signs show the maximum (or sometimes minimum) legal speed in ideal conditions. Drivers must slow down when conditions require.,easy
4,Safe & Defensive Driving Practices,"When passing a row of parked vehicles, what precaution should you take?","a:Honk to warn anyone who might step out.,b:Be prepared for people or vehicles to unexpectedly enter your lane and keep a safe space.,c:Assume parked vehicles will remain stationary.,d:Drive close to parked cars to discourage doors opening.",b,Leave space between your vehicle and parked cars. Watch for people exiting vehicles or cars pulling out unexpectedly.,medium
8,Special Situations & Road Users,"When an emergency vehicle with lights and/or siren approaches, must drivers pull to the right edge and wait?","a:TRUE,b:FALSE",a,"When approached by an authorized emergency vehicle, you must pull to the right side of the road and stop to allow it to pass.",easy
1,Licensing & Permit Requirements,"When stopped for a traffic violation or equipment check, which documents must you be prepared to show?","a:Proof of registration, your license, and proof of insurance.,b:Only your license.,c:Only proof of insurance.,d:Only proof of registration.",a,"When stopped, a driver must produce their license, proof of registration, and proof of insurance upon request.",medium
2,Traffic Laws & Rules,Drivers must yield to pedestrians in a crosswalk — True or False?,"a:False,b:True",a,Drivers must come to a complete stop and yield to pedestrians in marked crosswalks and to pedestrians in unmarked crosswalks on the driver's side when there are no traffic signals.,easy
2,Traffic Laws & Rules of the Road,Which of the following is part of correct passing procedure?,"a:Use your mirrors and look over your left shoulder to check your blind spot when passing to the left.,b:Signal at least 100 feet before changing lanes to pass and ensure there is no oncoming traffic.,c:When passing, wait until you can see both headlights of the passed car in your rearview mirror before returning to your original lane.,d:All of the above",d,"When passing, signal well in advance, check mirrors and blind spot, and return to your lane only when you can clearly see the passed vehicle's headlights.",medium
3,"Signs, Signals & Road Markings",What does a solid white line between lanes on a two-lane road indicate?,"a:Lanes move in opposite directions and no passing is allowed.,b:Lanes move in opposite directions and passing is allowed when safe.,c:Lanes move in the same direction and drivers are not permitted to pass.",c,Solid white lines separate lanes of traffic moving in the same direction and generally discourage or prohibit lane changes.,easy
8,Special Situations & Road Users,"When passing a large vehicle, what should a small-vehicle driver be prepared for?","a:Loud music from the truck.,b:Wind gusts produced by the large vehicle.,c:Less road noise.,d:Reduced engine power.",b,Large vehicles can create wind gusts that affect smaller vehicles. Be ready to correct steering when passing or being passed by large vehicles.,medium
2,Traffic Laws & Rules of the Road,"Before turning left, what important action must you take?","a:Sound your horn.,b:Yield to oncoming vehicles and pedestrians.,c:Swing to the right side of your lane.,d:Stop and back up slightly.",b,"Before making a left turn, yield to oncoming traffic and pedestrians and proceed only when the way is clear.",easy
