section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When approaching railroad tracks, what should you always do?","a:Speed up to pass the tracks quickly.,b:Look, listen, slow down, and be prepared to stop.,c:Try to drive around any lowered gate.",b,"When approaching railroad tracks, you should look and listen for trains, slow down, and be prepared to stop if necessary.",medium
5,Driving in Special Conditions,"If an oncoming driver has blinding high beams, you should:","a:Look toward the right edge of the road until the vehicle passes.,b:Flash your lights on and off to warn them.,c:Dim your own lights and speed up to pass quickly.",a,"When confronted by blinding headlights, look right and toward the edge of the road to avoid being temporarily blinded.",medium
5,Driving in Special Conditions,When are road surfaces most likely to freeze quickly?,"a:On sections shaded by trees or buildings.,b:On road segments exposed to direct sunlight.,c:On flat open stretches of highway.",a,"Shaded areas freeze more quickly in cold or wet weather and are often the last parts of the road to dry, so use extra caution.",easy
5,Driving in Special Conditions,"If you become stranded in a snowstorm, the safest action is to:","a:Stay inside your vehicle and wait for help.,b:Get out and walk for help immediately.,c:Lay down and sleep in your car.",a,Staying in your car makes you more likely to be found and protects you from exposure; leave only if help is very close.,medium
5,Driving in Special Conditions,What should be your first reaction to reduced visibility while driving?,"a:Turn on your windshield wipers.,b:Reduce your speed.,c:Turn on interior lights.,d:Increase your following distance only.",b,"Your first response to decreased visibility should be to slow down. Adjust headlights, wipers, and following distance as needed.",easy
6,"Alcohol, Drugs & Impaired Driving",What effect does drinking coffee have on your blood alcohol concentration (BAC)?,"a:Cancels the effect of the alcohol.,b:Decreases blood alcohol concentration.,c:Has no effect on blood alcohol concentration.,d:Makes you legally sober instantly.",c,"Coffee, cold showers, or other such measures do not reduce BAC or sober you up; only time does.",easy
2,Traffic Laws & Rules of the Road,How long before a turn should you activate your turn signal to give others warning?,"a:Use your signal about three to four seconds before turning.,b:Signal only as you start the turn.,c:Signal after you begin the turn.",a,Activate your turn signal about three to four seconds before making the turn to alert other road users.,easy
7,Vehicle Ownership & Responsibilities,Why is a leaky exhaust system dangerous?,"a:It reduces your fuel efficiency only.,b:It causes a loss of engine power only.,c:It improves ventilation in the passenger compartment.,d:It can cause carbon monoxide poisoning.",d,"A leaking exhaust can allow carbon monoxide into the passenger compartment, which is odorless and potentially fatal; fix exhaust leaks immediately.",medium
3,"Signs, Signals & Road Markings","When the center of the road has a solid yellow line next to a broken yellow line and the broken line is next to your lane, you may:","a:Pass only in an emergency.,b:Pass only if on an expressway.,c:Cross the broken line to pass when it is safe and there is no oncoming traffic.",c,"If the broken yellow line is beside your lane, you may pass when it is safe and no oncoming traffic is present.",medium
2,Traffic Laws & Rules of the Road,"If you want to move from the right lane to the left lane on a multilane highway, what should you do before changing lanes?","a:Check your mirrors and blind spots, signal, then change lanes.,b:Look over your left shoulder to check your blind spot before changing lanes.,c:Turn on your signal while checking only the rearview mirror.",b,"Before changing lanes, check mirrors and look over your shoulder in the direction you intend to move to verify there is no vehicle in your blind spot. Signal every time you change lanes.",medium
2,Traffic Laws & Rules of the Road,"To pass a slower vehicle on a two-lane, two-way road you must:","a:Never cross the centerline.,b:Flash your lights at oncoming traffic.,c:Move into the lane used by oncoming traffic when it is safe and legal to pass.",c,"Passing on a two-lane, two-way road requires you to enter the lane used by oncoming traffic to complete the pass, only when it is safe and legal to do so.",medium
4,Safe & Defensive Driving Practices,"Before backing out of your driveway when children are nearby, what should you do?","a:Sound your horn before you start.,b:Walk to the back of the car to be sure the way is clear.,c:Check only your mirrors.,d:Back out slowly while watching inside the car.",b,Exit the vehicle and check behind it whenever small children are playing nearby; do not rely solely on mirrors or cameras.,easy
4,Safe & Defensive Driving Practices,How does smoking or preparing to smoke while driving affect you?,"a:It does not affect driving abilities.,b:It helps maintain driver alertness.,c:It is a distracting activity that can reduce safety.,d:It only affects drivers at night.",c,Smoking while driving can distract you by taking your eyes off the road and hands off the wheel; avoid activities that interfere with driving.,easy
3,"Signs, Signals & Road Markings",What is the purpose of highway pavement markings?,"a:They are decorative and optional.,b:They provide information and guidance to drivers.,c:They are only used in construction zones.,d:They indicate no-parking areas only.",b,"Pavement markings guide vehicle positioning, indicate passing zones, and warn drivers of upcoming conditions; they are important for safe driving.",easy
2,Traffic Laws & Rules of the Road,Which is a true rule about passing another vehicle?,"a:Signal at least 100 feet before changing lanes to pass, and be sure no oncoming traffic is present.,b:Only check your mirrors; do not look over your shoulder.,c:Return to your lane immediately once the front bumper of the passed car is even with you.",a,"Signal at least 100 feet before a lane change, check mirrors and blind spots, and ensure it is safe to pass before doing so.",medium
2,Traffic Laws & Rules of the Road,"When merging into a crowded freeway, you should:","a:Use the acceleration lane to match the speed of freeway traffic and yield to existing traffic.,b:Stop at the end of the ramp and wait.,c:Enter slowly and expect freeway drivers to slow for you.",a,"Use the entrance ramp to accelerate to highway speed, check mirrors and blind spots, and yield to traffic when merging.",medium
2,Traffic Laws & Rules of the Road,"Unless otherwise posted, what is the speed limit in thickly settled or business districts?","a:10 mph.,b:20 mph.,c:30 mph.",c,"Unless posted otherwise, the speed limit in thickly settled areas and business districts is 30 mph; drive with extra caution.",easy
2,Traffic Laws & Rules of the Road,"If a police officer stops you, how should you behave while waiting for the officer to approach?","a:Get out of the vehicle and approach the officer.,b:Unbuckle your seat belt and lower your window completely.,c:Stay in your vehicle with hands visible on the steering wheel and wait for instructions.,d:Immediately retrieve your license and papers before the officer reaches your car.",c,Remain inside with your hands on the wheel and ask passengers to keep hands visible. Only retrieve documents when asked.,easy
