id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11490,"During a basic vehicle controls skills test exercise, your vehicle's final position should be:",,In the general area that was described by the examiner.,In the exact final position described by the examiner.,Within three feet of the final position described by the examiner.,,B,"You should finish each exercise with your vehicle in the exact position described by the examiner. You can be penalized for failing to complete an exercise exactly in the manner described by the examiner, potentially resulting in failure of the basic control skills test."
8726,"When making a stop to pick up students, a driver should ensure all surrounding traffic has stopped before:",,Opening the door and signaling for the students to approach.,Turning on the alternating red lights.,Pulling over to the side of the road.,,A,"When stopping to pick up students, a school bus driver should ensure that all surrounding traffic has stopped before opening the door and signaling for the students to approach the bus."
8716,A school bus's danger zones are located:,,Only to the front of the bus.,Only to the rear and left side of the bus.,"To the front, sides, and rear of the bus.",,C,"The danger zones of a school bus are areas in which children are most likely to be hit, either by another vehicle or by the bus itself. Such areas are located to the front, sides, and rear of a bus. Danger zones can extend 10 feet from every side of a bus."
8739,"If a student is believed to have suffered a back injury, you should:",,Move them off the bus.,Not move them.,Encourage them to try to stand.,,B,A school bus driver should not attempt to move a student who has suffered a neck or spinal injury unless the student's life is in immediate danger.
11502,"Before a trip, you should make sure that:",,The brake pedal sticks.,The gas pedal is loose.,The grooved pedal surface has not been smoothed out.,,C,"When checking your vehicle's pedals during a pre-trip inspection, you should ensure that there is nothing under or around the pedals that will obstruct their use. Make sure the pedals are in proper working condition and that the surfaces of the pedals are grooved, if applicable."
11497,"When completing an offset back/right parking maneuver, you should:",,"Pull straight forward, then drive straight back.","Drive straight back, then pull forward to the left.","Pull straight forward, then back to the right.",,C,"If you are asked to complete an offset back/right parking maneuver, you should first pull straight forward, then back up to the right. Your vehicle must be parked completely within the boundaries of the parking space."
9317,"When a school bus is approaching a bus stop, the driver should:",,Not use the mirrors.,Approach with caution.,Drive quickly and stop abruptly.,,B,School bus drivers should approach stops slowly and cautiously.
11488,"With the exception of the straight line backing exercise, a driver may exit their vehicle and check its position during testing exercises up to:",,One time.,Two times.,Three times.,,B,"A driver is allowed to exit their vehicle to check its position during any basic vehicle control skills test exercise. This action is called a ""look."" During the straight line backing exercise, a driver may not exceed one look. During any other exercise, a driver may not exceed two looks."
11348,"When approaching a school bus stop, the driver should:",,Honk the horn.,Drive slowly.,Talk to students on the bus.,,B,A school bus driver should always approach bus stops slowly and cautiously.
8723,Bus stops may be changed by:,,The driver.,Parents.,The school district.,,C,Official school bus routes and stops are established by the local school district. Drivers should never change a stop location without the written approval of an appropriate district official.
8720,"Properly adjusted crossover mirrors allow you to see all of the following, except:",,The right and left front tires touching the ground.,The area in front of the bus.,The tops of the right and left rear tires.,,C,"Properly adjusted crossover mirrors on a school bus should allow the driver to see the entire area in front of the bus, from the front bumper at ground level to a point where direct vision is possible. The mirrors should also display the right and left front tires touching the ground, as well as the area from the front of the bus to the service door."
11501,"For a basic vehicle control skills test, you are expected to be able to:",,Alley dock.,Weave between a line of cones.,Complete an emergency stop.,,A,"Maneuvers that may be included in the basic vehicle control skills test include straight line backing, offset back/right parking, offset back/left parking, driver side parallel parking, conventional parallel parking, and alley docking."
11489,"During a basic vehicle control skills test, a look is when:",,A driver checks the gauges on their instrument panel.,A driver checks their blind spots.,A driver walks to the back of their vehicle to check its position.,,C,"A driver uses a look when they open their door, leave their seated position, and walk to the back of the vehicle to check its position. During the straight line backing exercise, a driver may not exceed one look. During any other exercise, a driver may not exceed two looks."
9615,If a school bus stalls on a railroad track:,,Students should remain on the bus.,Students should be evacuated to a location near the bus.,Students should be evacuated and moved away from the bus.,,C,"If a school bus becomes stalled or trapped on railroad tracks, the driver should immediately evacuate everyone from the bus. If the bus is struck by a train, to avoid any flying debris, the students should be led far away from the bus at an angle that is in the direction of any oncoming train."
9489,Loading and unloading a bus:,,Can be hazardous for passengers.,Does not need to be supervised.,Should be done while refueling.,,A,"More students are killed each year during loading or unloading of school buses than while riding on school buses. Therefore, it is critical that school bus drivers follow appropriate safety procedures during loading and unloading."
9614,"If there is a fire on a school bus, the students:",,Must be evacuated.,Should stay on the bus but be moved to a part of the bus unaffected by the fire.,Should stay in their seats.,,A,"If a school bus is on fire, or if there is a threat of fire, it is mandatory for a bus driver to evacuate the students from the bus."
8737,"If a bus must be evacuated, it is safest for students to:",,Stand no more than 50 feet away from the bus.,Stand downwind of the bus in the event of a fire.,Be led far away from any railroad tracks.,,C,"After evacuating a school bus, students should be led to a safe place at least 100 feet away from the road in the direction of oncoming traffic. This will keep them safe from flying debris if another vehicle hits the bus. Students should be upwind of any fires and as far away from railroad tracks as possible."
8731,"After students unload at the school, a driver should:",,Not be concerned with the students' whereabouts.,Leave after the students have entered the school building.,Walk through the bus to check for any sleeping students.,,C,"After students unload at school, a school bus driver should walk through the bus to check for sleeping students, hiding students, and items that students may have left behind. Students should exit the bus in an orderly fashion with the driver supervising."
11493,"If exiting a bus, a driver must:",,Never make contact with the handrail.,Maintain contact with the handrail.,Move quickly.,,B,"When exiting your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic vehicle control skills test."
9900,"When students board a bus, they should:",,Sit in the back row first.,Sit in the back row only after all other seats are filled.,Be seated as far from the driver as possible.,,B,"Students should not occupy the back row of a school bus unless the bus is full. The closer to the front of a bus that students are seated, the safer they will be in the event of a rear-end collision. Students with special needs should sit near the driver."
