section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"If you hear a siren but cannot immediately see the emergency vehicle, what should you do?","a:Pull to the curb and look to determine if the emergency vehicle is on your street.,b:Keep driving until you clearly see the vehicle.,c:Slow down but do not stop until you identify its location.",a,"If you hear a close siren but are unsure of its location, safely pull over to the right and stop until you are sure it is not headed toward you.",medium
7,Vehicle Ownership & Responsibilities,"When stopped by an officer for a traffic violation or equipment check, what must the driver produce?","a:The driver's license.,b:Only proof of insurance.,c:Only proof of registration.",a,"When stopped, the driver is required to provide their driver license, proof of registration, and proof of insurance.",easy
6,"Alcohol, Drugs & Impaired Driving",When may you text while driving in North Carolina?,"a:Under no circumstances.,b:If you can text without looking at your phone.,c:If you use voice-to-text and never look at the device.",a,Texting while driving is prohibited in North Carolina because it is a major distraction to the vehicle operator.,easy
2,Traffic Laws & Rules of the Road,What does a green arrow signal for a lane mean?,"a:Traffic in that lane must turn in the direction of the arrow and has the right-of-way.,b:It has the same meaning as a circular green but you may go straight or turn.,c:It means proceed only if accompanied by a circular green light.",a,A green arrow indicates that traffic in the lane may proceed in the arrow's direction and oncoming traffic must stop for turning traffic.,easy
6,"Alcohol, Drugs & Impaired Driving","For drivers age 21 or older, it is illegal to drive with a minimum blood alcohol concentration (BAC) of:","a:0.08 percent.,b:0.05 percent.,c:0.02 percent.",a,"For drivers 21 and older, a BAC of 0.08% or higher is illegal and constitutes driving under the influence.",easy
3,"Signs, Signals & Road Markings",What does a solid yellow arrow mean on a traffic signal?,"a:It has the same meaning as a circular yellow light — prepare to stop.,b:It means drivers may turn in the direction of the arrow without yielding.,c:It is never used as a traffic signal.",a,A solid yellow arrow signals that a red arrow is imminent; slow down and prepare to stop if it is safe to do so.,medium
8,Special Situations & Road Users,"When an emergency vehicle is approaching with lights and siren, when must you pull over and stop?","a:Regardless of its direction — pull to the right and stop.,b:Only if it is following you.,c:Only if it is approaching from the opposite direction.",a,You must pull to the right and stop for an emergency vehicle using lights or siren regardless of whether it is ahead of you or behind you.,easy
3,"Signs, Signals & Road Markings",A two-lane road with a broken yellow centerline tells you what about traffic direction?,"a:Vehicles on the other side travel the opposite direction (two-way road).,b:The road is one way.,c:The road is under construction.",a,A broken yellow centerline separates traffic moving in opposite directions and indicates passing is permitted when safe.,easy
6,"Alcohol, Drugs & Impaired Driving",How serious is drinking alcohol and then driving?,"a:A serious traffic safety problem.,b:A minor traffic safety problem.,c:Safe if you had only one drink.",a,Driving after drinking is a serious safety problem; alcohol impairs judgment and driving ability.,easy
8,Special Situations & Road Users,How should you consider railroad crossings in terms of safety?,"a:Dangerous — always look and listen before crossing.,b:Generally safe because trains are infrequent.,c:Safe places to stop and park.",a,"Railroad crossings can be hazardous; always look and listen for trains, obey signals, and never cross until you are sure it is safe.",easy
2,Traffic Laws & Rules of the Road,"What traffic signal requires you to come to a complete stop, yield to pedestrians and cross traffic, then proceed when clear?","a:A flashing red light.,b:A solid green light.,c:A flashing yellow light.",a,"A flashing red traffic signal functions the same as a stop sign: stop completely, yield to pedestrians and cross traffic, then proceed when the way is clear.",easy
5,Driving in Special Conditions,"If an approaching driver fails to dim high beams, where should you look?","a:Toward the right side of the road to avoid being blinded.,b:At the approaching vehicle’s headlights.,c:Toward the left side of the road.",a,Glance toward the right edge of the roadway to avoid being blinded by high-beam headlights of an approaching vehicle.,easy
4,Safe & Defensive Driving Practices,"If your accelerator becomes stuck while driving, what should you do first?","a:Shift into neutral and apply steady pressure to the brakes, then pull off the road when safe.,b:Reach down and try to pull the accelerator up by hand.,c:Shift the transmission into park while driving to stop quickly.",a,"If the throttle sticks, keep your eyes on the road, shift to neutral, brake steadily, exit traffic when safe, and turn off the engine.",medium
4,Safe & Defensive Driving Practices,How often should drivers check their mirrors under normal conditions?,"a:About every 10 seconds.,b:About every 30 seconds.,c:About every 15 seconds.",a,Check mirrors roughly every 8–15 seconds (about every 10 seconds) to monitor vehicles around you without taking your eyes off the road for more than an instant.,easy
8,Special Situations & Road Users,"When a school bus is stopped on the opposite side of a divided highway, what should drivers do?","a:May continue driving.,b:Must stop until the bus moves.,c:Must stop until the stop arm is retracted.",a,"If the highway is divided by a median, drivers on the opposite side may continue; on undivided highways both directions must stop.",medium
