section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Why is it important to maintain a space cushion between your vehicle and others?,"a:It allows you time to react to unexpected situations.,b:It prevents distractions from other vehicles.,c:It keeps traffic flowing at a faster pace.",a,Leaving plenty of space around your vehicle gives you the time and room to react to mistakes or sudden actions by other drivers.,easy
8,Special Situations & Road Users,What is the 'No zone' around large trucks or buses?,"a:The vehicle’s blind spots where smaller vehicles may not be seen.,b:A speed limit zone for trucks.,c:A restricted audio zone for loud stereos.",a,"A truck or bus has blind spots in the front, rear, and on each side; these are called 'No zones' and should be avoided.",easy
5,Driving in Special Conditions,Why must you use extra caution when driving at night?,"a:Because drivers cannot see as well at night as during the day.,b:Because traffic moves faster at night.,c:Because there is more traffic at night.",a,"From one half hour after sunset until one half hour before sunrise (or when you cannot see 500 feet), headlights must be used because visibility is reduced.",easy
8,Special Situations & Road Users,Is it ever acceptable to drive around or under a lowering or raising railroad crossing gate?,"a:No — you must not drive around or under a gate that is moving.,b:Only if your vehicle can do so without damaging the gate.,c:Only when there are no visible trains.",a,"Flashing lights, lowered gates, and bells mean stop; never drive around or under a gate while it is moving.",easy
2,Traffic Laws & Rules of the Road,"If another driver is passing you, what should you do?","a:Check for oncoming traffic and adjust speed to let them complete the pass safely.,b:Signal to tell them when to pass.,c:Pull off the road.",a,"When being passed, maintain speed or adjust so the passing vehicle can move back into your lane safely; do not accelerate to prevent the pass.",easy
2,Traffic Laws & Rules of the Road,When should you use your turn signal?,"a:All of the above — when changing lanes, pulling into or out of a parking space, or pulling into traffic from a parking area or alley.,b:Changing lanes.,c:Pulling into or out of a parking space.,d:Pulling into traffic from a parking area or alley.",a,"You should always signal when making movements to the left or right, such as changing lanes, leaving or entering parking spaces, or pulling from an alley or curb.",easy
2,Traffic Laws & Rules of the Road,Two solid white lines across a lane mark what area?,"a:A crosswalk where pedestrians have the right-of-way.,b:A place where vehicles have right-of-way over pedestrians.,c:An area with no right-of-way rules.",a,Two solid white lines indicate a marked crosswalk; drivers must yield to pedestrians within the crosswalk.,easy
7,Vehicle Ownership & Responsibilities,Why must your vehicle be inspected at least once a year?,"a:Only if it is older than five years old.,b:Unless it is a new vehicle.,c:To ensure it is safe to operate.",c,Annual vehicle inspections help ensure the vehicle is mechanically safe and in proper running condition.,easy
5,Driving in Special Conditions,"When roads are slippery, what driving adjustment should you make?","a:Increase your following distance.,b:Drive as you would on dry roads.,c:Reduce use of turn signals.",a,On slippery surfaces give extra stopping distance because your vehicle will take longer to stop.,easy
5,Driving in Special Conditions,"If you must slow down on a slippery road, what is the first action you should take?","a:Take your foot off the gas pedal to reduce speed.,b:Firmly apply your brakes immediately.,c:Apply your parking brake.",a,"On slippery surfaces, first ease off the accelerator; if additional slowing is needed, apply brakes gently and steadily.",medium
