section-num,section-name,question,options,correct-answer,note,difficulty
4,Safe & Defensive Driving Practices,Why is it important to maintain a space cushion between your vehicle and others?,"a:It keeps traffic flowing at a faster pace.,b:It prevents distractions from other vehicles.,c:It allows you time to react to unexpected situations.",c,Leaving plenty of space around your vehicle gives you the time and room to react to mistakes or sudden actions by other drivers.,easy
8,Special Situations & Road Users,What is the 'No zone' around large trucks or buses?,"a:A speed limit zone for trucks.,b:A restricted audio zone for loud stereos.,c:The vehicle’s blind spots where smaller vehicles may not be seen.",c,"A truck or bus has blind spots in the front, rear, and on each side; these are called 'No zones' and should be avoided.",easy
5,Driving in Special Conditions,Why must you use extra caution when driving at night?,"a:Because there is more traffic at night.,b:Because traffic moves faster at night.,c:Because drivers cannot see as well at night as during the day.",c,"From one half hour after sunset until one half hour before sunrise (or when you cannot see 500 feet), headlights must be used because visibility is reduced.",easy
8,Special Situations & Road Users,Is it ever acceptable to drive around or under a lowering or raising railroad crossing gate?,"a:Only if your vehicle can do so without damaging the gate.,b:Only when there are no visible trains.,c:No — you must not drive around or under a gate that is moving.",c,"Flashing lights, lowered gates, and bells mean stop; never drive around or under a gate while it is moving.",easy
2,Traffic Laws & Rules of the Road,"If another driver is passing you, what should you do?","a:Pull off the road.,b:Signal to tell them when to pass.,c:Check for oncoming traffic and adjust speed to let them complete the pass safely.",c,"When being passed, maintain speed or adjust so the passing vehicle can move back into your lane safely; do not accelerate to prevent the pass.",easy
2,Traffic Laws & Rules of the Road,When should you use your turn signal?,"a:Changing lanes.,b:Pulling into traffic from a parking area or alley.,c:Pulling into or out of a parking space.,d:All of the above — when changing lanes",d,"You should always signal when making movements to the left or right, such as changing lanes, leaving or entering parking spaces, or pulling from an alley or curb.",easy
2,Traffic Laws & Rules of the Road,Two solid white lines across a lane mark what area?,"a:An area with no right-of-way rules.,b:A place where vehicles have right-of-way over pedestrians.,c:A crosswalk where pedestrians have the right-of-way.",c,Two solid white lines indicate a marked crosswalk; drivers must yield to pedestrians within the crosswalk.,easy
7,Vehicle Ownership & Responsibilities,Why must your vehicle be inspected at least once a year?,"a:Only if it is older than five years old.,b:Unless it is a new vehicle.,c:To ensure it is safe to operate.",a,Annual vehicle inspections help ensure the vehicle is mechanically safe and in proper running condition.,easy
5,Driving in Special Conditions,"When roads are slippery, what driving adjustment should you make?","a:Reduce use of turn signals.,b:Drive as you would on dry roads.,c:Increase your following distance.",c,On slippery surfaces give extra stopping distance because your vehicle will take longer to stop.,easy
5,Driving in Special Conditions,"If you must slow down on a slippery road, what is the first action you should take?","a:Take your foot off the gas pedal to reduce speed.,b:Firmly apply your brakes immediately.,c:Apply your parking brake.",a,"On slippery surfaces, first ease off the accelerator; if additional slowing is needed, apply brakes gently and steadily.",medium
5,Driving in Special Conditions,"Compared to daytime driving, driving at night is:","a:No more or less dangerous.,b:Less dangerous.,c:More dangerous.",c,"Night driving is more hazardous due to reduced visibility, glare from lights, and a higher likelihood of fatigued or impaired drivers.",easy
2,Traffic Laws & Rules of the Road,In which situations are you required to come to a stop?,"a:Only at a stop sign.,b:Only when you see a flashing red light.,c:At a stop sign",c,"You must stop at stop signs, at a steady or flashing red light, and whenever a traffic officer directs you to stop.",easy
4,Safe & Defensive Driving Practices,How should you avoid collisions due to blind spots?,"a:Adjust rearview mirrors every few minutes.,b:Honk just before turning or changing lanes.,c:Quickly glance over your shoulder to check the blind spot before changing lanes.",c,Turn your head and glance over your shoulder in the direction of the lane change; don't rely solely on mirrors.,easy
2,Traffic Laws & Rules of the Road,What does a flashing red traffic light mean?,"a:The traffic signal is broken.,b:The same thing as a stop sign.,c:You do not have to come to a complete stop.",b,"A flashing red light means stop, yield to traffic and pedestrians, and proceed only when the way is clear.",easy
8,Special Situations & Road Users,Which statements about railroad crossings are true?,"a:You may drive around lowered gates if no train is visible.,b:All of the following: It is against the law to go around lowered gates; you must stop when directed by a flagger; not all crossings have flashing lights and gates.,c:Only that all crossings have flashing red signals and gates.",b,"You must obey flaggers and warning devices; not all crossings have gates or lights, and you must never go around a lowered gate.",medium
2,Traffic Laws & Rules of the Road,A flashing red traffic signal at an intersection requires the same action as which device?,"a:A slow sign.,b:A yield sign.,c:A stop sign.",c,"A flashing red traffic signal means you must stop, just like at a stop sign, then proceed when safe.",easy
2,Traffic Laws & Rules of the Road,What should you do before making a turn?,"a:Increase your speed.,b:Turn the wheel without signaling.,c:Use your signal.",a,Activate your turn signal several seconds before making the turn so other road users know your intention.,easy
4,Safe & Defensive Driving Practices,Which action best describes a good defensive driver?,"a:Travels at a constant speed at all times.,b:Looks out for the actions of other drivers and anticipates problems.,c:Drives slowly at all times.",b,"A defensive driver anticipates others' actions, watches for hazards, and avoids assuming other drivers will behave perfectly.",easy
2,Traffic Laws & Rules of the Road,"If a flagger is directing traffic in a work zone, what must you do?","a:Follow the directions given by the flagger.,b:Ignore the flagger and follow surrounding traffic.,c:Assume the flagger does not apply to you.",a,Obey flaggers in construction zones; failure to follow their directions is unsafe and can be illegal.,easy
6,"Alcohol, Drugs & Impaired Driving","If you are taking a non-prescription (over-the-counter) drug, what should you do before driving?","a:Drink alcohol instead.,b:Read the labels on the drug and heed any warnings about driving.,c:Continue to drive regardless of any warning labels.",c,Many nonprescription medications impair driving; read labels and seek medical advice if unsure about driving while taking them.,medium
4,Safe & Defensive Driving Practices,Your blind spot is the area of the road that:,"a:You cannot see without moving your head.,b:Is directly behind your vehicle.,c:You see in your rearview mirror.",c,"Blind spots are areas, typically to the sides and just behind your vehicle, you cannot see without turning to look over your shoulder.",easy
