section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,Which agency handles driver licensing and permits in Massachusetts?,"a:Massachusetts DMV,b:Massachusetts Registry of Motor Vehicles (RMV),c:Massachusetts DOT,d:Massachusetts Secretary of State",b,"Massachusetts's Registry of Motor Vehicles (RMV) handles driver licensing, vehicle registration, and permits. Massachusetts does not have a traditional DMV — the RMV is the licensing authority in the state.",medium
2,Traffic Laws & Rules of the Road,Massachusetts's real RMV knowledge test has 25 questions. How many must you get right to pass — and what makes this threshold unusual?,"a:22 correct (88%) — higher than most states,b:20 correct (80%) — same as most states,c:18 correct (72%) — lower than most states,d:15 correct (60%) — much lower than most states",c,"Massachusetts requires only 18 out of 25 correct — a 72% passing threshold. This is lower than the 80% standard used by most other states. You can miss up to 7 questions and still pass. While the bar is lower, don't treat this as a reason to under-prepare.",medium
2,Traffic Laws & Rules of the Road,How many questions can you miss on Massachusetts's RMV knowledge test and still pass?,"a:3 questions (88% threshold),b:5 questions (80% threshold),c:7 questions (72% threshold),d:10 questions (60% threshold)",c,"You can miss up to 7 questions on Massachusetts's 25-question test and still pass at 72%. This is more lenient than the typical 80% standard. However, fully understanding the rules of the road matters for your safety long after the test.",medium
2,Traffic Laws & Rules of the Road,What is the minimum age to apply for a Massachusetts learner's permit?,"a:15,b:16,c:15 and a half,d:14",b,"Massachusetts requires applicants to be at least 16 years old to apply for a learner's permit. This is older than many other states, which allow permits at 15 or even 14. Massachusetts also requires completion of an approved driver education program before getting a junior operator's license.",medium
2,Traffic Laws & Rules of the Road,What is the legal BAC limit for a Massachusetts driver age 21 or older?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,Massachusetts sets the OUI (Operating Under the Influence) limit at 0.08% BAC for drivers 21 and older. Massachusetts uses the term OUI rather than DUI. Commercial drivers face a stricter 0.04% limit.,medium
2,Traffic Laws & Rules of the Road,Massachusetts uses the term 'OUI' for drunk driving. What does OUI stand for?,"a:Operating Under Influence,b:Operating Under Intoxication,c:Offense Under Impairment,d:Operating Unfit Impaired",a,"Massachusetts uses OUI — Operating Under the Influence — rather than DUI or DWI. The concept is the same: operating a motor vehicle while impaired by alcohol or drugs, or with a BAC of 0.08% or higher for drivers 21 and older.",medium
2,Traffic Laws & Rules of the Road,What BAC triggers Massachusetts's zero tolerance law for drivers under 21?,"a:0.00%,b:0.02%,c:0.04%,d:0.08%",b,Massachusetts sets the underage OUI threshold at 0.02% BAC for drivers under 21 — effectively zero. Any measurable amount of alcohol above 0.02% is illegal for drivers under 21 in Massachusetts.,medium
2,Traffic Laws & Rules of the Road,"Under Massachusetts's GDL program, how many hours of supervised driving must a permit holder log?","a:30 hours (no night requirement),b:40 hours (10 at night),c:40 hours (no specific night requirement),d:50 hours (10 at night)",b,"Massachusetts requires 40 hours of supervised driving practice, with at least 10 hours driven at night. The supervising driver must be a licensed adult age 21 or older seated in the front seat. These hours must be certified before applying for a junior operator's license.",medium
2,Traffic Laws & Rules of the Road,What is the default speed limit on Massachusetts urban streets when no speed limit sign is posted?,"a:25 mph,b:30 mph,c:35 mph,d:45 mph",b,"Massachusetts sets the default speed limit in thickly settled districts (urban areas) at 30 mph when no sign is posted. On rural roads, the default is 50 mph. Always check for posted signs — use defaults only when no sign is visible.",medium
2,Traffic Laws & Rules of the Road,What is Massachusetts's default speed limit on rural roads — and how does it differ from most states?,"a:55 mph — same as most states,b:50 mph — slightly lower than most states' 55 mph,c:65 mph — higher than most states,d:45 mph — significantly lower than most states",b,Massachusetts's default rural road speed limit is 50 mph — slightly lower than the 55 mph default used by most other states. Massachusetts's more dense and older road infrastructure contributed to this lower default limit. Always check for posted speed limit signs.,medium
