chapter,section,sub-section,question,options,correct-answer,note
1,,,When may you cross double solid yellow lines?,"a: To pass a slow truck.,b: To turn into a driveway.,c: To pass another car.",b,"Double solid yellow lines may only be crossed to turn left into or from a driveway, enter/exit a highway, or make a permitted U-turn."
1,,,What should you do when passing a large truck?,"a: Re-enter your lane and slow down immediately.,b: Give the truck ample space before re-entering.,c: Re-enter whenever you choose.",b,"Wait until you see the truck’s front in your rearview mirror before re-enterin
g your lane, maintaining speed to avoid impeding the truck."
1,,,Where should you stop at an intersection with no stop line or crosswalk?,"a: No stop is required.,b: Slow down to check for traffic.,c: Stop where you can see 200 feet on either side.",a,"If no stop line or crosswalk exists, stop at the point nearest the intersection where you can see approaching traffic without entering the roadway."
1,,,What does a steady yellow arrow at a traffic signal indicate?,"a: Merge into the arrow’s lane.,b: Slow to a stop if safe.,c: Turn left after yielding to traffic and pedestrians.",b,"A steady yellow arrow warns that a red arrow is imminent, so drivers should stop unless they are already in the intersection."
1,,,What should you do before backing out of a driveway with children nearby?,"a: Rev your engine to warn them.,b: Sound your horn.,c: Check behind your car.",c,Walk behind your vehicle to ensure no children or obstacles are present before backing out of a driveway.
1,,,When should you drive in a reversible lane with a red X signal?,"a: If no oncoming traffic is visible.,b: When passing a vehicle.,c: Never.",c,"Never drive in a lane marked with a red X, as it indicates the lane is closed, typically in reversible lane systems."
1,,,"If involved in an accident with an injured person, you should:","a: Move the injured immediately, b: Leave the injured in place, c: Not move the injured unnecessarily, keep them warm, and administer first aid",c,"Avoid moving the injured unless necessary, keep them warm, and provide first aid to prevent worsening injuries."
1,,,Alcohol consumption negatively affects:,"a: Judgment, b: Reasoning ability, c: Vision, d: All of the above",d,"Alcohol impairs judgment, reasoning, and vision, reducing the skills essential for safe driving."
1,,,"If a crossing guard is directing traffic in a school zone, you must:","a: Follow the guard’s directions, b: Follow surrounding traffic despite the guard, c: Assume the guard shouldn’t direct traffic",a,"Crossing guards in school zones have authority to direct traffic, and drivers must follow their instructions for safety."
1,,,"When a pedestrian begins crossing in front of your vehicle, you should:","a: Flash your lights, b: Reduce speed, c: Accelerate to pass ahead of the pedestrian",b,"Drivers must slow down and be ready to stop for pedestrians crossing the road, prioritizing their safety, especially in crosswalks."
1,,,What should you do at a steady red traffic light?,"a: Proceed if no traffic is crossing.,b: Continue as you have the right-of-way.,c: Stop only if a police officer is present.",a,"A steady red light requires a complete stop, though a right turn on red is allowed after stopping if no sign prohibits it and it’s safe."
1,,,"What does a “Reduced speed, 35 mph” sign mean?","a: The 35 mph limit starts at the sign.,b: The limit starts at the next sign.,c: You have time to slow down later.",a,"A “Reduced speed” sign with a posted speed indicates the new limit begins at that sign, requiring immediate speed reduction."
