section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"Approaching a railroad crossing without active warning signals, a driver should:","a:Slow down, look both ways, and listen before crossing,b:Proceed normally if no train is visible,c:Rely only on the crossbuck sign and keep speed",a,"If a crossing has no warning devices, slow down, look both directions, and listen for trains before proceeding.",medium
2,Traffic Laws & Rules of the Road,What does a posted speed limit sign represent?,"a:The maximum legal speed under ideal road and weather conditions.,b:A recommended speed you may ignore if traffic is light.,c:The exact speed you must travel at all times to avoid a ticket.,d:A minimum speed you must maintain.",a,Speed limits indicate the maximum legal speed under ideal conditions; drivers must slow down when conditions are less than ideal.,easy
3,"Signs, Signals & Road Markings",What is the most common color used for warning signs?,"a:Yellow.,b:Red.,c:Green.",a,Most warning signs are yellow (diamond-shaped) with black symbols or lettering to warn of potential hazards.," ""easy"""
8,Special Situations & Road Users,"If you are following a school bus or a tank truck carrying flammable liquids, you should be prepared to do what?","a:Pass them cautiously on the right,b:Decrease your following distance,c:Be prepared to stop at all railroad crossings",c,School buses and tank trucks carrying flammable liquids must stop at all railroad crossings; be prepared to stop when following them.,easy
2,Traffic Laws & Rules of the Road,From which lane must you make a left turn when leaving a one-way street?,"a:The lane nearest the left curb.,b:The lane nearest the center of the street.,c:The lane nearest the right curb.,d:Any lane as long as you signal.",a,"On a one-way street, make a left turn from the lane closest to the left curb into the nearest lawful lane.",easy
4,Safe & Defensive Driving Practices,How should you change lanes?,"a:Gradually and carefully after checking mirrors and blind spots,b:Quickly and often to stay ahead of traffic,c:Only when a car is in your blind spot",a,"Change lanes gradually and carefully; check mirrors, signals, and blind spots before moving over.",easy
3,"Signs, Signals & Road Markings",What does a double solid yellow centerline indicate about passing?,"a:Passing is not allowed from either direction.,b:Passing is allowed from both directions.,c:Passing is allowed only from your direction of travel.",a,A double solid yellow line means traffic moves in opposite directions and passing is prohibited both ways.," ""easy"""
2,Traffic Laws & Rules of the Road,What is likely to happen if you drive substantially slower than the flow of traffic?,"a:You may interfere with traffic flow and could be cited.,b:You will improve traffic flow.,c:You will automatically be demonstrating defensive driving.",a,"If you block the reasonable movement of traffic by driving too slowly, you can be cited. Match the flow when safe and legal."," ""medium"""
5,Driving in Special Conditions,"Which headlights should you use when driving in fog, heavy rain, or snow?","a:Low beam headlights.,b:High beam headlights.,c:Only fog lights and no headlights.,d:Parking lights only.",a,"Low beams should be used in fog, rain, or snow because high beams create glare and reduce visibility.",easy
6,"Alcohol, Drugs & Impaired Driving",Alcohol consumption affects driving by:,"a:Slowing reflexes and reaction time,b:Waking you up,c:Improving concentration",a,"Alcohol is a depressant that slows brain activity, reflexes, and judgment needed for safe driving.",easy
