section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,"When a school bus is stopped on your side of the road with red lights flashing, you must:","a:Stop until the lights stop flashing and the stop arm is retracted.,b:Slow to 10 mph and proceed.,c:Change lanes and pass cautiously.",a,Stop for a school bus that is loading or unloading students while its red lights are flashing and stop arm is extended; don't pass.,easy
3,"Signs, Signals & Road Markings",What is a crosswalk?,"a:The area where pedestrians may cross the roadway.,b:Another name for a four-way intersection.,c:An area designated for road construction workers.",a,Crosswalks designate where pedestrians may cross the road and may be marked by white solid lines or may be unmarked at some intersections.,easy
4,Safe & Defensive Driving Practices,"If you repeatedly drive faster than other cars on a two-lane road and keep passing, what is likely to happen?","a:It will help prevent traffic congestion.,b:Your chance of a collision increases.,c:You will reach your destination much faster and more safely.",b,Avoid passing other vehicles on two-lane roads — every pass raises the chance of a crash.,easy
7,Vehicle Ownership & Responsibilities,"If your car becomes disabled on the highway, where should you park if possible?","a:With all four wheels off the traveled portion of the highway.,b:Stop in the right lane.,c:Stop where you are and wait for help.",a,"If your vehicle is disabled, move it off the main travel lanes so it does not block traffic or create a hazard.",medium
7,Vehicle Ownership & Responsibilities,Which statement about backing your vehicle is true?,"a:Dangerous if you have a helper.,b:Only dangerous in large vehicles.,c:Always dangerous.",c,Backing is always hazardous because visibility is limited; use caution and helpers when necessary.,easy
7,Vehicle Ownership & Responsibilities,"In a vehicle equipped with airbags, where is the safest place for children age 12 and under to ride?","a:The back seat.,b:The front seat.,c:The bed of a pick-up truck.",a,Children 12 and under should ride in the back seat when the vehicle has airbags to reduce injury risk.,easy
3,"Signs, Signals & Road Markings",A diamond-shaped road sign is a:,"a:Warning sign.,b:Stop sign.,c:Yield sign.",a,Diamond-shaped signs warn drivers of special conditions or hazards ahead; they are usually yellow or orange.,easy
2,Traffic Laws & Rules of the Road,When must you stop your vehicle?,"a:Where there is a red traffic light.,b:At any intersection where a police officer orders you to stop.,c:Both of the above.",c,"You must come to a complete stop at steady or flashing red lights and obey any police officer directing traffic, regardless of signals.",easy
4,Safe & Defensive Driving Practices,What is true about changing lanes safely?,"a:You only need to turn and look over your right shoulder for lane changes to the right or left.,b:Vehicles with two outside mirrors do not have blind spots.,c:Look over your right shoulder for a right lane change and your left shoulder for a left lane change.",c,"Before changing lanes, signal, check mirrors, and look over the appropriate shoulder to verify the adjacent lane is clear of vehicles, motorcycles, or bicycles.",easy
4,Safe & Defensive Driving Practices,"To be able to turn quickly, your hands should be placed:","a:On opposite sides of the steering wheel.,b:Next to each other on the top of the steering wheel.,c:On the top and bottom of the steering wheel.",a,"Both hands should be on opposite sides of the steering wheel to promote comfortable, controlled turns, especially at higher speeds.",easy
8,Special Situations & Road Users,"If you see a pedestrian using a guide dog or carrying a white cane, what must you do?","a:The pedestrian must yield the right-of-way.,b:You must yield the right-of-way.,c:Honk your horn to let them know you are there.",b,Blind or partially blind pedestrians using a guide dog or white cane must be given the right-of-way.,easy
