section-num,section-name,question,options,correct-answer,note,difficulty
8,Special Situations & Road Users,When may you drive around lowered railroad crossing gates?,"a:Never — you must not go around a lowered gate.,b:When the train has passed and gates are up.,c:If the lights have stopped flashing but the gate is still down.,d:If an approaching train seems far away.",a,Do not drive around or under a lowered gate; you must wait until lights and bells stop and the gate is fully raised.,easy
2,Traffic Laws & Rules of the Road,"When the center of the road has a solid yellow line next to a broken yellow line with the broken line next to your lane, when may you pass?","a:You may pass from your lane when traffic is clear.,b:Only in an emergency.,c:Only if you are on an expressway.",a,"If the broken line is adjacent to your lane, you may cross it to pass when it is safe and no oncoming traffic is present.",medium
2,Traffic Laws & Rules of the Road,You should not pass another vehicle under which conditions?,"a:On a hill or curve.,b:When a school bus's flashing red lights are on.,c:When approaching an intersection.,d:All of the above.",d,"Never pass on hills or curves, at intersections, before or on railroad crossings or bridges, or when a stopped school bus has flashing red lights.",medium
6,"Alcohol, Drugs & Impaired Driving",Does drinking coffee after drinking alcohol reduce blood alcohol concentration?,"a:No — it has no effect on BAC.,b:Yes — it decreases BAC.,c:Yes — it cancels the alcohol's effects.",a,Coffee may make you feel more alert but it does not lower your blood alcohol concentration or sober you up.,easy
2,Traffic Laws & Rules of the Road,"When changing lanes, which of the following should you do?","a:Signal at least 100 feet before changing lanes (five seconds on a freeway), check mirrors, and glance over your shoulder.,b:Rely only on mirrors without checking your blind spot.,c:Begin signaling as you move into the next lane.,d:Signal after you start the lane change.",a,"Begin signaling in advance, check mirrors, and glance over your shoulder to clear blind spots before completing a lane change.",medium
6,"Alcohol, Drugs & Impaired Driving",How can alcoholic beverages affect your driving ability?,"a:They slow reaction time, impair thinking and give false confidence.,b:They always make you more alert.,c:They improve coordination in small amounts.",a,"Alcohol is a depressant that slows reflexes, impairs judgment and coordination, and can create a false sense of confidence.",medium
4,Safe & Defensive Driving Practices,How must a driver behave when encountering pedestrians?,"a:Yield the right-of-way to pedestrians and do everything possible to avoid striking them.,b:Yield only if the pedestrian is in a marked crosswalk.,c:Assume pedestrians should yield to vehicles.,d:Proceed unless the pedestrian is in your lane.",a,"Drivers must yield to pedestrians and take all reasonable actions to prevent collisions, even if the pedestrian is not lawfully crossing.",easy
6,"Alcohol, Drugs & Impaired Driving",Drivers who have consumed alcohol before driving typically:,"a:Are always aware of the risks they are taking.,b:Do not have sufficient control over their bodies, minds, or the vehicle.,c:Are better drivers because they are more careful.",b,"Alcohol is a depressant that impairs coordination, judgment, and reaction time; it reduces a driver's ability to operate a vehicle safely.",easy
2,Traffic Laws & Rules of the Road,"When, if ever, may you legally drive above the posted speed limit?","a:Never; posted limits are the maximum under ideal conditions.,b:When no police officer is present to enforce the limit.,c:When surrounding traffic is driving above the limit.",a,Speed limits represent the maximum legal speed under ideal conditions; you should not exceed them. You may need to go slower when conditions require it.,easy
5,Driving in Special Conditions,Why does driving at night require increased caution?,"a:Because visibility is reduced and headlights are required from half an hour after sunset until half an hour before sunrise.,b:Because traffic moves much faster at night.,c:Because there is always more traffic at night.",a,At night you cannot see as well; use headlights appropriately and drive so you can stop within the distance you can see ahead.,medium
8,Special Situations & Road Users,"If an approaching train is close enough or traveling fast enough to be hazardous, what must you do?","a:Slow down and proceed with caution.,b:Not cross the tracks until the train has completely passed.,c:Cross the tracks at your own risk.",b,"If a train is close enough to be a danger, do not attempt to cross the tracks. Wait until it has completely passed and all signals have cleared.",medium
2,Traffic Laws & Rules of the Road,"If turning left onto a one-way street, into which lane should you finish the turn?","a:The lane closest to the lane you came from.,b:The rightmost lane.,c:Either lane indiscriminately.",a,"Turn into the lane nearest to the one you left—on a left turn to a one-way street, that will be the leftmost available lane.",easy
2,Traffic Laws & Rules of the Road,"If you see a driver's left arm and hand extended downward, what does that signal mean?","a:They intend to come to a stop.,b:They plan to turn left.,c:They plan to turn right.,d:They plan to speed up.",a,A left arm extended downward indicates the driver intends to slow or stop; adjust your driving accordingly if following such a vehicle.,easy
3,"Signs, Signals & Road Markings","On traffic signals mounted horizontally, where is the red light located?","a:The rightmost position.,b:The middle position.,c:The leftmost position.",c,"Horizontal signals place the red light on the left, yellow in the middle, and green on the right.",easy
2,Traffic Laws & Rules of the Road,In which situations are you required to stop your vehicle?,"a:Only at stop signs.,b:Only at red lights.,c:Only if a police officer orders you to stop.,d:At stop signs, red lights, or when a traffic officer orders you to stop.",d,You must stop at intersections with stop signs or red lights and whenever a traffic officer instructs you to stop.,easy
4,Safe & Defensive Driving,What happens to your field of vision as your vehicle speed increases?,"a:It decreases, requiring extra alertness for hazards.,b:It increases, letting you see more of the road.,c:It remains unchanged regardless of speed.",a,"As speed increases, your peripheral vision narrows and you must be more alert to potential hazards ahead and to the sides.",medium
3,"Signs, Signals & Road Markings",What color are signs that indicate public recreation or cultural sites?,"a:Green.,b:Brown.,c:Orange.",b,"Brown signs indicate areas of cultural or historical interest or public recreation, useful when traveling in unfamiliar areas.",easy
2,Traffic Laws & Rules of the Road,"If waiting to turn left and opposing traffic blocks your view of other lanes, you should:","a:Accelerate quickly when the first lane clears.,b:Wait until you can see all lanes you must cross before turning.,c:Rely on another driver to wave you across.",b,Do not begin the left turn until you can see that all lanes you will cross are clear and it is safe to complete the turn.,medium
2,Traffic Laws & Rules of the Road,"When driving on an interstate, what must you do before changing lanes?","a:Signal, check mirrors, and check blind spots.,b:Always use cruise control while changing lanes.,c:Stop on the shoulder to check traffic.",a,"On interstates, signal and verify mirrors and blind spots before changing lanes; only stop on the shoulder for emergencies.",easy
3,"Signs, Signals & Road Markings",A solid yellow line on your side of the centerline means:,"a:Do not pass from your lane.,b:Pass with caution whenever you want.,c:Slow down to below the speed limit.",a,A solid yellow line adjacent to your lane indicates passing is prohibited from your direction.,easy
5,Driving in Special Conditions,"On slippery roads, how should you handle turns?","a:Take turns more slowly than usual.,b:Change lanes quickly to avoid the curve.,c:Accelerate quickly through curves.",a,Reduce speed before and during turns on slippery roads to maintain traction and control.,medium
4,Safe & Defensive Driving Practices,"Which practice helps prevent \highway hypnosis\"" on long trips?""","a:Begin the trip well-rested and take regular stops.,b:Drive continuously without stopping to maintain focus.,c:Keep the cruise control engaged at all times.",a,"To avoid highway hypnosis, start well-rested, take regular breaks even if you don't feel tired, and keep your eyes scanning the road.",medium
8,Special Situations & Road Users,"When an emergency vehicle is approaching with siren or flashing lights, what must a driver do immediately?","a:Pull to the right and stop.,b:Pull to the right and slow down but not stop.,c:Turn on four-way flashers and continue driving.,d:Speed up to clear the lane.",a,You must immediately move to the right side of the road and stop for an approaching emergency vehicle using warning devices.,easy
8,Special Situations & Road Users,You must stop at a railroad crossing under which circumstances?,"a:When directed to do so by a flagger or a stop sign.,b:When flashing red signals and gates are operating.,c:Only if you see a train approaching.,d:Both a and b.",d,You must stop at a railroad crossing when directed by a flagger or stop sign and when flashing red signals or gates are activated.,medium
3,"Signs, Signals & Road Markings",What does a flashing red traffic signal require you to do?,"a:Come to a complete stop and yield, like a stop sign.,b:Proceed without stopping because the signal is broken.,c:Slow down and proceed with caution without stopping.",a,A flashing red signal mandates a full stop and yielding to other traffic and pedestrians before proceeding when safe.,easy
2,Traffic Laws & Rules of the Road,Under what condition may you continue carefully through an intersection when the signal turns yellow?,"a:If you are already in the intersection when the light turns steady yellow.,b:If there are pedestrians crossing.,c:If an emergency vehicle is crossing your lane.",a,"If you are already within the intersection when the light turns steady yellow, you should continue through carefully; do not enter on a yellow light if you can stop safely before the intersection.",easy
2,Traffic Laws & Rules of the Road,Before making a left turn you must:,"a:Yield to oncoming vehicles and pedestrians.,b:Sound your horn to warn other drivers.,c:Swing to the right side of your lane before turning.",a,When turning left you must yield the right-of-way to oncoming traffic and to pedestrians in the intersection.,easy
3,"Signs, Signals & Road Markings",What do double solid yellow lines down the middle of the road indicate?,"a:Railroad crossing ahead.,b:Pedestrian crossing ahead.,c:Passing is not permitted in either direction.",c,Double solid yellow lines in the center of the roadway mean passing is prohibited for traffic in both directions except to turn.,easy
7,Vehicle Ownership & Responsibilities,"If you hit an unattended parked vehicle and cannot find the owner, what must you do?","a:Leave a written notice with your name, address, and details of the accident.,b:Drive away if no one is nearby.,c:Wait until the police arrive and do nothing else.",a,"If you cannot locate the owner after striking an unattended vehicle, leave a written notice with your contact information and the circumstances.",medium
6,"Alcohol, Drugs & Impaired Driving","For drivers 21 and older, at what BAC is driving illegal in Louisiana?","a:0.08 percent.,b:0.05 percent.,c:0.02 percent.",a,Louisiana law makes it illegal for drivers 21+ to operate a vehicle with a blood alcohol concentration of 0.08% or higher.,easy
