id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11653,ਜੇਕਰ ਇੱਕ ਟ੍ਰੇਲਰ ਜੋੜਨ ਦੇ ਦੌਰਾਨ ਸਹੀ ਉਚਾਈ 'ਤੇ ਨਹੀਂ ਹੈ:,,ਜੋੜਨ ਵੇਲੇ ਕੋਈ ਫਰਕ ਨਹੀਂ ਪਵੇਗਾ।,ਜੋੜੀ ਵਧੇਰੇ ਸੁਰੱਖਿਅਤ ਹੋਵੇਗੀ।,ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਇਹ ਸਹੀ ਤਰ੍ਹਾਂ ਜੋੜੇ ਨਾ।,,C,"ਟਰੈਕਟਰ ਅਤੇ ਟ੍ਰੇਲਰ ਨੂੰ ਜੋੜਨ ਤੋਂ ਪਹਿਲਾਂ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਟ੍ਰੇਲਰ ਸਹੀ ਉਚਾਈ 'ਤੇ ਹੈ। ਜੇਕਰ ਟ੍ਰੇਲਰ ਬਹੁਤ ਘੱਟ ਹੈ, ਤਾਂ ਟ੍ਰੇਲਰ ਦੀ ਨੱਕ ਨੂੰ ਨੁਕਸਾਨ ਹੋ ਸਕਦਾ ਹੈ। ਜੇਕਰ ਟ੍ਰੇਲਰ ਬਹੁਤ ਜ਼ਿਆਦਾ ਹੈ, ਤਾਂ ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਇਹ ਸਹੀ ਢੰਗ ਨਾਲ ਜੋੜਨ ਦੇ ਯੋਗ ਨਾ ਹੋਵੇ।"
11293,"ਡ੍ਰਾਈਵਿੰਗ ਕਰਦੇ ਸਮੇਂ, ਇੱਕ ਡਰਾਈਵਰ ਨੂੰ:",,ਉਨ੍ਹਾਂ ਦੇ ਵਾਹਨ ਦੇ ਸਾਈਡਾਂ 'ਤੇ ਕੀ ਹੋ ਰਿਹਾ ਹੈ ਇਸ ਬਾਰੇ ਚਿੰਤਾ ਨਾ ਕਰੋ।,ਵਾਹਨ ਦੇ ਸਾਰੇ ਪਾਸੇ ਕੀ ਹੋ ਰਿਹਾ ਹੈ ਇਸ ਬਾਰੇ ਚਿੰਤਾ ਕਰੋ।,ਵਾਹਨ ਦੇ ਪਿੱਛੇ ਕੀ ਹੋ ਰਿਹਾ ਹੈ ਇਸ ਬਾਰੇ ਚਿੰਤਾ ਨਾ ਕਰੋ.,,B,ਇਹ ਜ਼ਰੂਰੀ ਹੈ ਕਿ ਤੁਸੀਂ ਇਸ ਗੱਲ ਤੋਂ ਜਾਣੂ ਹੋਵੋ ਕਿ ਤੁਹਾਡੇ ਵਾਹਨ ਦੇ ਹਰ ਪਾਸੇ ਕੀ ਹੋ ਰਿਹਾ ਹੈ। ਅੱਗੇ ਦੀ ਸੜਕ ਨੂੰ ਸਕੈਨ ਕਰੋ ਅਤੇ ਜਦੋਂ ਤੁਸੀਂ ਗੱਡੀ ਚਲਾ ਰਹੇ ਹੋਵੋ ਤਾਂ ਆਪਣੇ ਵਾਹਨ ਦੇ ਦੋਵੇਂ ਪਾਸੇ ਦੇ ਸ਼ੀਸ਼ਿਆਂ ਦੀ ਨਿਯਮਤ ਜਾਂਚ ਕਰੋ।
8568,ਤੁਹਾਨੂੰ ਕੀ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ ਜੇਕਰ ਤੁਹਾਡਾ ਵਾਹਨ ਰੇਲਮਾਰਗ ਦੀਆਂ ਪਟੜੀਆਂ 'ਤੇ ਫਸ ਜਾਂਦਾ ਹੈ?,,ਗੱਡੀ ਵਿੱਚ ਹੀ ਰਹੋ।,ਵਾਹਨ ਤੋਂ ਬਾਹਰ ਨਿਕਲੋ ਅਤੇ ਸਹਾਇਤਾ ਲਈ ਕਾਲ ਕਰੋ।,ਆਪਣੇ ਵਾਹਨ ਨੂੰ ਪਟੜੀ ਤੋਂ ਉਤਾਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਜਾਰੀ ਰੱਖੋ ਜਦੋਂ ਤੱਕ ਤੁਸੀਂ ਸਫਲ ਨਹੀਂ ਹੋ ਜਾਂਦੇ।,,B,"ਜੇਕਰ ਤੁਹਾਡੀ CMV ਰੇਲਮਾਰਗ ਦੀਆਂ ਪਟੜੀਆਂ 'ਤੇ ਫਸ ਜਾਂਦੀ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਤੁਰੰਤ ਵਾਹਨ ਨੂੰ ਛੱਡ ਦੇਣਾ ਚਾਹੀਦਾ ਹੈ ਅਤੇ ਪਟੜੀਆਂ ਤੋਂ ਦੂਰ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ। ਐਮਰਜੈਂਸੀ ਸੰਪਰਕ ਜਾਣਕਾਰੀ ਲਈ ਕਰਾਸਿੰਗ 'ਤੇ ਸਾਈਨਪੋਸਟਾਂ ਜਾਂ ਸਿਗਨਲ ਹਾਊਸਿੰਗ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ 911, ਜਾਂ ਕਿਸੇ ਹੋਰ ਉਚਿਤ ਐਮਰਜੈਂਸੀ ਨੰਬਰ 'ਤੇ ਕਾਲ ਕਰੋ।"
8553,ਹੇਠਾਂ ਦਿੱਤੇ ਵਿੱਚੋਂ ਕਿਹੜਾ ਭਟਕਣਾ ਦੀ ਕਿਸਮ ਨਹੀਂ ਹੈ?,,ਸਰੀਰਕ,ਮਾਨਸਿਕ,ਮੋਟਾ,,C,"ਭਟਕਣਾ ਜੋ ਸੁਰੱਖਿਅਤ ਡ੍ਰਾਈਵਿੰਗ ਨੂੰ ਪ੍ਰਭਾਵਤ ਕਰ ਸਕਦੀ ਹੈ, ਨੂੰ ਸਰੀਰਕ (ਜਿਵੇਂ ਕਿ ਕਿਸੇ ਵਸਤੂ ਤੱਕ ਪਹੁੰਚਣਾ), ਮਾਨਸਿਕ (ਜਿਵੇਂ ਕਿ ਯਾਤਰੀ ਨਾਲ ਗੱਲ ਕਰਨਾ), ਜਾਂ ਦੋਵੇਂ (ਜਿਵੇਂ ਕਿ ਹੱਥ ਨਾਲ ਫੜੇ ਫ਼ੋਨ 'ਤੇ ਗੱਲ ਕਰਨਾ) ਦੇ ਰੂਪ ਵਿੱਚ ਸ਼੍ਰੇਣੀਬੱਧ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।"
11583,"ਪ੍ਰੀ-ਟ੍ਰਿਪ ਨਿਰੀਖਣ ਕਰਨ ਤੋਂ ਬਾਅਦ, ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਪਿਛਲੇ ਬੰਦ-ਬੰਦ ਵਾਲਵ ਨੂੰ ਖੁੱਲ੍ਹਾ ਛੱਡੋ।,ਸਰਵਿਸ ਲਾਈਨ ਵਾਲਵ ਨੂੰ ਹਟਾਓ.,ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਵਾਲਵ ਨੂੰ ਬੰਦ ਕਰੋ।,,C,"ਯਾਤਰਾ ਤੋਂ ਪਹਿਲਾਂ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਹਵਾ ਬਾਹਰ ਨਿਕਲਣ ਨੂੰ ਸੁਣਨ ਲਈ ਪਿਛਲੀ ਐਮਰਜੈਂਸੀ ਲਾਈਨ ਅਤੇ ਸਰਵਿਸ ਲਾਈਨ ਸ਼ੱਟ-ਆਫ ਵਾਲਵ ਖੋਲ੍ਹ ਕੇ ਸਾਰੇ ਟਰੇਲਰਾਂ 'ਤੇ ਸਾਰੇ ਏਅਰ ਬ੍ਰੇਕਾਂ ਤੱਕ ਪਹੁੰਚ ਜਾਵੇ। ਗੱਡੀ ਚਲਾਉਣ ਤੋਂ ਪਹਿਲਾਂ ਦੋਵੇਂ ਬੰਦ ਵਾਲਵ ਬੰਦ ਕਰੋ।"
8520,ਤੇਜ਼ੀ ਨਾਲ ਸ਼ੁਰੂ ਹੋਣ 'ਤੇ ਪਿੱਛੇ ਵੱਲ ਘੁੰਮਣਾ ਖ਼ਤਰਨਾਕ ਹੈ ਕਿਉਂਕਿ:,,ਪ੍ਰਸਾਰਣ ਨੂੰ ਨੁਕਸਾਨ ਹੋ ਸਕਦਾ ਹੈ।,ਟਰੱਕ ਨੂੰ ਪਿੱਛੇ ਵੱਲ ਜਾਣ ਲਈ ਨਹੀਂ ਬਣਾਇਆ ਗਿਆ ਹੈ।,ਤੁਸੀਂ ਆਪਣੇ ਪਿੱਛੇ ਕਿਸੇ ਵਾਹਨ ਨੂੰ ਟੱਕਰ ਮਾਰ ਸਕਦੇ ਹੋ।,,C,ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਤੁਸੀਂ ਪਹਿਲਾਂ ਰੋਲ ਬੈਕ ਕੀਤੇ ਬਿਨਾਂ ਤੇਜ਼ ਕਰਨ ਦੇ ਯੋਗ ਹੋ। ਪਿੱਛੇ ਵੱਲ ਘੁੰਮਣ ਨਾਲ ਤੁਸੀਂ ਕਿਸੇ ਵਾਹਨ ਜਾਂ ਤੁਹਾਡੇ ਟਰੱਕ ਦੇ ਪਿੱਛੇ ਕਿਸੇ ਹੋਰ ਰੁਕਾਵਟ ਨਾਲ ਟਕਰਾ ਸਕਦੇ ਹੋ।
11460,ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ ਦੀ ਜਾਂਚ ਕਰੋ:,,ਏਅਰ ਸਪਲਾਈ ਨੌਬ ਨੂੰ ਹਟਾਉਣਾ.,ਪਾਰਕਿੰਗ ਬ੍ਰੇਕ ਕੰਟਰੋਲ ਨੌਬ ਨੂੰ ਹਟਾਉਣਾ.,ਬ੍ਰੇਕ ਪੈਡਲ ਨਾਲ ਹਵਾ ਛੱਡਣਾ।,ਗੈਸ ਪੈਡਲ ਨਾਲ ਹਵਾ ਛੱਡਣਾ.,C,"ਤੁਹਾਨੂੰ ਏਅਰ ਸਪਲਾਈ ਨੂੰ ਠੀਕ ਤਰ੍ਹਾਂ ਚਾਰਜ ਕਰਨ ਦੀ ਆਗਿਆ ਦੇ ਕੇ, ਇੰਜਣ ਨੂੰ ਬੰਦ ਕਰਕੇ, ਫਿਰ ਬ੍ਰੇਕ ਪੈਡਲ ਨੂੰ ਕਈ ਵਾਰ ਦਬਾ ਕੇ ਸਿਸਟਮ ਤੋਂ ਹਵਾ ਛੱਡ ਕੇ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ ਦੀ ਜਾਂਚ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ। ਜਦੋਂ psi ਅਸੁਰੱਖਿਅਤ ਪੱਧਰ 'ਤੇ ਡਿੱਗਦਾ ਹੈ ਤਾਂ ਟਰੈਕਟਰ ਸੁਰੱਖਿਆ ਵਾਲਵ ਨੂੰ ਆਪਣੀ ਐਮਰਜੈਂਸੀ ਸਥਿਤੀ ਵਿੱਚ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।"
8562,"ਠੰਡੇ ਮੌਸਮ ਵਿੱਚ, ਜਿਵੇਂ ਕਿ ਤਾਪਮਾਨ ਵਧਣਾ ਸ਼ੁਰੂ ਹੋ ਜਾਂਦਾ ਹੈ ਅਤੇ ਬਰਫ਼ ਪਿਘਲਣੀ ਸ਼ੁਰੂ ਹੋ ਜਾਂਦੀ ਹੈ:",,ਆਮ ਤੌਰ 'ਤੇ ਗੱਡੀ ਚਲਾਉਣਾ ਸੁਰੱਖਿਅਤ ਹੁੰਦਾ ਹੈ।,ਸੜਕ ਹੋਰ ਵੀ ਤਿਲਕਣ ਹੋ ਜਾਵੇਗੀ।,ਖਿੱਚ ਵਧੇਗੀ।,,B,"ਜਿਵੇਂ ਕਿ ਤਾਪਮਾਨ ਵਧਣਾ ਸ਼ੁਰੂ ਹੁੰਦਾ ਹੈ ਅਤੇ ਸੜਕ 'ਤੇ ਬਰਫ਼ ਪਿਘਲਣੀ ਸ਼ੁਰੂ ਹੁੰਦੀ ਹੈ, ਸੜਕ ਦੀ ਸਤ੍ਹਾ ਅਕਸਰ ਹੋਰ ਵੀ ਤਿਲਕਣ ਹੋ ਜਾਂਦੀ ਹੈ। ਮਾਮੂਲੀ ਪਿਘਲਣ ਤੋਂ ਪਾਣੀ ਬਰਫ਼ ਦੇ ਸਿਖਰ 'ਤੇ ਬੈਠ ਜਾਵੇਗਾ, ਉਪਲਬਧ ਟ੍ਰੈਕਸ਼ਨ ਨੂੰ ਹੋਰ ਵੀ ਘਟਾ ਦੇਵੇਗਾ। ਤਿਲਕਣ ਵਾਲੀਆਂ ਸਤਹਾਂ 'ਤੇ ਯਾਤਰਾ ਕਰਦੇ ਸਮੇਂ ਹਮੇਸ਼ਾ ਆਪਣੀ ਗਤੀ ਘਟਾਓ ਅਤੇ ਸਾਵਧਾਨੀ ਨਾਲ ਗੱਡੀ ਚਲਾਓ।"
11264,ਇੰਜਣ ਸ਼ੁਰੂ ਕਰਨ ਵੇਲੇ:,,ਬ੍ਰੇਕਾਂ ਲੌਕ ਹੋ ਜਾਣਗੀਆਂ।,"ਚੇਤਾਵਨੀ ਲਾਈਟਾਂ ਚਾਲੂ ਹੋਣੀਆਂ ਚਾਹੀਦੀਆਂ ਹਨ, ਫਿਰ ਜਲਦੀ ਬੰਦ ਹੋ ਜਾਣੀਆਂ ਚਾਹੀਦੀਆਂ ਹਨ।",ਕੂਲੈਂਟ ਦਾ ਤਾਪਮਾਨ ਘਟਣਾ ਚਾਹੀਦਾ ਹੈ।,,B,"ਵਾਹਨ ਚਾਲੂ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਚੇਤਾਵਨੀ ਲਾਈਟਾਂ ਅਤੇ ਬਜ਼ਰ ਕੁਝ ਸਕਿੰਟਾਂ ਬਾਅਦ ਬੰਦ ਹੋ ਜਾਣੇ ਚਾਹੀਦੇ ਹਨ। ਜੇਕਰ ਚੇਤਾਵਨੀ ਸਿਗਨਲ ਬੰਦ ਨਹੀਂ ਹੁੰਦੇ ਹਨ, ਤਾਂ ਵਾਹਨ ਵਿੱਚ ਕੁਝ ਗੜਬੜ ਹੋ ਸਕਦੀ ਹੈ।"
9237,ਵ੍ਹੀਲ ਨਟਸ ਦੇ ਆਲੇ ਦੁਆਲੇ ਜੰਗਾਲ ਦਾ ਮਤਲਬ ਹੋ ਸਕਦਾ ਹੈ:,,ਹਾਲ ਹੀ ਵਿੱਚ ਮੀਂਹ ਪਿਆ।,ਗਿਰੀਦਾਰ ਢਿੱਲੇ ਹਨ.,ਗਿਰੀਦਾਰ ਬਹੁਤ ਤੰਗ ਹਨ.,,B,ਹਰ ਡਰਾਈਵ ਤੋਂ ਪਹਿਲਾਂ ਆਪਣੇ ਟਾਇਰਾਂ ਦੀ ਜਾਂਚ ਕਰਨਾ ਮਹੱਤਵਪੂਰਨ ਹੈ। ਵ੍ਹੀਲ ਨਟਸ ਦੇ ਆਲੇ ਦੁਆਲੇ ਜੰਗਾਲ ਇਹ ਸੰਕੇਤ ਕਰ ਸਕਦਾ ਹੈ ਕਿ ਉਹ ਢਿੱਲੇ ਹਨ।
