section-num,section-name,question,options,correct-answer,note,difficulty
1,Traffic Laws & Rules of the Road,At what age can a Nevada teen apply for a learner's permit?,"a:14 and a half,b:15,c:15 and a half,d:16",c,Nevada allows teens to apply for a learner's permit at age 15½ (15 years and 6 months). The learner's permit requires a parent or guardian's consent and allows supervised driving practice under Nevada's GDL program.,medium
1,Traffic Laws & Rules of the Road,What is the legal BAC limit for a driver age 21 or older in Nevada?,"a:0.04%,b:0.06%,c:0.08%,d:0.10%",c,Nevada sets the per se DUI limit at 0.08% BAC for drivers 21 and older. Reaching 0.08% BAC alone is sufficient for a DUI conviction regardless of apparent impairment. Commercial drivers face a stricter 0.04% limit.,medium
1,Traffic Laws & Rules of the Road,Extreme desert heat in Nevada can cause which tire hazard that drivers should be aware of?,"a:Tires become sticky and slow the vehicle,b:Tires can over-inflate and potentially blow out due to heat expansion,c:Tires deflate rapidly in hot weather,d:Tires provide more traction in extreme heat",b,"Nevada's desert heat causes the air inside tires to expand, which increases tire pressure. An already over-inflated tire can blow out suddenly in extreme heat. Check tire pressure when tires are cold, and follow the vehicle manufacturer's recommended PSI — not the maximum printed on the tire sidewall.",medium
1,Traffic Laws & Rules of the Road,You are driving in Las Vegas and see a pedestrian crossing in a marked crosswalk. What must you do?,"a:Honk to alert the pedestrian and proceed carefully,b:Slow to 15 mph and pass behind the pedestrian,c:Stop and yield the right of way until the pedestrian has fully crossed your lane,d:Yield only if the pedestrian is directly in your path",c,"Nevada law requires drivers to stop and yield to pedestrians in marked crosswalks. Las Vegas has extremely heavy pedestrian traffic, especially near the Strip and casino areas. You must remain stopped until the pedestrian has fully cleared your lane.",medium
1,Traffic Laws & Rules of the Road,What is the default speed limit in a Nevada urban area when no speed limit sign is posted?,"a:20 mph,b:25 mph,c:30 mph,d:35 mph",b,"Nevada's default speed limit in urban and residential areas is 25 mph when no other limit is posted. In school zones and near playgrounds, the limit is typically 15 mph when children are present.",medium
1,Traffic Laws & Rules of the Road,You are driving on a Nevada highway when a dust storm suddenly reduces visibility to near zero. What should you do?,"a:Turn on your hazard lights and pull onto the shoulder to wait it out with feet on the brakes,b:Speed up to exit the dust storm quickly,c:Pull completely off the road, turn off your lights, and wait until the storm passes,d:Continue at reduced speed using your high beams",c,"In a severe Nevada dust storm (haboob), pull completely off the paved road surface, turn off your headlights (so other drivers don't follow them into a stopped vehicle), put the car in park, and keep your foot off the brake pedal. Wait until the storm passes before continuing.",medium
1,Traffic Laws & Rules of the Road,Nevada's zero tolerance law sets the illegal BAC for drivers under 21 at:,"a:0.00% — any detectable amount,b:0.02%,c:0.04%,d:0.08%",b,Nevada's zero tolerance law sets the underage DUI threshold at 0.02% BAC for drivers under 21. Any amount at or above 0.02% results in license suspension and other penalties. This is lower than the adult limit of 0.08%.,medium
1,Traffic Laws & Rules of the Road,You want to make a right turn at a red light in Nevada. What must you do?,"a:Proceed without stopping if no traffic is visible,b:Stop completely, yield to pedestrians and cross traffic, then turn if no sign prohibits it,c:Right turns on red are prohibited statewide in Nevada,d:Signal and proceed — right turns on red have the right of way",b,"Right turns on red are permitted in Nevada after a complete stop and yielding to all pedestrians and cross traffic. Always check for 'No Turn on Red' signs, which are common near the Las Vegas Strip and at high-pedestrian intersections.",medium
1,Traffic Laws & Rules of the Road,What does Nevada's Move Over law require when passing a stopped emergency vehicle on a multi-lane highway?,"a:Slow to 15 mph regardless of lane position,b:Move one lane away from the stopped vehicle if safely possible, or slow to a safe speed,c:Stop completely on the shoulder,d:Move over only for law enforcement, not for tow trucks",b,"Nevada's Move Over law requires drivers to move one lane away from any stopped emergency, law enforcement, or roadside assistance vehicle with active warning lights. If a lane change is not safely possible, slow to a reasonable speed below the posted limit.",medium
1,Traffic Laws & Rules of the Road,"In Nevada, it is illegal to use a handheld cell phone while driving. What is the penalty for a first offense?","a:A verbal warning with no fine,b:A fine but no points added to your license,c:A fine and demerit points added to your driving record,d:License suspension for 30 days",c,Nevada's distracted driving law prohibits handheld cell phone use while driving. A first offense results in a fine AND demerit points added to your driving record. Hands-free devices are permitted. Repeat offenses carry higher fines and more demerit points.,medium
1,Traffic Laws & Rules of the Road,You are driving on a Nevada highway and the road surface appears wet and shiny despite no recent rain. This may indicate:,"a:The road was recently sealed and is still wet,b:Black ice — a nearly invisible layer of ice on the road surface,c:Fresh paint markings on the road,d:An optical illusion — the road is dry",b,"A wet, shiny road surface in cold weather with no recent rain can indicate black ice — a thin, nearly transparent layer of ice that is extremely dangerous. Black ice forms when temperatures drop and moisture freezes on the road. Slow down immediately and avoid sudden steering or braking inputs.",medium
1,Traffic Laws & Rules of the Road,"When approaching a school bus stopped with flashing red lights on a Nevada highway, what must ALL traffic do on an undivided road?","a:Traffic behind the bus must stop; traffic in front may proceed,b:All traffic in both directions must stop at least 15 feet from the bus,c:Slow to 15 mph and pass carefully,d:Stop only if children are visibly exiting",b,"In Nevada, on an undivided road, all traffic in both directions must stop at least 15 feet from a school bus with flashing red lights and an extended stop arm. Wait until the lights stop and the arm retracts. On a divided highway with a physical median, only traffic behind the bus must stop.",medium
1,Traffic Laws & Rules of the Road,"On a Nevada freeway with multiple lanes in each direction, which lane should you use for normal travel?","a:The far left (fast) lane at all times for maximum speed,b:The right lanes for normal driving; left lanes for passing only,c:The center lane regardless of speed,d:Any lane — Nevada has no lane use rules",b,Nevada law requires slower vehicles to stay in the right lanes. The left lane on multi-lane freeways is designated for passing — not for sustained travel at the speed limit. Move right after completing a pass. This is especially important on Las Vegas freeways where traffic merges frequently.,medium
1,Traffic Laws & Rules of the Road,What is the minimum following distance recommended in Nevada under normal highway driving conditions?,"a:1 second,b:2 seconds,c:3 seconds,d:4 seconds",c,"Nevada recommends a minimum 3-second following distance under normal conditions. On Nevada's desert highways, consider increasing to 4 seconds — the roads are long and straight, making it tempting to tailgate, but stopping distances at high speeds remain significant.",medium
1,Traffic Laws & Rules of the Road,You must use your headlights in Nevada:,"a:Only between midnight and 5 AM,b:From 30 minutes after sunset to 30 minutes before sunrise, and when visibility is reduced,c:Only when driving outside of city limits,d:Only when other drivers have their headlights on",b,Nevada requires headlights from 30 minutes after sunset to 30 minutes before sunrise and whenever weather or smoke reduces visibility. Using headlights also makes your vehicle more visible to others — turn them on whenever there is doubt.,medium
1,Traffic Laws & Rules of the Road,"When parallel parking on a Nevada street, how far may your vehicle be from the curb?","a:6 inches,b:12 inches,c:18 inches,d:24 inches",c,Nevada requires parallel-parked vehicles to be within 18 inches of the curb. Parking further out can obstruct traffic flow and create a hazard. Use your mirrors and take your time to position the vehicle properly.,medium
1,Traffic Laws & Rules of the Road,"In Nevada, what is required before passing a vehicle on a two-lane highway?","a:Signal for at least 5 seconds before moving into the oncoming lane,b:Ensure there is a broken yellow centerline on your side, adequate distance, and no oncoming traffic,c:Honk to alert the driver ahead that you are passing,d:Pass on the right shoulder if it is paved",b,"Before passing on a two-lane Nevada highway, you must confirm: (1) there is a broken yellow center line on your side, (2) you have a clear view of at least 1/3 mile ahead, (3) no oncoming traffic is close, and (4) you have enough speed and distance to complete the pass safely.",medium
1,Traffic Laws & Rules of the Road,What does it mean when a traffic signal shows a steady yellow light?,"a:Speed up to clear the intersection before the light turns red,b:The light is about to turn green — prepare to go,c:The light is about to turn red — slow down and stop if safe to do so,d:Yield to cross traffic and then proceed",c,A steady yellow signal in Nevada means the light is about to turn red. You should slow down and stop before the intersection if it is safe to do so. Only proceed if you are so close to the intersection that stopping would be unsafe. Never speed up to 'beat' a yellow light.,medium
1,Traffic Laws & Rules of the Road,What must you do if your vehicle's brakes fail while driving in Nevada?,"a:Turn off the ignition to slow the engine,b:Pump the brakes rapidly to build pressure, downshift, use the parking brake gently, and look for an escape route,c:Turn the wheel sharply to generate friction,d:Immediately open your door to create wind resistance",b,"If your brakes fail, rapidly pump the brake pedal to try to build hydraulic pressure, downshift to use engine braking, gently apply the parking brake, and steer toward an escape route such as an uphill slope or soft shoulder. Never turn off the ignition while moving as it can lock the steering wheel.",medium
