section-num,section-name,question,options,correct-answer,note,difficulty
2,Traffic Laws & Rules of the Road,"When preparing to leave the interstate for an exit, you should:","a:Be in the proper lane at least one mile before your exit and do not slow until on the deceleration lane.,b:Signal and slow down 50–100 feet before the ramp.,c:Reduce to 45 mph one mile before exiting.,d:Stop in the exit lane before slowing.",a,"On freeways, you should plan ahead and move into the correct lane well before your exit so you can safely reach the deceleration lane. Stay at freeway speed until you are actually in the deceleration lane, then slow down there. Slowing early in the through lane can surprise drivers behind you and increase the risk of a rear‑end collision.",difficult
5,Driving in Special Conditions,When are roads especially slippery during a rainstorm?,"a:When it has been raining for an hour or more.,b:For the first 10 to 15 minutes of a rainstorm.,c:The day after it rains.",b,"Roads are especially slippery during the first 10–15 minutes of a rainstorm. Oil and residue on the road surface mix with the new rainwater and create a slick film. After it has rained for a while, much of this buildup is washed away and traction usually improves, though you should still drive carefully.",
2,Traffic Laws & Rules of the Road,"Unless posted otherwise, the speed limit on a county road without a hard surface is:","a:45 miles per hour.,b:55 miles per hour,c:50 miles per hour.,d:40 miles per hour.",c,"Speed limits on unpaved or gravel county roads are set by each state and can vary; there is no single standard limit that applies everywhere in the U.S. Always follow the posted speed limit for that specific road, and if no limit is posted, follow your state’s default rural speed limit and adjust your speed for conditions such as loose gravel, dust, and reduced traction.",difficult
5,Driving in Special Conditions,May you use parking lights instead of headlights when driving at night?,"a:True,b:False",b,"You may not drive at night using only parking lights. Parking lights are for when a vehicle is stopped or parked to make it visible, not for driving. When it is dark or visibility is reduced, you must use your headlights so you can see the road and so other drivers can see you.",
5,Driving in Special Conditions,"As daylight begins to fade, what should you use to make your vehicle more visible?","a:Emergency flashers.,b:Low beam headlights.,c:Parking lights.",b,"As daylight fades, turn on your low beam headlights so other drivers can see you and you can see the road clearly. Parking lights and emergency flashers are not a substitute for headlights while driving. Use high beams only on very dark roads when there is no oncoming traffic or vehicle directly ahead of you.",
2,Traffic Laws & Rules of the Road,"True or False: At a four-way stop, the driver on the right should insist on the right-of-way.","a:False,b:True",a,"At a four‑way stop, the driver on the right generally has the legal right‑of‑way when vehicles arrive at the same time, but no driver should insist on that right if it could lead to a collision. If another driver moves first or seems confused, you should yield to avoid a crash, even if you are legally entitled to go.",difficult
7,Vehicle Ownership & Responsibilities,"When parking uphill with a curb, how should you turn your front wheels?","a:Slightly to the right.,b:Sharply away from the curb.,c:Sharply toward the curb.",b,"When parking uphill with a curb, turn your front wheels sharply away from the curb and let the vehicle roll back gently until the back of the front tire rests against the curb. This way, if the brakes fail, the curb will stop the car from rolling into traffic.",
4,Safe & Defensive Driving Practices,"If your vehicle begins to skid, how should you steer?","a:To keep the front wheels straight.,b:In the opposite direction of the skid.,c:In the direction you want the vehicle to go.",c,"If your vehicle begins to skid, look and steer in the direction you want the front of the vehicle to go. As the vehicle starts to straighten out, be ready to steer smoothly as needed to keep control and avoid overcorrecting.",
8,Special Situations & Road Users,"If a pedestrian begins crossing in front of your vehicle, what is the appropriate action?","a:Flash your headlights and proceed.,b:Speed up to pass before they cross.,c:Slow down and be prepared to stop.",c,"When a pedestrian begins crossing in front of you, you must slow down and be prepared to stop. Drivers are required to yield to pedestrians in crosswalks and should use extra caution, especially around children or anyone who may move unpredictably.",
8,Special Situations & Road Users,"To pass a bicyclist safely, what should you do?","a:Drive into the bicycle lane until it is clear to pass.,b:Slow down and give the bicyclist as much space as possible when passing.,c:Honk to warn the bicyclist and then pass quickly.",b,"To pass a bicyclist safely, slow down and give them as much space as possible, following your state’s minimum passing distance (often at least 3 feet, and more at higher speeds). Do not drive in the bicycle lane to pass, and avoid honking in a way that could startle the rider and cause a loss of control.",difficult
