id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11490,"ਮੁਢਲੇ ਵਾਹਨ ਨਿਯੰਤਰਣ ਹੁਨਰਾਂ ਦੀ ਜਾਂਚ ਅਭਿਆਸ ਦੌਰਾਨ, ਤੁਹਾਡੇ ਵਾਹਨ ਦੀ ਅੰਤਿਮ ਸਥਿਤੀ ਇਹ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ:",,ਆਮ ਖੇਤਰ ਵਿੱਚ ਜਿਸਦਾ ਇਮਤਿਹਾਨਕਰਤਾ ਦੁਆਰਾ ਵਰਣਨ ਕੀਤਾ ਗਿਆ ਸੀ।,ਪਰੀਖਿਅਕ ਦੁਆਰਾ ਦਰਸਾਈ ਗਈ ਸਹੀ ਅੰਤਿਮ ਸਥਿਤੀ ਵਿੱਚ.,ਪਰੀਖਿਅਕ ਦੁਆਰਾ ਵਰਣਿਤ ਅੰਤਿਮ ਸਥਿਤੀ ਦੇ ਤਿੰਨ ਫੁੱਟ ਦੇ ਅੰਦਰ.,,B,"ਤੁਹਾਨੂੰ ਹਰ ਅਭਿਆਸ ਨੂੰ ਆਪਣੇ ਵਾਹਨ ਨਾਲ ਪਰੀਖਿਅਕ ਦੁਆਰਾ ਦਰਸਾਈ ਗਈ ਸਥਿਤੀ ਵਿੱਚ ਪੂਰਾ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ। ਪਰੀਖਿਅਕ ਦੁਆਰਾ ਦੱਸੇ ਗਏ ਤਰੀਕੇ ਨਾਲ ਅਭਿਆਸ ਨੂੰ ਪੂਰਾ ਕਰਨ ਵਿੱਚ ਅਸਫਲ ਰਹਿਣ ਲਈ ਤੁਹਾਨੂੰ ਸਜ਼ਾ ਦਿੱਤੀ ਜਾ ਸਕਦੀ ਹੈ, ਸੰਭਾਵਤ ਤੌਰ 'ਤੇ ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ ਹੁਨਰ ਟੈਸਟ ਵਿੱਚ ਅਸਫਲਤਾ ਦੇ ਨਤੀਜੇ ਵਜੋਂ."
8726,"ਵਿਦਿਆਰਥੀਆਂ ਨੂੰ ਚੁੱਕਣ ਲਈ ਸਟਾਪ ਕਰਦੇ ਸਮੇਂ, ਡਰਾਈਵਰ ਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਆਲੇ-ਦੁਆਲੇ ਦਾ ਸਾਰਾ ਟ੍ਰੈਫਿਕ ਪਹਿਲਾਂ ਬੰਦ ਹੋ ਗਿਆ ਹੋਵੇ:",,ਦਰਵਾਜ਼ਾ ਖੋਲ੍ਹਣਾ ਅਤੇ ਵਿਦਿਆਰਥੀਆਂ ਨੂੰ ਨੇੜੇ ਆਉਣ ਦਾ ਸੰਕੇਤ ਦੇਣਾ।,ਬਦਲਦੀਆਂ ਲਾਲ ਬੱਤੀਆਂ ਨੂੰ ਚਾਲੂ ਕਰਨਾ।,ਸੜਕ ਦੇ ਕਿਨਾਰੇ ਵੱਲ ਖਿੱਚਿਆ ਜਾ ਰਿਹਾ ਹੈ।,,A,"ਵਿਦਿਆਰਥੀਆਂ ਨੂੰ ਚੁੱਕਣ ਲਈ ਰੁਕਣ ਵੇਲੇ, ਸਕੂਲ ਬੱਸ ਡਰਾਈਵਰ ਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਦਰਵਾਜ਼ਾ ਖੋਲ੍ਹਣ ਅਤੇ ਵਿਦਿਆਰਥੀਆਂ ਨੂੰ ਬੱਸ ਦੇ ਨੇੜੇ ਜਾਣ ਲਈ ਸੰਕੇਤ ਦੇਣ ਤੋਂ ਪਹਿਲਾਂ ਆਲੇ-ਦੁਆਲੇ ਦੀ ਸਾਰੀ ਆਵਾਜਾਈ ਰੁਕ ਗਈ ਹੈ।"
8716,ਸਕੂਲ ਬੱਸ ਦੇ ਖਤਰੇ ਵਾਲੇ ਜ਼ੋਨ ਸਥਿਤ ਹਨ:,,ਸਿਰਫ਼ ਬੱਸ ਦੇ ਸਾਹਮਣੇ।,ਬੱਸ ਦੇ ਪਿਛਲੇ ਅਤੇ ਖੱਬੇ ਪਾਸੇ ਹੀ।,"ਬੱਸ ਦੇ ਅੱਗੇ, ਪਾਸਿਆਂ ਅਤੇ ਪਿਛਲੇ ਪਾਸੇ।",,C,"ਸਕੂਲੀ ਬੱਸ ਦੇ ਖਤਰੇ ਵਾਲੇ ਖੇਤਰ ਉਹ ਖੇਤਰ ਹੁੰਦੇ ਹਨ ਜਿੱਥੇ ਬੱਚਿਆਂ ਨੂੰ ਕਿਸੇ ਹੋਰ ਵਾਹਨ ਦੁਆਰਾ ਜਾਂ ਬੱਸ ਦੁਆਰਾ ਹੀ ਟੱਕਰ ਮਾਰਨ ਦੀ ਸੰਭਾਵਨਾ ਹੁੰਦੀ ਹੈ। ਅਜਿਹੇ ਖੇਤਰ ਬੱਸ ਦੇ ਅੱਗੇ, ਪਾਸਿਆਂ ਅਤੇ ਪਿਛਲੇ ਪਾਸੇ ਸਥਿਤ ਹੁੰਦੇ ਹਨ। ਖਤਰੇ ਵਾਲੇ ਜ਼ੋਨ ਬੱਸ ਦੇ ਹਰ ਪਾਸੇ ਤੋਂ 10 ਫੁੱਟ ਤੱਕ ਫੈਲ ਸਕਦੇ ਹਨ।"
8739,"ਜੇਕਰ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ ਕਿ ਕਿਸੇ ਵਿਦਿਆਰਥੀ ਨੂੰ ਪਿੱਠ ਵਿੱਚ ਸੱਟ ਲੱਗੀ ਹੈ, ਤਾਂ ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,ਉਨ੍ਹਾਂ ਨੂੰ ਬੱਸ ਤੋਂ ਉਤਾਰ ਦਿਓ।,ਉਹਨਾਂ ਨੂੰ ਨਾ ਹਿਲਾਓ.,ਉਨ੍ਹਾਂ ਨੂੰ ਖੜ੍ਹੇ ਹੋਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਨ ਲਈ ਉਤਸ਼ਾਹਿਤ ਕਰੋ।,,B,"ਇੱਕ ਸਕੂਲੀ ਬੱਸ ਡਰਾਈਵਰ ਨੂੰ ਕਿਸੇ ਅਜਿਹੇ ਵਿਦਿਆਰਥੀ ਨੂੰ ਹਿਲਾਉਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਨਹੀਂ ਕਰਨੀ ਚਾਹੀਦੀ ਜਿਸਦੀ ਗਰਦਨ ਜਾਂ ਰੀੜ੍ਹ ਦੀ ਹੱਡੀ ਵਿੱਚ ਸੱਟ ਲੱਗੀ ਹੋਵੇ, ਜਦੋਂ ਤੱਕ ਵਿਦਿਆਰਥੀ ਦੀ ਜਾਨ ਨੂੰ ਤੁਰੰਤ ਖ਼ਤਰਾ ਨਾ ਹੋਵੇ।"
11502,"ਯਾਤਰਾ ਤੋਂ ਪਹਿਲਾਂ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ:",,ਬ੍ਰੇਕ ਪੈਡਲ ਸਟਿੱਕ.,ਗੈਸ ਪੈਡਲ ਢਿੱਲਾ ਹੈ।,ਗਰੋਵਡ ਪੈਡਲ ਸਤਹ ਨੂੰ ਸਮੂਥ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ।,,C,"ਪੂਰਵ-ਯਾਤਰਾ ਦੇ ਨਿਰੀਖਣ ਦੌਰਾਨ ਆਪਣੇ ਵਾਹਨ ਦੇ ਪੈਡਲਾਂ ਦੀ ਜਾਂਚ ਕਰਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ ਕਿ ਪੈਡਲਾਂ ਦੇ ਹੇਠਾਂ ਜਾਂ ਆਲੇ-ਦੁਆਲੇ ਕੋਈ ਵੀ ਚੀਜ਼ ਨਹੀਂ ਹੈ ਜੋ ਉਹਨਾਂ ਦੀ ਵਰਤੋਂ ਵਿੱਚ ਰੁਕਾਵਟ ਪਾਉਂਦੀ ਹੈ। ਯਕੀਨੀ ਬਣਾਓ ਕਿ ਪੈਡਲ ਸਹੀ ਕੰਮ ਕਰਨ ਦੀ ਸਥਿਤੀ ਵਿੱਚ ਹਨ ਅਤੇ ਜੇਕਰ ਲਾਗੂ ਹੋਵੇ ਤਾਂ ਪੈਡਲਾਂ ਦੀਆਂ ਸਤਹਾਂ ਖੋਖਲੀਆਂ ​​ਹਨ।"
11497,"ਇੱਕ ਆਫਸੈੱਟ ਬੈਕ/ਸੱਜੇ ਪਾਰਕਿੰਗ ਚਾਲ ਨੂੰ ਪੂਰਾ ਕਰਦੇ ਸਮੇਂ, ਤੁਹਾਨੂੰ ਇਹ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ:",,"ਸਿੱਧਾ ਅੱਗੇ ਖਿੱਚੋ, ਫਿਰ ਸਿੱਧਾ ਪਿੱਛੇ ਚਲਾਓ।","ਸਿੱਧੀ ਪਿੱਛੇ ਗੱਡੀ ਚਲਾਓ, ਫਿਰ ਖੱਬੇ ਪਾਸੇ ਅੱਗੇ ਖਿੱਚੋ।","ਸਿੱਧਾ ਅੱਗੇ ਵੱਲ ਖਿੱਚੋ, ਫਿਰ ਸੱਜੇ ਪਾਸੇ ਵਾਪਸ ਜਾਓ।",,C,"If you are asked to complete an offset back/right parking maneuver, you should first pull straight forward, then back up to the right. ਤੁਹਾਡਾ ਵਾਹਨ ਪਾਰਕਿੰਗ ਥਾਂ ਦੀਆਂ ਸੀਮਾਵਾਂ ਦੇ ਅੰਦਰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਪਾਰਕ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।"
9317,"ਜਦੋਂ ਇੱਕ ਸਕੂਲੀ ਬੱਸ ਬੱਸ ਸਟੌਪ ਦੇ ਨੇੜੇ ਆ ਰਹੀ ਹੈ, ਤਾਂ ਡਰਾਈਵਰ ਨੂੰ:",,ਸ਼ੀਸ਼ੇ ਦੀ ਵਰਤੋਂ ਨਾ ਕਰੋ।,ਸਾਵਧਾਨੀ ਨਾਲ ਪਹੁੰਚੋ.,ਤੇਜ਼ੀ ਨਾਲ ਗੱਡੀ ਚਲਾਓ ਅਤੇ ਅਚਾਨਕ ਰੁਕੋ।,,B,ਸਕੂਲੀ ਬੱਸਾਂ ਦੇ ਡਰਾਈਵਰਾਂ ਨੂੰ ਹੌਲੀ-ਹੌਲੀ ਅਤੇ ਸਾਵਧਾਨੀ ਨਾਲ ਸਟਾਪਾਂ 'ਤੇ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।
11488,"ਸਿੱਧੀ ਲਾਈਨ ਬੈਕਿੰਗ ਕਸਰਤ ਦੇ ਅਪਵਾਦ ਦੇ ਨਾਲ, ਇੱਕ ਡਰਾਈਵਰ ਆਪਣੇ ਵਾਹਨ ਤੋਂ ਬਾਹਰ ਨਿਕਲ ਸਕਦਾ ਹੈ ਅਤੇ ਟੈਸਟਿੰਗ ਅਭਿਆਸਾਂ ਦੌਰਾਨ ਇਸਦੀ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰ ਸਕਦਾ ਹੈ:",,ਇੱਕ ਵਾਰ.,ਦੋ ਵਾਰ.,ਤਿੰਨ ਵਾਰ.,,B,"ਕਿਸੇ ਵੀ ਬੁਨਿਆਦੀ ਵਾਹਨ ਨਿਯੰਤਰਣ ਹੁਨਰ ਟੈਸਟ ਅਭਿਆਸ ਦੌਰਾਨ ਡਰਾਈਵਰ ਨੂੰ ਆਪਣੀ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰਨ ਲਈ ਆਪਣੇ ਵਾਹਨ ਤੋਂ ਬਾਹਰ ਜਾਣ ਦੀ ਇਜਾਜ਼ਤ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ। ਇਸ ਕਾਰਵਾਈ ਨੂੰ ""ਦਿੱਖ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ। ਸਿੱਧੀ ਲਾਈਨ ਬੈਕਿੰਗ ਕਸਰਤ ਦੇ ਦੌਰਾਨ, ਇੱਕ ਡਰਾਈਵਰ ਇੱਕ ਨਜ਼ਰ ਤੋਂ ਵੱਧ ਨਹੀਂ ਹੋ ਸਕਦਾ। ਕਿਸੇ ਹੋਰ ਕਸਰਤ ਦੌਰਾਨ, ਇੱਕ ਡਰਾਈਵਰ ਦੋ ਦਿੱਖਾਂ ਤੋਂ ਵੱਧ ਨਹੀਂ ਹੋ ਸਕਦਾ।"
11348,"ਸਕੂਲ ਬੱਸ ਸਟਾਪ ਦੇ ਨੇੜੇ ਪਹੁੰਚਣ ਤੇ, ਡਰਾਈਵਰ ਨੂੰ:",,ਸਿੰਗ ਵਜਾਓ।,ਹੌਲੀ-ਹੌਲੀ ਗੱਡੀ ਚਲਾਓ।,ਬੱਸ ਵਿੱਚ ਵਿਦਿਆਰਥੀਆਂ ਨਾਲ ਗੱਲ ਕਰੋ।,,B,ਸਕੂਲ ਬੱਸ ਡਰਾਈਵਰ ਨੂੰ ਬੱਸ ਸਟਾਪਾਂ 'ਤੇ ਹਮੇਸ਼ਾ ਹੌਲੀ ਅਤੇ ਸਾਵਧਾਨੀ ਨਾਲ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।
8723,ਬੱਸ ਅੱਡਿਆਂ ਨੂੰ ਇਹਨਾਂ ਦੁਆਰਾ ਬਦਲਿਆ ਜਾ ਸਕਦਾ ਹੈ:,,ਡਰਾਈਵਰ.,ਮਾਪੇ।,ਸਕੂਲ ਜ਼ਿਲ੍ਹਾ.,,C,ਸਰਕਾਰੀ ਸਕੂਲ ਬੱਸ ਦੇ ਰੂਟ ਅਤੇ ਸਟਾਪ ਸਥਾਨਕ ਸਕੂਲ ਡਿਸਟ੍ਰਿਕਟ ਦੁਆਰਾ ਸਥਾਪਿਤ ਕੀਤੇ ਗਏ ਹਨ। ਡਰਾਈਵਰਾਂ ਨੂੰ ਕਿਸੇ ਢੁਕਵੇਂ ਜ਼ਿਲ੍ਹਾ ਅਧਿਕਾਰੀ ਦੀ ਲਿਖਤੀ ਪ੍ਰਵਾਨਗੀ ਤੋਂ ਬਿਨਾਂ ਕਦੇ ਵੀ ਸਟਾਪ ਟਿਕਾਣਾ ਨਹੀਂ ਬਦਲਣਾ ਚਾਹੀਦਾ।
